GCD Test
Bias: 5000.000000
IV_34331_042_2-S_HM_XX_DIODEHALFPSTOP_GRConnected_Irradiated
Date/Time: 10/21/2021 2:32:34 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -15C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.6550E-6	-2.6550E-6	-2.6530E-6	-2.6580E-6	-2.6540E-6	-1.168499E-7	-1.169289E-7	-1.166796E-7	-1.169301E-7	-1.168610E-7	  -14.8267	    7.9039	   11.8761	  -19.8544	
  -20.0000	-3.9237E-6	-3.9250E-6	-3.9270E-6	-3.9210E-6	-3.9220E-6	-1.579887E-7	-1.580828E-7	-1.579821E-7	-1.579987E-7	-1.578913E-7	  -14.8841	    7.9012	   11.8922	  -19.8409	
  -30.0000	-4.8985E-6	-4.8900E-6	-4.9060E-6	-4.9230E-6	-4.8750E-6	-1.892036E-7	-1.893026E-7	-1.890144E-7	-1.892188E-7	-1.892785E-7	  -14.9416	    7.9482	   11.8473	  -19.8475	
  -40.0000	-5.6843E-6	-5.7120E-6	-5.6890E-6	-5.6720E-6	-5.6640E-6	-2.157806E-7	-2.160026E-7	-2.157914E-7	-2.158511E-7	-2.154774E-7	  -14.9888	    7.9228	   11.8886	  -19.8274	
  -50.0000	-6.3937E-6	-6.3950E-6	-6.3730E-6	-6.3980E-6	-6.4090E-6	-2.407490E-7	-2.404658E-7	-2.404831E-7	-2.411130E-7	-2.409341E-7	  -15.0072	    7.8516	   11.8818	  -19.8901	
  -60.0000	-7.0570E-6	-7.0360E-6	-7.0520E-6	-7.0590E-6	-7.0810E-6	-2.634531E-7	-2.632751E-7	-2.637275E-7	-2.634688E-7	-2.633411E-7	  -15.0188	    8.1524	   11.8856	  -19.6494	
  -70.0000	-7.6660E-6	-7.6740E-6	-7.6570E-6	-7.6460E-6	-7.6870E-6	-2.836220E-7	-2.833308E-7	-2.833725E-7	-2.837041E-7	-2.840808E-7	  -14.9988	    7.8910	   11.8828	  -19.8580	
  -80.0000	-8.3028E-6	-8.3090E-6	-8.3110E-6	-8.3270E-6	-8.2640E-6	-3.028229E-7	-3.024122E-7	-3.026276E-7	-3.029341E-7	-3.033177E-7	  -14.9197	    8.1083	   11.9033	  -19.6670	
  -90.0000	-8.8985E-6	-8.8780E-6	-8.8880E-6	-8.9080E-6	-8.9200E-6	-3.245124E-7	-3.242435E-7	-3.245470E-7	-3.245725E-7	-3.246867E-7	  -14.8605	    8.0624	   11.8821	  -19.7237	
 -100.0000	-9.4450E-6	-9.4720E-6	-9.4580E-6	-9.4400E-6	-9.4100E-6	-3.428358E-7	-3.429292E-7	-3.428925E-7	-3.429208E-7	-3.426005E-7	  -14.7997	    7.9844	   11.9123	  -19.7557	
 -110.0000	-9.9220E-6	-9.9270E-6	-9.8980E-6	-9.8990E-6	-9.9640E-6	-3.614977E-7	-3.613427E-7	-3.614209E-7	-3.614852E-7	-3.617422E-7	  -14.7732	    7.9928	   11.8716	  -19.7888	
 -120.0000	-1.0512E-5	-1.0510E-5	-1.0510E-5	-1.0550E-5	-1.0480E-5	-3.789651E-7	-3.791523E-7	-3.788242E-7	-3.790408E-7	-3.788429E-7	  -14.7742	    8.2663	   11.8845	  -19.5608	
 -130.0000	-1.0973E-5	-1.0970E-5	-1.0970E-5	-1.0980E-5	-1.0970E-5	-3.949466E-7	-3.954841E-7	-3.949562E-7	-3.947767E-7	-3.945695E-7	  -14.7975	    8.0371	   11.9054	  -19.7210	
 -140.0000	-1.1435E-5	-1.1450E-5	-1.1440E-5	-1.1440E-5	-1.1410E-5	-4.088262E-7	-4.085197E-7	-4.086010E-7	-4.088869E-7	-4.092971E-7	  -14.8535	    7.9997	   11.8824	  -19.7728	
 -150.0000	-1.1847E-5	-1.1840E-5	-1.1840E-5	-1.1850E-5	-1.1860E-5	-4.221754E-7	-4.221238E-7	-4.221037E-7	-4.221624E-7	-4.223118E-7	  -14.8884	    8.0528	   11.8706	  -19.7424	
 -160.0000	-1.2278E-5	-1.2310E-5	-1.2300E-5	-1.2280E-5	-1.2220E-5	-4.351169E-7	-4.353105E-7	-4.353603E-7	-4.350113E-7	-4.347856E-7	  -14.9438	    8.0162	   11.8997	  -19.7430	
 -170.0000	-1.2610E-5	-1.2690E-5	-1.2650E-5	-1.2570E-5	-1.2530E-5	-4.474827E-7	-4.480020E-7	-4.475688E-7	-4.472115E-7	-4.471483E-7	  -14.9846	    8.1396	   11.8517	  -19.6926	
 -180.0000	-1.2943E-5	-1.2950E-5	-1.2960E-5	-1.2970E-5	-1.2890E-5	-4.601693E-7	-4.606414E-7	-4.605597E-7	-4.600108E-7	-4.594654E-7	  -15.0185	    8.0204	   11.8875	  -19.7516	
 -190.0000	-1.3340E-5	-1.3290E-5	-1.3340E-5	-1.3360E-5	-1.3370E-5	-4.727178E-7	-4.725964E-7	-4.728033E-7	-4.727234E-7	-4.727479E-7	  -15.0148	    7.9287	   11.8536	  -19.8567	
 -200.0000	-1.3720E-5	-1.3710E-5	-1.3690E-5	-1.3720E-5	-1.3760E-5	-4.927844E-7	-4.930402E-7	-4.928617E-7	-4.929236E-7	-4.923122E-7	  -14.9612	    8.1485	   11.8973	  -19.6411	
 -210.0000	-1.4143E-5	-1.4150E-5	-1.4150E-5	-1.4150E-5	-1.4120E-5	-5.000526E-7	-4.998745E-7	-4.999848E-7	-4.999770E-7	-5.003743E-7	  -14.9186	    8.0918	   11.8770	  -19.7055	
 -220.0000	-1.4533E-5	-1.4570E-5	-1.4580E-5	-1.4500E-5	-1.4480E-5	-5.130552E-7	-5.129519E-7	-5.127897E-7	-5.131108E-7	-5.133684E-7	  -14.8578	    7.9767	   11.8761	  -19.7970	
 -230.0000	-1.4857E-5	-1.4880E-5	-1.4830E-5	-1.4850E-5	-1.4870E-5	-5.298752E-7	-5.303580E-7	-5.302701E-7	-5.297816E-7	-5.290912E-7	  -14.8226	    7.8866	   11.8478	  -19.8956	
 -240.0000	-1.5295E-5	-1.5260E-5	-1.5280E-5	-1.5300E-5	-1.5340E-5	-5.385991E-7	-5.387058E-7	-5.383672E-7	-5.385872E-7	-5.387363E-7	  -14.8204	    7.9007	   11.8763	  -19.8568	
 -250.0000	-1.5710E-5	-1.5730E-5	-1.5710E-5	-1.5700E-5	-1.5700E-5	-5.493126E-7	-5.498512E-7	-5.497907E-7	-5.488179E-7	-5.487905E-7	  -14.8330	    7.9601	   11.8878	  -19.7988	
 -260.0000	-1.5965E-5	-1.5950E-5	-1.5950E-5	-1.5990E-5	-1.5970E-5	-5.588670E-7	-5.586576E-7	-5.586032E-7	-5.587709E-7	-5.594362E-7	  -14.8663	    7.8805	   11.8598	  -19.8887	
 -270.0000	-1.6353E-5	-1.6350E-5	-1.6310E-5	-1.6350E-5	-1.6400E-5	-5.702016E-7	-5.707207E-7	-5.705428E-7	-5.700277E-7	-5.695151E-7	  -14.9116	    7.9561	   11.8729	  -19.8163	
 -280.0000	-1.6553E-5	-1.6550E-5	-1.6560E-5	-1.6530E-5	-1.6570E-5	-5.764547E-7	-5.756681E-7	-5.764649E-7	-5.768495E-7	-5.768363E-7	  -14.9522	    8.0923	   11.8812	  -19.7010	
 -290.0000	-1.6835E-5	-1.6790E-5	-1.6830E-5	-1.6860E-5	-1.6860E-5	-5.822448E-7	-5.824012E-7	-5.825468E-7	-5.821915E-7	-5.818396E-7	  -14.9980	    8.1672	   11.8827	  -19.6406	
 -300.0000	-1.7022E-5	-1.6980E-5	-1.7000E-5	-1.7070E-5	-1.7040E-5	-5.910237E-7	-5.887495E-7	-5.906658E-7	-5.920906E-7	-5.925888E-7	  -15.0477	    8.0991	   11.8727	  -19.7040	
 -310.0000	-1.7288E-5	-1.7330E-5	-1.7280E-5	-1.7300E-5	-1.7240E-5	-5.963491E-7	-5.959528E-7	-5.967808E-7	-5.965977E-7	-5.960650E-7	  -15.0535	    8.1285	   11.8788	  -19.6749	
 -320.0000	-1.7515E-5	-1.7530E-5	-1.7500E-5	-1.7490E-5	-1.7540E-5	-6.052115E-7	-6.052305E-7	-6.053828E-7	-6.052669E-7	-6.049658E-7	  -15.0438	    8.1138	   11.8783	  -19.6869	
 -330.0000	-1.7875E-5	-1.7880E-5	-1.7910E-5	-1.7880E-5	-1.7830E-5	-6.150416E-7	-6.140754E-7	-6.145484E-7	-6.155604E-7	-6.159821E-7	  -14.9781	    8.0527	   11.8996	  -19.7143	
 -340.0000	-1.8250E-5	-1.8240E-5	-1.8220E-5	-1.8230E-5	-1.8310E-5	-6.252289E-7	-6.253837E-7	-6.253080E-7	-6.250576E-7	-6.251664E-7	  -14.8924	    7.9475	   11.8645	  -19.8314	
 -350.0000	-1.8490E-5	-1.8450E-5	-1.8460E-5	-1.8510E-5	-1.8540E-5	-6.384638E-7	-6.368615E-7	-6.376027E-7	-6.392586E-7	-6.401322E-7	  -14.8397	    8.0786	   11.8673	  -19.7254	
 -360.0000	-1.8965E-5	-1.8980E-5	-1.8980E-5	-1.8950E-5	-1.8950E-5	-6.469420E-7	-6.466172E-7	-6.465724E-7	-6.470398E-7	-6.475386E-7	  -14.7945	    8.0280	   11.8620	  -19.7704	
 -370.0000	-1.9290E-5	-1.9380E-5	-1.9290E-5	-1.9220E-5	-1.9270E-5	-6.577764E-7	-6.560440E-7	-6.574696E-7	-6.585105E-7	-6.590815E-7	  -14.7682	    8.0071	   11.8838	  -19.7657	
 -380.0000	-1.9657E-5	-1.9600E-5	-1.9670E-5	-1.9720E-5	-1.9640E-5	-6.662008E-7	-6.674352E-7	-6.665770E-7	-6.659037E-7	-6.648874E-7	  -14.8069	    8.0098	   11.8300	  -19.8160	
 -390.0000	-1.9830E-5	-1.9920E-5	-1.9870E-5	-1.9850E-5	-1.9680E-5	-6.657729E-7	-6.648062E-7	-6.652005E-7	-6.660283E-7	-6.670568E-7	  -14.8280	    7.8682	   11.8431	  -19.9147	
 -400.0000	-1.9992E-5	-2.0020E-5	-2.0000E-5	-1.9960E-5	-1.9990E-5	-6.717295E-7	-6.718516E-7	-6.717275E-7	-6.715448E-7	-6.717942E-7	  -14.8880	    8.1626	   11.8814	  -19.6455	
