38873_035_2-S_HM_XX_Irrad_20min
Date/Time: 4/21/2022 4:47:32 PM
Sensor Name: 38873_035_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.0470E-5	-1.0470E-5	-1.0470E-5	-1.0470E-5	-1.0470E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -20.0000	-1.6700E-5	-1.6700E-5	-1.6700E-5	-1.6700E-5	-1.6700E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -30.0000	-2.1940E-5	-2.1940E-5	-2.1940E-5	-2.1940E-5	-2.1940E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -40.0000	-2.6740E-5	-2.6740E-5	-2.6740E-5	-2.6740E-5	-2.6740E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -50.0000	-3.1250E-5	-3.1250E-5	-3.1250E-5	-3.1250E-5	-3.1250E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -60.0000	-3.5690E-5	-3.5690E-5	-3.5690E-5	-3.5690E-5	-3.5690E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -70.0000	-4.0810E-5	-4.0810E-5	-4.0810E-5	-4.0810E-5	-4.0810E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -80.0000	-4.6480E-5	-4.6480E-5	-4.6480E-5	-4.6480E-5	-4.6480E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
  -90.0000	-5.2350E-5	-5.2350E-5	-5.2350E-5	-5.2350E-5	-5.2350E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -100.0000	-5.8160E-5	-5.8160E-5	-5.8160E-5	-5.8160E-5	-5.8160E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -110.0000	-6.3670E-5	-6.3670E-5	-6.3670E-5	-6.3670E-5	-6.3670E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -120.0000	-6.9460E-5	-6.9460E-5	-6.9460E-5	-6.9460E-5	-6.9460E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -130.0000	-8.0320E-5	-8.0320E-5	-8.0320E-5	-8.0320E-5	-8.0320E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -140.0000	-9.7660E-5	-9.7660E-5	-9.7660E-5	-9.7660E-5	-9.7660E-5	  -20.0000	   24.5699	    1.7001	    0.0000	
 -150.0000	-1.2365E-4	-1.2365E-4	-1.2365E-4	-1.2365E-4	-1.2365E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -160.0000	-1.6435E-4	-1.6435E-4	-1.6435E-4	-1.6435E-4	-1.6435E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -170.0000	-2.1911E-4	-2.1911E-4	-2.1911E-4	-2.1911E-4	-2.1911E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -180.0000	-2.9343E-4	-2.9343E-4	-2.9343E-4	-2.9343E-4	-2.9343E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -190.0000	-3.8069E-4	-3.8069E-4	-3.8069E-4	-3.8069E-4	-3.8069E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -200.0000	-4.9220E-4	-4.9220E-4	-4.9220E-4	-4.9220E-4	-4.9220E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -210.0000	-6.1086E-4	-6.1086E-4	-6.1086E-4	-6.1086E-4	-6.1086E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -220.0000	-7.2193E-4	-7.2193E-4	-7.2193E-4	-7.2193E-4	-7.2193E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -230.0000	-8.3015E-4	-8.3015E-4	-8.3015E-4	-8.3015E-4	-8.3015E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -240.0000	-9.3638E-4	-9.3638E-4	-9.3638E-4	-9.3638E-4	-9.3638E-4	  -20.0000	   24.5699	    1.7001	    0.0000	
 -250.0000	-1.0500E-3	-1.0500E-3	-1.0500E-3	-1.0500E-3	-1.0500E-3	    0.0000	    0.0000	    0.0000	    0.0000	
