38875_048_2-S_HM_XX_Irrad_20min
Date/Time: 4/25/2022 10:46:29 AM
Sensor Name: 38875_048_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.657E-10	1.415E-6	  -20.0000	   25.8263	    1.3529	    0.0000	
  -20.0000	1.650E-10	1.095E-6	  -20.0000	   25.8263	    1.3529	    0.0000	
  -30.0000	1.584E-10	9.122E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -40.0000	1.515E-10	7.895E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -50.0000	1.453E-10	6.956E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -60.0000	1.396E-10	6.245E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -70.0000	1.344E-10	5.685E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -80.0000	1.298E-10	5.227E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
  -90.0000	1.255E-10	4.855E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -100.0000	1.218E-10	4.506E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -110.0000	1.184E-10	4.243E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -120.0000	1.150E-10	3.996E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -130.0000	1.122E-10	3.806E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -140.0000	1.094E-10	3.595E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -150.0000	1.071E-10	3.444E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -160.0000	1.043E-10	3.299E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -170.0000	1.025E-10	3.130E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -180.0000	9.972E-11	2.986E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -190.0000	9.791E-11	2.861E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -200.0000	9.586E-11	2.785E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -210.0000	9.447E-11	2.645E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -220.0000	9.249E-11	2.564E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -230.0000	9.106E-11	2.459E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -240.0000	8.959E-11	2.382E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -250.0000	8.798E-11	2.273E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -260.0000	8.682E-11	2.202E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -270.0000	8.519E-11	2.143E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -280.0000	8.346E-11	2.069E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -290.0000	8.240E-11	1.976E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -300.0000	8.107E-11	1.878E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -310.0000	7.969E-11	1.864E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -320.0000	7.851E-11	1.745E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -330.0000	7.776E-11	1.697E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -340.0000	7.605E-11	1.562E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -350.0000	7.513E-11	1.587E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -360.0000	7.368E-11	1.474E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -370.0000	7.206E-11	1.430E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -380.0000	7.213E-11	1.392E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
 -390.0000	6.999E-11	1.324E-7	  -20.0000	   25.8263	    1.3529	    0.0000	
