GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 9/8/2021 1:21:00 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.388E-11	5.157E-12	7.147E+6	4.684E+6	  -19.6904	    9.7210	    4.6907	  -28.7943	
  -20.0000	1.403E-11	5.254E-12	9.401E+6	5.204E+6	  -19.6955	    9.6381	    4.6673	  -28.9066	
  -30.0000	1.350E-11	5.299E-12	1.119E+7	5.658E+6	  -19.7235	    9.5772	    4.6559	  -28.9760	
  -40.0000	1.293E-11	5.341E-12	1.282E+7	6.064E+6	  -19.7413	    9.6485	    4.6278	  -28.9896	
  -50.0000	1.235E-11	5.379E-12	1.447E+7	6.447E+6	  -19.7489	    9.5954	    4.6202	  -29.0449	
  -60.0000	1.192E-11	5.407E-12	1.608E+7	6.719E+6	  -19.7617	    9.5604	    4.5892	  -29.1412	
  -70.0000	1.153E-11	5.426E-12	1.777E+7	6.989E+6	  -19.7744	    9.5613	    4.5958	  -29.1252	
  -80.0000	1.119E-11	5.439E-12	1.945E+7	7.255E+6	  -19.8024	    9.5499	    4.5787	  -29.1729	
  -90.0000	1.093E-11	5.449E-12	2.100E+7	7.540E+6	  -19.8481	    9.6611	    4.5674	  -29.1200	
 -100.0000	1.070E-11	5.460E-12	2.246E+7	7.760E+6	  -19.8736	    9.6609	    4.5835	  -29.0828	
 -110.0000	1.048E-11	5.468E-12	2.395E+7	7.995E+6	  -19.9016	    9.5943	    4.5927	  -29.1090	
 -120.0000	1.031E-11	5.487E-12	2.544E+7	8.206E+6	  -19.9448	    9.5229	    4.6107	  -29.1322	
 -130.0000	1.012E-11	5.495E-12	2.682E+7	8.377E+6	  -19.9702	    9.5026	    4.5993	  -29.1590	
 -140.0000	9.981E-12	5.502E-12	2.808E+7	8.567E+6	  -19.9855	    9.4285	    4.6104	  -29.1864	
 -150.0000	9.830E-12	5.509E-12	2.937E+7	8.771E+6	  -20.0135	    9.6240	    4.6025	  -29.0652	
 -160.0000	9.680E-12	5.513E-12	3.062E+7	8.945E+6	  -20.0465	    9.6173	    4.5901	  -29.0985	
 -170.0000	9.565E-12	5.517E-12	3.163E+7	9.125E+6	  -20.0465	    9.6181	    4.5886	  -29.1016	
 -180.0000	9.456E-12	5.519E-12	3.231E+7	9.268E+6	  -20.0644	    9.5900	    4.5696	  -29.1655	
 -190.0000	9.395E-12	5.520E-12	3.260E+7	9.326E+6	  -20.0974	    9.5544	    4.5338	  -29.2740	
 -200.0000	9.292E-12	5.527E-12	3.358E+7	9.499E+6	  -20.1051	    9.5218	    4.5278	  -29.3113	
 -210.0000	9.211E-12	5.531E-12	3.460E+7	9.651E+6	  -20.1254	    9.5201	    4.5136	  -29.3458	
 -220.0000	9.151E-12	5.536E-12	3.543E+7	9.770E+6	  -20.1407	    9.5169	    4.4877	  -29.4090	
 -230.0000	9.066E-12	5.535E-12	3.645E+7	9.941E+6	  -20.1712	    9.5197	    4.4728	  -29.4422	
 -240.0000	9.022E-12	5.536E-12	3.751E+7	1.009E+7	  -20.1686	    9.4857	    4.4633	  -29.4888	
 -250.0000	8.959E-12	5.537E-12	3.875E+7	1.019E+7	  -20.1814	    9.4953	    4.4630	  -29.4827	
 -260.0000	8.887E-12	5.541E-12	4.010E+7	1.031E+7	  -20.1737	    9.5683	    4.4231	  -29.5256	
 -270.0000	8.814E-12	5.546E-12	4.185E+7	1.040E+7	  -20.1686	    9.4435	    4.4462	  -29.5592	
