GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 9/8/2021 3:01:10 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.933E-12	4.402E-12	1.735E+7	1.033E+7	  -20.8426	    9.0281	    7.3245	  -24.4622	
  -20.0000	7.810E-12	4.394E-12	2.324E+7	1.211E+7	  -20.7892	    9.0660	    7.3185	  -24.4429	
  -30.0000	7.443E-12	4.390E-12	2.790E+7	1.390E+7	  -20.6900	    9.0773	    7.3520	  -24.3839	
  -40.0000	7.048E-12	4.404E-12	3.318E+7	1.550E+7	  -20.6519	    8.9659	    7.3659	  -24.4463	
  -50.0000	6.734E-12	4.407E-12	3.926E+7	1.684E+7	  -20.5654	    9.0010	    7.3631	  -24.4242	
  -60.0000	6.541E-12	4.407E-12	4.545E+7	1.795E+7	  -20.4535	    9.0281	    7.3457	  -24.4302	
  -70.0000	6.397E-12	4.405E-12	5.143E+7	1.902E+7	  -20.4052	    8.9788	    7.3371	  -24.4800	
  -80.0000	6.284E-12	4.403E-12	5.667E+7	2.001E+7	  -20.3390	    8.9788	    7.3318	  -24.4881	
  -90.0000	6.176E-12	4.405E-12	6.193E+7	2.087E+7	  -20.2348	    8.9926	    7.3087	  -24.5127	
 -100.0000	6.100E-12	4.407E-12	6.680E+7	2.161E+7	  -20.1636	    9.0357	    7.2862	  -24.5145	
 -110.0000	6.023E-12	4.409E-12	7.144E+7	2.224E+7	  -20.1152	    8.9616	    7.2691	  -24.5959	
 -120.0000	5.973E-12	4.423E-12	7.610E+7	2.273E+7	  -20.0389	    8.8900	    7.2413	  -24.6687	
 -130.0000	5.918E-12	4.425E-12	8.035E+7	2.310E+7	  -19.9804	    8.8651	    7.2394	  -24.7134	
 -140.0000	5.878E-12	4.428E-12	8.394E+7	2.359E+7	  -19.9423	    8.8651	    7.2343	  -24.7211	
 -150.0000	5.838E-12	4.430E-12	8.755E+7	2.392E+7	  -19.8685	    8.8180	    7.2306	  -24.7621	
 -160.0000	5.798E-12	4.431E-12	9.130E+7	2.437E+7	  -19.8278	    8.7828	    7.2340	  -24.7831	
 -170.0000	5.766E-12	4.433E-12	9.453E+7	2.468E+7	  -19.7947	    8.8261	    7.2255	  -24.7638	
 -180.0000	5.737E-12	4.433E-12	9.751E+7	2.509E+7	  -19.7591	    8.8515	    7.2192	  -24.7545	
 -190.0000	5.711E-12	4.435E-12	1.005E+8	2.540E+7	  -19.7311	    8.7900	    7.2315	  -24.7816	
 -200.0000	5.682E-12	4.438E-12	1.034E+8	2.566E+7	  -19.6981	    8.7600	    7.2290	  -24.8079	
 -210.0000	5.651E-12	4.438E-12	1.068E+8	2.601E+7	  -19.6370	    8.7784	    7.2138	  -24.8173	
 -220.0000	5.631E-12	4.438E-12	1.094E+8	2.637E+7	  -19.6345	    8.8277	    7.2135	  -24.7810	
 -230.0000	5.608E-12	4.440E-12	1.122E+8	2.665E+7	  -19.6243	    8.8419	    7.2264	  -24.7505	
 -240.0000	5.590E-12	4.441E-12	1.146E+8	2.694E+7	  -19.6090	    8.7767	    7.2226	  -24.8051	
 -250.0000	5.564E-12	4.441E-12	1.176E+8	2.731E+7	  -19.5963	    8.8726	    7.2125	  -24.7489	
 -260.0000	5.541E-12	4.443E-12	1.209E+8	2.761E+7	  -19.6167	    8.8873	    7.1803	  -24.7874	
 -270.0000	5.521E-12	4.444E-12	1.238E+8	2.788E+7	  -19.6497	    8.9324	    7.1885	  -24.7411	
 -280.0000	5.500E-12	4.445E-12	1.266E+8	2.830E+7	  -19.6650	    8.8993	    7.2008	  -24.7469	
 -290.0000	5.476E-12	4.446E-12	1.310E+8	2.854E+7	  -19.6701	    8.8990	    7.2119	  -24.7302	
 -300.0000	5.457E-12	4.446E-12	1.333E+8	2.887E+7	  -19.7006	    8.9640	    7.2122	  -24.6811	
 -310.0000	5.440E-12	4.447E-12	1.373E+8	2.921E+7	  -19.7108	    8.9926	    7.2220	  -24.6447	
 -320.0000	5.412E-12	4.448E-12	1.409E+8	2.949E+7	  -19.7311	    9.0065	    7.2391	  -24.6082	
