#Open Capacitance 1000Hz:4.571930E-12
#Open Capacitance 1000000Hz:Not Measured
#34343_015_PSS_XX_HM_Irrad_20min
#Date/Time: 9/15/2021 3:55:18 PM
#Sensor Name: 34343_015_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3714580587.967521	1.729723	-20.000000	22.879262	-2.909500E-5	-5.959199E-11	8.849310E-11	-4.962388E-7	-4.993484E-7	-4.923556E-7	-4.912835E-7	-4.948066E-7	-4.942972E-7	-1.513796E-6
2	3714580604.590663	1.727622	-20.000000	22.863964	-2.912500E-5	-5.633776E-11	8.851600E-11	-4.832665E-7	-4.827558E-7	-4.839424E-7	-4.841153E-7	-4.835200E-7	-4.836044E-7	-1.523745E-6
3	3714580620.393813	1.784737	-20.000000	22.849200	-2.914400E-5	-5.463552E-11	8.849580E-11	-4.842057E-7	-4.842007E-7	-4.843872E-7	-4.882901E-7	-4.852709E-7	-4.842965E-7	-1.522285E-6
4	3714580636.487940	1.752333	-20.000000	22.827442	-2.915100E-5	-5.473568E-11	8.849940E-11	-4.935588E-7	-4.936120E-7	-4.933772E-7	-4.934004E-7	-4.934871E-7	-4.934796E-7	-1.516557E-6
5	3714580652.607674	1.724788	-20.000000	22.827699	-2.914600E-5	-5.618753E-11	8.850220E-11	-4.901314E-7	-4.903154E-7	-4.905675E-7	-4.904944E-7	-4.903772E-7	-4.904049E-7	-1.522781E-6
6	3714580668.631033	1.721349	-20.000000	22.843096	-2.913100E-5	-5.588718E-11	8.850880E-11	-4.897050E-7	-4.904259E-7	-4.906331E-7	-4.906717E-7	-4.903589E-7	-4.905295E-7	-1.521214E-6
7	3714580684.587977	1.738047	-20.000000	22.839273	-2.909900E-5	-5.178180E-11	8.850370E-11	-4.911411E-7	-4.910199E-7	-4.906810E-7	-4.905713E-7	-4.908533E-7	-4.908505E-7	-1.519860E-6
8	3714580700.627312	1.766621	-20.000000	22.836914	-2.908200E-5	-5.743920E-11	8.850430E-11	-4.903751E-7	-4.900764E-7	-4.902509E-7	-4.902980E-7	-4.902501E-7	-4.902745E-7	-1.521724E-6
9	3714580716.665626	1.775053	-20.000000	22.830870	-2.907100E-5	-5.864079E-11	8.850230E-11	-4.898642E-7	-4.902387E-7	-4.900618E-7	-4.902893E-7	-4.901135E-7	-4.901502E-7	-1.522227E-6
10	3714580732.686591	1.758932	-20.000000	22.835190	-2.904400E-5	-5.568690E-11	8.849790E-11	-4.960387E-7	-4.979853E-7	-4.976196E-7	-4.982281E-7	-4.974679E-7	-4.978024E-7	-1.512766E-6
