36696_039_PSS_HM_XX_1100min_Interstrip
Date/Time: 11/19/2021 12:38:03 PM
Sensor Name: 36696_039_PSS_HM_XX_1100min
Type: P
Annealing Status: 1100 min
Environment: -20.0C
Tester: Eric Spencer
Notes: After Alibava

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.708E-10	1.759E-6	  -20.0000	   28.9969	    1.2688	    0.0000	
  -20.0000	1.779E-10	1.443E-6	  -20.0000	   28.9969	    1.2688	    0.0000	
  -30.0000	1.751E-10	1.245E-6	  -20.0000	   28.9969	    1.2688	    0.0000	
  -40.0000	1.710E-10	1.087E-6	  -20.0000	   28.9969	    1.2688	    0.0000	
  -50.0000	1.662E-10	9.699E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
  -60.0000	1.608E-10	8.793E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
  -70.0000	1.558E-10	8.143E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
  -80.0000	1.522E-10	7.421E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
  -90.0000	1.451E-10	6.983E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -100.0000	1.416E-10	6.562E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -110.0000	1.370E-10	6.110E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -120.0000	1.320E-10	5.814E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -130.0000	1.309E-10	5.528E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -140.0000	1.279E-10	5.214E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -150.0000	1.246E-10	4.999E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -160.0000	1.226E-10	4.644E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -170.0000	1.176E-10	4.367E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -180.0000	1.197E-10	4.419E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
 -190.0000	1.183E-10	4.491E-7	  -20.0000	   28.9969	    1.2688	    0.0000	
