GCD Test
Bias: 5000.000000
IV_36696_039_PSS_HM_XX_DIODE_Irradiated
Date/Time: 9/20/2021 1:38:46 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed for 80min at 60C
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.7975E-10	5.6100E-10	-4.8300E-10	6.5500E-10	7.8600E-10	-6.420768E-9	-6.866975E-9	-8.009816E-9	-5.097023E-9	-5.709258E-9	  -19.9473	    9.3601	    4.0848	  -30.5097	
  -20.0000	-2.7000E-11	-6.2200E-10	3.0000E-12	1.1600E-10	3.9500E-10	-6.122392E-9	-6.044208E-9	-6.276963E-9	-6.080584E-9	-6.087813E-9	  -19.9499	    9.4144	    4.0813	  -30.4803	
  -30.0000	-5.8575E-10	-7.3300E-10	-9.4500E-10	-4.5800E-10	-2.0700E-10	-6.507412E-9	-6.582305E-9	-6.453940E-9	-6.426910E-9	-6.566492E-9	  -19.9550	    9.3703	    4.0579	  -30.5716	
  -40.0000	-9.2550E-10	-1.5760E-9	-9.3000E-10	-8.3200E-10	-3.6400E-10	-6.843303E-9	-6.792510E-9	-6.822901E-9	-6.904388E-9	-6.853415E-9	  -19.9550	    9.3298	    4.0376	  -30.6524	
  -50.0000	-1.3005E-9	-8.9400E-10	-1.3190E-9	-1.3390E-9	-1.6500E-9	-6.958994E-9	-7.051400E-9	-7.049863E-9	-6.960431E-9	-6.774283E-9	  -19.9575	    9.3435	    4.0364	  -30.6460	
  -60.0000	-1.6792E-9	-2.0350E-9	-1.9430E-9	-1.6680E-9	-1.0710E-9	-7.215302E-9	-7.284265E-9	-7.190180E-9	-7.121143E-9	-7.265619E-9	  -19.9626	    9.3774	    4.0244	  -30.6534	
  -70.0000	-1.8930E-9	-2.1520E-9	-1.9160E-9	-1.5620E-9	-1.9420E-9	-7.493331E-9	-7.572130E-9	-7.537757E-9	-7.512388E-9	-7.351050E-9	  -19.9626	    9.3915	    4.0104	  -30.6796	
  -80.0000	-2.5065E-9	-2.7020E-9	-2.4600E-9	-2.5810E-9	-2.2830E-9	-7.521781E-9	-7.594249E-9	-7.741830E-9	-7.578820E-9	-7.172223E-9	  -19.9753	    9.3942	    3.9991	  -30.7074	
  -90.0000	-2.8395E-9	-2.8760E-9	-3.1890E-9	-2.6850E-9	-2.6080E-9	-7.804813E-9	-7.844551E-9	-7.761805E-9	-7.882189E-9	-7.730707E-9	  -19.9779	    9.4260	    3.9772	  -30.7422	
 -100.0000	-3.1762E-9	-3.1680E-9	-3.3620E-9	-3.1710E-9	-3.0040E-9	-8.223646E-9	-8.386768E-9	-8.529070E-9	-8.061058E-9	-7.917688E-9	  -19.9931	    9.3510	    3.9712	  -30.8107	
 -110.0000	-3.2963E-9	-2.9490E-9	-3.2730E-9	-3.2150E-9	-3.7480E-9	-8.560829E-9	-8.518657E-9	-8.499382E-9	-8.613688E-9	-8.611589E-9	  -20.0059	    9.3853	    3.9605	  -30.8149	
