#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.366800E-12
#37398_001_PSS_HM_XX_Irrad_20min_Interstrip
#Date/Time: 1/5/2022 4:33:55 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated 67 m in OT 11

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3724263304.258230	1.369556	-20.000000	25.851299	-3.038700E-5	5.395220E-12	-4.534882E-7	-6.385085E-7	-4.509648E-7	-4.515560E-7	-4.521960E-7	-4.529471E-7
2	3724263338.389504	1.345887	-20.000000	25.839070	-3.038000E-5	5.475390E-12	-5.742987E-7	-5.774190E-7	-5.828103E-7	-5.864200E-7	-5.884577E-7	-5.913465E-7
3	3724263372.294582	1.370222	-20.000000	25.839943	-3.037500E-5	5.490120E-12	-5.777848E-7	-5.787145E-7	-5.817718E-7	-5.868063E-7	-5.890046E-7	-5.969206E-7
4	3724263406.454854	1.381848	-20.000000	25.834275	-3.037300E-5	5.496200E-12	-5.793460E-7	-5.846891E-7	-5.889025E-7	-6.086428E-7	-6.000584E-7	-6.082956E-7
5	3724263440.542733	1.361749	-20.000000	25.862197	-3.037000E-5	5.498090E-12	-5.635389E-7	-5.528802E-7	-5.501959E-7	-5.769280E-7	-5.624795E-7	-6.641902E-7
6	3724263474.448467	1.352031	-20.000000	25.873691	-3.035100E-5	5.500810E-12	-7.493740E-7	-6.462347E-7	-7.489326E-7	-4.462621E-7	-4.501268E-7	-4.479632E-7
7	3724263507.561103	1.342885	-20.000000	25.891408	-3.036000E-5	5.490810E-12	-4.424596E-7	-4.442483E-7	-4.629235E-7	-4.467933E-7	-4.568133E-7	-4.466536E-7
8	3724263540.605709	1.367166	-20.000000	25.869073	-3.036600E-5	5.491100E-12	-4.435001E-7	-4.792889E-7	-6.785656E-7	-4.498997E-7	-4.687735E-7	-5.983221E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.365890E-12
#37398_001_PSS_HM_XX_Irrad_20min_Interstrip
#Date/Time: 1/5/2022 4:41:00 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated 67 m in OT 11

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-1.0	I_InterstripR_V-3.0	I_InterstripR_V-5.0
1	3724263729.873050	1.325985	-20.000000	25.862039	-3.030700E-5	5.421640E-12	-5.615167E-7	-5.848009E-7	-6.175150E-7
2	3724263752.361414	1.400378	-20.000000	25.866200	-3.032600E-5	5.460670E-12	-4.528726E-7	-4.551489E-7	-4.571979E-7
3	3724263774.019528	1.353410	-20.000000	25.864299	-3.032400E-5	5.480980E-12	-4.521788E-7	-4.542422E-7	-4.561651E-7
4	3724263796.524364	1.336531	-20.000000	25.869647	-3.031300E-5	5.487840E-12	-4.516619E-7	-4.537325E-7	-4.558962E-7
5	3724263818.151243	1.312169	-20.000000	25.835325	-3.030100E-5	5.489380E-12	-4.544450E-7	-4.570886E-7	-4.610939E-7
6	3724263840.011266	1.319947	-20.000000	25.811031	-3.029600E-5	5.491220E-12	-4.582164E-7	-4.605431E-7	-4.632923E-7
7	3724263861.493598	1.343080	-20.000000	25.806849	-3.029300E-5	5.491270E-12	-4.586100E-7	-4.613050E-7	-4.639900E-7
8	3724263882.548134	1.344336	-20.000000	25.804016	-3.029400E-5	5.491210E-12	-4.592584E-7	-4.618920E-7	-4.647669E-7
9	3724263903.620965	1.379315	-20.000000	25.809327	-3.030200E-5	5.491780E-12	-4.602409E-7	-4.637166E-7	-4.675293E-7
10	3724263925.287831	1.347982	-20.000000	25.806849	-3.031400E-5	5.491030E-12	-4.430512E-7	-4.451838E-7	-4.468708E-7
11	3724263947.335286	1.323336	-20.000000	25.811862	-3.030000E-5	5.491100E-12	-4.434369E-7	-4.451905E-7	-4.473519E-7
12	3724263969.359017	1.329862	-20.000000	25.802449	-3.030100E-5	5.492590E-12	-4.426671E-7	-4.446747E-7	-4.465826E-7
13	3724263991.376962	1.353119	-20.000000	25.798961	-3.029100E-5	5.492760E-12	-4.423339E-7	-4.444035E-7	-4.463737E-7
14	3724264013.422023	1.347359	-20.000000	25.805719	-3.028800E-5	5.492450E-12	-4.420668E-7	-4.438683E-7	-4.458124E-7
15	3724264035.728201	1.345974	-20.000000	25.787073	-3.029400E-5	5.492790E-12	-4.387322E-7	-4.406976E-7	-4.422788E-7
16	3724264057.469475	1.327522	-20.000000	25.770029	-3.029500E-5	5.493180E-12	-4.386394E-7	-4.405443E-7	-4.423346E-7
17	3724264079.680551	1.317443	-20.000000	25.773756	-3.029500E-5	5.489960E-12	-4.384915E-7	-4.402442E-7	-4.422290E-7
18	3724264101.696510	1.355937	-20.000000	25.763153	-3.030000E-5	5.490730E-12	-4.378894E-7	-4.398332E-7	-4.416698E-7
19	3724264123.957742	1.354745	-20.000000	25.775896	-3.029800E-5	5.490140E-12	-4.378930E-7	-4.397858E-7	-4.416391E-7
20	3724264145.769687	1.353481	-20.000000	25.772922	-3.028400E-5	5.490200E-12	-4.371127E-7	-4.387916E-7	-4.405804E-7
