#Open Capacitance 1000Hz:4.475470E-12
#Open Capacitance 1000000Hz:Not Measured
#37399_049_PSS_HM_X_Irrad_1100min
#Date/Time: 2/3/2022 12:52:00 PM
#Sensor Name: 37399_049_PSS_HM_X
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: After Alibava Testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3726755590.194613	1.328705	-20.000000	26.305099	-1.496900E-5	-5.077981E-11	8.814290E-11	-2.201441E-7	-2.201416E-7	-2.201454E-7	-2.201427E-7	-2.201435E-7	-2.201434E-7	-2.429500E-6
2	3726755606.726832	1.307927	-20.000000	26.294813	-1.496200E-5	-5.503526E-11	8.814050E-11	-2.180948E-7	-2.180926E-7	-2.181058E-7	-2.181200E-7	-2.181033E-7	-2.181003E-7	-2.433270E-6
3	3726755622.868437	1.314725	-20.000000	26.290156	-1.495900E-5	-5.067962E-11	8.813540E-11	-2.173923E-7	-2.173914E-7	-2.173866E-7	-2.173806E-7	-2.173877E-7	-2.173890E-7	-2.439520E-6
4	3726755638.783920	1.316560	-20.000000	26.277909	-1.495500E-5	-5.323296E-11	8.813660E-11	-2.170033E-7	-2.169992E-7	-2.169907E-7	-2.169775E-7	-2.169927E-7	-2.169949E-7	-2.437971E-6
5	3726755654.929195	1.343460	-20.000000	26.273034	-1.495200E-5	-5.408404E-11	8.813700E-11	-2.166984E-7	-2.166905E-7	-2.166903E-7	-2.166906E-7	-2.166925E-7	-2.166905E-7	-2.437166E-6
6	3726755670.868967	1.319633	-20.000000	26.243527	-1.494600E-5	-5.448457E-11	8.813170E-11	-2.164554E-7	-2.164442E-7	-2.164463E-7	-2.164531E-7	-2.164498E-7	-2.164497E-7	-2.435487E-6
7	3726755686.632273	1.329899	-20.000000	26.244361	-1.494300E-5	-5.563603E-11	8.812990E-11	-2.162840E-7	-2.162870E-7	-2.162947E-7	-2.163020E-7	-2.162919E-7	-2.162908E-7	-2.438346E-6
8	3726755702.812434	1.322113	-20.000000	26.255379	-1.494300E-5	-5.133050E-11	8.812680E-11	-2.161612E-7	-2.161636E-7	-2.161702E-7	-2.161743E-7	-2.161673E-7	-2.161669E-7	-2.436727E-6
9	3726755718.732598	1.274740	-20.000000	26.259442	-1.493900E-5	-5.092997E-11	8.812550E-11	-2.159698E-7	-2.159650E-7	-2.159578E-7	-2.159612E-7	-2.159635E-7	-2.159631E-7	-2.434701E-6
10	3726755735.181020	1.296220	-20.000000	26.271766	-1.494400E-5	-5.233178E-11	8.812880E-11	-2.158383E-7	-2.158303E-7	-2.158262E-7	-2.158063E-7	-2.158253E-7	-2.158282E-7	-2.435200E-6
11	3726755750.958518	1.309627	-20.000000	26.268299	-1.494200E-5	-5.082983E-11	8.811770E-11	-2.156132E-7	-2.156133E-7	-2.156243E-7	-2.156272E-7	-2.156195E-7	-2.156188E-7	-2.437642E-6
12	3726755767.057874	1.306249	-20.000000	26.270914	-1.494000E-5	-5.173098E-11	8.811770E-11	-2.154408E-7	-2.154488E-7	-2.154519E-7	-2.154501E-7	-2.154479E-7	-2.154495E-7	-2.431365E-6
13	3726755782.882990	1.316839	-20.000000	26.260512	-1.493900E-5	-5.518548E-11	8.811730E-11	-2.152429E-7	-2.152434E-7	-2.152436E-7	-2.152427E-7	-2.152432E-7	-2.152432E-7	-2.432168E-6
14	3726755799.115534	1.303517	-20.000000	26.260234	-1.493400E-5	-5.158085E-11	8.810920E-11	-2.150953E-7	-2.150898E-7	-2.150830E-7	-2.150803E-7	-2.150871E-7	-2.150864E-7	-2.432637E-6
15	3726755815.059360	1.307522	-20.000000	26.256112	-1.493500E-5	-5.012892E-11	8.811210E-11	-2.149143E-7	-2.149092E-7	-2.149194E-7	-2.149317E-7	-2.149186E-7	-2.149168E-7	-2.429856E-6
16	3726755831.411376	1.341475	-20.000000	26.251177	-1.493600E-5	-5.738828E-11	8.810810E-11	-2.147520E-7	-2.147449E-7	-2.147458E-7	-2.147515E-7	-2.147485E-7	-2.147487E-7	-2.433702E-6
17	3726755847.162922	1.323566	-20.000000	26.236117	-1.492900E-5	-5.433439E-11	8.810250E-11	-2.146419E-7	-2.146339E-7	-2.146343E-7	-2.146353E-7	-2.146363E-7	-2.146348E-7	-2.430923E-6
18	3726755863.385098	1.299648	-20.000000	26.221631	-1.493400E-5	-5.348326E-11	8.810240E-11	-2.144959E-7	-2.144879E-7	-2.144848E-7	-2.144906E-7	-2.144898E-7	-2.144892E-7	-2.436178E-6
19	3726755879.511554	1.278930	-20.000000	26.207561	-1.492900E-5	-5.568606E-11	8.809510E-11	-2.142738E-7	-2.142706E-7	-2.142719E-7	-2.142724E-7	-2.142722E-7	-2.142721E-7	-2.430104E-6
20	3726755895.281714	1.297883	-20.000000	26.219132	-1.492500E-5	-5.017902E-11	8.809590E-11	-2.139895E-7	-2.139861E-7	-2.139916E-7	-2.139993E-7	-2.139916E-7	-2.139906E-7	-2.431630E-6
21	3726755911.642318	1.292640	-20.000000	26.212595	-1.492400E-5	-5.098005E-11	8.808990E-11	-2.139756E-7	-2.139718E-7	-2.139745E-7	-2.139811E-7	-2.139758E-7	-2.139751E-7	-2.430789E-6
22	3726755927.574684	1.284113	-20.000000	26.206431	-1.491800E-5	-5.087991E-11	8.808930E-11	-2.135688E-7	-2.135597E-7	-2.135634E-7	-2.135702E-7	-2.135655E-7	-2.135661E-7	-2.432191E-6
23	3726755943.452516	1.273183	-20.000000	26.192361	-1.491200E-5	-5.478491E-11	8.808620E-11	-2.133008E-7	-2.132910E-7	-2.132932E-7	-2.132933E-7	-2.132946E-7	-2.132933E-7	-2.431027E-6
24	3726755959.582457	1.291818	-20.000000	26.191153	-1.490900E-5	-5.408403E-11	8.808310E-11	-2.131764E-7	-2.131590E-7	-2.131475E-7	-2.131287E-7	-2.131529E-7	-2.131533E-7	-2.431934E-6
25	3726755975.446402	1.295118	-20.000000	26.186158	-1.491000E-5	-5.388377E-11	8.808710E-11	-2.130811E-7	-2.130787E-7	-2.130787E-7	-2.130787E-7	-2.130793E-7	-2.130787E-7	-2.426727E-6
26	3726755991.597390	1.292462	-20.000000	26.168325	-1.491200E-5	-5.308275E-11	8.808210E-11	-2.128348E-7	-2.128371E-7	-2.128453E-7	-2.128419E-7	-2.128398E-7	-2.128395E-7	-2.430670E-6
27	3726756007.529194	1.284929	-20.000000	26.164143	-1.491000E-5	-5.263218E-11	8.807710E-11	-2.126315E-7	-2.126277E-7	-2.126318E-7	-2.126410E-7	-2.126330E-7	-2.126317E-7	-2.429020E-6
28	3726756023.570618	1.288976	-20.000000	26.173299	-1.490500E-5	-5.153078E-11	8.807290E-11	-2.125061E-7	-2.125094E-7	-2.125040E-7	-2.125010E-7	-2.125051E-7	-2.125051E-7	-2.432222E-6
29	3726756039.633199	1.291378	-20.000000	26.166442	-1.490500E-5	-5.233177E-11	8.807160E-11	-2.123020E-7	-2.122978E-7	-2.122930E-7	-2.122946E-7	-2.122968E-7	-2.122962E-7	-2.437655E-6
30	3726756055.653713	1.283994	-20.000000	26.157029	-1.490700E-5	-5.518546E-11	8.807140E-11	-2.121370E-7	-2.121353E-7	-2.121235E-7	-2.121118E-7	-2.121269E-7	-2.121294E-7	-2.434416E-6
31	3726756071.699748	1.282410	-20.000000	26.151044	-1.491100E-5	-5.002880E-11	8.806530E-11	-2.120041E-7	-2.120052E-7	-2.120062E-7	-2.120073E-7	-2.120057E-7	-2.120057E-7	-2.437356E-6
32	3726756087.902106	1.294192	-20.000000	26.154392	-1.490800E-5	-4.877722E-11	8.806680E-11	-2.117602E-7	-2.117494E-7	-2.117563E-7	-2.117637E-7	-2.117574E-7	-2.117582E-7	-2.438888E-6
33	3726756103.855059	1.298826	-20.000000	26.156849	-1.490700E-5	-5.603654E-11	8.806000E-11	-2.115953E-7	-2.115983E-7	-2.116052E-7	-2.116084E-7	-2.116018E-7	-2.116018E-7	-2.435749E-6
34	3726756119.943013	1.288182	-20.000000	26.152927	-1.489900E-5	-5.428429E-11	8.806480E-11	-2.113755E-7	-2.113821E-7	-2.113943E-7	-2.114068E-7	-2.113897E-7	-2.113882E-7	-2.436057E-6
35	3726756135.875386	1.290064	-20.000000	26.146982	-1.489900E-5	-5.333309E-11	8.806210E-11	-2.111805E-7	-2.111769E-7	-2.111859E-7	-2.111838E-7	-2.111818E-7	-2.111822E-7	-2.434013E-6
36	3726756152.048357	1.294227	-20.000000	26.140818	-1.489700E-5	-5.473486E-11	8.806210E-11	-2.110185E-7	-2.110051E-7	-2.109959E-7	-2.109852E-7	-2.110012E-7	-2.110005E-7	-2.433183E-6
37	3726756168.025149	1.287676	-20.000000	26.150429	-1.489900E-5	-5.012896E-11	8.805530E-11	-2.108475E-7	-2.108478E-7	-2.108506E-7	-2.108698E-7	-2.108539E-7	-2.108492E-7	-2.434983E-6
38	3726756184.214250	1.277917	-20.000000	26.139670	-1.490000E-5	-5.072973E-11	8.805530E-11	-2.108114E-7	-2.108002E-7	-2.107902E-7	-2.107800E-7	-2.107954E-7	-2.107952E-7	-2.430261E-6
39	3726756200.158685	1.267361	-20.000000	26.129782	-1.489400E-5	-5.353335E-11	8.805380E-11	-2.105915E-7	-2.105810E-7	-2.105734E-7	-2.105730E-7	-2.105797E-7	-2.105772E-7	-2.432908E-6
40	3726756216.354899	1.279171	-20.000000	26.128335	-1.489300E-5	-5.067965E-11	8.805330E-11	-2.103199E-7	-2.103100E-7	-2.103027E-7	-2.102966E-7	-2.103073E-7	-2.103064E-7	-2.430639E-6
41	3726756232.261239	1.279275	-20.000000	26.127600	-1.488700E-5	-5.408401E-11	8.804660E-11	-2.101097E-7	-2.100983E-7	-2.100865E-7	-2.100806E-7	-2.100938E-7	-2.100924E-7	-2.431763E-6
42	3726756248.304627	1.266486	-20.000000	26.131010	-1.488300E-5	-5.253204E-11	8.804340E-11	-2.099216E-7	-2.099167E-7	-2.099088E-7	-2.099041E-7	-2.099128E-7	-2.099128E-7	-2.437218E-6
43	3726756264.335783	1.281964	-20.000000	26.125818	-1.488100E-5	-5.358339E-11	8.803970E-11	-2.097306E-7	-2.097305E-7	-2.097304E-7	-2.097314E-7	-2.097307E-7	-2.097305E-7	-2.438378E-6
44	3726756280.351072	1.285068	-20.000000	26.122249	-1.487800E-5	-5.163091E-11	8.804440E-11	-2.096205E-7	-2.096045E-7	-2.095879E-7	-2.095787E-7	-2.095979E-7	-2.095962E-7	-2.439381E-6
45	3726756296.667310	1.288118	-20.000000	26.115255	-1.488000E-5	-5.248200E-11	8.804120E-11	-2.094300E-7	-2.094229E-7	-2.094170E-7	-2.094148E-7	-2.094212E-7	-2.094200E-7	-2.438295E-6
46	3726756312.532428	1.272695	-20.000000	26.112343	-1.488000E-5	-5.483500E-11	8.803960E-11	-2.092800E-7	-2.092730E-7	-2.092723E-7	-2.092680E-7	-2.092733E-7	-2.092726E-7	-2.438298E-6
47	3726756328.473947	1.263062	-20.000000	26.107823	-1.488100E-5	-4.972844E-11	8.803490E-11	-2.091852E-7	-2.091671E-7	-2.091483E-7	-2.091363E-7	-2.091592E-7	-2.091577E-7	-2.440574E-6
48	3726756344.504574	1.283432	-20.000000	26.098073	-1.487700E-5	-5.333306E-11	8.803620E-11	-2.090124E-7	-2.090194E-7	-2.090204E-7	-2.090243E-7	-2.090191E-7	-2.090199E-7	-2.435704E-6
