GCD Test
Bias: 5000.000000
IV_34252_008_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 5/28/2021 5:38:48 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated, Annealed for 80 min at 60C
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.094469E-7	-3.088008E-7	-3.103429E-7	-3.090551E-7	-3.095887E-7	  -20.8782	   11.1797	    3.6954	  -30.2849	
  -20.0000	-4.188402E-7	-4.190163E-7	-4.179394E-7	-4.191421E-7	-4.192630E-7	  -20.8782	   11.1570	    3.6553	  -30.4153	
  -30.0000	-5.022861E-7	-5.020926E-7	-5.019085E-7	-5.040785E-7	-5.010646E-7	  -20.8782	   11.1570	    3.6553	  -30.4153	
  -40.0000	-5.719467E-7	-5.714540E-7	-5.718264E-7	-5.716682E-7	-5.728382E-7	  -20.8884	   11.0720	    3.6139	  -30.5936	
  -50.0000	-6.313206E-7	-6.303482E-7	-6.321248E-7	-6.310239E-7	-6.317857E-7	  -20.8731	   11.0743	    3.5870	  -30.6701	
  -60.0000	-6.837503E-7	-6.822882E-7	-6.847939E-7	-6.834622E-7	-6.844569E-7	  -20.8731	   11.0743	    3.5870	  -30.6701	
  -70.0000	-7.324186E-7	-7.345864E-7	-7.321047E-7	-7.296307E-7	-7.333525E-7	  -20.8680	   11.0984	    3.5376	  -30.7980	
  -80.0000	-7.806986E-7	-7.822491E-7	-7.802637E-7	-7.794687E-7	-7.808128E-7	  -20.8579	   11.1425	    3.5149	  -30.8348	
  -90.0000	-8.180790E-7	-8.201112E-7	-8.199185E-7	-8.157311E-7	-8.165551E-7	  -20.8477	   11.0969	    3.4829	  -30.9616	
 -100.0000	-8.514356E-7	-8.521711E-7	-8.507990E-7	-8.521437E-7	-8.506285E-7	  -20.8477	   11.0969	    3.4829	  -30.9616	
 -110.0000	-8.948596E-7	-8.952858E-7	-8.958822E-7	-8.947025E-7	-8.935678E-7	  -20.8248	   11.0969	    3.4355	  -31.1043	
 -120.0000	-9.277968E-7	-9.276129E-7	-9.289917E-7	-9.263731E-7	-9.282095E-7	  -20.8121	   11.1427	    3.4089	  -31.1534	
 -130.0000	-9.652021E-7	-9.658893E-7	-9.696575E-7	-9.638361E-7	-9.614254E-7	  -20.8121	   11.1427	    3.4089	  -31.1534	
 -140.0000	-9.945310E-7	-9.969564E-7	-9.968885E-7	-9.937364E-7	-9.905425E-7	  -20.7663	   11.1152	    3.3820	  -31.2548	
 -150.0000	-1.021493E-6	-1.020255E-6	-1.023347E-6	-1.021471E-6	-1.020899E-6	  -20.7460	   11.0604	    3.3520	  -31.3852	
 -160.0000	-1.057628E-6	-1.055426E-6	-1.054087E-6	-1.062708E-6	-1.058292E-6	  -20.6951	   11.0999	    3.2995	  -31.5217	
 -170.0000	-1.086647E-6	-1.087654E-6	-1.085422E-6	-1.084198E-6	-1.089312E-6	  -20.6951	   11.0999	    3.2995	  -31.5217	
 -180.0000	-1.110876E-6	-1.113946E-6	-1.110663E-6	-1.108390E-6	-1.110504E-6	  -20.6722	   11.0536	    3.2843	  -31.6013	
