TestBoard_R2
Date/Time: 6/24/2021 11:16:34 AM
Sensor Name: 34252_004_PSS_HM_XX
Type: Type
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-9.9998E-7	-9.9997E-7	-9.9998E-7	-9.9999E-7	-9.9998E-7	    0.0000	    0.0000	    0.0000	    0.0000	
  -10.0000	-9.9998E-7	-9.9997E-7	-9.9999E-7	-9.9998E-7	-9.9998E-7	    0.0000	    0.0000	    0.0000	    0.0000	
  -15.0000	-9.9998E-7	-9.9998E-7	-9.9998E-7	-9.9997E-7	-9.9999E-7	    0.0000	    0.0000	    0.0000	    0.0000	
  -20.0000	-2.2658E-7	-1.3768E-7	-6.5724E-7	-1.0064E-7	-1.0750E-8	    0.0000	    0.0000	    0.0000	    0.0000	
  -25.0000	-6.7076E-9	-5.6587E-9	-6.3327E-9	-7.3132E-9	-7.5260E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -30.0000	-3.4718E-9	-3.1062E-9	-3.4877E-9	-3.7727E-9	-3.5205E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -35.0000	-3.5196E-9	-3.2741E-9	-3.2028E-9	-3.7004E-9	-3.9013E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -40.0000	-3.8334E-9	-3.3229E-9	-4.0182E-9	-4.1120E-9	-3.8806E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -45.0000	-3.9557E-9	-4.0243E-9	-3.5174E-9	-4.0413E-9	-4.2399E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -50.0000	-3.9575E-9	-3.6140E-9	-4.1241E-9	-4.2055E-9	-3.8862E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -55.0000	-3.9847E-9	-4.0667E-9	-3.6411E-9	-4.0984E-9	-4.1324E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -60.0000	-4.0967E-9	-3.8604E-9	-4.3989E-9	-3.8547E-9	-4.2728E-9	    0.0000	    0.0000	    0.0000	    0.0000	
  -65.0000	-4.0327E-9	-3.9721E-9	-3.7771E-9	-4.5499E-9	-3.8316E-9	    0.0000	    0.0000	    0.0000	    0.0000	
