#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.345810E-12
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava_Interstrip
#Date/Time: 6/3/2021 12:09:34 PM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3705581441.317931	2.899721	-20.000000	24.424086	-1.566500E-5	5.344420E-12	-2.215313E-7	-2.215313E-7	-2.226054E-7	-2.231055E-7	-2.230920E-7	-2.236502E-7
2	3705581474.161994	2.848721	-20.000000	24.410987	-1.567600E-5	5.408710E-12	-2.214287E-7	-2.215531E-7	-2.222924E-7	-2.235390E-7	-2.225766E-7	-2.236777E-7
3	3705581506.093302	2.876447	-20.000000	24.411403	-1.566700E-5	5.429990E-12	-2.214992E-7	-2.215339E-7	-2.217401E-7	-2.230282E-7	-2.226326E-7	-2.233760E-7
4	3705581538.008735	2.854882	-20.000000	24.402940	-1.566100E-5	4.663090E-12	-2.220448E-7	-2.229026E-7	-2.223547E-7	-2.221071E-7	-2.233555E-7	-2.238368E-7
5	3705581569.991899	3.031005	-20.000000	24.393766	-1.563800E-5	4.528100E-12	-2.069294E-7	-2.228612E-7	-2.227595E-7	-2.235424E-7	-2.140804E-7	-2.165466E-7
6	3705581602.119145	2.768583	-20.000000	24.398543	-1.564200E-5	5.438820E-12	-1.138467E-7	-1.162171E-7	-2.199213E-7	-2.193817E-7	-2.221686E-7	-1.398490E-7
7	3705581634.967033	2.888067	-20.000000	24.386790	-1.567500E-5	4.543150E-12	-2.221097E-7	-2.072017E-7	-2.116201E-7	-2.223726E-7	-2.241823E-7	-2.238432E-7
8	3705581667.163352	3.017745	-20.000000	24.384948	-1.563100E-5	5.441930E-12	-2.221282E-7	-2.219643E-7	-2.224686E-7	-2.222209E-7	-2.228011E-7	-2.237033E-7
9	3705581699.171454	2.823753	-20.000000	24.391527	-1.565100E-5	5.402530E-12	-2.215949E-7	-2.221174E-7	-2.225525E-7	-2.227453E-7	-2.228247E-7	-2.235473E-7
10	3705581731.164717	2.986578	-20.000000	24.369392	-1.563000E-5	4.500440E-12	-2.215570E-7	-8.491200E-8	-5.896274E-8	-7.936185E-8	-2.235814E-7	-2.232923E-7
11	3705581763.715450	2.964280	-20.000000	24.357265	-1.567700E-5	4.502330E-12	-1.399402E-7	-9.644446E-8	-1.015757E-7	-9.472510E-8	-8.121246E-8	-8.208688E-8
12	3705581796.503174	2.926559	-20.000000	24.369213	-1.552400E-5	5.444500E-12	-2.032211E-7	-1.238099E-7	-2.139881E-7	-2.219835E-7	-1.308007E-7	-1.430252E-7
13	3705581829.280184	2.911646	-20.000000	24.363644	-1.567200E-5	4.488380E-12	-1.491116E-7	-1.582414E-7	-2.057870E-7	-2.060263E-7	-1.774198E-7	-1.296834E-7
14	3705581861.714903	2.850463	-20.000000	24.359423	-1.559800E-5	5.445950E-12	-2.214478E-7	-2.221279E-7	-2.232663E-7	-2.219968E-7	-2.224248E-7	-1.431411E-7
15	3705581894.327725	3.004695	-20.000000	24.348940	-1.560700E-5	4.506210E-12	-1.928717E-7	-1.818932E-7	-2.005609E-7	-2.013707E-7	-2.230068E-7	-2.232799E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.345130E-12
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava_Interstrip
#Date/Time: 6/3/2021 12:20:30 PM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
3	3705582097.633646	2.955275	-20.000000	24.308296	-1.561200E-5	5.436970E-12	-2.201197E-7	-2.201197E-7	-2.212210E-7	-2.211804E-7	-2.216352E-7	-2.221991E-7
4	3705582130.400869	2.921766	-20.000000	24.305304	-1.562000E-5	5.444290E-12	-2.210151E-7	-2.215111E-7	-2.208725E-7	-2.224426E-7	-2.224736E-7	-2.230375E-7
5	3705582162.563867	3.124886	-20.000000	24.285727	-1.551900E-5	5.449000E-12	-2.214943E-7	-2.208289E-7	-2.221155E-7	-2.226560E-7	-2.223330E-7	-2.229503E-7
6	3705582194.386674	3.104619	-20.000000	24.281842	-1.558500E-5	5.449140E-12	-2.211962E-7	-2.212918E-7	-2.224032E-7	-2.225042E-7	-2.222206E-7	-2.220937E-7
7	3705582226.439661	3.063637	-20.000000	24.269753	-1.559700E-5	5.450530E-12	-2.216894E-7	-2.220533E-7	-2.214821E-7	-2.223599E-7	-2.229274E-7	-2.233609E-7
8	3705582258.453001	3.038799	-20.000000	24.276055	-1.556700E-5	5.451610E-12	-2.211949E-7	-2.216798E-7	-2.214834E-7	-2.222273E-7	-2.219945E-7	-2.226607E-7
9	3705582290.467326	2.922258	-20.000000	24.266106	-1.549300E-5	5.450400E-12	-2.210380E-7	-2.224463E-7	-2.212388E-7	-2.218676E-7	-2.226493E-7	-2.231266E-7
10	3705582322.513838	3.019562	-20.000000	24.255190	-1.556600E-5	5.451220E-12	-2.209423E-7	-2.218214E-7	-2.223572E-7	-2.211088E-7	-2.225320E-7	-2.229782E-7
11	3705582354.528265	2.940821	-20.000000	24.261808	-1.553600E-5	5.451580E-12	-2.206591E-7	-2.218062E-7	-2.220095E-7	-2.209352E-7	-2.218955E-7	-2.219179E-7
12	3705582386.940339	3.022901	-20.000000	24.257488	-1.552300E-5	5.451750E-12	-2.209141E-7	-2.214951E-7	-2.212470E-7	-2.222870E-7	-2.230835E-7	-2.225288E-7
13	3705582419.871496	3.079031	-20.000000	24.254891	-1.546900E-5	5.452450E-12	-2.216171E-7	-2.217050E-7	-2.207966E-7	-2.215381E-7	-2.221712E-7	-2.226719E-7
14	3705582451.605485	3.044848	-20.000000	24.244647	-1.559300E-5	5.451920E-12	-2.206692E-7	-2.218242E-7	-2.218181E-7	-2.221119E-7	-2.225262E-7	-2.224300E-7
15	3705582483.620879	3.185641	-20.000000	24.228616	-1.553000E-5	5.451300E-12	-2.214045E-7	-2.207961E-7	-2.216100E-7	-2.221138E-7	-2.229396E-7	-2.229316E-7
16	3705582516.064150	3.008922	-20.000000	24.232340	-1.552300E-5	5.449890E-12	-2.212343E-7	-2.212542E-7	-2.209549E-7	-2.227035E-7	-2.223314E-7	-2.225442E-7
17	3705582548.935111	3.125910	-20.000000	24.219499	-1.550500E-5	5.452320E-12	-2.215815E-7	-2.213902E-7	-2.224600E-7	-2.225847E-7	-2.227670E-7	-2.231096E-7
18	3705582580.915282	2.938155	-20.000000	24.218132	-1.553400E-5	5.451850E-12	-2.208978E-7	-2.218259E-7	-2.222705E-7	-2.216079E-7	-2.220678E-7	-2.227351E-7
19	3705582612.778923	2.925695	-20.000000	24.235431	-1.553200E-5	5.450020E-12	-2.219601E-7	-2.217886E-7	-2.215737E-7	-2.223543E-7	-2.220904E-7	-2.215303E-7
20	3705582645.207263	2.918668	-20.000000	24.211413	-1.547400E-5	5.450660E-12	-2.216527E-7	-2.218294E-7	-2.207349E-7	-2.217999E-7	-2.217659E-7	-2.226818E-7
21	3705582678.101707	3.074688	-20.000000	24.205013	-1.545100E-5	5.450730E-12	-2.206054E-7	-2.207212E-7	-2.223815E-7	-2.212383E-7	-2.223971E-7	-2.225961E-7
