34253_037_PSS_XX_HM_IrradSensor
Date/Time: 5/27/2021 2:47:54 PM
Sensor Name: 34253_037_PSS_XX_HM_IrradSensor
Type: P
Annealing Status: 1100 minutes
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at 1.1e15 at RINSC.  Annealed in Alibava

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-4.0000E-8	-4.0000E-8	-4.0000E-8	-4.0000E-8	-4.0000E-8	  -19.9000	   26.4617	    1.8475	    0.0000	
  -20.0000	-7.2000E-7	-7.2000E-7	-7.2000E-7	-7.2000E-7	-7.2000E-7	  -19.9000	   26.4617	    1.8475	    0.0000	
  -30.0000	-1.8400E-6	-1.8400E-6	-1.8400E-6	-1.8400E-6	-1.8400E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -40.0000	-2.4700E-6	-2.4700E-6	-2.4700E-6	-2.4700E-6	-2.4700E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -50.0000	-2.7300E-6	-2.7300E-6	-2.7300E-6	-2.7300E-6	-2.7300E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -60.0000	-2.9800E-6	-2.9800E-6	-2.9800E-6	-2.9800E-6	-2.9800E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -70.0000	-3.2100E-6	-3.2100E-6	-3.2100E-6	-3.2100E-6	-3.2100E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -80.0000	-3.4300E-6	-3.4300E-6	-3.4300E-6	-3.4300E-6	-3.4300E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
  -90.0000	-3.6500E-6	-3.6500E-6	-3.6500E-6	-3.6500E-6	-3.6500E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -100.0000	-3.8600E-6	-3.8600E-6	-3.8600E-6	-3.8600E-6	-3.8600E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -110.0000	-4.0700E-6	-4.0700E-6	-4.0700E-6	-4.0700E-6	-4.0700E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -120.0000	-4.2700E-6	-4.2700E-6	-4.2700E-6	-4.2700E-6	-4.2700E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -130.0000	-4.4700E-6	-4.4700E-6	-4.4700E-6	-4.4700E-6	-4.4700E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -140.0000	-4.6600E-6	-4.6600E-6	-4.6600E-6	-4.6600E-6	-4.6600E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -150.0000	-4.8600E-6	-4.8600E-6	-4.8600E-6	-4.8600E-6	-4.8600E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -160.0000	-5.0500E-6	-5.0500E-6	-5.0500E-6	-5.0500E-6	-5.0500E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -170.0000	-5.2400E-6	-5.2400E-6	-5.2400E-6	-5.2400E-6	-5.2400E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -180.0000	-5.4400E-6	-5.4400E-6	-5.4400E-6	-5.4400E-6	-5.4400E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -190.0000	-5.6200E-6	-5.6200E-6	-5.6200E-6	-5.6200E-6	-5.6200E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -200.0000	-5.8200E-6	-5.8200E-6	-5.8200E-6	-5.8200E-6	-5.8200E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -210.0000	-6.0100E-6	-6.0100E-6	-6.0100E-6	-6.0100E-6	-6.0100E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -220.0000	-6.2100E-6	-6.2100E-6	-6.2100E-6	-6.2100E-6	-6.2100E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -230.0000	-6.3900E-6	-6.3900E-6	-6.3900E-6	-6.3900E-6	-6.3900E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -240.0000	-6.5900E-6	-6.5900E-6	-6.5900E-6	-6.5900E-6	-6.5900E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
 -250.0000	-6.7800E-6	-6.7800E-6	-6.7800E-6	-6.7800E-6	-6.7800E-6	  -19.9000	   26.4617	    1.8475	    0.0000	
