GCD Test
Bias: 5000.000000
CV_34254_025_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 5/14/2021 3:27:07 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated, Second Step of Annealing
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.139E-12	3.751E-12	7.120E+7	6.546E+7	  -20.0211	   10.5851	    3.6739	  -30.7598	
  -20.0000	3.464E-12	3.745E-12	9.521E+7	7.847E+7	  -20.0109	   10.5367	    3.6765	  -30.7863	
  -30.0000	3.614E-12	3.742E-12	1.163E+8	8.733E+7	  -19.9931	   10.5500	    3.6856	  -30.7510	
  -40.0000	3.681E-12	3.741E-12	1.323E+8	9.401E+7	  -19.9855	   10.5332	    3.6641	  -30.8238	
  -50.0000	3.747E-12	3.740E-12	1.571E+8	1.005E+8	  -19.9779	   10.5532	    3.6594	  -30.8234	
  -60.0000	3.783E-12	3.740E-12	1.777E+8	1.068E+8	  -19.9626	   10.5666	    3.6616	  -30.8078	
  -70.0000	3.792E-12	3.740E-12	1.902E+8	1.108E+8	  -19.9575	   10.5693	    3.6278	  -30.9028	
  -80.0000	3.800E-12	3.740E-12	2.161E+8	1.162E+8	  -19.9473	   10.5383	    3.6230	  -30.9379	
  -90.0000	3.815E-12	3.740E-12	2.369E+8	1.203E+8	  -19.9372	   10.5104	    3.6300	  -30.9373	
 -100.0000	3.823E-12	3.739E-12	2.565E+8	1.242E+8	  -19.9397	   10.5079	    3.6268	  -30.9482	
 -110.0000	3.834E-12	3.740E-12	2.673E+8	1.279E+8	  -19.9397	   10.5457	    3.6113	  -30.9665	
 -120.0000	3.838E-12	3.753E-12	2.944E+8	1.258E+8	  -19.9270	   10.5463	    3.5803	  -31.0558	
 -130.0000	3.843E-12	3.753E-12	3.172E+8	1.287E+8	  -19.9219	   10.5447	    3.5689	  -31.0901	
 -140.0000	3.848E-12	3.753E-12	3.391E+8	1.313E+8	  -19.9168	   10.5104	    3.5234	  -31.2474	
 -150.0000	3.843E-12	3.753E-12	3.324E+8	1.338E+8	  -19.9219	   10.5451	    3.5120	  -31.2570	
 -160.0000	3.843E-12	3.752E-12	3.597E+8	1.355E+8	  -19.9168	   10.5019	    3.4959	  -31.3347	
 -170.0000	3.822E-12	3.751E-12	3.632E+8	1.396E+8	  -19.9219	   10.4887	    3.4624	  -31.4439	
 -180.0000	3.839E-12	3.751E-12	3.971E+8	1.416E+8	  -19.9245	   10.5031	    3.4424	  -31.4938	
 -190.0000	3.830E-12	3.750E-12	4.114E+8	1.431E+8	  -19.9270	   10.5031	    3.4377	  -31.5081	
 -200.0000	3.825E-12	3.750E-12	3.974E+8	1.456E+8	  -19.9321	   10.5036	    3.4203	  -31.5603	
 -210.0000	3.834E-12	3.750E-12	4.351E+8	1.472E+8	  -19.9397	   10.5288	    3.4013	  -31.6005	
 -220.0000	3.829E-12	3.749E-12	4.246E+8	1.488E+8	  -19.9372	   10.5001	    3.3839	  -31.6734	
 -230.0000	3.826E-12	3.749E-12	4.442E+8	1.505E+8	  -19.9448	   10.5333	    3.3956	  -31.6148	
 -240.0000	3.824E-12	3.749E-12	4.435E+8	1.532E+8	  -19.9575	   10.5428	    3.3937	  -31.6140	
 -250.0000	3.820E-12	3.749E-12	4.643E+8	1.547E+8	  -19.9626	   10.5418	    3.3865	  -31.6368	
 -260.0000	3.833E-12	3.748E-12	4.745E+8	1.569E+8	  -19.9652	   10.5474	    3.3713	  -31.6795	
 -270.0000	3.832E-12	3.748E-12	4.945E+8	1.578E+8	  -19.9728	   10.5462	    3.3441	  -31.7641	
 -280.0000	3.831E-12	3.748E-12	5.229E+8	1.597E+8	  -19.9830	   10.5470	    3.3286	  -31.8116	
 -290.0000	3.823E-12	3.747E-12	5.207E+8	1.616E+8	  -19.9880	   10.5470	    3.3245	  -31.8244	
 -300.0000	3.818E-12	3.747E-12	5.051E+8	1.644E+8	  -19.9855	   10.5420	    3.3106	  -31.8711	
 -310.0000	3.815E-12	3.746E-12	5.147E+8	1.652E+8	  -19.9982	   10.4910	    3.3071	  -31.9171	
 -320.0000	3.825E-12	3.747E-12	5.397E+8	1.676E+8	  -19.9982	   10.4965	    3.3027	  -31.9272	
 -330.0000	3.812E-12	3.746E-12	5.338E+8	1.687E+8	  -20.0059	   10.5028	    3.3074	  -31.9080	
 -340.0000	3.828E-12	3.746E-12	5.848E+8	1.707E+8	  -20.0186	   10.4858	    3.3011	  -31.9395	
 -350.0000	3.820E-12	3.745E-12	5.548E+8	1.732E+8	  -20.0287	   10.4705	    3.2973	  -31.9619	
 -360.0000	3.819E-12	3.745E-12	5.984E+8	1.751E+8	  -20.0389	   10.4599	    3.3042	  -31.9474	
 -370.0000	3.818E-12	3.745E-12	5.980E+8	1.757E+8	  -20.0338	   10.4833	    3.3102	  -31.9126	
 -380.0000	3.806E-12	3.745E-12	6.058E+8	1.781E+8	  -20.0287	   10.5256	    3.3264	  -31.8332	
