GCD Test
Bias: 5000.000000
CV_34343_036_PSS_HM_XX_DIODE_Irradiated
Date/Time: 9/30/2021 4:38:57 PM
Sensor Name: 34343_036_DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.674E-11	5.054E-12	2.394E+6	1.494E+6	  -20.2984	   16.3948	    5.4921	  -22.2789	
  -20.0000	3.575E-11	5.240E-12	3.136E+6	1.665E+6	  -20.2856	   16.3235	    5.4586	  -22.3994	
  -30.0000	3.333E-11	5.392E-12	3.775E+6	1.802E+6	  -20.2780	   16.2797	    5.4719	  -22.4035	
  -40.0000	3.131E-11	5.549E-12	4.375E+6	1.909E+6	  -20.2704	   16.2797	    5.4782	  -22.3904	
  -50.0000	2.941E-11	5.658E-12	4.998E+6	2.004E+6	  -20.2577	   16.2201	    5.5164	  -22.3547	
  -60.0000	2.794E-11	5.744E-12	5.620E+6	2.082E+6	  -20.2424	   16.2552	    5.5316	  -22.2984	
  -70.0000	2.687E-11	5.817E-12	6.184E+6	2.157E+6	  -20.2246	   16.1879	    5.5386	  -22.3326	
  -80.0000	2.588E-11	5.874E-12	6.724E+6	2.230E+6	  -20.2068	   16.1050	    5.5522	  -22.3647	
  -90.0000	2.493E-11	5.917E-12	7.245E+6	2.308E+6	  -20.1814	   16.1918	    5.5689	  -22.2680	
 -100.0000	2.406E-11	5.970E-12	7.755E+6	2.368E+6	  -20.1763	   16.1580	    5.5636	  -22.3033	
 -110.0000	2.342E-11	6.012E-12	8.210E+6	2.430E+6	  -20.1661	   16.1393	    5.5427	  -22.3592	
 -120.0000	2.280E-11	6.068E-12	8.685E+6	2.475E+6	  -20.1407	   16.1014	    5.5234	  -22.4260	
 -130.0000	2.225E-11	6.107E-12	9.125E+6	2.519E+6	  -20.1229	   16.0853	    5.5218	  -22.4408	
 -140.0000	2.169E-11	6.129E-12	9.558E+6	2.578E+6	  -20.1127	   16.0753	    5.5259	  -22.4396	
 -150.0000	2.124E-11	6.158E-12	9.965E+6	2.626E+6	  -20.0771	   16.0381	    5.5035	  -22.5124	
 -160.0000	2.073E-11	6.163E-12	1.039E+7	2.695E+6	  -20.0618	   16.0699	    5.5098	  -22.4765	
 -170.0000	2.031E-11	6.187E-12	1.080E+7	2.744E+6	  -20.0491	   16.0835	    5.4978	  -22.4914	
 -180.0000	1.992E-11	6.214E-12	1.120E+7	2.787E+6	  -20.0262	   16.0899	    5.4858	  -22.5115	
 -190.0000	1.950E-11	6.248E-12	1.163E+7	2.839E+6	  -20.0135	   16.0664	    5.4886	  -22.5225	
 -200.0000	1.912E-11	6.252E-12	1.205E+7	2.904E+6	  -19.9982	   16.0664	    5.4826	  -22.5349	
 -210.0000	1.875E-11	6.264E-12	1.249E+7	2.963E+6	  -19.9779	   16.0473	    5.4712	  -22.5532	
 -220.0000	1.834E-11	6.255E-12	1.296E+7	3.025E+6	  -19.9601	   15.9671	    5.4494	  -22.6749	
 -230.0000	1.795E-11	6.271E-12	1.346E+7	3.074E+6	  -19.9499	   15.8639	    5.4507	  -22.7465	
 -240.0000	1.764E-11	6.286E-12	1.395E+7	3.134E+6	  -19.9448	   15.9279	    5.4617	  -22.6776	
 -250.0000	1.730E-11	6.300E-12	1.447E+7	3.198E+6	  -19.9194	   15.9483	    5.4715	  -22.6427	
 -260.0000	1.696E-11	6.304E-12	1.503E+7	3.272E+6	  -19.9168	   15.8994	    5.4576	  -22.7066	
 -270.0000	1.655E-11	6.319E-12	1.571E+7	3.336E+6	  -19.9219	   15.8523	    5.4304	  -22.7967	
 -280.0000	1.628E-11	6.326E-12	1.629E+7	3.407E+6	  -19.9117	   15.7955	    5.4228	  -22.8534	
 -290.0000	1.597E-11	6.358E-12	1.696E+7	3.454E+6	  -19.9066	   15.8222	    5.4099	  -22.8610	
 -300.0000	1.566E-11	6.376E-12	1.767E+7	3.515E+6	  -19.9016	   15.7828	    5.3941	  -22.9223	
 -310.0000	1.539E-11	6.397E-12	1.838E+7	3.580E+6	  -19.8990	   15.7497	    5.3624	  -23.0122	
 -320.0000	1.504E-11	6.405E-12	1.922E+7	3.658E+6	  -19.9041	   15.7479	    5.3811	  -22.9745	
 -330.0000	1.477E-11	6.423E-12	2.002E+7	3.722E+6	  -19.8965	   15.7479	    5.3874	  -22.9613	
 -340.0000	1.448E-11	6.441E-12	2.088E+7	3.782E+6	  -19.9092	   15.7668	    5.3833	  -22.9562	
 -350.0000	1.418E-11	6.460E-12	2.184E+7	3.842E+6	  -19.9092	   15.7136	    5.3960	  -22.9681	
 -360.0000	1.390E-11	6.480E-12	2.280E+7	3.896E+6	  -19.9117	   15.6952	    5.3865	  -23.0011	
 -370.0000	1.366E-11	6.493E-12	2.378E+7	3.960E+6	  -19.9041	   15.7016	    5.4140	  -22.9393	
 -380.0000	1.337E-11	6.498E-12	2.491E+7	4.030E+6	  -19.9143	   15.7128	    5.4010	  -22.9582	
 -390.0000	1.312E-11	6.515E-12	2.603E+7	4.085E+6	  -19.9143	   15.6548	    5.3941	  -23.0144	
 -400.0000	1.290E-11	6.549E-12	2.719E+7	4.141E+6	  -19.9143	   15.6688	    5.4077	  -22.9761	
 -410.0000	1.269E-11	6.557E-12	2.839E+7	4.199E+6	  -19.9372	   15.6920	    5.3994	  -22.9765	
 -420.0000	1.248E-11	6.575E-12	2.972E+7	4.239E+6	  -19.9448	   15.6675	    5.4001	  -22.9927	
 -430.0000	1.228E-11	6.581E-12	3.104E+7	4.294E+6	  -19.9524	   15.6216	    5.4035	  -23.0186	
 -440.0000	1.207E-11	6.576E-12	3.258E+7	4.354E+6	  -19.9626	   15.6439	    5.4206	  -22.9670	
 -450.0000	1.190E-11	6.598E-12	3.400E+7	4.385E+6	  -19.9677	   15.5853	    5.4320	  -22.9856	
 -460.0000	1.176E-11	6.613E-12	3.558E+7	4.420E+6	  -19.9728	   15.5904	    5.4276	  -22.9911	
 -470.0000	1.161E-11	6.612E-12	3.712E+7	4.468E+6	  -19.9753	   15.6124	    5.4213	  -22.9884	
 -480.0000	1.148E-11	6.628E-12	3.866E+7	4.495E+6	  -19.9830	   15.6405	    5.4099	  -22.9918	
 -490.0000	1.134E-11	6.626E-12	4.051E+7	4.540E+6	  -19.9804	   15.6405	    5.4039	  -23.0043	
 -500.0000	1.124E-11	6.633E-12	4.216E+7	4.569E+6	  -19.9906	   15.5854	    5.4045	  -23.0426	
 -510.0000	1.115E-11	6.637E-12	4.378E+7	4.601E+6	  -20.0033	   15.5571	    5.4080	  -23.0557	
 -520.0000	1.105E-11	6.627E-12	4.568E+7	4.615E+6	  -20.0008	   15.5938	    5.3890	  -23.0688	
 -530.0000	1.096E-11	6.632E-12	4.757E+7	4.641E+6	  -20.0059	   15.5662	    5.3767	  -23.1144	
 -540.0000	1.088E-11	6.633E-12	4.944E+7	4.668E+6	  -20.0186	   15.5499	    5.3577	  -23.1657	
 -550.0000	1.081E-11	6.636E-12	5.118E+7	4.691E+6	  -20.0160	   15.5344	    5.3359	  -23.2227	
 -560.0000	1.074E-11	6.636E-12	5.312E+7	4.715E+6	  -20.0211	   15.4691	    5.3210	  -23.3008	
 -570.0000	1.069E-11	6.654E-12	5.489E+7	4.722E+6	  -20.0211	   15.5160	    5.3125	  -23.2851	
 -580.0000	1.064E-11	6.645E-12	5.659E+7	4.748E+6	  -20.0186	   15.5094	    5.2944	  -23.3279	
 -590.0000	1.060E-11	6.658E-12	5.833E+7	4.755E+6	  -20.0186	   15.4918	    5.2827	  -23.3654	
 -600.0000	1.056E-11	6.649E-12	6.009E+7	4.778E+6	  -20.0211	   15.4620	    5.2944	  -23.3620	
 -610.0000	1.052E-11	6.641E-12	6.199E+7	4.800E+6	  -20.0287	   15.4813	    5.2849	  -23.3682	
 -620.0000	1.048E-11	6.646E-12	6.393E+7	4.810E+6	  -20.0389	   15.4487	    5.2875	  -23.3863	
 -630.0000	1.045E-11	6.649E-12	6.524E+7	4.821E+6	  -20.0415	   15.4456	    5.3102	  -23.3403	
 -640.0000	1.043E-11	6.649E-12	6.671E+7	4.831E+6	  -20.0440	   15.3756	    5.3121	  -23.3867	
 -650.0000	1.041E-11	6.657E-12	6.834E+7	4.836E+6	  -20.0465	   15.3756	    5.3030	  -23.4060	
 -660.0000	1.038E-11	6.662E-12	6.969E+7	4.841E+6	  -20.0516	   15.4039	    5.2966	  -23.3937	
 -670.0000	1.038E-11	6.669E-12	7.097E+7	4.844E+6	  -20.0593	   15.4378	    5.3223	  -23.3207	
 -680.0000	1.035E-11	6.660E-12	7.264E+7	4.858E+6	  -20.0618	   15.3837	    5.3071	  -23.3915	
 -690.0000	1.034E-11	6.669E-12	7.343E+7	4.858E+6	  -20.0542	   15.3817	    5.3131	  -23.3803	
 -700.0000	1.032E-11	6.654E-12	7.464E+7	4.877E+6	  -20.0593	   15.3468	    5.3102	  -23.4113	
 -710.0000	1.032E-11	6.664E-12	7.573E+7	4.874E+6	  -20.0542	   15.3344	    5.2954	  -23.4516	
 -720.0000	1.030E-11	6.672E-12	7.660E+7	4.875E+6	  -20.0440	   15.3530	    5.2815	  -23.4676	
 -730.0000	1.030E-11	6.674E-12	7.771E+7	4.877E+6	  -20.0415	   15.3377	    5.2546	  -23.5357	
 -740.0000	1.029E-11	6.680E-12	7.870E+7	4.878E+6	  -20.0364	   15.3024	    5.2464	  -23.5785	
 -750.0000	1.028E-11	6.674E-12	7.966E+7	4.885E+6	  -20.0415	   15.2557	    5.2366	  -23.6329	
 -760.0000	1.027E-11	6.672E-12	8.069E+7	4.891E+6	  -20.0338	   15.2822	    5.2423	  -23.6017	
 -770.0000	1.027E-11	6.666E-12	8.138E+7	4.898E+6	  -20.0338	   15.2066	    5.2451	  -23.6500	
 -780.0000	1.026E-11	6.666E-12	8.214E+7	4.901E+6	  -20.0389	   15.2066	    5.2514	  -23.6365	
 -790.0000	1.025E-11	6.667E-12	8.331E+7	4.903E+6	  -20.0313	   15.2223	    5.2176	  -23.6974	
 -800.0000	1.025E-11	6.674E-12	8.330E+7	4.900E+6	  -20.0415	   15.1709	    5.2170	  -23.7356	
 -810.0000	1.024E-11	6.667E-12	8.458E+7	4.908E+6	  -20.0338	   15.2306	    5.2271	  -23.6711	
 -820.0000	1.024E-11	6.668E-12	8.521E+7	4.909E+6	  -20.0338	   15.2171	    5.2277	  -23.6795	
 -830.0000	1.023E-11	6.669E-12	8.561E+7	4.911E+6	  -20.0186	   15.2398	    5.2315	  -23.6551	
 -840.0000	1.024E-11	6.673E-12	8.600E+7	4.909E+6	  -20.0237	   15.1811	    5.2163	  -23.7296	
 -850.0000	1.023E-11	6.670E-12	8.651E+7	4.913E+6	  -20.0160	   15.2259	    5.2359	  -23.6557	
 -860.0000	1.023E-11	6.673E-12	8.696E+7	4.913E+6	  -20.0160	   15.2254	    5.2176	  -23.6951	
 -870.0000	1.022E-11	6.673E-12	8.758E+7	4.914E+6	  -20.0135	   15.2344	    5.2018	  -23.7226	
 -880.0000	1.022E-11	6.674E-12	8.794E+7	4.914E+6	  -20.0059	   15.2324	    5.2103	  -23.7057	
 -890.0000	1.021E-11	6.667E-12	8.801E+7	4.921E+6	  -20.0033	   15.1241	    5.2138	  -23.7759	
 -900.0000	1.021E-11	6.669E-12	8.851E+7	4.919E+6	  -19.9982	   15.1434	    5.1996	  -23.7926	
 -910.0000	1.022E-11	6.671E-12	8.868E+7	4.917E+6	  -20.0008	   15.1081	    5.1894	  -23.8396	
 -920.0000	1.021E-11	6.678E-12	8.919E+7	4.915E+6	  -20.0008	   15.0669	    5.1929	  -23.8617	
 -930.0000	1.022E-11	6.671E-12	8.936E+7	4.919E+6	  -19.9982	   15.0857	    5.2059	  -23.8204	
 -940.0000	1.021E-11	6.681E-12	8.954E+7	4.912E+6	  -19.9957	   15.0857	    5.2030	  -23.8265	
 -950.0000	1.022E-11	6.678E-12	8.977E+7	4.914E+6	  -19.9830	   15.0326	    5.2255	  -23.8442	
 -960.0000	1.021E-11	6.676E-12	9.029E+7	4.915E+6	  -19.9855	   15.0683	    5.2429	  -23.7539	
 -970.0000	1.021E-11	6.683E-12	8.989E+7	4.910E+6	  -19.9830	   15.0334	    5.2476	  -23.7688	
 -980.0000	1.021E-11	6.678E-12	9.026E+7	4.913E+6	  -19.9779	   15.0275	    5.2619	  -23.7429	
 -990.0000	1.021E-11	6.645E-12	9.024E+7	4.896E+6	  -19.9855	   15.0536	    5.2891	  -23.6666	
-1000.0000	1.021E-11	6.645E-12	8.994E+7	4.900E+6	  -19.9855	   15.0656	    5.2742	  -23.6894	
