#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.326020E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 2:43:53 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3723047102.725437	1.261719	-20.000000	25.524223	-1.524800E-5	5.334090E-12	-2.237128E-7	-2.241043E-7	-2.244938E-7	-2.249216E-7	-2.253192E-7	-2.258060E-7
2	3723047136.738280	1.256484	-20.000000	25.511384	-1.524500E-5	5.394390E-12	-2.227913E-7	-2.232208E-7	-2.236249E-7	-2.239949E-7	-2.244579E-7	-2.250291E-7
3	3723047170.749242	1.265830	-20.000000	25.492914	-1.524200E-5	5.414770E-12	-2.308672E-7	-2.234618E-7	-2.238946E-7	-2.240999E-7	-2.245078E-7	-2.251234E-7
4	3723047204.708550	1.262421	-20.000000	25.502982	-1.511300E-5	5.420950E-12	-2.224356E-7	-2.235197E-7	-2.238519E-7	-2.440010E-7	-2.685771E-7	-3.807270E-7
5	3723047237.937102	1.271223	-20.000000	25.491210	-1.523800E-5	5.424300E-12	-2.224078E-7	-2.262659E-7	-2.226915E-7	-2.230420E-7	-2.234169E-7	-2.238172E-7
6	3723047271.696594	1.263903	-20.000000	25.508906	-1.516200E-5	5.425500E-12	-2.215073E-7	-2.219036E-7	-2.223780E-7	-2.227684E-7	-2.232363E-7	-2.236304E-7
7	3723047304.762882	1.281987	-20.000000	25.521114	-1.515400E-5	5.426060E-12	-2.213398E-7	-2.217455E-7	-2.222131E-7	-2.226073E-7	-2.230333E-7	-2.234606E-7
8	3723047338.236390	1.276555	-20.000000	25.525117	-1.522600E-5	5.426760E-12	-2.211678E-7	-2.215832E-7	-2.219450E-7	-2.223262E-7	-2.227607E-7	-2.231755E-7
9	3723047371.896126	1.275010	-20.000000	25.537642	-1.516700E-5	5.426630E-12	-2.209166E-7	-2.213012E-7	-2.217375E-7	-2.221565E-7	-2.225292E-7	-2.229237E-7
10	3723047405.229425	1.282817	-20.000000	25.530527	-1.521500E-5	5.426540E-12	-2.206733E-7	-2.210550E-7	-2.214603E-7	-2.219536E-7	-2.223733E-7	-2.227999E-7
11	3723047439.129555	1.252747	-20.000000	25.533896	-1.521900E-5	5.427640E-12	-2.205130E-7	-2.208992E-7	-2.213486E-7	-2.217627E-7	-2.221727E-7	-2.225641E-7
12	3723047473.006431	1.258993	-20.000000	25.531260	-1.515500E-5	5.427040E-12	-2.202268E-7	-2.206870E-7	-2.210500E-7	-2.214329E-7	-2.219074E-7	-2.223035E-7
13	3723047506.498077	1.278930	-20.000000	25.524244	-1.521200E-5	5.426940E-12	-2.199166E-7	-2.203385E-7	-2.207517E-7	-2.212763E-7	-2.217357E-7	-2.221578E-7
14	3723047540.290317	1.288471	-20.000000	25.503021	-1.510100E-5	5.426350E-12	-2.198743E-7	-2.202377E-7	-2.206819E-7	-2.210796E-7	-2.215120E-7	-2.219239E-7
15	3723047573.228862	1.278729	-20.000000	25.516951	-1.516600E-5	5.426370E-12	-2.196637E-7	-2.200705E-7	-2.205087E-7	-2.209088E-7	-2.213220E-7	-2.217150E-7
16	3723047606.264860	1.268494	-20.000000	25.499532	-1.516300E-5	5.424050E-12	-2.189522E-7	-2.193249E-7	-2.197067E-7	-2.201273E-7	-2.207492E-7	-2.213661E-7
17	3723047639.356317	1.274572	-20.000000	25.482273	-1.513900E-5	5.423770E-12	-2.190956E-7	-2.195093E-7	-2.199081E-7	-2.204088E-7	-2.207867E-7	-2.211384E-7
18	3723047672.639153	1.294571	-20.000000	25.478665	-1.520000E-5	5.424400E-12	-2.188750E-7	-2.193296E-7	-2.197724E-7	-2.202325E-7	-2.206497E-7	-2.210470E-7
19	3723047706.545923	1.264437	-20.000000	25.470065	-1.509500E-5	5.424810E-12	-2.184417E-7	-2.189284E-7	-2.193922E-7	-2.198978E-7	-2.204372E-7	-2.206502E-7
20	3723047739.510924	1.243536	-20.000000	25.470719	-1.515400E-5	5.425550E-12	-2.182689E-7	-2.186117E-7	-2.190824E-7	-2.195568E-7	-2.200172E-7	-2.204296E-7
21	3723047772.871059	1.267556	-20.000000	25.475912	-1.521000E-5	5.425900E-12	-2.182235E-7	-2.186658E-7	-2.192394E-7	-2.198321E-7	-2.201373E-7	-2.205277E-7
22	3723047806.907825	1.286505	-20.000000	25.460951	-1.521100E-5	5.426550E-12	-2.184632E-7	-2.189684E-7	-2.192259E-7	-2.194573E-7	-2.202689E-7	-2.207736E-7
23	3723047840.669943	1.262990	-20.000000	25.447852	-1.514100E-5	5.426560E-12	-2.181357E-7	-2.185838E-7	-2.190230E-7	-2.195170E-7	-2.199008E-7	-2.203186E-7
24	3723047874.004973	1.251466	-20.000000	25.434891	-1.520200E-5	5.426950E-12	-2.176101E-7	-2.184428E-7	-2.189359E-7	-2.193644E-7	-2.197527E-7	-2.202128E-7
25	3723047907.877797	1.272605	-20.000000	25.436278	-1.509200E-5	5.426260E-12	-2.174553E-7	-2.178641E-7	-2.182478E-7	-2.187166E-7	-2.190900E-7	-2.195240E-7
