GCD Test
Bias: 5000.000000
IV_36697_036_PSS_HM_XX_DIODEHALF
Date/Time: 12/1/2021 3:34:45 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed for 80 min at 60C
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.3390E-7	-3.3440E-7	-3.3430E-7	-3.3370E-7	-3.3320E-7	-3.322374E-7	-3.326571E-7	-3.323317E-7	-3.320312E-7	-3.319295E-7	  -19.9957	   13.0662	    2.1404	  -34.6174	
  -20.0000	-4.3658E-7	-4.3670E-7	-4.3720E-7	-4.3660E-7	-4.3580E-7	-4.365113E-7	-4.353529E-7	-4.364495E-7	-4.371508E-7	-4.370921E-7	  -20.0033	   13.0662	    2.1429	  -34.6055	
  -30.0000	-5.2038E-7	-5.1920E-7	-5.2230E-7	-5.2070E-7	-5.1930E-7	-5.201855E-7	-5.208033E-7	-5.205210E-7	-5.198965E-7	-5.195212E-7	  -19.9982	   13.0923	    2.1474	  -34.5677	
  -40.0000	-5.8937E-7	-5.9040E-7	-5.8900E-7	-5.8850E-7	-5.8960E-7	-5.904201E-7	-5.908381E-7	-5.906734E-7	-5.898988E-7	-5.902700E-7	  -20.0033	   13.0974	    2.1480	  -34.5613	
  -50.0000	-6.4793E-7	-6.4660E-7	-6.4700E-7	-6.4830E-7	-6.4980E-7	-6.515929E-7	-6.496066E-7	-6.493825E-7	-6.524785E-7	-6.549042E-7	  -19.9957	   13.0771	    2.1448	  -34.5895	
  -60.0000	-7.0153E-7	-7.0460E-7	-7.0090E-7	-6.9940E-7	-7.0120E-7	-6.997249E-7	-7.006693E-7	-6.996999E-7	-6.988592E-7	-6.996714E-7	  -19.9931	   13.0851	    2.1306	  -34.6512	
  -70.0000	-7.4865E-7	-7.4910E-7	-7.4820E-7	-7.4860E-7	-7.4870E-7	-7.497310E-7	-7.481023E-7	-7.483804E-7	-7.496967E-7	-7.527447E-7	  -19.9931	   13.1012	    2.1382	  -34.6048	
  -80.0000	-7.9595E-7	-7.9800E-7	-7.9870E-7	-7.9450E-7	-7.9260E-7	-7.938652E-7	-7.928344E-7	-7.924774E-7	-7.929693E-7	-7.971796E-7	  -19.9931	   13.0734	    2.1256	  -34.6828	
  -90.0000	-8.3697E-7	-8.3880E-7	-8.3630E-7	-8.3770E-7	-8.3510E-7	-8.332122E-7	-8.338781E-7	-8.326955E-7	-8.332842E-7	-8.329911E-7	  -19.9931	   13.0734	    2.1319	  -34.6529	
 -100.0000	-8.6923E-7	-8.7130E-7	-8.6990E-7	-8.6880E-7	-8.6690E-7	-8.689665E-7	-8.669754E-7	-8.683983E-7	-8.697156E-7	-8.707767E-7	  -20.0084	   13.0489	    2.1237	  -34.7079	
 -110.0000	-9.0740E-7	-9.0360E-7	-9.0690E-7	-9.1000E-7	-9.0910E-7	-9.052778E-7	-9.074561E-7	-9.055114E-7	-9.041954E-7	-9.039484E-7	  -20.0109	   13.0274	    2.1233	  -34.7234	
 -120.0000	-9.3990E-7	-9.3960E-7	-9.3890E-7	-9.3960E-7	-9.4150E-7	-9.391238E-7	-9.412923E-7	-9.398426E-7	-9.380751E-7	-9.372851E-7	  -20.0109	   13.0919	    2.1252	  -34.6721	
 -130.0000	-9.6697E-7	-9.6630E-7	-9.6750E-7	-9.6600E-7	-9.6810E-7	-9.703939E-7	-9.700633E-7	-9.705127E-7	-9.706617E-7	-9.703380E-7	  -20.0059	   13.0919	    2.1230	  -34.6826	
 -140.0000	-1.0058E-6	-1.0050E-6	-1.0060E-6	-1.0080E-6	-1.0040E-6	-1.000974E-6	-1.002693E-6	-1.001708E-6	-1.000097E-6	-9.993976E-7	  -20.0059	   13.0083	    2.1246	  -34.7301	
 -150.0000	-1.0400E-6	-1.0410E-6	-1.0390E-6	-1.0380E-6	-1.0420E-6	-1.043805E-6	-1.044490E-6	-1.045359E-6	-1.043340E-6	-1.042032E-6	  -19.9982	   12.9776	    2.1230	  -34.7577	
 -160.0000	-1.0783E-6	-1.0790E-6	-1.0820E-6	-1.0780E-6	-1.0740E-6	-1.072349E-6	-1.072464E-6	-1.072129E-6	-1.072773E-6	-1.072029E-6	  -20.0033	   12.9967	    2.1309	  -34.7078	
 -170.0000	-1.1058E-6	-1.1080E-6	-1.1060E-6	-1.1060E-6	-1.1030E-6	-1.103441E-6	-1.106129E-6	-1.104026E-6	-1.102059E-6	-1.101549E-6	  -20.0084	   13.0357	    2.1268	  -34.7016	
 -180.0000	-1.1330E-6	-1.1330E-6	-1.1350E-6	-1.1330E-6	-1.1310E-6	-1.131550E-6	-1.131578E-6	-1.130968E-6	-1.131168E-6	-1.132484E-6	  -20.0033	   13.0480	    2.1328	  -34.6651	
 -190.0000	-1.1630E-6	-1.1610E-6	-1.1630E-6	-1.1640E-6	-1.1640E-6	-1.165249E-6	-1.165075E-6	-1.164037E-6	-1.166908E-6	-1.164974E-6	  -20.0008	   13.0258	    2.1325	  -34.6812	
 -200.0000	-1.1890E-6	-1.1920E-6	-1.1910E-6	-1.1870E-6	-1.1860E-6	-1.191212E-6	-1.186484E-6	-1.189379E-6	-1.193464E-6	-1.195523E-6	  -19.9982	   12.9846	    2.1281	  -34.7292	
 -210.0000	-1.2230E-6	-1.2250E-6	-1.2270E-6	-1.2220E-6	-1.2180E-6	-1.218084E-6	-1.218322E-6	-1.215533E-6	-1.218225E-6	-1.220254E-6	  -20.0033	   12.9846	    2.1464	  -34.6429	
 -220.0000	-1.2420E-6	-1.2440E-6	-1.2400E-6	-1.2410E-6	-1.2430E-6	-1.240057E-6	-1.239896E-6	-1.241372E-6	-1.239816E-6	-1.239143E-6	  -20.0059	   13.0155	    2.1464	  -34.6226	
 -230.0000	-1.2655E-6	-1.2720E-6	-1.2680E-6	-1.2640E-6	-1.2580E-6	-1.256919E-6	-1.254401E-6	-1.255854E-6	-1.258205E-6	-1.259218E-6	  -20.0008	   12.9467	    2.1616	  -34.5969	
 -240.0000	-1.2818E-6	-1.2840E-6	-1.2820E-6	-1.2810E-6	-1.2800E-6	-1.281667E-6	-1.280005E-6	-1.282931E-6	-1.282473E-6	-1.281258E-6	  -20.0008	   12.9467	    2.1667	  -34.5734	
 -250.0000	-1.3158E-6	-1.3140E-6	-1.3210E-6	-1.3160E-6	-1.3120E-6	-1.312267E-6	-1.310714E-6	-1.310165E-6	-1.311985E-6	-1.316204E-6	  -20.0084	   12.9269	    2.1825	  -34.5133	
 -260.0000	-1.3357E-6	-1.3380E-6	-1.3390E-6	-1.3350E-6	-1.3310E-6	-1.329791E-6	-1.328817E-6	-1.329736E-6	-1.329985E-6	-1.330624E-6	  -20.0008	   12.9584	    2.1844	  -34.4838	
 -270.0000	-1.3493E-6	-1.3480E-6	-1.3490E-6	-1.3490E-6	-1.3510E-6	-1.352575E-6	-1.351175E-6	-1.351929E-6	-1.353569E-6	-1.353627E-6	  -19.9957	   12.9322	    2.1781	  -34.5302	
 -280.0000	-1.3722E-6	-1.3640E-6	-1.3740E-6	-1.3750E-6	-1.3760E-6	-1.373495E-6	-1.373801E-6	-1.373647E-6	-1.374167E-6	-1.372364E-6	  -19.9931	   12.9440	    2.1825	  -34.5020	
 -290.0000	-1.4087E-6	-1.4080E-6	-1.4090E-6	-1.4080E-6	-1.4100E-6	-1.418170E-6	-1.412158E-6	-1.417770E-6	-1.421924E-6	-1.420830E-6	  -19.9906	   12.9440	    2.1796	  -34.5152	
 -300.0000	-1.4300E-6	-1.4320E-6	-1.4300E-6	-1.4280E-6	-1.4300E-6	-1.429503E-6	-1.430248E-6	-1.428812E-6	-1.430426E-6	-1.428525E-6	  -19.9906	   12.9184	    2.1720	  -34.5671	
 -310.0000	-1.4620E-6	-1.4590E-6	-1.4610E-6	-1.4620E-6	-1.4660E-6	-1.460353E-6	-1.463350E-6	-1.460068E-6	-1.458659E-6	-1.459333E-6	  -19.9880	   12.9267	    2.1705	  -34.5690	
 -320.0000	-1.4777E-6	-1.4730E-6	-1.4820E-6	-1.4800E-6	-1.4760E-6	-1.475262E-6	-1.474373E-6	-1.474633E-6	-1.474719E-6	-1.477324E-6	  -19.9931	   12.9116	    2.1686	  -34.5878	
 -330.0000	-1.5015E-6	-1.5010E-6	-1.5030E-6	-1.5010E-6	-1.5010E-6	-1.497658E-6	-1.500218E-6	-1.499703E-6	-1.497109E-6	-1.493600E-6	  -19.9880	   12.8995	    2.1619	  -34.6265	
 -340.0000	-1.5168E-6	-1.5110E-6	-1.5100E-6	-1.5220E-6	-1.5240E-6	-1.516522E-6	-1.520164E-6	-1.517090E-6	-1.515191E-6	-1.513642E-6	  -19.9855	   12.9027	    2.1670	  -34.6009	
 -350.0000	-1.5208E-6	-1.5220E-6	-1.5210E-6	-1.5200E-6	-1.5200E-6	-1.515707E-6	-1.516963E-6	-1.514535E-6	-1.515013E-6	-1.516319E-6	  -19.9880	   12.8983	    2.1613	  -34.6303	
 -360.0000	-1.5362E-6	-1.5380E-6	-1.5380E-6	-1.5350E-6	-1.5340E-6	-1.533166E-6	-1.533536E-6	-1.532694E-6	-1.532333E-6	-1.534102E-6	  -19.9906	   12.9033	    2.1610	  -34.6285	
 -370.0000	-1.5608E-6	-1.5580E-6	-1.5590E-6	-1.5630E-6	-1.5630E-6	-1.560569E-6	-1.560385E-6	-1.559599E-6	-1.560392E-6	-1.561900E-6	  -19.9906	   12.8981	    2.1695	  -34.5923	
 -380.0000	-1.5832E-6	-1.5860E-6	-1.5830E-6	-1.5810E-6	-1.5830E-6	-1.578911E-6	-1.580227E-6	-1.578511E-6	-1.577373E-6	-1.579531E-6	  -19.9957	   12.8864	    2.1613	  -34.6381	
 -390.0000	-1.5932E-6	-1.5920E-6	-1.5930E-6	-1.5950E-6	-1.5930E-6	-1.591067E-6	-1.592404E-6	-1.591241E-6	-1.590151E-6	-1.590474E-6	  -19.9982	   12.8280	    2.1686	  -34.6428	
 -400.0000	-1.6195E-6	-1.6090E-6	-1.6140E-6	-1.6220E-6	-1.6330E-6	-1.634197E-6	-1.637992E-6	-1.636250E-6	-1.632942E-6	-1.629603E-6	  -19.9931	   12.7904	    2.1607	  -34.7043	
 -410.0000	-1.6415E-6	-1.6390E-6	-1.6370E-6	-1.6470E-6	-1.6430E-6	-1.637741E-6	-1.640593E-6	-1.639342E-6	-1.636339E-6	-1.634690E-6	  -19.9982	   12.8087	    2.1603	  -34.6937	
 -420.0000	-1.6575E-6	-1.6580E-6	-1.6560E-6	-1.6580E-6	-1.6580E-6	-1.653294E-6	-1.655485E-6	-1.654503E-6	-1.652611E-6	-1.650577E-6	  -20.0084	   12.8087	    2.1667	  -34.6643	
 -430.0000	-1.6738E-6	-1.6670E-6	-1.6690E-6	-1.6790E-6	-1.6800E-6	-1.678323E-6	-1.680790E-6	-1.679718E-6	-1.677716E-6	-1.675067E-6	  -19.9982	   12.8052	    2.1733	  -34.6358	
 -440.0000	-1.6903E-6	-1.6910E-6	-1.6900E-6	-1.6890E-6	-1.6910E-6	-1.685325E-6	-1.687690E-6	-1.685830E-6	-1.684098E-6	-1.683683E-6	  -20.0008	   12.8284	    2.1629	  -34.6689	
 -450.0000	-1.7015E-6	-1.7010E-6	-1.7000E-6	-1.7020E-6	-1.7030E-6	-1.705742E-6	-1.708668E-6	-1.710320E-6	-1.702934E-6	-1.701044E-6	  -20.0033	   12.8380	    2.1543	  -34.7024	
 -460.0000	-1.7115E-6	-1.7150E-6	-1.7130E-6	-1.7120E-6	-1.7060E-6	-1.707801E-6	-1.703442E-6	-1.704606E-6	-1.711583E-6	-1.711572E-6	  -19.9982	   12.8380	    2.1645	  -34.6553	
 -470.0000	-1.7400E-6	-1.7360E-6	-1.7390E-6	-1.7390E-6	-1.7460E-6	-1.745994E-6	-1.748459E-6	-1.748078E-6	-1.745284E-6	-1.742155E-6	  -19.9982	   12.8391	    2.1490	  -34.7268	
 -480.0000	-1.7485E-6	-1.7460E-6	-1.7450E-6	-1.7540E-6	-1.7490E-6	-1.750310E-6	-1.745736E-6	-1.747184E-6	-1.750885E-6	-1.757437E-6	  -19.9982	   12.8271	    2.1562	  -34.7007	
 -490.0000	-1.7732E-6	-1.7710E-6	-1.7720E-6	-1.7770E-6	-1.7730E-6	-1.775481E-6	-1.775176E-6	-1.773298E-6	-1.773693E-6	-1.779756E-6	  -20.0059	   12.7828	    2.1483	  -34.7667	
