GCD Test
Bias: 5000.000000
CV_34252_008_PSS_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 5/28/2021 5:48:45 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated, Annealed for 80 min at 60C
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.880E-12	4.082E-12	2.697E+7	2.197E+7	  -20.1279	   10.6198	    2.4684	  -34.8074	
  -20.0000	4.141E-12	4.055E-12	4.619E+7	3.144E+7	  -20.1178	   10.6476	    2.4469	  -34.8766	
  -30.0000	4.175E-12	4.019E-12	5.815E+7	3.971E+7	  -20.1051	   10.6268	    2.4311	  -34.9555	
  -40.0000	4.162E-12	4.002E-12	6.886E+7	4.667E+7	  -20.1025	   10.6150	    2.4273	  -34.9790	
  -50.0000	4.125E-12	3.993E-12	7.786E+7	5.338E+7	  -20.0898	   10.5852	    2.3966	  -35.1263	
  -60.0000	4.111E-12	3.987E-12	8.847E+7	5.963E+7	  -20.0644	   10.5370	    2.3890	  -35.1902	
  -70.0000	4.103E-12	3.983E-12	9.841E+7	6.545E+7	  -20.0593	   10.4941	    2.3801	  -35.2559	
  -80.0000	4.100E-12	3.980E-12	1.072E+8	7.009E+7	  -20.0440	   10.4672	    2.3637	  -35.3431	
  -90.0000	4.083E-12	3.977E-12	1.150E+8	7.479E+7	  -20.0313	   10.4695	    2.3564	  -35.3724	
 -100.0000	4.083E-12	3.975E-12	1.258E+8	7.860E+7	  -20.0109	   10.5079	    2.3454	  -35.3938	
 -110.0000	4.081E-12	3.973E-12	1.315E+8	8.304E+7	  -19.9931	   10.5079	    2.3235	  -35.4870	
 -120.0000	4.077E-12	3.985E-12	1.413E+8	8.405E+7	  -19.9957	   10.5350	    2.3175	  -35.4948	
 -130.0000	4.045E-12	3.982E-12	1.499E+8	8.882E+7	  -19.9880	   10.4820	    2.2998	  -35.6065	
 -140.0000	4.046E-12	3.981E-12	1.544E+8	9.162E+7	  -19.9830	   10.4839	    2.2868	  -35.6616	
 -150.0000	4.052E-12	3.979E-12	1.653E+8	9.554E+7	  -19.9779	   10.4818	    2.2729	  -35.7237	
 -160.0000	4.039E-12	3.978E-12	1.672E+8	9.792E+7	  -19.9804	   10.4817	    2.2698	  -35.7376	
 -170.0000	4.040E-12	3.978E-12	1.774E+8	1.008E+8	  -19.9702	   10.4926	    2.2574	  -35.7846	
 -180.0000	4.036E-12	3.976E-12	1.835E+8	1.037E+8	  -19.9702	   10.5040	    2.2426	  -35.8427	
 -190.0000	4.041E-12	3.975E-12	1.913E+8	1.066E+8	  -19.9652	   10.4826	    2.2495	  -35.8261	
 -200.0000	4.039E-12	3.974E-12	1.977E+8	1.097E+8	  -19.9626	   10.5548	    2.2340	  -35.8469	
 -210.0000	4.027E-12	3.972E-12	2.002E+8	1.131E+8	  -19.9626	   10.5818	    2.2207	  -35.8882	
 -220.0000	4.027E-12	3.972E-12	2.100E+8	1.153E+8	  -19.9499	   10.5276	    2.2100	  -35.9723	
 -230.0000	4.032E-12	3.971E-12	2.161E+8	1.182E+8	  -19.9473	   10.4885	    2.2075	  -36.0095	
 -240.0000	4.019E-12	3.971E-12	2.222E+8	1.210E+8	  -19.9524	   10.4604	    2.1917	  -36.0994	
 -250.0000	4.019E-12	3.970E-12	2.262E+8	1.239E+8	  -19.9524	   10.5499	    2.1879	  -36.0574	
