#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.323210E-12
#34331_042_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 6:40:36 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.332800E-12
#34331_042_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 6:42:35 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3713899415.371713	1.703233	23.500000	26.628623	-1.754300E-7	5.345830E-12	-2.434216E-11	-2.747035E-11	-3.410654E-11
2	3713899438.007125	1.813455	23.500000	26.619904	-2.390000E-9	5.408440E-12	-2.063091E-11	-2.640683E-11	-3.025321E-11
3	3713899461.448920	1.573010	23.500000	26.615961	-2.380000E-9	5.427680E-12	-2.253631E-11	-2.754129E-11	-3.339755E-11
4	3713899484.856520	1.654311	23.500000	26.633558	-2.380000E-9	5.436490E-12	-2.158115E-11	-2.623101E-11	-3.064044E-11
5	3713899508.279350	1.563837	23.500000	26.666138	-2.390000E-9	5.439600E-12	-2.162941E-11	-2.742660E-11	-3.334809E-11
6	3713899531.693733	1.593259	23.500000	26.644161	-2.390000E-9	5.440710E-12	-2.112054E-11	-2.643750E-11	-2.974190E-11
7	3713899556.421450	1.563577	23.500000	26.653673	-2.380000E-9	5.440960E-12	-2.144133E-11	-2.861931E-11	-3.216312E-11
8	3713899579.833209	1.659647	23.500000	26.672875	-2.390000E-9	5.442970E-12	-2.160405E-11	-2.677625E-11	-3.265461E-11
9	3713899616.298122	1.510166	23.500000	26.670239	-2.380000E-9	5.442200E-12	-2.068753E-11	-2.620503E-11	-3.079949E-11
10	3713899652.870724	1.577217	23.500000	26.677374	-2.380000E-9	5.446070E-12	-2.462694E-11	-2.904066E-11	-3.416400E-11
11	3713899677.356669	1.560405	23.500000	26.701371	-2.390000E-9	5.445090E-12	-2.245474E-11	-2.677033E-11	-3.331822E-11
12	3713899703.786652	1.634870	23.500000	26.673608	-2.380000E-9	5.443150E-12	-2.096905E-11	-2.544595E-11	-3.100516E-11
13	3713899728.544733	1.560782	23.500000	26.675787	-2.380000E-9	5.443720E-12	-2.234433E-11	-2.625881E-11	-3.224938E-11
14	3713899754.082608	1.518491	23.500000	26.713519	-2.380000E-9	5.443110E-12	-2.034590E-11	-2.603003E-11	-2.938432E-11
15	3713899780.355627	1.684877	23.500000	26.709774	-2.390000E-9	5.443900E-12	-2.246271E-11	-2.576998E-11	-3.227906E-11
16	3713899811.324899	1.572902	23.500000	26.714847	-2.380000E-9	5.444440E-12	-2.026025E-11	-2.653828E-11	-3.016879E-11
17	3713899834.770593	1.556086	23.500000	26.724260	-2.390000E-9	5.444730E-12	-2.022263E-11	-2.545003E-11	-3.116809E-11
18	3713899858.186813	1.539126	23.500000	26.751862	-2.380000E-9	5.443430E-12	-2.041992E-11	-2.620115E-11	-3.149807E-11
19	3713899881.895842	1.495125	23.500000	26.752042	-2.380000E-9	5.443720E-12	-2.523455E-11	-3.072057E-11	-3.480678E-11
20	3713899908.193773	1.544275	23.500000	26.731969	-2.380000E-9	5.442140E-12	-2.134175E-11	-2.662026E-11	-3.275110E-11
21	3713899933.632282	1.530077	23.500000	26.740132	-2.380000E-9	5.442140E-12	-2.110174E-11	-2.739960E-11	-3.247101E-11
22	3713899963.737082	1.577979	23.500000	26.733948	-2.380000E-9	5.442760E-12	-2.230120E-11	-2.816811E-11	-3.303058E-11
23	3713899987.514496	1.600184	23.500000	26.735296	-2.380000E-9	5.443190E-12	-2.111522E-11	-2.689565E-11	-3.188140E-11
24	3713900017.412961	1.571104	23.500000	26.718512	-2.380000E-9	5.444570E-12	-2.433909E-11	-2.901533E-11	-3.308414E-11
25	3713900044.901984	1.520463	23.500000	26.746514	-2.380000E-9	5.444150E-12	-2.343484E-11	-2.918971E-11	-3.286313E-11
26	3713900069.882336	1.496595	23.500000	26.755192	-2.380000E-9	5.443840E-12	-2.269067E-11	-2.922385E-11	-3.405505E-11
27	3713900099.138617	1.514170	23.500000	26.764327	-2.380000E-9	5.443630E-12	-2.304701E-11	-2.701341E-11	-3.102479E-11
28	3713900128.374249	1.557118	23.500000	26.771681	-2.380000E-9	5.443500E-12	-2.285483E-11	-2.711747E-11	-3.220421E-11
29	3713900157.431927	1.550797	23.500000	26.754161	-2.380000E-9	5.443710E-12	-2.163942E-11	-2.648410E-11	-3.262720E-11
30	3713900183.934733	1.602179	23.500000	26.741023	-2.380000E-9	5.442780E-12	-2.339191E-11	-2.735484E-11	-3.395712E-11
31	3713900207.758849	1.525739	23.500000	26.764429	-2.380000E-9	5.443720E-12	-2.192360E-11	-2.643791E-11	-3.230317E-11
32	3713900231.156361	1.494783	23.500000	26.805922	-2.380000E-9	5.443630E-12	-2.057981E-11	-2.705492E-11	-3.178572E-11
33	3713900254.544780	1.516095	23.500000	26.792073	-2.380000E-9	5.443480E-12	-2.235396E-11	-2.683248E-11	-2.997743E-11
