34331_042_2-S_HM_XX
Date/Time: 9/7/2021 5:50:58 PM
Sensor Name: 34331_042_2-S_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: Diced at Fermilab

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-9.7000E-10	-9.7000E-10	-9.7000E-10	-9.7000E-10	-9.7000E-10	   23.5000	   25.9848	   22.6841	    0.0000	
  -10.0000	-1.2400E-9	-1.2400E-9	-1.2400E-9	-1.2400E-9	-1.2400E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -15.0000	-1.4100E-9	-1.4100E-9	-1.4100E-9	-1.4100E-9	-1.4100E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -20.0000	-1.5200E-9	-1.5200E-9	-1.5200E-9	-1.5200E-9	-1.5200E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -25.0000	-1.5400E-9	-1.5400E-9	-1.5400E-9	-1.5400E-9	-1.5400E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -30.0000	-1.5900E-9	-1.5900E-9	-1.5900E-9	-1.5900E-9	-1.5900E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -35.0000	-1.6600E-9	-1.6600E-9	-1.6600E-9	-1.6600E-9	-1.6600E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -40.0000	-1.7000E-9	-1.7000E-9	-1.7000E-9	-1.7000E-9	-1.7000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -45.0000	-1.7400E-9	-1.7400E-9	-1.7400E-9	-1.7400E-9	-1.7400E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -50.0000	-1.7700E-9	-1.7700E-9	-1.7700E-9	-1.7700E-9	-1.7700E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -55.0000	-1.7800E-9	-1.7800E-9	-1.7800E-9	-1.7800E-9	-1.7800E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -60.0000	-1.8000E-9	-1.8000E-9	-1.8000E-9	-1.8000E-9	-1.8000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -65.0000	-1.8200E-9	-1.8200E-9	-1.8200E-9	-1.8200E-9	-1.8200E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -70.0000	-1.8400E-9	-1.8400E-9	-1.8400E-9	-1.8400E-9	-1.8400E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -75.0000	-1.8600E-9	-1.8600E-9	-1.8600E-9	-1.8600E-9	-1.8600E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -80.0000	-1.8700E-9	-1.8700E-9	-1.8700E-9	-1.8700E-9	-1.8700E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -85.0000	-1.8800E-9	-1.8800E-9	-1.8800E-9	-1.8800E-9	-1.8800E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -90.0000	-1.8900E-9	-1.8900E-9	-1.8900E-9	-1.8900E-9	-1.8900E-9	   23.5000	   25.9848	   22.6841	    0.0000	
  -95.0000	-1.9000E-9	-1.9000E-9	-1.9000E-9	-1.9000E-9	-1.9000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -100.0000	-1.9000E-9	-1.9000E-9	-1.9000E-9	-1.9000E-9	-1.9000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -105.0000	-1.9200E-9	-1.9200E-9	-1.9200E-9	-1.9200E-9	-1.9200E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -110.0000	-1.9200E-9	-1.9200E-9	-1.9200E-9	-1.9200E-9	-1.9200E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -115.0000	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -120.0000	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -125.0000	-1.9400E-9	-1.9400E-9	-1.9400E-9	-1.9400E-9	-1.9400E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -130.0000	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -135.0000	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -140.0000	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -145.0000	-1.9600E-9	-1.9600E-9	-1.9600E-9	-1.9600E-9	-1.9600E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -150.0000	-1.9700E-9	-1.9700E-9	-1.9700E-9	-1.9700E-9	-1.9700E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -155.0000	-1.9800E-9	-1.9800E-9	-1.9800E-9	-1.9800E-9	-1.9800E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -160.0000	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -165.0000	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -170.0000	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -175.0000	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -180.0000	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
 -185.0000	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	   23.5000	   25.9848	   22.6841	    0.0000	
