#Open Capacitance 1000Hz:6.203850E-12
#Open Capacitance 1000000Hz:Not Measured
#38202_028_2-S_HM_XX_Unirrad_Single
#Date/Time: 4/1/2022 3:36:25 PM
#Sensor Name: 38202_028_2-S_HM_XX
#Station: Tesla 2
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Cleaved at Brown. Pstop inhomogeneity

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3731686665.526372	4.452596	23.880301	25.139525	-3.080000E-9	-6.153385E-11	8.257070E-11	-5.643293E-11	-5.580805E-11	-5.654419E-11	-5.700143E-11	-5.644665E-11	-5.648856E-11	-7.036696E-7	-3.517711E-6
2	3731686682.126109	4.435242	23.883829	25.187125	-3.070000E-9	-6.233510E-11	8.256700E-11	-5.522680E-11	-5.471415E-11	-5.348118E-11	-5.310171E-11	-5.413096E-11	-5.409767E-11	-7.046389E-7	-3.522557E-6
3	3731686699.334403	4.396548	23.881769	25.183081	-3.080000E-9	-6.053227E-11	8.255920E-11	-5.926738E-11	-5.923268E-11	-5.750553E-11	-5.681079E-11	-5.820410E-11	-5.836910E-11	-7.038046E-7	-3.518420E-6
4	3731686716.468841	4.395375	23.880561	25.218732	-3.080000E-9	-6.033186E-11	8.255520E-11	-5.603359E-11	-5.495999E-11	-5.609756E-11	-5.585515E-11	-5.573657E-11	-5.594437E-11	-7.036778E-7	-3.517773E-6
5	3731686733.563527	4.391700	23.881371	25.233436	-3.070000E-9	-6.263548E-11	8.256040E-11	-5.614140E-11	-5.596175E-11	-5.465849E-11	-5.592438E-11	-5.567151E-11	-5.594307E-11	-7.043795E-7	-3.521278E-6
6	3731686750.635564	4.428832	23.880956	25.236112	-3.080000E-9	-6.243522E-11	8.255340E-11	-5.425023E-11	-5.592052E-11	-5.607929E-11	-5.632251E-11	-5.564314E-11	-5.599991E-11	-7.034607E-7	-3.516709E-6
7	3731686767.734370	4.435312	23.878914	25.252281	-3.080000E-9	-6.624136E-11	8.255490E-11	-5.310455E-11	-5.391871E-11	-5.466501E-11	-5.416920E-11	-5.396437E-11	-5.404396E-11	-7.024683E-7	-3.511744E-6
8	3731686784.793946	4.438819	23.880400	25.214114	-3.090000E-9	-6.393770E-11	8.254970E-11	-5.382022E-11	-5.312263E-11	-5.285097E-11	-5.235499E-11	-5.303720E-11	-5.298680E-11	-7.021673E-7	-3.510215E-6
9	3731686801.857540	4.399403	23.882047	25.248377	-3.080000E-9	-6.058224E-11	8.255210E-11	-5.319084E-11	-5.422182E-11	-5.192743E-11	-5.385514E-11	-5.329881E-11	-5.352299E-11	-7.029358E-7	-3.514051E-6
10	3731686818.928541	4.400851	23.882719	25.222953	-3.070000E-9	-6.318645E-11	8.255270E-11	-4.863028E-11	-4.923571E-11	-5.022462E-11	-4.871189E-11	-4.920062E-11	-4.897380E-11	-7.031712E-7	-3.515229E-6
11	3731686836.010762	4.410788	23.882423	25.175174	-3.080000E-9	-6.318646E-11	8.255180E-11	-5.367281E-11	-5.159163E-11	-5.227458E-11	-5.333986E-11	-5.271972E-11	-5.280722E-11	-7.031354E-7	-3.515043E-6
12	3731686853.296577	4.435929	23.881174	25.199906	-3.080000E-9	-6.158384E-11	8.254930E-11	-5.127267E-11	-5.556464E-11	-5.449507E-11	-5.789592E-11	-5.480708E-11	-5.502986E-11	-7.018720E-7	-3.508760E-6
13	3731686870.365363	4.442553	23.882047	25.187065	-3.080000E-9	-6.028180E-11	8.255130E-11	-5.546310E-11	-5.597554E-11	-5.365637E-11	-5.460878E-11	-5.492595E-11	-5.503594E-11	-7.031374E-7	-3.515080E-6
