GCD Test
Bias: 5000.000000
IV_38202_031_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 4/4/2022 11:01:32 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.4100E-10	2.4100E-10	-1.607908E-11	-1.607908E-11	   19.9987	   20.9935	   23.2448	   -0.7683	
  -20.0000	3.0300E-10	3.0300E-10	-1.717668E-11	-1.717668E-11	   20.0039	   20.9947	   23.2666	   -0.7544	
  -30.0000	7.8000E-11	7.8000E-11	-1.835332E-11	-1.835332E-11	   20.0090	   20.9992	   23.2818	   -0.7418	
  -40.0000	1.5000E-11	1.5000E-11	-1.918733E-11	-1.918733E-11	   20.0116	   20.9955	   23.2910	   -0.7395	
  -50.0000	-6.4000E-11	-6.4000E-11	-2.029695E-11	-2.029695E-11	   20.0142	   20.9980	   23.2941	   -0.7356	
  -60.0000	-2.2000E-11	-2.2000E-11	-2.093192E-11	-2.093192E-11	   20.0142	   20.9987	   23.3008	   -0.7311	
  -70.0000	-1.8400E-10	-1.8400E-10	-2.130716E-11	-2.130716E-11	   20.0090	   20.9987	   23.3137	   -0.7311	
  -80.0000	-1.9000E-10	-1.9000E-10	-2.187633E-11	-2.187633E-11	   20.0090	   20.9983	   23.3137	   -0.7238	
  -90.0000	-1.3500E-10	-1.3500E-10	-2.260338E-11	-2.260338E-11	   19.9987	   20.9996	   23.3175	   -0.7195	
 -100.0000	-2.3800E-10	-2.3800E-10	-2.331353E-11	-2.331353E-11	   19.9936	   21.0037	   23.3156	   -0.7170	
 -110.0000	-3.5800E-10	-3.5800E-10	-2.368876E-11	-2.368876E-11	   19.9884	   20.9989	   23.3185	   -0.7222	
 -120.0000	-3.4100E-10	-3.4100E-10	-2.437649E-11	-2.437649E-11	   19.9884	   21.0025	   23.3276	   -0.7175	
 -130.0000	-3.4200E-10	-3.4200E-10	-2.514938E-11	-2.514938E-11	   19.9884	   20.9997	   23.3340	   -0.7145	
 -140.0000	-3.2000E-10	-3.2000E-10	-2.605489E-11	-2.605489E-11	   19.9910	   21.0027	   23.3191	   -0.7083	
 -150.0000	-4.3500E-10	-4.3500E-10	-2.641322E-11	-2.641322E-11	   19.9910	   21.0004	   23.3191	   -0.7189	
 -160.0000	-4.3300E-10	-4.3300E-10	-2.724660E-11	-2.724660E-11	   19.9961	   20.9982	   23.3175	   -0.7217	
 -170.0000	-5.1300E-10	-5.1300E-10	-2.855912E-11	-2.855912E-11	   19.9987	   21.0065	   23.3207	   -0.7128	
 -180.0000	-4.1000E-10	-4.1000E-10	-3.125037E-11	-3.125037E-11	   20.0039	   21.0027	   23.3153	   -0.7192	
 -190.0000	-4.6300E-10	-4.6300E-10	-3.405958E-11	-3.405958E-11	   20.0090	   21.0025	   23.3093	   -0.7229	
 -200.0000	-5.0500E-10	-5.0500E-10	-3.773272E-11	-3.773272E-11	   20.0116	   21.0046	   23.3248	   -0.7120	
 -210.0000	-6.0000E-10	-6.0000E-10	-4.109215E-11	-4.109215E-11	   20.0142	   21.0011	   23.3156	   -0.7203	
 -220.0000	-5.1700E-10	-5.1700E-10	-4.376363E-11	-4.376363E-11	   20.0142	   21.0038	   23.3172	   -0.7171	
 -230.0000	-5.3600E-10	-5.3600E-10	-4.535261E-11	-4.535261E-11	   20.0116	   21.0067	   23.3216	   -0.7121	
 -240.0000	-6.6500E-10	-6.6500E-10	-4.646546E-11	-4.646546E-11	   20.0064	   21.0060	   23.3188	   -0.7144	
 -250.0000	-5.9400E-10	-5.9400E-10	-4.753006E-11	-4.753006E-11	   20.0013	   21.0080	   23.3156	   -0.7145	
 -260.0000	-6.4500E-10	-6.4500E-10	-4.869511E-11	-4.869511E-11	   19.9961	   21.0028	   23.3163	   -0.7186	
 -270.0000	-6.3600E-10	-6.3600E-10	-4.942705E-11	-4.942705E-11	   19.9910	   21.0018	   23.3061	   -0.7253	
 -280.0000	-7.6400E-10	-7.6400E-10	-5.032744E-11	-5.032744E-11	   19.9884	   20.9999	   23.3112	   -0.7239	
 -290.0000	-7.5200E-10	-7.5200E-10	-5.106590E-11	-5.106590E-11	   19.9884	   21.0051	   23.3068	   -0.7222	
 -300.0000	-7.6800E-10	-7.6800E-10	-5.192457E-11	-5.192457E-11	   19.9884	   21.0078	   23.3125	   -0.7166	
 -310.0000	-7.0700E-10	-7.0700E-10	-5.259377E-11	-5.259377E-11	   19.9910	   21.0068	   23.2941	   -0.7281	
 -320.0000	-8.0500E-10	-8.0500E-10	-5.290403E-11	-5.290403E-11	   19.9936	   21.0068	   23.3042	   -0.7222	
 -330.0000	-8.3300E-10	-8.3300E-10	-5.319981E-11	-5.319981E-11	   20.0013	   21.0016	   23.2966	   -0.7310	
 -340.0000	-8.6100E-10	-8.6100E-10	-5.372601E-11	-5.372601E-11	   20.0064	   21.0024	   23.2982	   -0.7295	
 -350.0000	-8.8300E-10	-8.8300E-10	-5.441047E-11	-5.441047E-11	   20.0090	   21.0061	   23.3068	   -0.7213	
 -360.0000	-9.1100E-10	-9.1100E-10	-5.497984E-11	-5.497984E-11	   20.0142	   21.0061	   23.2906	   -0.7213	
 -370.0000	-8.7400E-10	-8.7400E-10	-5.563824E-11	-5.563824E-11	   20.0142	   21.0057	   23.2906	   -0.7311	
 -380.0000	-8.6800E-10	-8.6800E-10	-5.622328E-11	-5.622328E-11	   20.0142	   21.0091	   23.2881	   -0.7298	
 -390.0000	-8.5600E-10	-8.5600E-10	-5.662503E-11	-5.662503E-11	   20.0142	   21.0094	   23.2764	   -0.7364	
 -400.0000	-8.4800E-10	-8.4800E-10	-5.623167E-11	-5.623167E-11	   20.0064	   21.0096	   23.2834	   -0.7322	
 -420.0000	-1.2220E-9	-1.2220E-9	-5.730481E-11	-5.730481E-11	   20.0064	   21.0096	   23.2834	   -0.7322	
 -440.0000	-1.3100E-9	-1.3100E-9	-5.783324E-11	-5.783324E-11	   20.0013	   21.0087	   23.2669	   -0.7425	
 -460.0000	-1.2470E-9	-1.2470E-9	-5.870006E-11	-5.870006E-11	   19.9961	   21.0087	   23.2666	   -0.7427	
 -480.0000	-1.3220E-9	-1.3220E-9	-5.931871E-11	-5.931871E-11	   19.9910	   21.0090	   23.2641	   -0.7440	
 -500.0000	-1.4460E-9	-1.4460E-9	-5.954872E-11	-5.954872E-11	   19.9884	   21.0068	   23.2549	   -0.7512	
 -520.0000	-1.4180E-9	-1.4180E-9	-6.060456E-11	-6.060456E-11	   19.9884	   21.0068	   23.2511	   -0.7512	
 -540.0000	-1.4760E-9	-1.4760E-9	-6.144567E-11	-6.144567E-11	   19.9884	   21.0093	   23.2511	   -0.7513	
 -560.0000	-1.5300E-9	-1.5300E-9	-6.184393E-11	-6.184393E-11	   19.9910	   21.0057	   23.2451	   -0.7579	
 -580.0000	-1.5920E-9	-1.5920E-9	-6.239886E-11	-6.239886E-11	   19.9936	   21.0113	   23.2435	   -0.7541	
 -600.0000	-1.7180E-9	-1.7180E-9	-6.258567E-11	-6.258567E-11	   19.9987	   21.0111	   23.2283	   -0.7632	
 -620.0000	-1.8260E-9	-1.8260E-9	-6.325794E-11	-6.325794E-11	   20.0039	   21.0128	   23.2214	   -0.7658	
 -640.0000	-1.7020E-9	-1.7020E-9	-6.394810E-11	-6.394810E-11	   20.0116	   21.0128	   23.2100	   -0.7658	
 -660.0000	-1.7780E-9	-1.7780E-9	-6.429134E-11	-6.429134E-11	   20.0116	   21.0128	   23.2100	   -0.7725	
 -680.0000	-1.8620E-9	-1.8620E-9	-6.535737E-11	-6.535737E-11	   20.0142	   21.0108	   23.1986	   -0.7810	
 -700.0000	-1.8820E-9	-1.8820E-9	-6.550771E-11	-6.550771E-11	   20.0167	   21.0152	   23.1850	   -0.7853	
 -720.0000	-1.9460E-9	-1.9460E-9	-6.597056E-11	-6.597056E-11	   20.0142	   21.0152	   23.1739	   -0.7853	
 -740.0000	-2.0200E-9	-2.0200E-9	-6.614025E-11	-6.614025E-11	   20.0142	   21.0159	   23.1739	   -0.7913	
 -760.0000	-1.9980E-9	-1.9980E-9	-6.633112E-11	-6.633112E-11	   20.0090	   21.0139	   23.1698	   -0.7953	
 -780.0000	-2.1220E-9	-2.1220E-9	-6.692861E-11	-6.692861E-11	   20.0064	   21.0191	   23.1660	   -0.7932	
 -800.0000	-2.1110E-9	-2.1110E-9	-6.737311E-11	-6.737311E-11	   19.9987	   21.0191	   23.1654	   -0.7932	
 -820.0000	-2.1020E-9	-2.1020E-9	-6.786715E-11	-6.786715E-11	   19.9987	   21.0191	   23.1654	   -0.7936	
 -840.0000	-2.1370E-9	-2.1370E-9	-6.839066E-11	-6.839066E-11	   19.9936	   21.0164	   23.1483	   -0.8059	
 -860.0000	-2.2320E-9	-2.2320E-9	-6.886409E-11	-6.886409E-11	   19.9910	   21.0176	   23.1559	   -0.8005	
 -880.0000	-2.3330E-9	-2.3330E-9	-6.955325E-11	-6.955325E-11	   19.9884	   21.0245	   23.1540	   -0.7958	
 -900.0000	-2.3230E-9	-2.3230E-9	-6.989487E-11	-6.989487E-11	   19.9884	   21.0245	   23.1540	   -0.7958	
 -920.0000	-2.3940E-9	-2.3940E-9	-6.995311E-11	-6.995311E-11	   19.9884	   21.0177	   23.1521	   -0.8026	
 -940.0000	-2.5520E-9	-2.5520E-9	-7.061135E-11	-7.061135E-11	   19.9910	   21.0247	   23.1626	   -0.7905	
 -960.0000	-2.4860E-9	-2.4860E-9	-7.104933E-11	-7.104933E-11	   19.9961	   21.0247	   23.1727	   -0.7905	
 -980.0000	-2.5650E-9	-2.5650E-9	-7.155207E-11	-7.155207E-11	   19.9961	   21.0247	   23.1727	   -0.7845	
-1000.0000	-2.7280E-9	-2.7280E-9	-7.236488E-11	-7.236488E-11	   20.0039	   21.0242	   23.1730	   -0.7848	
