#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.281170E-12
#38693_001_2-S_HM_XX_Unirrad_Interstrip
#Date/Time: 4/18/2022 10:57:29 AM
#Sensor Name: 38693_001_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3733138728.670659	1.172825	23.500000	26.930829	-3.500000E-9	5.280750E-12	-3.592383E-11	-4.021996E-11	-4.739199E-11	-5.209925E-11	-5.631567E-11	-6.070072E-11
2	3733138764.453118	1.181421	23.500000	26.908018	-3.490000E-9	5.351750E-12	-3.442528E-11	-3.829434E-11	-4.257595E-11	-4.706447E-11	-5.310510E-11	-5.827115E-11
3	3733138800.460118	1.166700	23.500000	26.893473	-3.490000E-9	5.375410E-12	-3.220995E-11	-3.765016E-11	-4.217689E-11	-4.491580E-11	-4.936914E-11	-5.628094E-11
4	3733138836.503615	1.176062	23.500000	26.885112	-3.500000E-9	5.384150E-12	-2.865452E-11	-3.407713E-11	-3.779818E-11	-4.154990E-11	-4.658672E-11	-5.105481E-11
5	3733138872.389097	1.172835	23.500000	26.908455	-3.490000E-9	5.387350E-12	-3.200123E-11	-3.683445E-11	-4.147670E-11	-4.190358E-11	-4.850908E-11	-5.580377E-11
6	3733138908.252019	1.161482	23.500000	26.905958	-3.490000E-9	5.389460E-12	-3.465122E-11	-3.901809E-11	-4.525705E-11	-4.951432E-11	-5.228533E-11	-6.046792E-11
7	3733138944.086040	1.171351	23.500000	26.900351	-3.490000E-9	5.390320E-12	-3.556199E-11	-3.957949E-11	-4.364297E-11	-4.994305E-11	-5.194943E-11	-5.740109E-11
8	3733138979.904214	1.178776	23.500000	26.912042	-3.480000E-9	5.391280E-12	-3.236084E-11	-3.625240E-11	-4.070044E-11	-4.502683E-11	-4.856737E-11	-5.540288E-11
9	3733139015.896479	1.179561	23.500000	26.918899	-3.480000E-9	5.391710E-12	-3.393853E-11	-3.858140E-11	-4.323839E-11	-4.875013E-11	-5.204024E-11	-5.552615E-11
10	3733139051.784282	1.164409	23.500000	26.926943	-3.480000E-9	5.391580E-12	-3.486753E-11	-3.833607E-11	-4.524888E-11	-4.959447E-11	-5.357987E-11	-5.762904E-11
11	3733139088.089375	1.171805	23.500000	26.923197	-3.490000E-9	5.391390E-12	-3.353681E-11	-3.637140E-11	-4.313902E-11	-5.016569E-11	-5.051856E-11	-5.597247E-11
12	3733139124.122185	1.173273	23.500000	26.932987	-3.490000E-9	5.390690E-12	-3.072061E-11	-3.452692E-11	-4.065690E-11	-4.470158E-11	-5.022438E-11	-5.452276E-11
13	3733139159.986022	1.157169	23.500000	26.934592	-3.480000E-9	5.391030E-12	-3.395246E-11	-3.806847E-11	-4.302721E-11	-4.761999E-11	-5.093440E-11	-5.563700E-11
14	3733139195.854455	1.174453	23.500000	26.935761	-3.480000E-9	5.391840E-12	-3.014470E-11	-3.696961E-11	-4.090776E-11	-4.620445E-11	-5.085469E-11	-5.489772E-11
15	3733139231.893618	1.176635	23.500000	26.939052	-3.480000E-9	5.392430E-12	-3.585580E-11	-4.185800E-11	-4.564816E-11	-4.950434E-11	-5.463254E-11	-6.046526E-11
16	3733139267.781297	1.175161	23.500000	26.941351	-3.480000E-9	5.391860E-12	-3.622030E-11	-3.863517E-11	-4.552917E-11	-5.056948E-11	-5.477322E-11	-6.003718E-11
17	3733139303.649434	1.169011	23.500000	26.947673	-3.480000E-9	5.391170E-12	-3.811201E-11	-4.135466E-11	-4.579535E-11	-5.186746E-11	-5.643451E-11	-6.033159E-11
18	3733139339.508173	1.177636	23.500000	26.959522	-3.480000E-9	5.391220E-12	-3.024570E-11	-3.439833E-11	-4.094128E-11	-4.409766E-11	-4.674927E-11	-5.632185E-11
19	3733139375.540801	1.163801	23.500000	26.960135	-3.490000E-9	5.392440E-12	-3.227970E-11	-3.675206E-11	-4.235337E-11	-4.568127E-11	-4.996639E-11	-5.549573E-11
20	3733139411.464078	1.176604	23.500000	26.962694	-3.480000E-9	5.391550E-12	-3.326530E-11	-3.761952E-11	-4.012373E-11	-4.656591E-11	-5.169779E-11	-5.768325E-11
21	3733139447.358722	1.172237	23.500000	26.961821	-3.480000E-9	5.391800E-12	-3.200124E-11	-3.638347E-11	-4.166194E-11	-4.418619E-11	-4.910607E-11	-5.455937E-11
22	3733139483.340237	1.182904	23.500000	26.974286	-3.490000E-9	5.392650E-12	-3.180028E-11	-3.875498E-11	-4.287285E-11	-4.797921E-11	-5.342184E-11	-5.654512E-11
23	3733139519.507444	1.185368	23.500000	26.980210	-3.480000E-9	5.391450E-12	-3.336181E-11	-3.632254E-11	-4.163495E-11	-4.727796E-11	-5.080171E-11	-5.640547E-11
24	3733139555.383486	1.195470	23.500000	26.983460	-3.490000E-9	5.390890E-12	-3.563335E-11	-4.152087E-11	-4.422114E-11	-4.797716E-11	-5.416764E-11	-5.828921E-11
25	3733139591.254367	1.198383	23.500000	26.988792	-3.480000E-9	5.391310E-12	-3.213290E-11	-3.779308E-11	-3.979986E-11	-4.494178E-11	-5.060136E-11	-5.486561E-11
26	3733139627.266767	1.207822	23.500000	27.007101	-3.480000E-9	5.392510E-12	-3.132168E-11	-3.697001E-11	-4.377096E-11	-4.856001E-11	-5.254784E-11	-5.765235E-11
27	3733139663.567799	1.208327	23.500000	27.005556	-3.480000E-9	5.392130E-12	-3.434740E-11	-4.022756E-11	-4.199107E-11	-4.759463E-11	-5.401757E-11	-5.842777E-11
28	3733139699.558061	1.219438	23.500000	27.018774	-3.470000E-9	5.391150E-12	-3.301139E-11	-3.755306E-11	-4.050765E-11	-4.808631E-11	-4.969199E-11	-5.435243E-11
29	3733139735.471723	1.224307	23.500000	27.015662	-3.480000E-9	5.391970E-12	-3.038163E-11	-3.577746E-11	-3.979844E-11	-4.598261E-11	-5.025319E-11	-5.446815E-11
30	3733139771.627771	1.247161	23.500000	27.041345	-3.470000E-9	5.391090E-12	-3.345767E-11	-3.756573E-11	-4.408559E-11	-4.777003E-11	-5.107729E-11	-5.700120E-11
31	3733139807.590028	1.285450	23.500000	27.044673	-3.480000E-9	5.390070E-12	-3.134211E-11	-3.656968E-11	-4.133584E-11	-4.611711E-11	-4.798430E-11	-5.474703E-11
32	3733139843.478505	1.256590	23.500000	27.048816	-3.480000E-9	5.390970E-12	-3.012897E-11	-3.631577E-11	-3.878687E-11	-4.664580E-11	-5.042920E-11	-5.517123E-11
33	3733139879.323488	1.234261	23.500000	27.048519	-3.480000E-9	5.391180E-12	-3.219812E-11	-3.815637E-11	-4.183407E-11	-4.692222E-11	-5.109978E-11	-5.584019E-11
34	3733139915.513224	1.354166	23.500000	27.067286	-3.470000E-9	5.392130E-12	-2.996643E-11	-3.591918E-11	-3.960648E-11	-4.272115E-11	-4.904025E-11	-5.367188E-11
35	3733139951.528414	1.247959	23.500000	27.066216	-3.480000E-9	5.392390E-12	-3.728974E-11	-4.100526E-11	-4.591739E-11	-5.208825E-11	-5.225571E-11	-5.899514E-11
36	3733139987.382704	1.263725	23.500000	27.074735	-3.480000E-9	5.389680E-12	-3.455022E-11	-3.828905E-11	-4.391549E-11	-4.736994E-11	-5.314808E-11	-5.669474E-11
37	3733140023.243195	1.288149	23.500000	27.080244	-3.470000E-9	5.390710E-12	-3.245141E-11	-3.676433E-11	-4.086297E-11	-4.519347E-11	-4.961044E-11	-5.504693E-11
38	3733140059.228030	1.336332	23.500000	27.096177	-3.480000E-9	5.390730E-12	-3.559881E-11	-4.165192E-11	-4.572584E-11	-4.968445E-11	-5.422941E-11	-5.875513E-11
39	3733140095.209806	1.351086	23.500000	27.091322	-3.480000E-9	5.389990E-12	-3.586497E-11	-4.303293E-11	-4.945587E-11	-5.252126E-11	-5.624703E-11	-6.106370E-11
40	3733140131.071774	1.251219	23.500000	27.095247	-3.470000E-9	5.390470E-12	-3.267897E-11	-3.775830E-11	-4.071128E-11	-4.705021E-11	-5.420875E-11	-5.858215E-11
41	3733140167.122329	1.299565	23.500000	27.113200	-3.470000E-9	5.389670E-12	-3.187858E-11	-3.457332E-11	-4.100751E-11	-4.633856E-11	-5.118158E-11	-5.505963E-11
42	3733140203.134195	1.324710	23.500000	27.116748	-3.470000E-9	5.390680E-12	-3.273274E-11	-3.844422E-11	-4.342176E-11	-4.852505E-11	-5.261960E-11	-5.637666E-11
43	3733140239.115963	1.316058	23.500000	27.131727	-3.470000E-9	5.391430E-12	-3.685324E-11	-4.105820E-11	-4.648981E-11	-5.105890E-11	-5.675976E-11	-6.095467E-11
44	3733140275.021277	1.266453	23.500000	27.113003	-3.470000E-9	5.391070E-12	-3.242790E-11	-3.887335E-11	-4.351970E-11	-4.614063E-11	-5.318937E-11	-5.679409E-11
45	3733140310.903376	1.380461	23.500000	27.126101	-3.470000E-9	5.391580E-12	-3.618965E-11	-3.919205E-11	-4.385743E-11	-4.944993E-11	-5.331797E-11	-5.839691E-11
46	3733140347.050188	1.295944	23.500000	27.127387	-3.480000E-9	5.392510E-12	-3.298459E-11	-4.051908E-11	-4.461244E-11	-4.932072E-11	-5.307755E-11	-5.942975E-11
47	3733140383.077227	1.307192	23.500000	27.137634	-3.470000E-9	5.393190E-12	-3.536942E-11	-4.095885E-11	-4.554549E-11	-5.182168E-11	-5.390143E-11	-5.755052E-11
