#Open Capacitance 1000Hz:4.919100E-12
#Open Capacitance 1000000Hz:Not Measured
#38694_003_2-S_HM_XX_Unirrad
#Date/Time: 2/7/2022 4:48:11 PM
#Sensor Name: 38694_003_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3727115370.945074	1.206581	20.000000	28.598494	-7.000000E-11	-6.300381E-6	7.811340E-12	-2.739190E-9	-2.739958E-9	-2.737140E-9	-2.740363E-9	-2.739163E-9	-2.739574E-9	2.682099E-9
2	3727115386.726709	1.189710	20.000000	28.593301	-7.000000E-11
#Open Capacitance 1000Hz:4.474060E-12
#Open Capacitance 1000000Hz:Not Measured
#38694_003_2-S_HM_XX_Unirrad
#Date/Time: 2/7/2022 4:50:49 PM
#Sensor Name: 38694_003_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3727115527.917833	1.196932	20.000000	28.595818	-2.820000E-9	-5.238182E-11	8.011370E-11	-3.182381E-11	-2.947479E-11	-3.040643E-11	-2.953265E-11	-3.030942E-11	-2.996954E-11	-3.268890E-6
2	3727115543.969018	1.191128	20.000000	28.594868	-2.810000E-9	-4.857689E-11	8.010420E-11	-2.868627E-11	-3.045468E-11	-2.918081E-11	-2.950526E-11	-2.945676E-11	-2.934303E-11	-3.268749E-6
3	3727115560.431489	1.182513	20.000000	28.599169	-2.810000E-9	-5.478489E-11	8.009700E-11	-3.070287E-11	-3.118597E-11	-3.294498E-11	-3.170915E-11	-3.163574E-11	-3.144756E-11	-3.266916E-6
4	3727115576.762105	1.181818	20.000000	28.601249	-2.810000E-9	-5.668728E-11	8.008680E-11	-2.941900E-11	-2.910109E-11	-2.943393E-11	-2.884901E-11	-2.920076E-11	-2.926004E-11	-3.267204E-6
5	3727115593.058152	1.180632	20.000000	28.600081	-2.810000E-9	-5.273229E-11	8.007440E-11	-3.007443E-11	-3.084006E-11	-2.973138E-11	-2.862250E-11	-2.981709E-11	-2.990290E-11	-3.270804E-6
6	3727115609.379539	1.179909	20.000000	28.607945	-2.810000E-9	-5.458465E-11	8.006200E-11	-2.791022E-11	-3.003559E-11	-3.136506E-11	-3.212906E-11	-3.035998E-11	-3.070033E-11	-3.270414E-6
