GCD Test
Bias: 5000.000000
IV_38694_046_2-S_HM_XX_DIODE
Date/Time: 2/10/2022 2:49:15 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.5000E-10	-1.5000E-10	-1.178455E-10	-1.178455E-10	   19.5792	   21.4512	   27.8763	    2.1332	
  -20.0000	-4.7000E-10	-4.7000E-10	-1.389752E-10	-1.389752E-10	   19.5766	   21.4603	   27.8805	    2.1431	
  -30.0000	-2.3800E-10	-2.3800E-10	-1.539704E-10	-1.539704E-10	   19.5741	   21.4637	   27.8770	    2.1442	
  -40.0000	-6.3900E-10	-6.3900E-10	-1.657081E-10	-1.657081E-10	   19.5689	   21.4637	   27.8906	    2.1442	
  -50.0000	-5.0200E-10	-5.0200E-10	-1.764249E-10	-1.764249E-10	   19.5689	   21.4731	   27.8906	    2.1591	
  -60.0000	-5.3500E-10	-5.3500E-10	-1.867998E-10	-1.867998E-10	   19.5638	   21.4817	   27.8795	    2.1610	
  -70.0000	-7.2500E-10	-7.2500E-10	-2.144968E-10	-2.144968E-10	   19.5638	   21.4817	   27.8795	    2.1610	
  -80.0000	-9.1800E-10	-9.1800E-10	-2.307255E-10	-2.307255E-10	   19.5586	   21.4842	   27.8574	    2.1520	
  -90.0000	-9.7300E-10	-9.7300E-10	-2.451111E-10	-2.451111E-10	   19.5535	   21.4842	   27.8460	    2.1520	
 -100.0000	-7.9600E-10	-7.9600E-10	-2.524841E-10	-2.524841E-10	   19.5535	   21.4946	   27.8460	    2.1552	
 -110.0000	-1.1380E-9	-1.1380E-9	-2.625864E-10	-2.625864E-10	   19.5483	   21.4946	   27.8191	    2.1552	
 -120.0000	-7.6800E-10	-7.6800E-10	-5.555238E-10	-5.555238E-10	   19.5483	   21.4997	   27.8191	    2.1460	
 -130.0000	-7.7400E-10	-7.7400E-10	-3.000402E-10	-3.000402E-10	   19.5432	   21.5088	   27.8150	    2.1518	
 -140.0000	-1.3290E-9	-1.3290E-9	-2.882853E-10	-2.882853E-10	   19.5380	   21.5088	   27.8169	    2.1518	
 -150.0000	-1.1890E-9	-1.1890E-9	-2.907346E-10	-2.907346E-10	   19.5380	   21.5088	   27.8169	    2.1527	
 -160.0000	-1.2770E-9	-1.2770E-9	-2.937821E-10	-2.937821E-10	   19.5329	   21.5088	   27.8042	    2.1527	
 -170.0000	-9.8000E-10	-9.8000E-10	-3.005300E-10	-3.005300E-10	   19.5329	   21.5143	   27.8042	    2.1511	
 -180.0000	-1.1950E-9	-1.1950E-9	-3.106936E-10	-3.106936E-10	   19.5277	   21.5143	   27.7960	    2.1511	
 -190.0000	-1.4770E-9	-1.4770E-9	-3.234054E-10	-3.234054E-10	   19.5277	   21.5196	   27.7960	    2.1514	
 -200.0000	-1.2500E-9	-1.2500E-9	-3.412782E-10	-3.412782E-10	   19.5252	   21.5227	   27.7913	    2.1517	
 -210.0000	-1.2690E-9	-1.2690E-9	-3.599456E-10	-3.599456E-10	   19.5200	   21.5227	   27.7751	    2.1517	
 -220.0000	-1.4470E-9	-1.4470E-9	-3.776679E-10	-3.776679E-10	   19.5200	   21.5227	   27.7751	    2.1436	
 -230.0000	-1.4580E-9	-1.4580E-9	-3.873548E-10	-3.873548E-10	   19.5174	   21.5271	   27.7701	    2.1447	
 -240.0000	-1.5120E-9	-1.5120E-9	-3.986438E-10	-3.986438E-10	   19.5149	   21.5275	   27.7723	    2.1463	
 -250.0000	-1.7050E-9	-1.7050E-9	-4.062947E-10	-4.062947E-10	   19.5123	   21.5257	   27.7641	    2.1406	
 -260.0000	-1.3090E-9	-1.3090E-9	-4.121392E-10	-4.121392E-10	   19.5097	   21.5257	   27.7676	    2.1406	
 -270.0000	-1.4040E-9	-1.4040E-9	-4.182757E-10	-4.182757E-10	   19.5097	   21.5327	   27.7676	    2.1483	
 -280.0000	-1.4940E-9	-1.4940E-9	-4.232622E-10	-4.232622E-10	   19.5046	   21.5327	   27.7698	    2.1483	
 -290.0000	-1.6350E-9	-1.6350E-9	-4.291649E-10	-4.291649E-10	   19.5046	   21.5326	   27.7698	    2.1493	
 -300.0000	-1.4440E-9	-1.4440E-9	-4.321183E-10	-4.321183E-10	   19.4994	   21.5302	   27.7540	    2.1393	
 -310.0000	-1.8510E-9	-1.8510E-9	-4.350863E-10	-4.350863E-10	   19.4943	   21.5302	   27.7543	    2.1393	
 -320.0000	-1.8460E-9	-1.8460E-9	-4.402193E-10	-4.402193E-10	   19.4943	   21.5357	   27.7543	    2.1442	
 -330.0000	-1.7780E-9	-1.7780E-9	-4.438386E-10	-4.438386E-10	   19.4917	   21.5357	   27.7479	    2.1442	
 -340.0000	-1.9150E-9	-1.9150E-9	-4.462407E-10	-4.462407E-10	   19.4917	   21.5401	   27.7479	    2.1447	
 -350.0000	-1.5980E-9	-1.5980E-9	-4.480870E-10	-4.480870E-10	   19.4866	   21.5400	   27.7404	    2.1409	
 -360.0000	-1.4110E-9	-1.4110E-9	-4.521920E-10	-4.521920E-10	   19.4866	   21.5400	   27.7404	    2.1409	
 -370.0000	-1.6940E-9	-1.6940E-9	-4.561225E-10	-4.561225E-10	   19.4840	   21.5363	   27.7271	    2.1309	
 -380.0000	-1.5750E-9	-1.5750E-9	-4.571732E-10	-4.571732E-10	   19.4788	   21.5363	   27.7343	    2.1309	
 -390.0000	-1.6270E-9	-1.6270E-9	-4.602737E-10	-4.602737E-10	   19.4788	   21.5362	   27.7343	    2.1346	
 -400.0000	-1.6540E-9	-1.6540E-9	-4.635035E-10	-4.635035E-10	   19.4763	   21.5409	   27.7261	    2.1344	
 -420.0000	-2.0280E-9	-2.0280E-9	-4.739539E-10	-4.739539E-10	   19.4737	   21.5396	   27.7214	    2.1309	
 -440.0000	-2.1330E-9	-2.1330E-9	-4.752554E-10	-4.752554E-10	   19.4737	   21.5396	   27.7214	    2.1309	
