GCD Test
Bias: 5000.000000
CV_38695_002_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 2/11/2022 12:41:45 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.039E-11	1.690E+9	   20.0193	   21.4857	   21.4320	   -1.4634	
  -20.0000	7.252E-12	3.382E+9	   20.0064	   21.4878	   21.4307	   -1.4625	
  -30.0000	5.925E-12	3.366E+9	   19.9961	   21.4878	   21.4298	   -1.4631	
  -40.0000	5.157E-12	3.256E+9	   19.9884	   21.4843	   21.4238	   -1.4698	
  -50.0000	4.624E-12	3.172E+9	   19.9807	   21.4872	   21.4314	   -1.4625	
  -60.0000	4.232E-12	3.420E+9	   19.9781	   21.4844	   21.4336	   -1.4635	
  -70.0000	3.915E-12	3.308E+9	   19.9781	   21.4869	   21.4279	   -1.4650	
  -80.0000	3.655E-12	3.572E+9	   19.9781	   21.4851	   21.4304	   -1.4649	
  -90.0000	3.431E-12	3.661E+9	   19.9858	   21.4869	   21.4298	   -1.4639	
 -100.0000	3.246E-12	3.547E+9	   19.9961	   21.4869	   21.4292	   -1.4643	
 -110.0000	3.088E-12	3.591E+9	   20.0064	   21.4829	   21.4273	   -1.4688	
 -120.0000	2.950E-12	4.180E+9	   20.0064	   21.4829	   21.4273	   -1.4688	
 -130.0000	2.839E-12	4.188E+9	   20.0219	   21.4889	   21.4279	   -1.4634	
 -140.0000	2.727E-12	4.101E+9	   20.0245	   21.4881	   21.4269	   -1.4646	
 -150.0000	2.633E-12	4.191E+9	   20.0245	   21.4844	   21.4228	   -1.4703	
 -160.0000	2.549E-12	4.369E+9	   20.0167	   21.4884	   21.4263	   -1.4648	
 -170.0000	2.464E-12	4.407E+9	   20.0090	   21.4845	   21.4295	   -1.4660	
 -180.0000	2.385E-12	4.156E+9	   19.9987	   21.4856	   21.4146	   -1.4745	
 -190.0000	2.311E-12	3.791E+9	   19.9884	   21.4818	   21.4257	   -1.4707	
 -200.0000	2.254E-12	3.949E+9	   19.9807	   21.4871	   21.4330	   -1.4617	
 -210.0000	2.216E-12	4.483E+9	   19.9755	   21.4871	   21.4314	   -1.4627	
 -220.0000	2.195E-12	4.225E+9	   19.9755	   21.4871	   21.4314	   -1.4627	
 -230.0000	2.183E-12	4.732E+9	   19.9781	   21.4853	   21.4279	   -1.4664	
 -240.0000	2.175E-12	4.642E+9	   19.9858	   21.4839	   21.4276	   -1.4677	
 -250.0000	2.163E-12	4.060E+9	   19.9910	   21.4842	   21.4330	   -1.4641	
 -260.0000	2.156E-12	4.015E+9	   20.0013	   21.4841	   21.4330	   -1.4642	
 -270.0000	2.150E-12	4.346E+9	   20.0090	   21.4844	   21.4257	   -1.4686	
 -280.0000	2.141E-12	3.698E+9	   20.0167	   21.4819	   21.4244	   -1.4714	
 -290.0000	2.127E-12	3.053E+9	   20.0245	   21.4834	   21.4326	   -1.4649	
 -300.0000	2.099E-12	3.885E+9	   20.0245	   21.4827	   21.4181	   -1.4747	
 -310.0000	2.094E-12	4.623E+9	   20.0219	   21.4827	   21.4307	   -1.4667	
 -320.0000	2.091E-12	5.236E+9	   20.0167	   21.4874	   21.4336	   -1.4610	
 -330.0000	2.085E-12	5.642E+9	   20.0116	   21.4884	   21.4301	   -1.4624	
 -340.0000	2.090E-12	5.476E+9	   20.0039	   21.4847	   21.4181	   -1.4731	
 -350.0000	2.083E-12	5.240E+9	   19.9936	   21.4841	   21.4231	   -1.4704	
 -360.0000	2.085E-12	5.698E+9	   19.9858	   21.4841	   21.4181	   -1.4704	
 -370.0000	2.083E-12	5.591E+9	   19.9807	   21.4830	   21.4203	   -1.4731	
 -380.0000	2.081E-12	6.429E+9	   19.9807	   21.4830	   21.4203	   -1.4731	
 -390.0000	2.082E-12	6.056E+9	   19.9781	   21.4885	   21.4295	   -1.4627	
 -400.0000	2.078E-12	5.897E+9	   19.9807	   21.4830	   21.4292	   -1.4675	
 -420.0000	2.079E-12	5.990E+9	   19.9858	   21.4810	   21.4231	   -1.4730	
 -440.0000	2.078E-12	6.860E+9	   19.9936	   21.4854	   21.4152	   -1.4743	
 -460.0000	2.075E-12	6.167E+9	   20.0013	   21.4835	   21.4295	   -1.4669	
 -480.0000	2.075E-12	6.068E+9	   20.0116	   21.4795	   21.4231	   -1.4742	
 -500.0000	2.072E-12	6.493E+9	   20.0167	   21.4817	   21.4307	   -1.4676	
 -520.0000	2.070E-12	6.293E+9	   20.0245	   21.4841	   21.4197	   -1.4726	
 -540.0000	2.073E-12	6.486E+9	   20.0219	   21.4830	   21.4285	   -1.4679	
 -560.0000	2.070E-12	6.512E+9	   20.0245	   21.4798	   21.4292	   -1.4702	
 -580.0000	2.072E-12	5.970E+9	   20.0167	   21.4825	   21.4247	   -1.4707	
 -600.0000	2.070E-12	7.041E+9	   20.0090	   21.4744	   21.4231	   -1.4785	
