GCD Test
Bias: 5000.000000
IV_38695_044_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 2/9/2022 4:34:22 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.0000E-12	7.0000E-12	-3.781161E-12	-3.781161E-12	   -0.0256	   15.4229	   25.4870	   -4.2398	
  -20.0000	-4.6300E-10	-4.6300E-10	-3.683378E-12	-3.683378E-12	   -0.0256	   15.4347	   25.4870	   -4.2277	
  -30.0000	-9.1400E-10	-9.1400E-10	-3.966538E-12	-3.966538E-12	   -0.0281	   15.4513	   25.5171	   -4.1979	
  -40.0000	-1.2380E-9	-1.2380E-9	-4.367650E-12	-4.367650E-12	   -0.0281	   15.4513	   25.5171	   -4.1979	
  -50.0000	-1.6050E-9	-1.6050E-9	-4.173918E-12	-4.173918E-12	   -0.0205	   15.4513	   25.5127	   -4.2002	
  -60.0000	-1.9950E-9	-1.9950E-9	-4.574621E-12	-4.574621E-12	   -0.0128	   15.4312	   25.5275	   -4.2095	
  -70.0000	-2.4100E-9	-2.4100E-9	-4.317738E-12	-4.317738E-12	   -0.0077	   15.4339	   25.5168	   -4.2129	
  -80.0000	-2.8330E-9	-2.8330E-9	-4.704794E-12	-4.704794E-12	    0.0026	   15.4497	   25.5225	   -4.1964	
  -90.0000	-3.3000E-9	-3.3000E-9	-4.922768E-12	-4.922768E-12	    0.0230	   15.4497	   25.5338	   -4.1964	
 -100.0000	-3.7620E-9	-3.7620E-9	-4.848210E-12	-4.848210E-12	    0.0230	   15.4312	   25.5338	   -4.2063	
 -110.0000	-4.4920E-9	-4.4920E-9	-5.228134E-12	-5.228134E-12	    0.0307	   15.4185	   25.5376	   -4.2152	
 -120.0000	-5.1850E-9	-5.1850E-9	-5.577500E-12	-5.577500E-12	    0.0333	   15.4183	   25.5395	   -4.2143	
 -130.0000	-5.7510E-9	-5.7510E-9	-5.217132E-12	-5.217132E-12	    0.0333	   15.4183	   25.5620	   -4.2143	
 -140.0000	-6.4740E-9	-6.4740E-9	-5.204909E-12	-5.204909E-12	    0.0333	   15.4226	   25.5620	   -4.1990	
 -150.0000	-6.9920E-9	-6.9920E-9	-5.269892E-12	-5.269892E-12	    0.0230	   15.4226	   25.5560	   -4.1990	
 -160.0000	-7.7700E-9	-7.7700E-9	-5.802602E-12	-5.802602E-12	    0.0230	   15.4164	   25.5560	   -4.2073	
 -170.0000	-8.1700E-9	-8.1700E-9	-5.830307E-12	-5.830307E-12	    0.0102	   15.4143	   25.5500	   -4.2123	
 -180.0000	-8.6290E-9	-8.6290E-9	-6.364645E-12	-6.364645E-12	   -0.0000	   15.4143	   25.5383	   -4.2123	
 -190.0000	-8.9420E-9	-8.9420E-9	-7.403787E-12	-7.403787E-12	   -0.0000	   15.4161	   25.5383	   -4.2169	
 -200.0000	-9.2050E-9	-9.2050E-9	-8.156708E-12	-8.156708E-12	   -0.0102	   15.3872	   25.5617	   -4.2293	
 -210.0000	-9.4600E-9	-9.4600E-9	-9.531771E-12	-9.531771E-12	   -0.0205	   15.3818	   25.5648	   -4.2322	
 -220.0000	-9.5130E-9	-9.5130E-9	-9.571090E-12	-9.571090E-12	   -0.0281	   15.3818	   25.5727	   -4.2322	
 -230.0000	-9.7980E-9	-9.7980E-9	-1.022419E-11	-1.022419E-11	   -0.0281	   15.3610	   25.5727	   -4.2459	
 -240.0000	-9.8950E-9	-9.8950E-9	-1.101215E-11	-1.101215E-11	   -0.0307	   15.3751	   25.5917	   -4.2240	
 -250.0000	-9.9800E-9	-9.9800E-9	-1.144382E-11	-1.144382E-11	   -0.0307	   15.3751	   25.5917	   -4.2240	
 -260.0000	-1.0040E-8	-1.0040E-8	-1.153753E-11	-1.153753E-11	   -0.0307	   15.3671	   25.6015	   -4.2258	
 -270.0000	-1.0260E-8	-1.0260E-8	-1.155831E-11	-1.155831E-11	   -0.0256	   15.3671	   25.6259	   -4.2258	
 -280.0000	-1.0460E-8	-1.0460E-8	-1.157868E-11	-1.157868E-11	   -0.0256	   15.3796	   25.6259	   -4.2025	
 -290.0000	-1.0720E-8	-1.0720E-8	-1.218840E-11	-1.218840E-11	   -0.0026	   15.3546	   25.6426	   -4.2151	
 -300.0000	-1.1180E-8	-1.1180E-8	-1.273883E-11	-1.273883E-11	    0.0230	   15.3546	   25.6524	   -4.2151	
 -310.0000	-1.1970E-8	-1.1970E-8	-1.203378E-11	-1.203378E-11	    0.0230	   15.3546	   25.6524	   -4.2100	
 -320.0000	-1.2780E-8	-1.2780E-8	-1.259745E-11	-1.259745E-11	    0.0205	   15.3546	   25.6632	   -4.2100	
 -330.0000	-1.3740E-8	-1.3740E-8	-1.275594E-11	-1.275594E-11	    0.0205	   15.3462	   25.6632	   -4.2116	
 -340.0000	-1.4340E-8	-1.4340E-8	-1.236807E-11	-1.236807E-11	    0.0230	   15.3388	   25.6660	   -4.2164	
 -350.0000	-1.5260E-8	-1.5260E-8	-1.283681E-11	-1.283681E-11	    0.0230	   15.3388	   25.6660	   -4.2164	
 -360.0000	-1.5710E-8	-1.5710E-8	-1.308331E-11	-1.308331E-11	    0.0205	   15.3392	   25.6755	   -4.2112	
 -370.0000	-1.6260E-8	-1.6260E-8	-1.312609E-11	-1.312609E-11	    0.0154	   15.3288	   25.6784	   -4.2186	
 -380.0000	-1.6850E-8	-1.6850E-8	-1.360705E-11	-1.360705E-11	    0.0154	   15.3288	   25.6784	   -4.2186	
 -390.0000	-1.7260E-8	-1.7260E-8	-1.372296E-11	-1.372296E-11	    0.0051	   15.3397	   25.7002	   -4.1981	
 -400.0000	-1.7590E-8	-1.7590E-8	-1.337095E-11	-1.337095E-11	   -0.0000	   15.3382	   25.7170	   -4.1906	
 -420.0000	-1.8410E-8	-1.8410E-8	-1.372214E-11	-1.372214E-11	   -0.0051	   15.3382	   25.7170	   -4.1906	
 -440.0000	-1.9320E-8	-1.9320E-8	-1.366368E-11	-1.366368E-11	   -0.0051	   15.3007	   25.7543	   -4.2033	
 -460.0000	-1.9790E-8	-1.9790E-8	-1.369892E-11	-1.369892E-11	   -0.0128	   15.3007	   25.7622	   -4.1993	
 -480.0000	-2.0630E-8	-2.0630E-8	-1.404646E-11	-1.404646E-11	   -0.0205	   15.3007	   25.7622	   -4.1993	
 -500.0000	-2.1050E-8	-2.1050E-8	-1.410880E-11	-1.410880E-11	   -0.0205	   15.2910	   25.7881	   -4.1942	
 -520.0000	-2.1550E-8	-2.1550E-8	-1.398962E-11	-1.398962E-11	   -0.0154	   15.2910	   25.8023	   -4.1869	
 -540.0000	-2.2620E-8	-2.2620E-8	-1.442903E-11	-1.442903E-11	   -0.0230	   15.2910	   25.8023	   -4.1869	
 -560.0000	-2.3110E-8	-2.3110E-8	-1.438931E-11	-1.438931E-11	   -0.0230	   15.2916	   25.8074	   -4.1837	
 -580.0000	-2.3690E-8	-2.3690E-8	-1.479612E-11	-1.479612E-11	   -0.0230	   15.2916	   25.8254	   -4.1744	
 -600.0000	-2.4280E-8	-2.4280E-8	-1.457916E-11	-1.457916E-11	   -0.0128	   15.2916	   25.8232	   -4.1744	
 -620.0000	-2.5220E-8	-2.5220E-8	-1.474376E-11	-1.474376E-11	   -0.0128	   15.3089	   25.8232	   -4.1609	
 -640.0000	-2.6180E-8	-2.6180E-8	-1.493546E-11	-1.493546E-11	   -0.0077	   15.2826	   25.8201	   -4.1850	
 -660.0000	-2.7480E-8	-2.7480E-8	-1.518276E-11	-1.518276E-11	   -0.0000	   15.2826	   25.8393	   -4.1850	
 -680.0000	-2.8620E-8	-2.8620E-8	-1.460809E-11	-1.460809E-11	   -0.0000	   15.2891	   25.8393	   -4.1695	
 -700.0000	-3.0070E-8	-3.0070E-8	-1.542436E-11	-1.542436E-11	    0.0077	   15.2743	   25.8520	   -4.1756	
 -720.0000	-3.1650E-8	-3.1650E-8	-1.546572E-11	-1.546572E-11	    0.0154	   15.2743	   25.8615	   -4.1756	
 -740.0000	-3.3680E-8	-3.3680E-8	-1.531946E-11	-1.531946E-11	    0.0154	   15.2573	   25.8615	   -4.1852	
 -760.0000	-3.5620E-8	-3.5620E-8	-1.511778E-11	-1.511778E-11	    0.0154	   15.2689	   25.8824	   -4.1646	
 -780.0000	-3.7790E-8	-3.7790E-8	-1.568450E-11	-1.568450E-11	    0.0179	   15.2689	   25.8994	   -4.1646	
 -800.0000	-3.9890E-8	-3.9890E-8	-1.555209E-11	-1.555209E-11	    0.0179	   15.2650	   25.8994	   -4.1592	
 -820.0000	-4.2050E-8	-4.2050E-8	-1.597256E-11	-1.597256E-11	    0.0154	   15.2304	   25.9231	   -4.1765	
 -840.0000	-4.4080E-8	-4.4080E-8	-1.553723E-11	-1.553723E-11	    0.0128	   15.2304	   25.9231	   -4.1765	
 -860.0000	-4.6080E-8	-4.6080E-8	-1.593467E-11	-1.593467E-11	    0.0128	   15.2312	   25.9447	   -4.1649	
 -880.0000	-4.8160E-8	-4.8160E-8	-1.622985E-11	-1.622985E-11	    0.0051	   15.2312	   25.9627	   -4.1556	
 -900.0000	-5.0060E-8	-5.0060E-8	-1.614327E-11	-1.614327E-11	   -0.0026	   15.2312	   25.9858	   -4.1556	
 -920.0000	-5.1590E-8	-5.1590E-8	-1.575010E-11	-1.575010E-11	   -0.0026	   15.2257	   25.9858	   -4.1485	
 -940.0000	-5.2480E-8	-5.2480E-8	-1.623249E-11	-1.623249E-11	   -0.0051	   15.2224	   25.9842	   -4.1521	
 -960.0000	-5.3880E-8	-5.3880E-8	-1.657187E-11	-1.657187E-11	   -0.0051	   15.2224	   25.9908	   -4.1521	
 -980.0000	-5.5670E-8	-5.5670E-8	-1.625368E-11	-1.625368E-11	   -0.0051	   15.2216	   25.9908	   -4.1494	
-1000.0000	-5.7040E-8	-5.7040E-8	-1.676602E-11	-1.676602E-11	   -0.0128	   15.2160	   26.0060	   -4.1465	
