GCD Test
Bias: 5000.000000
IV_38695_044_2-S_HM_XX_DIODEQUARTER
Date/Time: 2/9/2022 4:48:00 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.7200E-10	-2.7200E-10	-9.222708E-12	-9.222708E-12	    0.0102	   14.5388	   27.3412	   -4.0610	
  -20.0000	-9.5100E-10	-9.5100E-10	-9.415821E-12	-9.415821E-12	    0.0333	   14.5450	   27.3438	   -4.0544	
  -30.0000	-1.6780E-9	-1.6780E-9	-1.076399E-11	-1.076399E-11	    0.0409	   14.5408	   27.3251	   -4.0671	
  -40.0000	-2.4560E-9	-2.4560E-9	-1.079944E-11	-1.079944E-11	    0.0435	   14.5452	   27.3390	   -4.0566	
  -50.0000	-3.3730E-9	-3.3730E-9	-1.191781E-11	-1.191781E-11	    0.0461	   14.5522	   27.3302	   -4.0548	
  -60.0000	-4.1870E-9	-4.1870E-9	-1.318388E-11	-1.318388E-11	    0.0384	   14.5569	   27.3472	   -4.0425	
  -70.0000	-5.0170E-9	-5.0170E-9	-1.341978E-11	-1.341978E-11	    0.0384	   14.5569	   27.3472	   -4.0425	
  -80.0000	-5.8220E-9	-5.8220E-9	-1.291662E-11	-1.291662E-11	    0.0230	   14.5694	   27.3517	   -4.0296	
  -90.0000	-6.5040E-9	-6.5040E-9	-1.331344E-11	-1.331344E-11	    0.0077	   14.5694	   27.3368	   -4.0296	
 -100.0000	-7.2050E-9	-7.2050E-9	-1.320874E-11	-1.320874E-11	    0.0077	   14.5544	   27.3368	   -4.0497	
 -110.0000	-7.7080E-9	-7.7080E-9	-1.353203E-11	-1.353203E-11	   -0.0102	   14.5523	   27.3185	   -4.0605	
