#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.308190E-12
#38713_049_2-S_HM_XX_Unirrad_Interstrip
#Date/Time: 2/8/2022 2:18:49 PM
#Sensor Name: 38713_049_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3727192807.881083	1.183238	20.000000	30.229600	-2.180000E-9	5.308750E-12	-1.917467E-11	-3.068447E-11	-4.468889E-11	-5.851418E-11	-7.088861E-11	-8.357275E-11
2	3727192843.429677	1.167032	20.000000	30.269332	-2.170000E-9	5.374190E-12	-1.845054E-11	-3.189376E-11	-4.556348E-11	-5.871782E-11	-7.076940E-11	-8.341529E-11
3	3727192879.396308	1.168180	20.000000	30.290834	-2.170000E-9	5.395930E-12	-1.874780E-11	-3.086785E-11	-4.359430E-11	-5.776575E-11	-7.122098E-11	-8.509680E-11
4	3727192915.411896	1.178221	20.000000	30.315504	-2.170000E-9	5.404100E-12	-1.895223E-11	-3.205219E-11	-4.516909E-11	-5.927348E-11	-7.510639E-11	-8.583607E-11
5	3727192951.214211	1.153301	20.000000	30.327374	-2.170000E-9	5.407960E-12	-1.797889E-11	-3.193361E-11	-4.477187E-11	-6.135999E-11	-7.382944E-11	-8.565842E-11
6	3727192987.203790	1.136447	20.000000	30.333379	-2.170000E-9	5.409900E-12	-2.227889E-11	-3.477718E-11	-4.841378E-11	-6.128761E-11	-7.449678E-11	-8.894050E-11
7	3727193023.040878	1.158010	20.000000	30.352106	-2.180000E-9	5.409860E-12	-1.577257E-11	-3.186021E-11	-4.263753E-11	-5.652334E-11	-6.897644E-11	-8.176750E-11
8	3727193058.921281	1.155643	20.000000	30.352026	-2.170000E-9	5.408060E-12	-2.023244E-11	-3.412806E-11	-4.557449E-11	-5.984447E-11	-7.254456E-11	-8.538075E-11
9	3727193095.072721	1.130635	20.000000	30.358208	-2.170000E-9	5.408380E-12	-1.993825E-11	-3.313041E-11	-4.652310E-11	-5.874969E-11	-7.087426E-11	-8.499615E-11
10	3727193131.040865	1.140595	20.000000	30.355909	-2.170000E-9	5.408950E-12	-1.721203E-11	-2.957783E-11	-4.239953E-11	-5.676865E-11	-7.087180E-11	-8.302580E-11
11	3727193166.905741	1.135871	20.000000	30.361577	-2.170000E-9	5.410260E-12	-1.728378E-11	-3.119863E-11	-4.345526E-11	-5.623834E-11	-7.106599E-11	-8.308977E-11
12	3727193202.740680	1.144302	20.000000	30.356782	-2.170000E-9	5.410140E-12	-1.764830E-11	-3.115120E-11	-4.246617E-11	-5.627470E-11	-6.752282E-11	-8.056816E-11
13	3727193238.705927	1.150824	20.000000	30.359081	-2.170000E-9	5.411270E-12	-1.840391E-11	-3.454224E-11	-4.743408E-11	-5.819849E-11	-7.031100E-11	-8.583355E-11
14	3727193274.675803	1.144887	20.000000	30.365364	-2.170000E-9	5.410740E-12	-1.917220E-11	-3.269553E-11	-4.785256E-11	-5.920290E-11	-7.433458E-11	-8.545714E-11
15	3727193310.528678	1.125205	20.000000	30.364174	-2.170000E-9	5.411120E-12	-1.851819E-11	-3.472869E-11	-4.754345E-11	-5.815695E-11	-7.299059E-11	-8.568002E-11
16	3727193346.381254	1.136422	20.000000	30.360566	-2.170000E-9	5.411070E-12	-2.206279E-11	-3.309134E-11	-4.640737E-11	-5.826209E-11	-7.287405E-11	-8.479317E-11
17	3727193382.375854	1.140892	20.000000	30.369345	-2.170000E-9	5.412290E-12	-2.114587E-11	-3.343481E-11	-4.762194E-11	-5.982891E-11	-7.194200E-11	-8.479745E-11
18	3727193418.614713	1.147672	20.000000	30.371268	-2.170000E-9	5.411050E-12	-1.608759E-11	-2.700595E-11	-4.166127E-11	-5.405327E-11	-6.907758E-11	-8.057984E-11
19	3727193454.611611	1.135305	20.000000	30.368634	-2.160000E-9	5.412440E-12	-1.781921E-11	-3.071512E-11	-4.531136E-11	-5.760563E-11	-7.107703E-11	-8.518217E-11
20	3727193490.457595	1.127763	20.000000	30.378125	-2.170000E-9	5.412170E-12	-1.875105E-11	-3.137913E-11	-4.560515E-11	-5.796134E-11	-7.039338E-11	-8.319032E-11
21	3727193526.465731	1.128583	20.000000	30.369187	-2.170000E-9	5.411000E-12	-1.931530E-11	-3.083308E-11	-4.269861E-11	-5.685345E-11	-7.028481E-11	-8.353564E-11
22	3727193562.447937	1.159422	20.000000	30.377055	-2.170000E-9	5.411240E-12	-1.648462E-11	-3.295557E-11	-4.533141E-11	-5.769494E-11	-6.974098E-11	-8.444802E-11
23	3727193598.265006	1.110060	20.000000	30.381356	-2.170000E-9	5.408250E-12	-1.708342E-11	-3.349346E-11	-4.546591E-11	-5.821442E-11	-7.111116E-11	-8.478598E-11
24	3727193634.113040	1.123343	20.000000	30.376540	-2.170000E-9	5.409230E-12	-2.136461E-11	-3.664676E-11	-4.961442E-11	-6.324571E-11	-7.488392E-11	-8.701377E-11
25	3727193669.967516	1.130440	20.000000	30.372436	-2.160000E-9	5.410320E-12	-1.946679E-11	-3.484033E-11	-4.860756E-11	-5.990679E-11	-7.427366E-11	-8.769355E-11
26	3727193705.958473	1.112271	20.000000	30.383990	-2.170000E-9	5.411260E-12	-2.522160E-11	-3.672137E-11	-4.946621E-11	-6.279103E-11	-7.529113E-11	-8.994563E-11
27	3727193742.072333	1.120998	20.000000	30.387081	-2.160000E-9	5.408490E-12	-1.874982E-11	-3.143863E-11	-4.435744E-11	-5.946171E-11	-7.228794E-11	-8.508653E-11
28	3727193777.924494	1.115625	20.000000	30.392096	-2.160000E-9	5.408290E-12	-2.056158E-11	-3.353171E-11	-4.601546E-11	-6.096294E-11	-7.253919E-11	-8.596272E-11
29	3727193813.884815	1.102681	20.000000	30.404044	-2.170000E-9	5.409300E-12	-1.882894E-11	-3.234430E-11	-4.460788E-11	-5.893365E-11	-7.103837E-11	-8.477390E-11
30	3727193849.871271	1.109261	20.000000	30.388865	-2.170000E-9	5.408670E-12	-2.354518E-11	-3.564807E-11	-4.787650E-11	-6.120930E-11	-7.450100E-11	-8.870143E-11
31	3727193885.763350	1.117435	20.000000	30.390174	-2.170000E-9	5.409500E-12	-1.834667E-11	-3.191683E-11	-4.531750E-11	-5.962548E-11	-6.952613E-11	-8.322183E-11
32	3727193921.598891	1.113899	20.000000	30.390449	-2.160000E-9	5.409750E-12	-2.084780E-11	-3.455472E-11	-4.694975E-11	-6.148878E-11	-7.507141E-11	-8.715836E-11
33	3727193957.696346	1.139538	20.000000	30.392075	-2.170000E-9	5.411790E-12	-2.178003E-11	-3.469680E-11	-4.703952E-11	-6.017770E-11	-7.131540E-11	-8.508141E-11
34	3727193993.705419	1.109908	20.000000	30.397961	-2.170000E-9	5.410840E-12	-2.100337E-11	-3.296356E-11	-4.590731E-11	-5.937157E-11	-7.115510E-11	-8.247582E-11
35	3727194029.603709	1.127853	20.000000	30.403826	-2.170000E-9	5.411120E-12	-2.016108E-11	-3.221121E-11	-4.643415E-11	-6.105717E-11	-7.317597E-11	-8.583519E-11
36	3727194065.444422	1.120666	20.000000	30.400855	-2.170000E-9	5.411900E-12	-2.025184E-11	-3.401460E-11	-4.691745E-11	-6.082516E-11	-7.217817E-11	-8.560683E-11
37	3727194101.563153	1.113133	20.000000	30.407078	-2.170000E-9	5.411860E-12	-2.021444E-11	-3.360038E-11	-4.616491E-11	-6.110320E-11	-7.418698E-11	-8.675596E-11
38	3727194137.539297	1.108245	20.000000	30.399587	-2.170000E-9	5.411680E-12	-2.196180E-11	-3.449177E-11	-4.816578E-11	-6.109031E-11	-7.468359E-11	-8.685656E-11
39	3727194173.380048	1.106952	20.000000	30.401091	-2.170000E-9	5.409890E-12	-2.133314E-11	-3.410947E-11	-4.772950E-11	-6.082516E-11	-7.399074E-11	-8.712914E-11
40	3727194209.217580	1.108675	20.000000	30.402481	-2.170000E-9	5.409960E-12	-2.335301E-11	-3.567669E-11	-4.601626E-11	-6.343010E-11	-7.425175E-11	-8.666502E-11
