GCD Test
Bias: 5000.000000
CV_38713_049_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 3/9/2022 3:29:09 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.013E-11	2.250E+9	   19.9936	   21.6821	   18.6186	   -3.1993	
  -20.0000	7.009E-12	6.259E+9	   19.9961	   21.6809	   18.5974	   -3.2156	
  -30.0000	5.603E-12	5.792E+9	   19.9961	   21.6809	   18.5911	   -3.2201	
  -40.0000	4.760E-12	6.438E+9	   19.9987	   21.6834	   18.5873	   -3.2208	
  -50.0000	4.178E-12	6.215E+9	   20.0013	   21.6859	   18.5778	   -3.2256	
  -60.0000	3.743E-12	6.853E+9	   20.0039	   21.6836	   18.5642	   -3.2373	
  -70.0000	3.403E-12	7.416E+9	   20.0039	   21.6859	   18.5506	   -3.2452	
  -80.0000	3.137E-12	7.539E+9	   20.0039	   21.6864	   18.5436	   -3.2498	
  -90.0000	2.911E-12	7.912E+9	   20.0039	   21.6855	   18.5389	   -3.2540	
 -100.0000	2.727E-12	7.703E+9	   20.0039	   21.6863	   18.5313	   -3.2588	
 -110.0000	2.563E-12	6.733E+9	   20.0013	   21.6875	   18.5323	   -3.2571	
 -120.0000	2.421E-12	8.104E+9	   20.0013	   21.6897	   18.5307	   -3.2565	
 -130.0000	2.301E-12	8.222E+9	   20.0013	   21.6849	   18.5193	   -3.2687	
 -140.0000	2.189E-12	8.814E+9	   19.9987	   21.6889	   18.5310	   -3.2569	
 -150.0000	2.090E-12	8.109E+9	   19.9987	   21.6883	   18.5294	   -3.2585	
 -160.0000	2.003E-12	8.973E+9	   19.9961	   21.6883	   18.5291	   -3.2588	
 -170.0000	1.919E-12	9.154E+9	   19.9961	   21.6855	   18.5250	   -3.2640	
 -180.0000	1.844E-12	9.393E+9	   19.9961	   21.6892	   18.5092	   -3.2724	
 -190.0000	1.771E-12	9.291E+9	   19.9961	   21.6875	   18.5212	   -3.2651	
 -200.0000	1.708E-12	1.006E+10	   19.9961	   21.6881	   18.5133	   -3.2704	
 -210.0000	1.640E-12	9.991E+9	   19.9987	   21.6897	   18.4987	   -3.2796	
 -220.0000	1.589E-12	1.131E+10	   19.9987	   21.6897	   18.4987	   -3.2796	
 -230.0000	1.559E-12	9.856E+9	   20.0013	   21.6886	   18.5145	   -3.2690	
 -240.0000	1.544E-12	9.160E+9	   20.0039	   21.6914	   18.5127	   -3.2681	
 -250.0000	1.539E-12	7.858E+9	   20.0039	   21.6914	   18.5127	   -3.2681	
 -260.0000	1.531E-12	9.782E+9	   20.0039	   21.6897	   18.5120	   -3.2700	
 -270.0000	1.532E-12	1.079E+10	   20.0039	   21.6883	   18.5003	   -3.2796	
 -280.0000	1.530E-12	8.368E+9	   20.0039	   21.6874	   18.5022	   -3.2789	
 -290.0000	1.525E-12	9.638E+9	   20.0039	   21.6941	   18.4864	   -3.2849	
 -300.0000	1.527E-12	9.944E+9	   20.0013	   21.6910	   18.4851	   -3.2884	
 -310.0000	1.525E-12	9.013E+9	   19.9987	   21.6895	   18.4788	   -3.2942	
 -320.0000	1.524E-12	9.465E+9	   19.9987	   21.6891	   18.4706	   -3.3005	
 -330.0000	1.522E-12	8.855E+9	   19.9961	   21.6869	   18.4785	   -3.2965	
 -340.0000	1.520E-12	9.352E+9	   19.9936	   21.6905	   18.4655	   -3.3030	
 -350.0000	1.519E-12	1.018E+10	   19.9936	   21.6905	   18.4655	   -3.3030	
 -360.0000	1.518E-12	8.463E+9	   19.9936	   21.6875	   18.4709	   -3.3015	
 -370.0000	1.519E-12	1.020E+10	   19.9961	   21.6835	   18.4908	   -3.2904	
 -380.0000	1.517E-12	9.542E+9	   19.9961	   21.6802	   18.4940	   -3.2907	
 -390.0000	1.516E-12	9.411E+9	   20.0013	   21.6863	   18.4968	   -3.2837	
 -400.0000	1.516E-12	9.120E+9	   20.0013	   21.6887	   18.5142	   -3.2692	
 -420.0000	1.517E-12	8.631E+9	   20.0039	   21.6914	   18.5076	   -3.2718	
 -440.0000	1.518E-12	1.056E+10	   20.0039	   21.6858	   18.5259	   -3.2631	
 -460.0000	1.515E-12	1.115E+10	   20.0039	   21.6870	   18.5455	   -3.2480	
 -480.0000	1.515E-12	8.414E+9	   20.0039	   21.6886	   18.5484	   -3.2446	
 -500.0000	1.517E-12	7.995E+9	   20.0039	   21.6886	   18.5538	   -3.2407	
 -520.0000	1.513E-12	8.592E+9	   20.0013	   21.6876	   18.5610	   -3.2363	
 -540.0000	1.514E-12	1.005E+10	   19.9987	   21.6884	   18.5636	   -3.2338	
 -560.0000	1.512E-12	8.407E+9	   19.9987	   21.6819	   18.5677	   -3.2362	
 -580.0000	1.515E-12	8.589E+9	   19.9961	   21.6857	   18.5544	   -3.2426	
 -600.0000	1.513E-12	9.848E+9	   19.9987	   21.6866	   18.5525	   -3.2433	
