GCD Test
Bias: 5000.000000
IV_34252_008_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 4/27/2021 3:09:23 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-9.0600E-10	-9.0600E-10	-1.298216E-10	-1.298216E-10	   22.9651	   23.1941	    6.9769	  -14.3959	
  -10.0000	-9.7300E-10	-9.7300E-10	-1.299161E-10	-1.299161E-10	   22.9651	   23.1896	    6.9769	  -14.5408	
  -15.0000	-1.1730E-9	-1.1730E-9	-1.305230E-10	-1.305230E-10	   22.9651	   23.1862	    6.8561	  -14.7550	
  -20.0000	-1.2150E-9	-1.2150E-9	-1.304880E-10	-1.304880E-10	   22.9625	   23.1794	    6.7951	  -14.8682	
  -25.0000	-1.3440E-9	-1.3440E-9	-1.305927E-10	-1.305927E-10	   22.9651	   23.1794	    6.6828	  -14.8682	
  -30.0000	-1.4300E-9	-1.4300E-9	-1.314344E-10	-1.314344E-10	   22.9651	   23.1820	    6.6828	  -15.0677	
  -35.0000	-1.1100E-9	-1.1100E-9	-1.319643E-10	-1.319643E-10	   22.9625	   23.1820	    6.5889	  -15.0677	
  -40.0000	-1.1480E-9	-1.1480E-9	-1.323666E-10	-1.323666E-10	   22.9625	   23.1775	    6.5889	  -15.2417	
  -45.0000	-1.0300E-9	-1.0300E-9	-1.323258E-10	-1.323258E-10	   22.9651	   23.1775	    6.5054	  -15.2417	
  -50.0000	-1.1840E-9	-1.1840E-9	-1.331651E-10	-1.331651E-10	   22.9651	   23.1769	    6.5054	  -15.3958	
  -55.0000	-1.6010E-9	-1.6010E-9	-1.335153E-10	-1.335153E-10	   22.9625	   23.1743	    6.4358	  -15.5270	
  -60.0000	-1.5490E-9	-1.5490E-9	-1.342323E-10	-1.342323E-10	   22.9625	   23.1743	    6.4042	  -15.5270	
  -65.0000	-1.4780E-9	-1.4780E-9	-1.336929E-10	-1.336929E-10	   22.9625	   23.1743	    6.4042	  -15.5863	
  -70.0000	-1.2270E-9	-1.2270E-9	-1.335650E-10	-1.335650E-10	   22.9625	   23.1743	    6.3675	  -15.5863	
  -75.0000	-1.1580E-9	-1.1580E-9	-1.341745E-10	-1.341745E-10	   22.9625	   23.1773	    6.3675	  -15.6531	
  -80.0000	-1.6540E-9	-1.6540E-9	-1.341955E-10	-1.341955E-10	   22.9625	   23.1713	    6.3729	  -15.6473	
  -85.0000	-1.1480E-9	-1.1480E-9	-1.347327E-10	-1.347327E-10	   22.9625	   23.1713	    6.3599	  -15.6473	
  -90.0000	-1.5780E-9	-1.5780E-9	-1.347571E-10	-1.347571E-10	   22.9625	   23.1713	    6.3599	  -15.6717	
  -95.0000	-1.7430E-9	-1.7430E-9	-1.345666E-10	-1.345666E-10	   22.9625	   23.1790	    6.3450	  -15.6943	
 -100.0000	-1.4680E-9	-1.4680E-9	-1.344338E-10	-1.344338E-10	   22.9625	   23.1742	    6.3362	  -15.7145	
 -105.0000	-1.6310E-9	-1.6310E-9	-1.342829E-10	-1.342829E-10	   22.9651	   23.1742	    6.2935	  -15.7145	
 -110.0000	-1.3610E-9	-1.3610E-9	-1.347530E-10	-1.347530E-10	   22.9651	   23.1718	    6.2935	  -15.7974	
 -115.0000	-1.3100E-9	-1.3100E-9	-1.353061E-10	-1.353061E-10	   22.9625	   23.1769	    6.2821	  -15.8154	
 -120.0000	-1.3190E-9	-1.3190E-9	-1.348412E-10	-1.348412E-10	   22.9625	   23.1769	    6.2483	  -15.8154	
 -125.0000	-1.8490E-9	-1.8490E-9	-1.353446E-10	-1.353446E-10	   22.9625	   23.1742	    6.2483	  -15.8821	
 -130.0000	-1.4480E-9	-1.4480E-9	-1.354521E-10	-1.354521E-10	   22.9625	   23.1762	    6.2188	  -15.9372	
 -135.0000	-1.2910E-9	-1.2910E-9	-1.354534E-10	-1.354534E-10	   22.9625	   23.1762	    6.2103	  -15.9372	
 -140.0000	-1.5260E-9	-1.5260E-9	-1.360446E-10	-1.360446E-10	   22.9625	   23.1762	    6.2103	  -15.9537	
 -145.0000	-1.8810E-9	-1.8810E-9	-1.360503E-10	-1.360503E-10	   22.9625	   23.1732	    6.1942	  -15.9870	
 -150.0000	-1.3780E-9	-1.3780E-9	-1.367484E-10	-1.367484E-10	   22.9625	   23.1732	    6.1942	  -15.9870	
 -155.0000	-1.3230E-9	-1.3230E-9	-1.360658E-10	-1.360658E-10	   22.9625	   23.1728	    6.1790	  -16.0166	
 -160.0000	-1.5890E-9	-1.5890E-9	-1.357060E-10	-1.357060E-10	   22.9625	   23.1728	    6.1790	  -16.0166	
 -165.0000	-1.5980E-9	-1.5980E-9	-1.365983E-10	-1.365983E-10	   22.9625	   23.1727	    6.1695	  -16.0351	
 -170.0000	-1.4340E-9	-1.4340E-9	-1.364318E-10	-1.364318E-10	   22.9625	   23.1727	    6.1714	  -16.0314	
 -175.0000	-1.3630E-9	-1.3630E-9	-1.361876E-10	-1.361876E-10	   22.9625	   23.1730	    6.1673	  -16.0392	
 -180.0000	-1.6790E-9	-1.6790E-9	-1.377195E-10	-1.377195E-10	   22.9625	   23.1716	    6.1578	  -16.0586	
 -185.0000	-1.3970E-9	-1.3970E-9	-1.371097E-10	-1.371097E-10	   22.9625	   23.1744	    6.1505	  -16.0707	
 -190.0000	-1.4410E-9	-1.4410E-9	-1.374389E-10	-1.374389E-10	   22.9625	   23.1744	    6.1433	  -16.0707	
 -195.0000	-1.7990E-9	-1.7990E-9	-1.375983E-10	-1.375983E-10	   22.9625	   23.1741	    6.1433	  -16.0851	
 -200.0000	-1.9600E-9	-1.9600E-9	-1.379696E-10	-1.379696E-10	   22.9625	   23.1747	    6.1575	  -16.0570	
 -205.0000	-1.6330E-9	-1.6330E-9	-1.385194E-10	-1.385194E-10	   22.9625	   23.1763	    6.1429	  -16.0841	
 -210.0000	-1.5150E-9	-1.5150E-9	-1.383181E-10	-1.383181E-10	   22.9625	   23.1729	    6.1420	  -16.0885	
 -215.0000	-2.0490E-9	-2.0490E-9	-1.387355E-10	-1.387355E-10	   22.9625	   23.1729	    6.1433	  -16.0885	
 -220.0000	-1.6580E-9	-1.6580E-9	-1.395848E-10	-1.395848E-10	   22.9625	   23.1728	    6.1433	  -16.0861	
 -225.0000	-1.5670E-9	-1.5670E-9	-1.399423E-10	-1.399423E-10	   22.9625	   23.1741	    6.1385	  -16.0944	
