GCD Test
Bias: 5000.000000
IV_34340_039_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 4/22/2021 5:39:30 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-3.1900E-10	-3.1900E-10	-4.492429E-11	-4.492429E-11	   23.9493	   23.7827	   13.8552	   -5.4295	
  -10.0000	-8.4000E-11	-8.4000E-11	-4.648980E-11	-4.648980E-11	   23.9493	   23.7774	   13.8485	   -5.4399	
  -15.0000	5.2000E-11	5.2000E-11	-4.565784E-11	-4.565784E-11	   23.9493	   23.7767	   13.8438	   -5.4450	
  -20.0000	-6.2000E-11	-6.2000E-11	-4.571447E-11	-4.571447E-11	   23.9493	   23.7804	   13.8194	   -5.4651	
  -25.0000	-2.1600E-10	-2.1600E-10	-4.623433E-11	-4.623433E-11	   23.9493	   23.7764	   13.8093	   -5.4780	
  -30.0000	-6.1200E-10	-6.1200E-10	-4.629422E-11	-4.629422E-11	   23.9468	   23.7728	   13.8150	   -5.4754	
  -35.0000	-6.6600E-10	-6.6600E-10	-4.749000E-11	-4.749000E-11	   23.9468	   23.7728	   13.8150	   -5.4754	
  -40.0000	-2.7600E-10	-2.7600E-10	-4.768169E-11	-4.768169E-11	   23.9493	   23.7760	   13.8172	   -5.4708	
  -45.0000	-3.9300E-10	-3.9300E-10	-4.769168E-11	-4.769168E-11	   23.9468	   23.7750	   13.8216	   -5.4673	
  -50.0000	-1.8400E-10	-1.8400E-10	-4.771916E-11	-4.771916E-11	   23.9468	   23.7710	   13.8890	   -5.4066	
  -55.0000	-3.2300E-10	-3.2300E-10	-4.888825E-11	-4.888825E-11	   23.9468	   23.7710	   13.8890	   -5.4066	
  -60.0000	-1.4200E-10	-1.4200E-10	-4.920889E-11	-4.920889E-11	   23.9468	   23.7699	   13.8763	   -5.4195	
  -65.0000	-6.2500E-10	-6.2500E-10	-4.870430E-11	-4.870430E-11	   23.9468	   23.7667	   13.8833	   -5.4154	
  -70.0000	-2.8000E-10	-2.8000E-10	-4.926981E-11	-4.926981E-11	   23.9468	   23.7671	   13.9001	   -5.3993	
  -75.0000	-7.5100E-10	-7.5100E-10	-4.949205E-11	-4.949205E-11	   23.9468	   23.7671	   13.9001	   -5.3993	
  -80.0000	-3.3600E-10	-3.3600E-10	-4.983346E-11	-4.983346E-11	   23.9468	   23.7663	   13.9121	   -5.3885	
  -85.0000	-4.7900E-10	-4.7900E-10	-5.023497E-11	-5.023497E-11	   23.9442	   23.7699	   13.9152	   -5.3827	
  -90.0000	-3.9200E-10	-3.9200E-10	-5.047615E-11	-5.047615E-11	   23.9442	   23.7688	   13.9149	   -5.3838	
  -95.0000	-4.9800E-10	-4.9800E-10	-5.025186E-11	-5.025186E-11	   23.9442	   23.7689	   13.9181	   -5.3808	
 -100.0000	-3.8800E-10	-3.8800E-10	-5.066111E-11	-5.066111E-11	   23.9468	   23.7689	   13.9181	   -5.3808	
 -105.0000	-8.2500E-10	-8.2500E-10	-4.980066E-11	-4.980066E-11	   23.9468	 -246.8610	   13.9092	 -246.8611	
 -110.0000	-4.9100E-10	-4.9100E-10	-5.108911E-11	-5.108911E-11	   23.9416	   23.7562	   13.9658	   -5.3458	
 -115.0000	-7.5600E-10	-7.5600E-10	-5.050162E-11	-5.050162E-11	   23.9416	   23.7576	   13.9630	   -5.3474	
 -120.0000	-9.2100E-10	-9.2100E-10	-5.137492E-11	-5.137492E-11	   23.9416	   23.7576	   13.9630	   -5.3474	
 -125.0000	-6.8900E-10	-6.8900E-10	-5.141689E-11	-5.141689E-11	   23.9390	   23.7599	   13.9706	   -5.3385	
 -130.0000	-3.8800E-10	-3.8800E-10	-5.164971E-11	-5.164971E-11	   23.9390	   23.7599	   13.9551	   -5.3385	
 -135.0000	-7.2100E-10	-7.2100E-10	-5.242931E-11	-5.242931E-11	   23.9390	   23.7578	   13.9551	   -5.3547	
 -140.0000	-1.0930E-9	-1.0930E-9	-5.162875E-11	-5.162875E-11	   23.9390	   23.7600	   13.9434	   -5.3639	
 -145.0000	-8.1700E-10	-8.1700E-10	-5.184164E-11	-5.184164E-11	   23.9390	   23.7549	   13.9529	   -5.3591	
 -150.0000	-1.0360E-9	-1.0360E-9	-5.214678E-11	-5.214678E-11	   23.9390	   23.7593	   13.9592	   -5.3496	
 -155.0000	 0.0000E+0	 0.0000E+0	0.000000E+0	0.000000E+0	   23.9390	   23.7593	   13.9592	   -5.3496	
 -160.0000	-9.1100E-10	-9.1100E-10	-5.388179E-11	-5.388179E-11	   23.9390	 -246.8610	   13.9538	 -246.8611	
 -165.0000	-1.0740E-9	-1.0740E-9	-5.274244E-11	-5.274244E-11	   23.9365	   23.7546	   13.9532	   -5.3590	
 -170.0000	-7.1700E-10	-7.1700E-10	-5.277930E-11	-5.277930E-11	   23.9365	   23.7546	   13.9532	   -5.3590	
 -175.0000	-1.0170E-9	-1.0170E-9	-5.248515E-11	-5.248515E-11	   23.9339	   23.7531	   13.9681	   -5.3462	
 -180.0000	-4.8400E-10	-4.8400E-10	-5.224477E-11	-5.224477E-11	   23.9339	   23.7531	   13.9516	   -5.3462	
 -185.0000	-7.0800E-10	-7.0800E-10	-5.261330E-11	-5.261330E-11	   23.9339	   23.7539	   13.9516	   -5.3611	
 -190.0000	-8.8300E-10	-8.8300E-10	-5.259291E-11	-5.259291E-11	   23.9339	   23.7506	   13.9598	   -5.3559	
 -195.0000	-9.3300E-10	-9.3300E-10	-5.352408E-11	-5.352408E-11	   23.9313	   23.7522	   13.9665	   -5.3484	
 -200.0000	-1.2440E-9	-1.2440E-9	-5.349903E-11	-5.349903E-11	   23.9313	   23.7523	   13.9775	   -5.3379	
