GCD Test
Bias: 5000.000000
CV_34340_040_PSS_HM_XX_DIODEQUARTER
Date/Time: 7/6/2021 12:54:16 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.160E-12	1.118E+9	   19.8958	   20.3147	    6.9358	  -16.7212	
  -10.0000	4.160E-12	1.172E+9	   19.8263	   20.2985	    6.9279	  -16.7467	
  -15.0000	4.159E-12	1.133E+9	   19.7645	   20.2890	    6.9428	  -16.7282	
  -20.0000	4.162E-12	1.078E+9	   19.7954	   20.2865	    6.9355	  -16.7424	
  -25.0000	4.159E-12	1.164E+9	   19.8623	   20.2865	    6.9415	  -16.7321	
  -30.0000	4.160E-12	1.112E+9	   19.8623	   20.2865	    6.9415	  -16.7321	
  -35.0000	4.162E-12	1.139E+9	   19.9987	   20.2938	    6.9491	  -16.7138	
  -40.0000	4.163E-12	1.171E+9	   20.1017	   20.3046	    6.9469	  -16.7096	
  -45.0000	4.159E-12	1.116E+9	   20.2021	   20.3033	    6.9516	  -16.7025	
  -50.0000	4.164E-12	1.207E+9	   20.2870	   20.3023	    6.9472	  -16.7108	
  -55.0000	4.163E-12	1.193E+9	   20.3308	   20.3080	    6.9485	  -16.7044	
  -60.0000	4.162E-12	1.176E+9	   20.3333	   20.3154	    6.9386	  -16.7158	
  -65.0000	4.160E-12	1.205E+9	   20.2921	   20.3218	    6.9475	  -16.6959	
  -70.0000	4.159E-12	1.231E+9	   20.2149	   20.3094	    6.9349	  -16.7267	
  -75.0000	4.159E-12	1.210E+9	   20.1274	   20.3052	    6.9481	  -16.7070	
  -80.0000	4.160E-12	1.189E+9	   20.0245	   20.3037	    6.9352	  -16.7304	
  -85.0000	4.159E-12	1.214E+9	   19.9318	   20.2987	    6.9342	  -16.7356	
  -90.0000	4.162E-12	1.254E+9	   19.8546	   20.2952	    6.9304	  -16.7448	
  -95.0000	4.162E-12	1.190E+9	   19.7954	   20.3114	    6.9415	  -16.7138	
 -100.0000	4.161E-12	1.258E+9	   19.7696	   20.3022	    6.9339	  -16.7337	
 -105.0000	4.159E-12	1.180E+9	   19.7851	   20.2825	    6.9323	  -16.7509	
 -110.0000	4.159E-12	1.177E+9	   19.8288	   20.2815	    6.9326	  -16.7510	
 -115.0000	4.162E-12	1.194E+9	   19.9164	   20.2817	    6.9364	  -16.7443	
 -120.0000	4.161E-12	1.207E+9	   20.0090	   20.2872	    6.9380	  -16.7376	
 -125.0000	4.165E-12	1.252E+9	   20.1094	   20.3103	    6.9475	  -16.7044	
 -130.0000	4.164E-12	1.254E+9	   20.2124	   20.3106	    6.9450	  -16.7085	
 -135.0000	4.165E-12	1.272E+9	   20.3230	   20.3106	    6.9415	  -16.7144	
 -140.0000	4.165E-12	1.248E+9	   20.3359	   20.3045	    6.9412	  -16.7195	
 -145.0000	4.162E-12	1.242E+9	   20.2921	   20.3136	    6.9361	  -16.7215	
 -150.0000	4.162E-12	1.260E+9	   20.2201	   20.2986	    6.9374	  -16.7303	
 -155.0000	4.164E-12	1.294E+9	   20.1042	   20.2986	    6.9273	  -16.7477	
 -160.0000	4.167E-12	1.296E+9	   19.9961	   20.2895	    6.9213	  -16.7647	
 -165.0000	4.162E-12	1.270E+9	   19.9035	   20.2898	    6.9051	  -16.7922	
 -170.0000	4.167E-12	1.261E+9	   19.8160	   20.2887	    6.9178	  -16.7713	
 -175.0000	4.166E-12	1.163E+9	   19.7671	   20.2887	    6.9178	  -16.7713	
 -180.0000	4.161E-12	1.316E+9	   19.7671	   20.2811	    6.9146	  -16.7822	
 -185.0000	4.160E-12	1.328E+9	   19.7722	   20.2666	    6.9064	  -16.7978	
 -190.0000	4.164E-12	1.326E+9	   19.7722	   20.2666	    6.9064	  -16.8070	
 -195.0000	4.163E-12	1.319E+9	   19.8340	   20.2703	    6.9206	  -16.7799	
 -200.0000	4.161E-12	1.302E+9	   20.0399	   20.2829	    6.9216	  -16.7674	
 -205.0000	4.163E-12	1.308E+9	   20.0399	   20.2829	    6.9216	  -16.7690	
 -210.0000	4.163E-12	1.291E+9	   20.2561	   20.2892	    6.9238	  -16.7606	
 -215.0000	4.167E-12	1.282E+9	   20.3282	   20.2945	    6.9213	  -16.7610	
 -220.0000	4.164E-12	1.346E+9	   20.3591	   20.2845	    6.9282	  -16.7564	
 -225.0000	4.161E-12	1.330E+9	   20.3385	   20.2938	    6.9244	  -16.7561	
 -230.0000	4.162E-12	1.283E+9	   20.2767	   20.2961	    6.9292	  -16.7463	
 -235.0000	4.162E-12	1.373E+9	   20.1969	   20.2933	    6.9051	  -16.7896	
 -240.0000	4.163E-12	1.319E+9	   20.1042	   20.2886	    6.9089	  -16.7866	
 -245.0000	4.165E-12	1.331E+9	   20.0013	   20.2841	    6.9143	  -16.7806	
 -250.0000	4.164E-12	1.332E+9	   19.9138	   20.2805	    6.9045	  -16.8001	
 -255.0000	4.159E-12	1.379E+9	   19.8366	   20.2782	    6.9070	  -16.7975	
 -260.0000	4.161E-12	1.334E+9	   19.7954	   20.2775	    6.8978	  -16.8138	
 -265.0000	4.161E-12	1.345E+9	   19.7877	   20.2612	    6.9099	  -16.8051	
 -270.0000	4.166E-12	1.244E+9	   19.8417	   20.2612	    6.8991	  -16.8236	
 -275.0000	4.164E-12	1.278E+9	   19.9112	   20.2685	    6.9089	  -16.8013	
 -280.0000	4.163E-12	1.280E+9	   20.0219	   20.2624	    6.9020	  -16.8178	
 -285.0000	4.161E-12	1.318E+9	   20.1197	   20.2799	    6.9067	  -16.7968	
 -290.0000	4.164E-12	1.201E+9	   20.2175	   20.2817	    6.9149	  -16.7813	
 -295.0000	4.163E-12	1.218E+9	   20.2767	   20.2725	    6.9073	  -16.8011	
 -300.0000	4.167E-12	1.231E+9	   20.3050	   20.2824	    6.9013	  -16.8042	
 -305.0000	4.167E-12	1.218E+9	   20.2741	   20.2824	    6.9092	  -16.7906	
 -310.0000	4.165E-12	1.283E+9	   20.2072	   20.2709	    6.9045	  -16.8071	
 -315.0000	4.166E-12	1.287E+9	   20.0888	   20.2729	    6.9039	  -16.8068	
 -320.0000	4.167E-12	1.300E+9	   19.9858	   20.2688	    6.8972	  -16.8212	
 -325.0000	4.162E-12	1.282E+9	   19.8597	   20.2594	    6.8918	  -16.8374	
 -330.0000	4.164E-12	1.301E+9	   19.7825	   20.2528	    6.8890	  -16.8472	
 -335.0000	4.165E-12	1.279E+9	   19.7388	   20.2527	    6.8934	  -16.8396	
 -340.0000	4.165E-12	1.320E+9	   19.7310	   20.2553	    6.8880	  -16.8470	
 -345.0000	4.164E-12	1.212E+9	   19.7748	   20.2567	    6.8985	  -16.8279	
 -350.0000	4.162E-12	1.224E+9	   19.8623	   20.2488	    6.8880	  -16.8517	
 -355.0000	4.166E-12	1.211E+9	   19.9807	   20.2605	    6.9007	  -16.8214	
 -360.0000	4.166E-12	1.249E+9	   20.1145	   20.2723	    6.8909	  -16.8296	
 -365.0000	4.166E-12	1.328E+9	   20.1145	   20.2723	    6.8909	  -16.8296	
 -370.0000	4.164E-12	1.409E+9	   20.2947	   20.2723	    6.9061	  -16.8034	
 -375.0000	4.166E-12	1.364E+9	   20.3642	   20.2691	    6.9035	  -16.8102	
 -380.0000	4.163E-12	1.362E+9	   20.4080	   20.2672	    6.9039	  -16.8110	
 -385.0000	4.160E-12	1.438E+9	   20.3925	   20.2678	    6.9124	  -16.7958	
 -390.0000	4.161E-12	1.434E+9	   20.2458	   20.2767	    6.8887	  -16.8302	
 -395.0000	4.163E-12	1.411E+9	   20.2458	   20.2767	    6.8887	  -16.8302	
 -400.0000	4.163E-12	1.405E+9	    0.0000	    0.0000	    0.0000	    0.0000	
