#Open Capacitance 1000Hz:6.379250E-12
#Open Capacitance 100000Hz:Not Measured
#34341_012_PSS_HM_XX
#Date/Time: 6/29/2021 1:54:55 PM
#Sensor Name: 34341_012_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3707834164.576853	47.237514	23.286101	21.960821	-2.580000E-9	-7.625781E-11	8.957360E-11	-2.614352E-10	-2.623859E-10	-2.616268E-10	-2.612127E-10	-2.616651E-10	-2.615310E-10	-2.560095E-6
2	3707834181.736832	45.293164	23.286439	22.043101	-2.570000E-9	-7.245185E-11	8.956920E-11	-2.614352E-10	-2.623859E-10	-2.616268E-10	-2.612127E-10	-2.616651E-10	-2.615310E-10	-2.562858E-6
3	3707834198.953358	45.224469	23.282416	22.069852	-2.580000E-9	-7.886217E-11	8.956400E-11	-2.626154E-10	-2.610963E-10	-2.633797E-10	-2.618517E-10	-2.622358E-10	-2.622336E-10	-2.566824E-6
4	3707834216.048968	45.497422	23.280849	21.991657	-2.570000E-9	-6.984768E-11	8.955610E-11	-2.627038E-10	-2.621127E-10	-2.645979E-10	-2.630886E-10	-2.631257E-10	-2.628962E-10	-2.566863E-6
5	3707834233.245513	45.286545	23.275995	22.017119	-2.570000E-9	-7.690911E-11	8.952900E-11	-2.638418E-10	-2.633120E-10	-2.632962E-10	-2.629751E-10	-2.633563E-10	-2.633041E-10	-2.568592E-6
6	3707834250.358843	44.472993	23.275400	21.972712	-2.570000E-9	-8.432097E-11	8.955290E-11	-2.626447E-10	-2.638027E-10	-2.621242E-10	-2.629080E-10	-2.628699E-10	-2.627763E-10	-2.568488E-6
7	3707834267.365134	44.776228	23.270922	21.975545	-2.570000E-9	-7.856162E-11	8.955360E-11	-2.634367E-10	-2.620226E-10	-2.633286E-10	-2.612721E-10	-2.625150E-10	-2.626756E-10	-2.568479E-6
8	3707834284.469325	43.662511	23.266561	21.983969	-2.570000E-9	-7.440502E-11	8.955160E-11	-2.639902E-10	-2.616030E-10	-2.614112E-10	-2.627214E-10	-2.624314E-10	-2.621622E-10	-2.569070E-6
9	3707834301.494173	43.983424	23.264579	22.100390	-2.560000E-9	-7.470538E-11	8.955360E-11	-2.634660E-10	-2.615993E-10	-2.628871E-10	-2.616384E-10	-2.623977E-10	-2.622628E-10	-2.568092E-6
10	3707834318.689397	44.120091	23.262083	22.138457	-2.570000E-9	-7.510619E-11	8.955460E-11	-2.636608E-10	-2.616839E-10	-2.637169E-10	-2.629398E-10	-2.630004E-10	-2.633003E-10	-2.568873E-6
11	3707834335.744044	43.729619	23.258377	22.103205	-2.570000E-9	-7.660858E-11	8.955110E-11	-2.612751E-10	-2.608076E-10	-2.615659E-10	-2.606295E-10	-2.610695E-10	-2.610413E-10	-2.567136E-6
12	3707834352.980430	44.172350	23.255543	22.044171	-2.570000E-9	-8.156657E-11	8.954950E-11	-2.610541E-10	-2.631637E-10	-2.620189E-10	-2.614540E-10	-2.619227E-10	-2.617364E-10	-2.564175E-6
13	3707834369.927104	43.843870	23.255268	21.986860	-2.570000E-9	-7.680893E-11	8.955200E-11	-2.580521E-10	-2.610016E-10	-2.600161E-10	-2.601031E-10	-2.597932E-10	-2.600596E-10	-2.563665E-6
14	3707834386.977973	43.668387	23.251600	21.998948	-2.560000E-9	-7.961336E-11	8.954910E-11	-2.721158E-10	-2.717925E-10	-2.676838E-10	-2.719635E-10	-2.708889E-10	-2.718780E-10	-2.563055E-6
15	3707834404.100698	42.717923	23.252434	22.020231	-2.560000E-9	-7.520619E-11	8.955120E-11	-2.615467E-10	-2.631261E-10	-2.604775E-10	-2.621785E-10	-2.618322E-10	-2.618626E-10	-2.562104E-6
16	3707834421.160390	42.285454	23.250371	22.003904	-2.570000E-9	-7.540661E-11	8.955340E-11	-2.660544E-10	-2.626006E-10	-2.617228E-10	-2.627439E-10	-2.632804E-10	-2.626722E-10	-2.561414E-6
17	3707834438.360230	42.547036	23.246844	22.018190	-2.570000E-9	-8.061497E-11	8.955460E-11	-2.639440E-10	-2.629683E-10	-2.625701E-10	-2.644000E-10	-2.634706E-10	-2.634562E-10	-2.562638E-6
18	3707834455.337446	42.943231	23.243535	21.921605	-2.560000E-9	-7.690888E-11	8.955690E-11	-2.608838E-10	-2.609131E-10	-2.598390E-10	-2.603304E-10	-2.604916E-10	-2.606071E-10	-2.563149E-6
19	3707834472.460713	42.627280	23.240522	21.981945	-2.560000E-9	-7.505602E-11	8.955650E-11	-2.616549E-10	-2.636035E-10	-2.626680E-10	-2.621874E-10	-2.625285E-10	-2.624277E-10	-2.566084E-6
20	3707834489.563554	43.091173	23.232439	21.926203	-2.550000E-9	-7.610782E-11	8.955880E-11	-2.634567E-10	-2.619454E-10	-2.644005E-10	-2.638855E-10	-2.634220E-10	-2.636711E-10	-2.562401E-6
21	3707834506.667850	42.521152	23.230179	21.920158	-2.560000E-9	-6.989769E-11	8.955920E-11	-2.659361E-10	-2.601409E-10	-2.621358E-10	-2.627324E-10	-2.627363E-10	-2.624341E-10	-2.561337E-6
22	3707834523.646651	42.460854	23.226712	21.891782	-2.550000E-9	-7.680886E-11	8.955810E-11	-2.604837E-10	-2.616467E-10	-2.599524E-10	-2.619908E-10	-2.610184E-10	-2.610652E-10	-2.562841E-6
23	3707834540.762321	41.487923	23.220826	21.956878	-2.560000E-9	-7.976374E-11	8.956210E-11	-2.723134E-10	-2.629380E-10	-2.635876E-10	-2.615114E-10	-2.650876E-10	-2.632628E-10	-2.562771E-6
24	3707834557.848217	42.333310	23.219418	22.028753	-2.560000E-9	-7.490569E-11	8.956680E-11	-2.608256E-10	-2.624536E-10	-2.610904E-10	-2.608829E-10	-2.613131E-10	-2.609867E-10	-2.560123E-6
25	3707834574.969662	41.648369	23.218587	21.922496	-2.560000E-9	-7.420466E-11	8.956500E-11	-2.593957E-10	-2.597325E-10	-2.629324E-10	-2.597371E-10	-2.604494E-10	-2.597348E-10	-2.559742E-6
26	3707834592.043435	39.700681	23.212008	22.028852	-2.550000E-9	-7.705928E-11	8.956950E-11	-2.609259E-10	-2.629478E-10	-2.624895E-10	-2.604895E-10	-2.617132E-10	-2.617077E-10	-2.557637E-6
27	3707834609.247514	41.476324	23.206696	22.006914	-2.550000E-9	-8.076526E-11	8.957300E-11	-2.634266E-10	-2.619371E-10	-2.635594E-10	-2.622424E-10	-2.627914E-10	-2.628345E-10	-2.554666E-6
28	3707834626.256681	41.513620	23.203623	21.980699	-2.550000E-9	-7.565703E-11	8.958100E-11	-2.606240E-10	-2.610902E-10	-2.618076E-10	-2.620966E-10	-2.614046E-10	-2.614489E-10	-2.555076E-6
29	3707834643.255775	41.218998	23.197857	21.892810	-2.560000E-9	-7.485573E-11	8.957960E-11	-2.606230E-10	-2.606855E-10	-2.611558E-10	-2.608994E-10	-2.608409E-10	-2.607925E-10	-2.558381E-6
