GCD Test
Bias: 5000.000000
CV_36697_011_PSS_HM_XX_DIODE
Date/Time: 9/27/2021 2:41:30 PM
Sensor Name: 36697_011_DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	9.819E-11	6.209E+8	   20.0090	   21.7003	   10.8656	  -10.1815	
  -10.0000	7.061E-11	1.837E+9	   20.0090	   21.6962	   10.5775	  -10.5230	
  -15.0000	5.770E-11	2.148E+9	   20.0090	   21.6962	   10.5775	  -10.5230	
  -20.0000	4.954E-11	2.443E+9	   19.9987	   21.6981	    9.9146	  -11.3321	
  -25.0000	4.289E-11	2.215E+9	   19.9987	   21.6981	    9.9146	  -11.3321	
  -30.0000	3.748E-11	2.872E+9	   19.9936	   21.7044	    9.4978	  -11.8621	
  -35.0000	3.355E-11	2.778E+9	   19.9910	   21.7053	    9.3444	  -12.0635	
  -40.0000	3.099E-11	3.315E+9	   19.9936	   21.6986	    9.2103	  -12.2476	
  -45.0000	2.924E-11	1.022E+9	   19.9936	   21.7009	    9.0870	  -12.4127	
  -50.0000	2.380E-11	2.403E+9	   19.9961	   21.6970	    8.9826	  -12.5583	
  -55.0000	2.276E-11	2.610E+9	   20.0013	   21.6915	    8.8773	  -12.7079	
  -60.0000	2.186E-11	3.042E+9	   20.0039	   21.6947	    8.7887	  -12.8291	
  -65.0000	2.105E-11	3.257E+9	   20.0090	   21.6911	    8.7068	  -12.9471	
  -70.0000	2.035E-11	3.367E+9	   20.0116	   21.6896	    8.6290	  -13.0586	
  -75.0000	1.971E-11	4.112E+9	   20.0142	   21.6910	    8.5670	  -13.1461	
  -80.0000	1.913E-11	4.608E+9	   20.0142	   21.6942	    8.4918	  -13.2520	
  -85.0000	1.861E-11	4.750E+9	   20.0116	   21.6924	    8.4326	  -13.3391	
  -90.0000	1.813E-11	6.478E+9	   20.0090	   21.6927	    8.3798	  -13.4159	
  -95.0000	1.768E-11	6.620E+9	   20.0064	   21.6917	    8.3229	  -13.5001	
 -100.0000	1.728E-11	7.212E+9	   20.0039	   21.6842	    8.2688	  -13.5855	
 -105.0000	1.690E-11	6.415E+9	   20.0013	   21.6882	    8.2220	  -13.6519	
 -110.0000	1.655E-11	7.012E+9	   19.9987	   21.6866	    8.1796	  -13.7163	
 -115.0000	1.620E-11	1.234E+10	   19.9961	   21.6896	    8.1303	  -13.7880	
 -120.0000	1.590E-11	1.116E+10	   19.9961	   21.6979	    8.1085	  -13.8146	
 -125.0000	1.560E-11	1.841E+10	   19.9961	   21.6950	    8.0601	  -13.8898	
 -130.0000	1.533E-11	1.129E+10	   19.9961	   21.6910	    8.0307	  -13.9374	
 -135.0000	1.507E-11	1.711E+10	   19.9961	   21.6910	    8.0307	  -13.9374	
 -140.0000	1.483E-11	1.094E+10	   19.9987	   21.6918	    7.9873	  -14.0028	
 -145.0000	1.459E-11	1.691E+10	   20.0013	   21.6958	    7.9677	  -14.0298	
 -150.0000	1.438E-11	1.444E+10	   20.0039	   21.6860	    7.9415	  -14.0772	
 -155.0000	1.417E-11	3.325E+10	   20.0064	   21.6890	    7.9187	  -14.1100	
