#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.318600E-12
#37398_001_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 11/3/2021 4:38:33 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3718816783.396988	1.101231	24.646769	27.912127	-2.880000E-9	5.322560E-12	-3.112569E-11	-3.473937E-11	-3.750546E-11	-3.998062E-11	-4.433788E-11	-4.905555E-11
2	3718816819.232201	1.101343	24.597088	27.902179	-2.880000E-9	5.381990E-12	-3.092491E-11	-3.481911E-11	-3.759154E-11	-4.130132E-11	-4.536050E-11	-4.809490E-11
3	3718816855.504024	1.100143	24.632621	27.910304	-2.880000E-9	5.398220E-12	-3.002947E-11	-3.587302E-11	-3.779108E-11	-4.225238E-11	-4.379735E-11	-4.819631E-11
4	3718816892.065510	1.098958	24.572496	27.919239	-2.880000E-9	5.405700E-12	-3.141538E-11	-3.581618E-11	-3.867815E-11	-4.127517E-11	-4.322208E-11	-4.873277E-11
5	3718816928.647164	1.103503	24.485540	27.916566	-2.880000E-9	5.406580E-12	-2.953842E-11	-3.237319E-11	-3.761590E-11	-3.911811E-11	-4.267458E-11	-4.585915E-11
6	3718816965.079104	1.101258	24.383187	27.932538	-2.870000E-9	5.407960E-12	-3.015685E-11	-3.519183E-11	-3.833573E-11	-4.153995E-11	-4.482081E-11	-4.797391E-11
7	3718817001.400749	1.100984	24.376808	27.930496	-2.870000E-9	5.409340E-12	-2.918902E-11	-3.057555E-11	-3.492218E-11	-3.964967E-11	-4.129767E-11	-4.697500E-11
8	3718817037.983520	1.101273	24.331982	27.927821	-2.870000E-9	5.411190E-12	-3.222518E-11	-3.375360E-11	-3.804236E-11	-4.118341E-11	-4.375608E-11	-4.735771E-11
9	3718817074.600787	1.103052	24.240826	27.926751	-2.870000E-9	5.411100E-12	-3.182796E-11	-3.300943E-11	-3.682940E-11	-4.318548E-11	-4.536729E-11	-4.691511E-11
10	3718817111.150506	1.102579	24.277249	27.943000	-2.870000E-9	5.410280E-12	-3.379307E-11	-3.600308E-11	-3.946057E-11	-4.232724E-11	-4.594993E-11	-5.114786E-11
11	3718817147.620087	1.107201	24.279745	27.944904	-2.870000E-9	5.410320E-12	-3.632137E-11	-4.240841E-11	-4.471553E-11	-4.812193E-11	-5.114028E-11	-5.431894E-11
12	3718817183.915901	1.109277	24.292447	27.946587	-2.880000E-9	5.410170E-12	-3.000721E-11	-3.484039E-11	-3.820183E-11	-4.413696E-11	-4.464294E-11	-4.830449E-11
