#Open Capacitance 1000Hz:4.513700E-12
#Open Capacitance 1000000Hz:Not Measured
#37398_001_PSS_HM_XX_Unirrad_Single
#Date/Time: 11/3/2021 5:23:11 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3718819461.190516	1.088530	24.471688	28.132348	-2.890000E-9	-5.748859E-11	8.763790E-11	-3.302521E-11	-3.255416E-11	-3.339362E-11	-3.342529E-11	-3.309957E-11	-3.320941E-11	-3.213865E-6
2	3718819477.867147	1.092024	24.430213	28.134527	-2.890000E-9	-5.478508E-11	8.764610E-11	-3.377203E-11	-3.365428E-11	-3.338708E-11	-3.495575E-11	-3.394228E-11	-3.371315E-11	-3.218912E-6
3	3718819494.573341	1.099707	24.375857	28.153156	-2.890000E-9	-5.363362E-11	8.765360E-11	-3.280666E-11	-3.445507E-11	-3.420708E-11	-3.318835E-11	-3.366429E-11	-3.369772E-11	-3.220617E-6
4	3718819511.385186	1.093301	24.346348	28.155930	-2.890000E-9	-5.583645E-11	8.765760E-11	-3.175439E-11	-3.224117E-11	-3.452131E-11	-3.430235E-11	-3.320481E-11	-3.327176E-11	-3.222768E-6
5	3718819529.267832	1.104796	24.300455	28.160151	-2.880000E-9	-5.258223E-11	8.765800E-11	-3.474946E-11	-3.513319E-11	-3.544027E-11	-3.632713E-11	-3.541251E-11	-3.528673E-11	-3.220728E-6
6	3718819545.980457	1.104726	24.351917	28.168870	-2.890000E-9	-5.238204E-11	8.766090E-11	-3.486517E-11	-3.649191E-11	-3.491752E-11	-3.684354E-11	-3.577954E-11	-3.570471E-11	-3.222397E-6
7	3718819562.730374	1.087704	24.320252	28.159813	-2.890000E-9	-5.513557E-11	8.766520E-11	-3.547952E-11	-3.621942E-11	-3.578413E-11	-3.589127E-11	-3.584358E-11	-3.583770E-11	-3.224166E-6
8	3718819579.879420	1.096821	24.345496	28.164629	-2.880000E-9	-5.463492E-11	8.766770E-11	-3.161844E-11	-3.001848E-11	-2.983878E-11	-3.188954E-11	-3.084131E-11	-3.081846E-11	-3.217825E-6
9	3718819596.719248	1.093767	24.329229	28.182743	-2.880000E-9	-5.508548E-11	8.767010E-11	-3.240595E-11	-3.265168E-11	-3.710749E-11	-3.368085E-11	-3.396149E-11	-3.316626E-11	-3.222437E-6
10	3718819613.507118	1.101599	24.345397	28.182800	-2.880000E-9	-5.413425E-11	8.766870E-11	-3.233091E-11	-3.165031E-11	-3.210275E-11	-3.135696E-11	-3.186023E-11	-3.187653E-11	-3.219437E-6
