#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.321250E-12
#37399_049_PSS_HM_XX_Unirrad
#Date/Time: 11/2/2021 3:01:00 PM
#Sensor Name: 37399_049_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3718724531.023445	1.185460	20.000000	27.059081	-2.250000E-9	5.323040E-12	-2.357083E-11	-2.617521E-11	-3.004775E-11	-3.298250E-11	-3.533010E-11	-3.880723E-11
2	3718724567.154268	1.179411	20.000000	27.045468	-2.240000E-9	5.381740E-12	-2.058456E-11	-2.647411E-11	-2.704348E-11	-3.135208E-11	-3.288743E-11	-3.688282E-11
3	3718724603.755281	1.171114	20.000000	27.047210	-2.240000E-9	5.403720E-12	-2.532779E-11	-2.903433E-11	-3.166344E-11	-3.338994E-11	-3.697155E-11	-4.046914E-11
4	3718724640.512868	1.180483	20.000000	27.051629	-2.250000E-9	5.411220E-12	-2.304602E-11	-2.461859E-11	-2.663049E-11	-2.969590E-11	-3.154139E-11	-3.440847E-11
5	3718724677.105777	1.173620	20.000000	27.051610	-2.240000E-9	5.412240E-12	-1.899543E-11	-2.191773E-11	-2.487291E-11	-2.867553E-11	-3.020803E-11	-3.381988E-11
6	3718724713.755002	1.183701	20.000000	27.055296	-2.240000E-9	5.413580E-12	-2.327378E-11	-2.646982E-11	-2.859027E-11	-3.141321E-11	-3.393192E-11	-3.816140E-11
7	3718724750.481818	1.169870	20.000000	27.053332	-2.240000E-9	5.414840E-12	-2.403368E-11	-2.802110E-11	-2.978176E-11	-3.352569E-11	-3.479711E-11	-3.787089E-11
8	3718724787.117313	1.175850	20.000000	27.058784	-2.240000E-9	5.415400E-12	-2.362705E-11	-2.746727E-11	-3.004631E-11	-3.397485E-11	-3.707378E-11	-3.887449E-11
9	3718724823.609233	1.175090	20.000000	27.065382	-2.250000E-9	5.416610E-12	-2.297754E-11	-2.933854E-11	-3.136681E-11	-3.321169E-11	-3.616710E-11	-3.998544E-11
10	3718724859.976495	1.165018	20.000000	27.063122	-2.250000E-9	5.415560E-12	-2.374891E-11	-2.606626E-11	-2.811414E-11	-3.160743E-11	-3.538632E-11	-3.797825E-11
11	3718724896.313456	1.167565	20.000000	27.076956	-2.250000E-9	5.416070E-12	-2.383846E-11	-2.696292E-11	-2.891801E-11	-3.268054E-11	-3.507456E-11	-3.661053E-11
12	3718724932.702403	1.164262	20.000000	27.074499	-2.250000E-9	5.415960E-12	-2.035599E-11	-2.316441E-11	-2.821165E-11	-2.880229E-11	-3.057173E-11	-3.625970E-11
13	3718724969.054711	1.164017	20.000000	27.083317	-2.240000E-9	5.417130E-12	-2.302416E-11	-2.693492E-11	-2.798943E-11	-3.176731E-11	-3.361954E-11	-3.702431E-11
14	3718725005.406509	1.169160	20.000000	27.082465	-2.240000E-9	5.417270E-12	-2.278150E-11	-2.533722E-11	-2.753455E-11	-2.923082E-11	-3.273616E-11	-3.563371E-11
15	3718725041.783106	1.166961	20.000000	27.091361	-2.240000E-9	5.417050E-12	-2.486046E-11	-2.612268E-11	-3.067377E-11	-3.425741E-11	-3.603525E-11	-4.051025E-11
16	3718725078.140153	1.169550	20.000000	27.099208	-2.240000E-9	5.417310E-12	-2.223237E-11	-2.330956E-11	-2.754436E-11	-2.861462E-11	-3.314463E-11	-3.343454E-11
