GCD Test
Bias: 5000.000000
CV_37399_049_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 11/3/2021 7:06:11 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.170E-12	1.004E+10	   20.0090	   21.3699	    6.6063	  -16.5281	
  -10.0000	-1.173E-12	1.093E+10	   20.0090	   21.3699	    6.6063	  -16.5281	
  -15.0000	-1.173E-12	1.081E+10	   20.0116	   21.3733	    6.6145	  -16.5107	
  -20.0000	-1.170E-12	1.034E+10	   20.0090	   21.3704	    6.6088	  -16.5232	
  -25.0000	-1.171E-12	9.724E+9	   20.0039	   21.3698	    6.6113	  -16.5190	
  -30.0000	-1.172E-12	1.135E+10	   19.9987	   21.3637	    6.6082	  -16.5292	
  -35.0000	-1.173E-12	1.127E+10	   19.9961	   21.3711	    6.6123	  -16.5163	
  -40.0000	-1.171E-12	8.120E+9	   19.9936	   21.3697	    6.6078	  -16.5253	
  -45.0000	-1.173E-12	8.809E+9	   19.9910	   21.3686	    6.6003	  -16.5399	
  -50.0000	-1.172E-12	1.074E+10	   19.9936	   21.3665	    6.6091	  -16.5254	
  -55.0000	-1.172E-12	8.056E+9	   19.9936	   21.3668	    6.6148	  -16.5149	
  -60.0000	-1.171E-12	1.035E+10	   19.9961	   21.3674	    6.6063	  -16.5299	
  -65.0000	-1.172E-12	9.019E+9	   20.0013	   21.3614	    6.6088	  -16.5297	
  -70.0000	-1.170E-12	9.993E+9	   20.0039	   21.3623	    6.6034	  -16.5388	
  -75.0000	-1.171E-12	1.007E+10	   20.0064	   21.3592	    6.6120	  -16.5256	
  -80.0000	-1.171E-12	1.046E+10	   20.0116	   21.3665	    6.6129	  -16.5185	
  -85.0000	-1.173E-12	1.064E+10	   20.0116	   21.3619	    6.6132	  -16.5213	
  -90.0000	-1.172E-12	9.322E+9	   20.0116	   21.3591	    6.6082	  -16.5326	
  -95.0000	-1.172E-12	9.801E+9	   20.0116	   21.3661	    6.6078	  -16.5280	
 -100.0000	-1.171E-12	8.750E+9	   20.0090	   21.3658	    6.6078	  -16.5282	
 -105.0000	-1.172E-12	9.723E+9	   20.0064	   21.3631	    6.6113	  -16.5239	
