#Open Capacitance 1000Hz:4.490150E-12
#Open Capacitance 1000000Hz:Not Measured
#37895_001_PSS_HM_XX_Unirrad_Single
#Date/Time: 12/7/2021 5:52:19 PM
#Sensor Name: 37895_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3721762408.939530	3.251691	23.500000	28.457836	-3.750000E-9	-5.037926E-11	8.576510E-11	-3.815002E-11	-3.819828E-11	-3.500573E-11	-3.400622E-11	-3.634006E-11	-3.657787E-11	-3.340719E-6
2	3721762425.696229	3.003599	23.500000	28.479338	-3.740000E-9	-5.128043E-11	8.576570E-11	-3.658892E-11	-3.399170E-11	-3.460339E-11	-3.416629E-11	-3.483757E-11	-3.438484E-11	-3.346553E-6
3	3721762442.754385	2.716890	23.500000	28.500896	-3.740000E-9	-5.663732E-11	8.576700E-11	-3.922742E-11	-3.559737E-11	-3.938565E-11	-3.777855E-11	-3.799725E-11	-3.850299E-11	-3.349945E-6
4	3721762459.893602	2.533871	23.500000	28.537042	-3.740000E-9	-5.062957E-11	8.576580E-11	-3.534162E-11	-3.573130E-11	-3.413809E-11	-3.318376E-11	-3.459869E-11	-3.473986E-11	-3.349434E-6
5	3721762477.030211	2.363624	23.500000	28.558127	-3.740000E-9	-5.203138E-11	8.576590E-11	-3.135422E-11	-3.357526E-11	-3.211678E-11	-3.202131E-11	-3.226689E-11	-3.206904E-11	-3.349850E-6
6	3721762493.922565	2.207503	23.500000	28.561200	-3.730000E-9	-5.238186E-11	8.576990E-11	-3.482623E-11	-3.524063E-11	-3.573578E-11	-3.694955E-11	-3.568805E-11	-3.548821E-11	-3.347850E-6
7	3721762511.176254	2.108096	23.500000	28.569761	-3.730000E-9	-5.308274E-11	8.577150E-11	-3.663778E-11	-3.574212E-11	-3.457333E-11	-3.662939E-11	-3.589565E-11	-3.618575E-11	-3.349184E-6
8	3721762528.227716	2.001140	23.500000	28.571247	-3.740000E-9	-5.077981E-11	8.577060E-11	-3.934048E-11	-4.091876E-11	-3.842459E-11	-3.615693E-11	-3.871019E-11	-3.888254E-11	-3.345587E-6
9	3721762545.101623	1.900124	23.500000	28.590745	-3.740000E-9	-5.593643E-11	8.577820E-11	-3.499101E-11	-3.721022E-11	-3.377459E-11	-3.703295E-11	-3.575219E-11	-3.601198E-11	-3.343324E-6
10	3721762562.237228	1.781801	23.500000	28.589932	-3.740000E-9	-5.027914E-11	8.577890E-11	-3.502413E-11	-3.341151E-11	-3.599175E-11	-3.639880E-11	-3.520655E-11	-3.550794E-11	-3.344061E-6
