GCD Test
Bias: 5000.000000
CV_37895_001_PSS_HM_XX_DIODEQUARTER_IV_Cable
Date/Time: 12/17/2021 11:32:37 AM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.125E-11	4.843E+9	   20.0013	   21.9217	   23.1939	   -0.0194	
  -10.0000	7.891E-12	6.659E+9	   20.0039	   21.6256	   23.2037	   -0.2621	
  -15.0000	6.251E-12	6.121E+9	   20.0039	   21.6001	   23.2015	   -0.2847	
  -20.0000	5.095E-12	6.813E+9	   20.0039	   21.5749	   23.1926	   -0.3111	
  -25.0000	3.988E-12	7.026E+9	   20.0039	   21.5749	   23.1926	   -0.3111	
  -30.0000	3.079E-12	7.282E+9	   20.0039	   20.6195	   23.2125	   -1.1013	
  -35.0000	2.570E-12	8.152E+9	   20.0064	   21.8985	   23.2109	   -0.0288	
  -40.0000	2.265E-12	7.805E+9	   20.0064	   21.9212	   23.2173	   -0.0060	
  -45.0000	2.062E-12	1.010E+10	   20.0039	   21.6845	   23.2176	   -0.2044	
  -50.0000	1.915E-12	7.311E+9	   20.0039	   21.6369	   23.2255	   -0.2397	
  -55.0000	1.800E-12	5.069E+9	   20.0064	   21.6046	   23.2277	   -0.2655	
  -60.0000	1.667E-12	8.654E+8	   20.0064	   21.6565	   23.2362	   -0.2169	
  -65.0000	6.901E-13	4.737E+9	   20.0064	   21.4748	   23.2562	   -0.3576	
  -70.0000	6.471E-13	4.397E+9	   20.0064	   21.5086	   23.2615	   -0.3261	
  -75.0000	6.104E-13	5.386E+9	   20.0039	   21.5384	   23.2666	   -0.2980	
  -80.0000	5.803E-13	5.350E+9	   20.0064	   21.6079	   23.2691	   -0.2383	
  -85.0000	5.544E-13	5.083E+9	   20.0064	   21.6065	   23.2887	   -0.2278	
  -90.0000	5.247E-13	4.961E+9	   20.0064	   21.4997	   23.2862	   -0.3190	
  -95.0000	5.038E-13	5.178E+9	   20.0064	   21.5833	   23.2951	   -0.2436	
 -100.0000	4.766E-13	5.149E+9	   20.0039	   21.7464	   23.2944	   -0.1070	
 -105.0000	4.605E-13	7.087E+9	   20.0064	   21.6440	   23.3014	   -0.1889	
 -110.0000	4.433E-13	6.054E+9	   20.0039	   21.6190	   23.3027	   -0.2091	
 -115.0000	4.274E-13	6.551E+9	   20.0039	   21.7658	   23.3207	   -0.0753	
 -120.0000	4.105E-13	8.135E+9	   20.0064	   21.6662	   23.3204	   -0.1591	
 -125.0000	3.940E-13	7.912E+9	   20.0039	   21.5741	   23.3251	   -0.2336	
 -130.0000	3.794E-13	6.677E+9	   20.0064	   21.6436	   23.3295	   -0.1727	
 -135.0000	3.648E-13	7.081E+9	   20.0064	   21.6568	   23.3299	   -0.1614	
 -140.0000	3.535E-13	7.756E+9	   20.0064	   21.5522	   23.3378	   -0.2446	
 -145.0000	3.422E-13	6.781E+9	   20.0064	   21.5651	   23.3447	   -0.2296	
 -150.0000	3.294E-13	6.834E+9	   20.0064	   21.5651	   23.3447	   -0.2296	
 -155.0000	3.187E-13	7.505E+9	   20.0064	   21.5678	   23.3577	   -0.2197	
 -160.0000	3.103E-13	8.189E+9	   20.0064	   21.6589	   23.3501	   -0.1477	
 -165.0000	3.015E-13	8.932E+9	   20.0039	   21.5918	   23.3697	   -0.1925	
 -170.0000	2.865E-13	7.117E+9	   20.0064	   21.5542	   23.3586	   -0.2306	
 -175.0000	2.780E-13	7.959E+9	   20.0064	   21.5542	   23.3586	   -0.2306	
 -180.0000	2.697E-13	8.401E+9	   20.0064	   21.5934	   23.3612	   -0.1962	
 -185.0000	2.586E-13	8.213E+9	   20.0039	   21.6109	   23.3653	   -0.1791	
 -190.0000	2.487E-13	7.725E+9	   20.0064	   21.6109	   23.3735	   -0.1742	
 -195.0000	2.421E-13	8.503E+9	   20.0064	   21.6104	   23.3757	   -0.1734	
 -200.0000	2.313E-13	8.086E+9	   20.0064	   21.5790	   23.3741	   -0.2007	
 -205.0000	2.233E-13	8.160E+9	   20.0064	   21.6358	   23.3808	   -0.1491	
 -210.0000	2.182E-13	8.252E+9	   20.0064	   21.6309	   23.3893	   -0.1482	
 -215.0000	2.123E-13	8.840E+9	   20.0064	   21.5724	   23.3931	   -0.1951	
 -220.0000	2.085E-13	8.099E+9	   20.0064	   21.6243	   23.3871	   -0.1550	
 -225.0000	2.028E-13	7.286E+9	   20.0064	   21.6198	   23.3947	   -0.1543	
 -230.0000	1.982E-13	8.721E+9	   20.0064	   21.6108	   23.3972	   -0.1605	
 -235.0000	1.959E-13	7.939E+9	   20.0039	   21.6126	   23.4020	   -0.1561	
 -240.0000	1.957E-13	7.876E+9	   20.0064	   21.6126	   23.4146	   -0.1487	
 -245.0000	1.930E-13	9.341E+9	   20.0064	   21.6203	   23.4029	   -0.1491	
 -250.0000	1.906E-13	8.906E+9	   20.0039	   21.5965	   23.4026	   -0.1693	
 -255.0000	1.899E-13	9.668E+9	   20.0039	   21.5965	   23.4051	   -0.1678	
 -260.0000	1.880E-13	9.129E+9	   20.0039	   21.6063	   23.4178	   -0.1521	
 -265.0000	1.899E-13	8.906E+9	   20.0064	   21.6063	   23.4213	   -0.1501	
 -270.0000	1.830E-13	9.708E+9	   20.0064	   21.6224	   23.4273	   -0.1330	
 -275.0000	1.875E-13	1.027E+10	   20.0064	   21.5951	   23.4241	   -0.1578	
 -280.0000	1.875E-13	7.884E+9	   20.0064	   21.6052	   23.4282	   -0.1470	
 -285.0000	1.859E-13	9.304E+9	   20.0039	   21.6139	   23.4260	   -0.1409	
 -290.0000	1.820E-13	1.121E+10	   20.0064	   21.6608	   23.4358	   -0.0958	
 -295.0000	1.853E-13	1.094E+10	   20.0064	   21.6683	   23.4326	   -0.0913	
 -300.0000	1.818E-13	9.111E+9	   20.0064	   21.6368	   23.4355	   -0.1161	
 -305.0000	1.796E-13	1.302E+10	   20.0039	   21.5849	   23.4367	   -0.1590	
 -310.0000	1.801E-13	1.134E+10	   20.0064	   21.5985	   23.4399	   -0.1457	
 -315.0000	1.813E-13	1.021E+10	   20.0064	   21.5841	   23.4503	   -0.1517	
 -320.0000	1.782E-13	9.228E+9	   20.0064	   21.5956	   23.4412	   -0.1474	
 -325.0000	1.766E-13	8.808E+9	   20.0064	   21.5956	   23.4475	   -0.1474	
 -330.0000	1.817E-13	1.028E+10	   20.0064	   21.5882	   23.4475	   -0.1500	
 -335.0000	1.787E-13	1.211E+10	   20.0064	   21.6044	   23.4570	   -0.1307	
 -340.0000	1.825E-13	1.108E+10	   20.0064	   21.6181	   23.4598	   -0.1175	
 -345.0000	1.836E-13	1.048E+10	   20.0064	   21.5918	   23.4794	   -0.1282	
 -350.0000	1.792E-13	1.102E+10	   20.0064	   21.6273	   23.4709	   -0.1034	
 -355.0000	1.765E-13	1.282E+10	   20.0064	   21.6273	   23.4715	   -0.1034	
 -360.0000	1.761E-13	1.161E+10	   20.0064	   21.6074	   23.4715	   -0.1197	
 -365.0000	1.747E-13	1.228E+10	   20.0064	   21.6021	   23.4820	   -0.1181	
 -370.0000	1.779E-13	1.126E+10	   20.0039	   21.6435	   23.4769	   -0.0862	
 -375.0000	1.763E-13	1.016E+10	   20.0064	   21.6130	   23.4848	   -0.1072	
 -380.0000	1.775E-13	9.272E+9	   20.0064	   21.6130	   23.4848	   -0.1072	
 -385.0000	1.746E-13	9.620E+9	   20.0064	   21.6276	   23.4915	   -0.0911	
 -390.0000	1.775E-13	1.111E+10	   20.0064	   21.6248	   23.4902	   -0.0942	
 -395.0000	1.763E-13	1.173E+10	   20.0064	   21.6004	   23.4968	   -0.1108	
 -400.0000	1.738E-13	9.762E+9	   20.0064	   21.6377	   23.4908	   -0.0830	
 -410.0000	1.759E-13	9.525E+9	   20.0064	   21.6377	   23.4908	   -0.0830	
 -420.0000	1.747E-13	1.260E+10	   20.0064	   21.6439	   23.4997	   -0.0726	
 -430.0000	1.789E-13	8.546E+9	   20.0064	   21.6060	   23.5060	   -0.1007	
 -440.0000	1.759E-13	9.146E+9	   20.0064	   21.6042	   23.5028	   -0.1071	
 -450.0000	1.775E-13	1.228E+10	   20.0039	   21.6243	   23.5009	   -0.0883	
 -460.0000	1.787E-13	9.972E+9	   20.0064	   21.6576	   23.5145	   -0.0524	
 -470.0000	1.734E-13	1.195E+10	   20.0064	   21.6434	   23.5225	   -0.0597	
 -480.0000	1.770E-13	1.083E+10	   20.0064	   21.6519	   23.5212	   -0.0533	
 -490.0000	1.754E-13	1.368E+10	   20.0064	   21.6302	   23.5221	   -0.0709	
 -500.0000	1.730E-13	1.276E+10	   20.0064	   21.6302	   23.5221	   -0.0709	
 -510.0000	1.716E-13	9.663E+9	   20.0064	   21.6533	   23.5329	   -0.0452	
 -520.0000	1.739E-13	1.072E+10	   20.0064	   21.6091	   23.5326	   -0.0826	
 -530.0000	1.719E-13	1.220E+10	   20.0064	   21.6169	   23.5269	   -0.0794	
 -540.0000	1.740E-13	1.115E+10	   20.0064	   21.6169	   23.5269	   -0.0794	
 -550.0000	1.728E-13	1.003E+10	   20.0064	   21.6171	   23.5240	   -0.0808	
 -560.0000	1.726E-13	1.068E+10	   20.0064	   21.6342	   23.5288	   -0.0637	
