GCD Test
Bias: 5000.000000
IV_37895_001_PSS_HM_XX_DIODEQUARTER
Date/Time: 12/17/2021 11:16:35 AM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.8600E-10	3.8600E-10	-4.365810E-11	-4.365810E-11	   20.0013	   21.5881	   23.0724	   -0.3999	
  -10.0000	3.2300E-10	3.2300E-10	-4.512444E-11	-4.512444E-11	   20.0013	   21.5909	   23.0724	   -0.3690	
  -15.0000	3.1600E-10	3.1600E-10	-4.688024E-11	-4.688024E-11	   20.0013	   21.5919	   23.1224	   -0.3384	
  -20.0000	2.7400E-10	2.7400E-10	-4.863318E-11	-4.863318E-11	   20.0039	   21.5947	   23.1271	   -0.3333	
  -25.0000	2.2300E-10	2.2300E-10	-5.276466E-11	-5.276466E-11	   20.0039	   21.5927	   23.1622	   -0.3142	
  -30.0000	2.3000E-11	2.3000E-11	-5.822315E-11	-5.822315E-11	   20.0039	   21.5946	   23.1670	   -0.3098	
  -35.0000	1.6000E-11	1.6000E-11	-6.160723E-11	-6.160723E-11	   20.0039	   21.5924	   23.1863	   -0.3002	
  -40.0000	-2.7000E-11	-2.7000E-11	-6.315035E-11	-6.315035E-11	   20.0039	   21.5924	   23.1926	   -0.3002	
  -45.0000	7.1000E-11	7.1000E-11	-6.412306E-11	-6.412306E-11	   20.0039	   21.5909	   23.1926	   -0.2977	
  -50.0000	9.0000E-12	9.0000E-12	-6.569960E-11	-6.569960E-11	   20.0039	   21.5938	   23.1948	   -0.2939	
  -55.0000	-2.8000E-11	-2.8000E-11	-6.697140E-11	-6.697140E-11	   20.0039	   21.5880	   23.2018	   -0.2947	
  -60.0000	-1.5700E-10	-1.5700E-10	-6.833953E-11	-6.833953E-11	   20.0013	   21.5970	   23.2024	   -0.2868	
  -65.0000	-9.0000E-12	-9.0000E-12	-6.930288E-11	-6.930288E-11	   20.0013	   21.5970	   23.2059	   -0.2868	
  -70.0000	-1.5300E-10	-1.5300E-10	-6.974370E-11	-6.974370E-11	   20.0013	   21.5970	   23.2034	   -0.2848	
  -75.0000	-1.4200E-10	-1.4200E-10	-6.995087E-11	-6.995087E-11	   20.0039	   21.5958	   23.1977	   -0.2873	
  -80.0000	-6.8000E-11	-6.8000E-11	-7.052192E-11	-7.052192E-11	   20.0013	   21.5972	   23.2065	   -0.2894	
  -85.0000	-5.4000E-11	-5.4000E-11	-7.053006E-11	-7.053006E-11	   20.0013	   21.5962	   23.2065	   -0.2850	
  -90.0000	-1.4100E-10	-1.4100E-10	-7.137217E-11	-7.137217E-11	   20.0013	   21.5932	   23.2034	   -0.2895	
  -95.0000	-9.0000E-11	-9.0000E-11	-7.138033E-11	-7.138033E-11	   20.0013	   21.5991	   23.1948	   -0.2895	
 -100.0000	-1.5100E-10	-1.5100E-10	-7.117480E-11	-7.117480E-11	   20.0013	   21.5935	   23.1932	   -0.2951	
 -105.0000	-1.2400E-10	-1.2400E-10	-7.159567E-11	-7.159567E-11	   20.0039	   21.5936	   23.1935	   -0.2949	
 -110.0000	-1.3200E-10	-1.3200E-10	-7.201980E-11	-7.201980E-11	   20.0013	   21.5968	   23.1844	   -0.2976	
 -115.0000	-1.8900E-10	-1.8900E-10	-7.256758E-11	-7.256758E-11	   20.0039	   21.5981	   23.1885	   -0.2941	
 -120.0000	-2.2700E-10	-2.2700E-10	-7.199070E-11	-7.199070E-11	   20.0039	   21.5969	   23.1818	   -0.2990	
 -125.0000	-2.8600E-10	-2.8600E-10	-7.266208E-11	-7.266208E-11	   20.0039	   21.5901	   23.1796	   -0.3061	
 -130.0000	-2.0700E-10	-2.0700E-10	-7.297318E-11	-7.297318E-11	   20.0039	   21.5929	   23.1667	   -0.3114	
 -135.0000	-2.2000E-10	-2.2000E-10	-7.306035E-11	-7.306035E-11	   20.0039	   21.5919	   23.1708	   -0.3098	
 -140.0000	-1.7900E-10	-1.7900E-10	-7.309987E-11	-7.309987E-11	   20.0039	   21.5850	   23.1569	   -0.3238	
 -145.0000	-2.0200E-10	-2.0200E-10	-7.311438E-11	-7.311438E-11	   20.0013	   21.5905	   23.1540	   -0.3209	
 -150.0000	-2.2900E-10	-2.2900E-10	-7.346330E-11	-7.346330E-11	   20.0039	   21.5971	   23.1600	   -0.3118	
 -155.0000	-2.1500E-10	-2.1500E-10	-7.379514E-11	-7.379514E-11	   20.0013	   21.5937	   23.1505	   -0.3202	
 -160.0000	-2.1700E-10	-2.1700E-10	-7.412192E-11	-7.412192E-11	   20.0013	   21.5867	   23.1363	   -0.3346	
 -165.0000	-2.2300E-10	-2.2300E-10	-7.437145E-11	-7.437145E-11	   20.0013	   21.5885	   23.1395	   -0.3312	
 -170.0000	-3.6600E-10	-3.6600E-10	-7.460104E-11	-7.460104E-11	   20.0039	   21.5877	   23.1331	   -0.3356	
 -175.0000	-3.8400E-10	-3.8400E-10	-7.484059E-11	-7.484059E-11	   20.0039	   21.5841	   23.1252	   -0.3433	
 -180.0000	-2.5100E-10	-2.5100E-10	-7.512520E-11	-7.512520E-11	   20.0064	   21.5836	   23.1161	   -0.3492	
 -185.0000	-2.5500E-10	-2.5500E-10	-7.566178E-11	-7.566178E-11	   20.0039	   21.5837	   23.1192	   -0.3472	
 -190.0000	-3.5700E-10	-3.5700E-10	-7.634788E-11	-7.634788E-11	   20.0039	   21.5849	   23.1040	   -0.3552	
 -195.0000	-2.7700E-10	-2.7700E-10	-7.625783E-11	-7.625783E-11	   20.0039	   21.5835	   23.1059	   -0.3553	
 -200.0000	-4.1500E-10	-4.1500E-10	-7.683678E-11	-7.683678E-11	   20.0013	   21.5864	   23.1072	   -0.3521	
 -205.0000	-4.1900E-10	-4.1900E-10	-7.744041E-11	-7.744041E-11	   20.0013	   21.5863	   23.1097	   -0.3507	
 -210.0000	-3.4200E-10	-3.4200E-10	-7.818705E-11	-7.818705E-11	   20.0039	   21.5880	   23.1091	   -0.3496	
 -215.0000	-4.1600E-10	-4.1600E-10	-7.875089E-11	-7.875089E-11	   20.0039	   21.5880	   23.1120	   -0.3496	
 -220.0000	-3.2400E-10	-3.2400E-10	-7.947996E-11	-7.947996E-11	   20.0013	   21.5858	   23.1120	   -0.3498	
 -225.0000	-4.2200E-10	-4.2200E-10	-7.976536E-11	-7.976536E-11	   20.0039	   21.5847	   23.1132	   -0.3488	
 -230.0000	-4.4600E-10	-4.4600E-10	-8.003186E-11	-8.003186E-11	   20.0013	   21.5847	   23.1180	   -0.3499	
 -235.0000	-4.1600E-10	-4.1600E-10	-8.098783E-11	-8.098783E-11	   20.0039	   21.5868	   23.1072	   -0.3453	
 -240.0000	-4.3800E-10	-4.3800E-10	-8.161161E-11	-8.161161E-11	   20.0039	   21.5848	   23.1072	   -0.3534	
 -245.0000	-4.5700E-10	-4.5700E-10	-8.251282E-11	-8.251282E-11	   20.0013	   21.5842	   23.1151	   -0.3492	
 -250.0000	-4.9600E-10	-4.9600E-10	-8.267723E-11	-8.267723E-11	   20.0013	   21.5831	   23.1173	   -0.3488	
 -255.0000	-4.5900E-10	-4.5900E-10	-8.327289E-11	-8.327289E-11	   20.0013	   21.5840	   23.1123	   -0.3511	
 -260.0000	-4.1200E-10	-4.1200E-10	-8.314514E-11	-8.314514E-11	   20.0013	   21.5803	   23.1053	   -0.3583	
 -265.0000	-3.8000E-10	-3.8000E-10	-8.385061E-11	-8.385061E-11	   20.0013	   21.5775	   23.1034	   -0.3618	
 -270.0000	-4.5200E-10	-4.5200E-10	-8.440162E-11	-8.440162E-11	   20.0013	   21.5824	   23.1031	   -0.3578	
 -275.0000	-4.2400E-10	-4.2400E-10	-8.437965E-11	-8.437965E-11	   20.0039	   21.5791	   23.0908	   -0.3679	
 -280.0000	-4.5600E-10	-4.5600E-10	-8.468382E-11	-8.468382E-11	   20.0039	   21.5815	   23.0955	   -0.3631	
 -285.0000	-4.1400E-10	-4.1400E-10	-8.518170E-11	-8.518170E-11	   20.0039	   21.5743	   23.0961	   -0.3688	
 -290.0000	-4.6000E-10	-4.6000E-10	-8.539275E-11	-8.539275E-11	   20.0013	   21.5726	   23.0816	   -0.3789	
 -295.0000	-5.6000E-10	-5.6000E-10	-8.553534E-11	-8.553534E-11	   20.0013	   21.5816	   23.0829	   -0.3706	
 -300.0000	-4.3600E-10	-4.3600E-10	-8.627341E-11	-8.627341E-11	   20.0013	   21.5826	   23.0620	   -0.3821	
 -305.0000	-5.2900E-10	-5.2900E-10	-8.652603E-11	-8.652603E-11	   20.0013	   21.5797	   23.0620	   -0.3845	
 -310.0000	-4.4900E-10	-4.4900E-10	-8.653885E-11	-8.653885E-11	   20.0013	   21.5816	   23.0579	   -0.3855	
 -315.0000	-4.4600E-10	-4.4600E-10	-8.725833E-11	-8.725833E-11	   20.0013	   21.5796	   23.0566	   -0.3878	
 -320.0000	-4.9800E-10	-4.9800E-10	-8.738486E-11	-8.738486E-11	   20.0013	   21.5796	   23.0531	   -0.3899	
 -325.0000	-5.1200E-10	-5.1200E-10	-8.769125E-11	-8.769125E-11	   20.0013	   21.5796	   23.0402	   -0.3976	
 -330.0000	-4.6600E-10	-4.6600E-10	-8.753399E-11	-8.753399E-11	   20.0013	   21.5802	   23.0414	   -0.3964	
 -335.0000	-5.9000E-10	-5.9000E-10	-8.775863E-11	-8.775863E-11	   20.0013	   21.5772	   23.0370	   -0.4015	
 -340.0000	-4.9700E-10	-4.9700E-10	-8.773584E-11	-8.773584E-11	   20.0013	   21.5773	   23.0256	   -0.4082	
 -345.0000	-6.1800E-10	-6.1800E-10	-8.841954E-11	-8.841954E-11	   20.0013	   21.5768	   23.0291	   -0.4066	
 -350.0000	-4.9900E-10	-4.9900E-10	-8.875460E-11	-8.875460E-11	   20.0013	   21.5745	   23.0187	   -0.4147	
 -355.0000	-6.4200E-10	-6.4200E-10	-8.861304E-11	-8.861304E-11	   19.9987	   21.5754	   22.9943	   -0.4285	
 -360.0000	-6.3400E-10	-6.3400E-10	-8.900418E-11	-8.900418E-11	   20.0013	   21.5754	   22.9987	   -0.4285	
 -365.0000	-5.0200E-10	-5.0200E-10	-8.943808E-11	-8.943808E-11	   19.9987	   21.5734	   22.9978	   -0.4275	
 -370.0000	-5.9700E-10	-5.9700E-10	-8.929242E-11	-8.929242E-11	   20.0013	   21.5700	   22.9873	   -0.4309	
 -375.0000	-6.5700E-10	-6.5700E-10	-8.934802E-11	-8.934802E-11	   19.9987	   21.5715	   22.9747	   -0.4358	
 -380.0000	-6.1900E-10	-6.1900E-10	-8.958376E-11	-8.958376E-11	   20.0013	   21.5719	   22.9845	   -0.4430	
 -385.0000	-6.5200E-10	-6.5200E-10	-9.026924E-11	-9.026924E-11	   20.0013	   21.5735	   22.9845	   -0.4359	
 -390.0000	-6.6300E-10	-6.6300E-10	-9.004493E-11	-9.004493E-11	   20.0013	   21.5728	   22.9592	   -0.4516	
 -395.0000	-5.5400E-10	-5.5400E-10	-9.072165E-11	-9.072165E-11	   20.0013	   21.5754	   22.9570	   -0.4507	
 -400.0000	-6.7500E-10	-6.7500E-10	-9.093435E-11	-9.093435E-11	   20.0013	   21.5718	   22.9630	   -0.4501	
 -410.0000	-6.9100E-10	-6.9100E-10	-9.144385E-11	-9.144385E-11	   20.0013	   21.5715	   22.9428	   -0.4624	
 -420.0000	-6.6500E-10	-6.6500E-10	-9.104029E-11	-9.104029E-11	   20.0013	   21.5687	   22.9383	   -0.4674	
 -430.0000	-7.2100E-10	-7.2100E-10	-9.176244E-11	-9.176244E-11	   19.9987	   21.5696	   22.9399	   -0.4658	
 -440.0000	-7.1200E-10	-7.1200E-10	-9.197493E-11	-9.197493E-11	   20.0013	   21.5695	   22.9377	   -0.4672	
 -450.0000	-7.4600E-10	-7.4600E-10	-9.230457E-11	-9.230457E-11	   19.9987	   21.5686	   22.9219	   -0.4774	
 -460.0000	-8.1100E-10	-8.1100E-10	-9.255038E-11	-9.255038E-11	   20.0013	   21.5736	   22.9342	   -0.4658	
 -470.0000	-8.2300E-10	-8.2300E-10	-9.319719E-11	-9.319719E-11	   19.9987	   21.5724	   22.9108	   -0.4808	
 -480.0000	-8.6800E-10	-8.6800E-10	-9.354415E-11	-9.354415E-11	   19.9987	   21.5714	   22.9260	   -0.4726	
 -490.0000	-8.7800E-10	-8.7800E-10	-9.403368E-11	-9.403368E-11	   19.9987	   21.5662	   22.9092	   -0.4870	
 -500.0000	-9.5800E-10	-9.5800E-10	-9.417296E-11	-9.417296E-11	   19.9987	   21.5693	   22.9070	   -0.4856	
 -510.0000	-9.2800E-10	-9.2800E-10	-9.475579E-11	-9.475579E-11	   19.9987	   21.5666	   22.8947	   -0.4953	
 -520.0000	-9.5500E-10	-9.5500E-10	-9.493078E-11	-9.493078E-11	   19.9987	   21.5641	   22.8871	   -0.5019	
 -530.0000	-9.4000E-10	-9.4000E-10	-9.520985E-11	-9.520985E-11	   19.9987	   21.5661	   22.8877	   -0.4999	
 -540.0000	-1.1090E-9	-1.1090E-9	-9.569676E-11	-9.569676E-11	   20.0013	   21.5672	   22.8792	   -0.5041	
 -550.0000	-1.0850E-9	-1.0850E-9	-9.564071E-11	-9.564071E-11	   20.0039	   21.5672	   22.8719	   -0.5041	
 -560.0000	-1.0200E-9	-1.0200E-9	-9.600126E-11	-9.600126E-11	   20.0039	   21.5648	   22.8719	   -0.5104	
 -570.0000	-1.1290E-9	-1.1290E-9	-9.641483E-11	-9.641483E-11	   20.0013	   21.5630	   22.8672	   -0.5148	
 -580.0000	-1.1020E-9	-1.1020E-9	-9.671024E-11	-9.671024E-11	   20.0013	   21.5621	   22.8571	   -0.5216	
 -590.0000	-1.0820E-9	-1.0820E-9	-9.720073E-11	-9.720073E-11	   20.0013	   21.5632	   22.8599	   -0.5190	
 -600.0000	-1.2250E-9	-1.2250E-9	-9.727164E-11	-9.727164E-11	   20.0013	   21.5637	   22.8548	   -0.5216	
 -610.0000	-1.2170E-9	-1.2170E-9	-9.795995E-11	-9.795995E-11	   20.0013	   21.5632	   22.8403	   -0.5307	
 -620.0000	-1.1630E-9	-1.1630E-9	-9.806487E-11	-9.806487E-11	   20.0013	   21.5632	   22.8450	   -0.5307	
 -630.0000	-1.1620E-9	-1.1620E-9	-9.833912E-11	-9.833912E-11	   20.0013	   21.5632	   22.8450	   -0.5279	
 -640.0000	-1.1780E-9	-1.1780E-9	-9.865607E-11	-9.865607E-11	   20.0013	   21.5607	   22.8355	   -0.5356	
 -650.0000	-1.1930E-9	-1.1930E-9	-9.861163E-11	-9.861163E-11	   20.0013	   21.5630	   22.8333	   -0.5351	
 -660.0000	-1.1720E-9	-1.1720E-9	-9.908552E-11	-9.908552E-11	   20.0013	   21.5630	   22.8292	   -0.5351	
 -670.0000	-1.2440E-9	-1.2440E-9	-9.977710E-11	-9.977710E-11	   20.0013	   21.5653	   22.8292	   -0.5356	
 -680.0000	-1.2520E-9	-1.2520E-9	-9.977123E-11	-9.977123E-11	   20.0013	   21.5595	   22.8261	   -0.5423	
 -690.0000	-1.2280E-9	-1.2280E-9	-1.002923E-10	-1.002923E-10	   20.0013	   21.5613	   22.8147	   -0.5477	
 -700.0000	-1.2740E-9	-1.2740E-9	-1.007759E-10	-1.007759E-10	   20.0039	   21.5613	   22.8061	   -0.5477	
 -710.0000	-1.2910E-9	-1.2910E-9	-1.006469E-10	-1.006469E-10	   20.0039	   21.5637	   22.8061	   -0.5508	
