GCD Test
Bias: 5000.000000
CV_38212_001_PSS_HM_XX_DIODEQUARTER
Date/Time: 12/21/2021 3:53:13 PM
Sensor Name: 38212_001_DIODEQUARTER
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.885E-12	2.447E+9	   20.0116	   21.4623	   20.4782	   -2.0997	
  -20.0000	5.319E-12	7.128E+9	   20.0116	   21.4559	   20.4722	   -2.1089	
  -30.0000	3.991E-12	9.540E+9	   20.0116	   21.4642	   20.4719	   -2.1023	
  -40.0000	2.847E-12	6.459E+9	   20.0142	   21.4632	   20.4725	   -2.1027	
  -50.0000	1.949E-12	8.449E+9	   20.0116	   21.4594	   20.4674	   -2.1092	
  -60.0000	1.706E-12	5.497E+9	   20.0142	   21.4594	   20.4662	   -2.1100	
  -70.0000	6.483E-13	4.119E+9	   20.0142	   21.4615	   20.4696	   -2.1060	
  -80.0000	5.807E-13	5.065E+9	   20.0142	   21.4615	   20.4684	   -2.1068	
  -90.0000	5.283E-13	4.613E+9	   20.0116	   21.4683	   20.4576	   -2.1083	
 -100.0000	4.796E-13	6.164E+9	   20.0142	   21.4667	   20.4693	   -2.1019	
 -110.0000	4.406E-13	5.397E+9	   20.0142	   21.4638	   20.4579	   -2.1118	
 -120.0000	4.079E-13	7.264E+9	   20.0142	   21.4643	   20.4567	   -2.1122	
 -130.0000	3.810E-13	7.442E+9	   20.0142	   21.4688	   20.4529	   -2.1110	
 -140.0000	3.512E-13	8.087E+9	   20.0142	   21.4688	   20.4529	   -2.1110	
 -150.0000	3.271E-13	8.365E+9	   20.0142	   21.4679	   20.4481	   -2.1149	
 -160.0000	3.065E-13	7.323E+9	   20.0142	   21.4653	   20.4440	   -2.1197	
 -170.0000	2.850E-13	7.040E+9	   20.0142	   21.4684	   20.4390	   -2.1205	
 -180.0000	2.653E-13	8.737E+9	   20.0167	   21.4692	   20.4355	   -2.1222	
 -190.0000	2.467E-13	9.279E+9	   20.0142	   21.4666	   20.4424	   -2.1198	
 -200.0000	2.281E-13	7.419E+9	   20.0142	   21.4645	   20.4326	   -2.1280	
 -210.0000	2.148E-13	7.522E+9	   20.0142	   21.4662	   20.4206	   -2.1345	
 -220.0000	1.989E-13	9.231E+9	   20.0142	   21.4673	   20.4178	   -2.1355	
 -230.0000	1.916E-13	9.114E+9	   20.0142	   21.4655	   20.4235	   -2.1332	
 -240.0000	1.893E-13	8.248E+9	   20.0142	   21.4604	   20.4216	   -2.1387	
 -250.0000	1.876E-13	9.163E+9	   20.0167	   21.4603	   20.4108	   -2.1458	
 -260.0000	1.807E-13	9.382E+9	   20.0142	   21.4698	   20.4064	   -2.1410	
 -270.0000	1.791E-13	1.005E+10	   20.0167	   21.4645	   20.4124	   -2.1413	
 -280.0000	1.797E-13	1.057E+10	   20.0167	   21.4645	   20.3988	   -2.1503	
 -290.0000	1.795E-13	1.091E+10	   20.0167	   21.4645	   20.3988	   -2.1503	
 -300.0000	1.771E-13	9.501E+9	   20.0167	   21.4654	   20.4067	   -2.1443	
 -310.0000	1.750E-13	1.174E+10	   20.0167	   21.4657	   20.3884	   -2.1563	
 -320.0000	1.767E-13	1.075E+10	   20.0193	   21.4669	   20.3937	   -2.1517	
 -330.0000	1.729E-13	1.484E+10	   20.0167	   21.4649	   20.3978	   -2.1507	
 -340.0000	1.724E-13	8.160E+9	   20.0167	   21.4638	   20.3858	   -2.1595	
 -350.0000	1.715E-13	8.607E+9	   20.0167	   21.4634	   20.3754	   -2.1668	
 -360.0000	1.744E-13	1.016E+10	   20.0167	   21.4644	   20.3767	   -2.1651	
 -370.0000	1.739E-13	9.402E+9	   20.0167	   21.4676	   20.3748	   -2.1637	
 -380.0000	1.741E-13	1.084E+10	   20.0167	   21.4664	   20.3735	   -2.1656	
 -390.0000	1.728E-13	9.737E+9	   20.0167	   21.4646	   20.3627	   -2.1742	
 -400.0000	1.698E-13	9.217E+9	   20.0167	   21.4667	   20.3583	   -2.1754	
 -420.0000	1.725E-13	8.674E+9	   20.0167	   21.4625	   20.3596	   -2.1780	
 -440.0000	1.688E-13	1.147E+10	   20.0167	   21.4667	   20.3577	   -2.1757	
 -460.0000	1.665E-13	9.057E+9	   20.0167	   21.4652	   20.3548	   -2.1789	
 -480.0000	1.715E-13	1.065E+10	   20.0167	   21.4619	   20.3602	   -2.1781	
 -500.0000	1.690E-13	1.122E+10	   20.0167	   21.4646	   20.3650	   -2.1727	
 -520.0000	1.704E-13	1.007E+10	   20.0167	   21.4645	   20.3599	   -2.1762	
 -540.0000	1.684E-13	9.472E+9	   20.0167	   21.4604	   20.3640	   -2.1768	
 -560.0000	1.669E-13	1.157E+10	   20.0167	   21.4670	   20.3637	   -2.1715	
 -580.0000	1.670E-13	1.135E+10	   20.0167	   21.4646	   20.3564	   -2.1784	
 -600.0000	1.694E-13	9.323E+9	   20.0167	   21.4642	   20.3602	   -2.1762	
