GCD Test
Bias: 5000.000000
IV_34340_040_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 8/19/2021 2:00:47 PM
Sensor Name: 34340_040_PSS_HM_XX_DIODEHALF
Type: P
Annealing Status: Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.7380E-8	-2.6840E-8	-2.7070E-8	-2.7700E-8	-2.7910E-8	-2.672836E-8	-2.672871E-8	-2.674327E-8	-2.672317E-8	-2.671828E-8	  -19.7489	    8.7649	    7.6078	  -24.2384	
  -20.0000	-5.5455E-8	-5.5720E-8	-5.5580E-8	-5.5440E-8	-5.5080E-8	-5.556639E-8	-5.567811E-8	-5.550928E-8	-5.548258E-8	-5.559558E-8	  -19.8787	    8.6935	    7.5380	  -24.3944	
  -30.0000	-8.4182E-8	-8.4420E-8	-8.3860E-8	-8.3960E-8	-8.4490E-8	-8.353877E-8	-8.361781E-8	-8.374597E-8	-8.341670E-8	-8.337462E-8	  -20.0720	    8.6735	    7.4469	  -24.5442	
  -40.0000	-1.1173E-7	-1.1130E-7	-1.1120E-7	-1.1230E-7	-1.1210E-7	-1.100606E-7	-1.102836E-7	-1.102346E-7	-1.099861E-7	-1.097380E-7	  -20.1686	    8.6735	    7.3820	  -24.6409	
  -50.0000	-1.3667E-7	-1.3710E-7	-1.3730E-7	-1.3710E-7	-1.3520E-7	-1.348519E-7	-1.351665E-7	-1.347945E-7	-1.347980E-7	-1.346488E-7	  -20.3263	    8.6168	    7.2948	  -24.8148	
  -60.0000	-1.6132E-7	-1.6390E-7	-1.6030E-7	-1.6010E-7	-1.6100E-7	-1.592170E-7	-1.595617E-7	-1.593456E-7	-1.590563E-7	-1.589045E-7	  -20.4052	    8.8139	    7.2559	  -24.7266	
  -70.0000	-1.8505E-7	-1.8520E-7	-1.8450E-7	-1.8550E-7	-1.8500E-7	-1.827956E-7	-1.832222E-7	-1.829001E-7	-1.826403E-7	-1.824198E-7	  -20.4967	    8.7225	    7.2100	  -24.8649	
  -80.0000	-2.0842E-7	-2.1070E-7	-2.0760E-7	-2.0710E-7	-2.0830E-7	-2.062919E-7	-2.065931E-7	-2.063643E-7	-2.062209E-7	-2.059894E-7	  -20.6214	    8.7559	    7.1072	  -24.9983	
  -90.0000	-2.3155E-7	-2.3360E-7	-2.3200E-7	-2.3070E-7	-2.2990E-7	-2.285736E-7	-2.289671E-7	-2.287906E-7	-2.284199E-7	-2.281166E-7	  -20.6595	    8.7559	    7.0927	  -25.0209	
 -100.0000	-2.5370E-7	-2.5400E-7	-2.5320E-7	-2.5420E-7	-2.5340E-7	-2.512349E-7	-2.516216E-7	-2.512676E-7	-2.511406E-7	-2.509098E-7	  -20.7561	    8.2616	    7.0468	  -25.4609	
 -110.0000	-2.7592E-7	-2.7610E-7	-2.7520E-7	-2.7650E-7	-2.7590E-7	-2.740544E-7	-2.744169E-7	-2.741550E-7	-2.739178E-7	-2.737280E-7	  -20.7892	    8.2616	    7.0304	  -25.4866	
 -120.0000	-2.9890E-7	-2.9880E-7	-2.9820E-7	-2.9930E-7	-2.9930E-7	-2.992885E-7	-2.988771E-7	-2.989918E-7	-2.993102E-7	-2.999749E-7	  -20.8197	    8.6029	    6.9984	  -25.2823	
 -130.0000	-3.3355E-7	-3.3360E-7	-3.3410E-7	-3.3320E-7	-3.3330E-7	-3.328730E-7	-3.331477E-7	-3.333385E-7	-3.327429E-7	-3.322629E-7	  -20.8782	    8.6267	    6.9605	  -25.3243	
 -140.0000	-3.5697E-7	-3.5730E-7	-3.5660E-7	-3.5740E-7	-3.5660E-7	-3.546838E-7	-3.548948E-7	-3.549261E-7	-3.547079E-7	-3.542064E-7	  -20.8909	    8.5534	    6.9168	  -25.4480	
 -150.0000	-3.7845E-7	-3.7870E-7	-3.7960E-7	-3.7910E-7	-3.7640E-7	-3.762212E-7	-3.768255E-7	-3.764391E-7	-3.758066E-7	-3.758137E-7	  -20.8909	    8.5347	    6.8716	  -25.5339	
 -160.0000	-3.9912E-7	-4.0120E-7	-3.9860E-7	-3.9820E-7	-3.9850E-7	-3.963110E-7	-3.968181E-7	-3.964615E-7	-3.960167E-7	-3.959479E-7	  -20.8909	    8.5732	    6.8219	  -25.5849	
 -170.0000	-4.2007E-7	-4.2050E-7	-4.2140E-7	-4.2010E-7	-4.1830E-7	-4.171398E-7	-4.174256E-7	-4.170620E-7	-4.168056E-7	-4.172658E-7	  -20.8350	    8.6016	    6.7676	  -25.6515	
 -180.0000	-4.4118E-7	-4.4210E-7	-4.4120E-7	-4.4040E-7	-4.4100E-7	-4.390892E-7	-4.390949E-7	-4.395614E-7	-4.392458E-7	-4.384547E-7	  -20.8197	    8.4841	    6.7011	  -25.8466	
 -190.0000	-4.6245E-7	-4.6240E-7	-4.6160E-7	-4.6320E-7	-4.6260E-7	-4.606938E-7	-4.611881E-7	-4.613684E-7	-4.604875E-7	-4.597312E-7	  -20.7867	    8.4433	    6.6556	  -25.9515	
 -200.0000	-4.8280E-7	-4.8410E-7	-4.8370E-7	-4.8210E-7	-4.8130E-7	-4.814724E-7	-4.810133E-7	-4.813055E-7	-4.814901E-7	-4.820808E-7	  -20.7256	    8.6014	    6.6183	  -25.8958	
 -210.0000	-5.0602E-7	-5.0680E-7	-5.0570E-7	-5.0620E-7	-5.0540E-7	-5.040339E-7	-5.050940E-7	-5.042580E-7	-5.035845E-7	-5.031989E-7	  -20.6239	    8.5965	    6.5462	  -26.0191	
 -220.0000	-5.2727E-7	-5.2850E-7	-5.2810E-7	-5.2660E-7	-5.2590E-7	-5.251287E-7	-5.248913E-7	-5.254549E-7	-5.254380E-7	-5.247307E-7	  -20.5883	    8.5965	    6.5180	  -26.0662	
 -230.0000	-5.4903E-7	-5.4920E-7	-5.4830E-7	-5.4940E-7	-5.4920E-7	-5.478997E-7	-5.483808E-7	-5.477718E-7	-5.474417E-7	-5.480046E-7	  -20.4866	    8.2641	    6.4855	  -26.3665	
 -240.0000	-5.7208E-7	-5.7360E-7	-5.7220E-7	-5.7060E-7	-5.7190E-7	-5.693374E-7	-5.694879E-7	-5.700754E-7	-5.692243E-7	-5.685621E-7	  -20.4382	    8.3696	    6.4643	  -26.3242	
 -250.0000	-5.9252E-7	-5.9330E-7	-5.9210E-7	-5.9150E-7	-5.9320E-7	-5.912290E-7	-5.912374E-7	-5.915539E-7	-5.908599E-7	-5.912646E-7	  -20.3390	    8.6027	    6.4080	  -26.2473	
 -260.0000	-6.1450E-7	-6.1440E-7	-6.1520E-7	-6.1520E-7	-6.1320E-7	-6.126635E-7	-6.132448E-7	-6.131532E-7	-6.122660E-7	-6.119902E-7	  -20.2449	    8.5708	    6.3735	  -26.3296	
 -270.0000	-6.3605E-7	-6.3630E-7	-6.3640E-7	-6.3560E-7	-6.3590E-7	-6.359767E-7	-6.362196E-7	-6.353217E-7	-6.355848E-7	-6.367808E-7	  -20.1559	    8.4405	    6.3365	  -26.4891	
 -280.0000	-6.5965E-7	-6.5980E-7	-6.5990E-7	-6.5980E-7	-6.5910E-7	-6.569741E-7	-6.583458E-7	-6.563989E-7	-6.568472E-7	-6.563046E-7	  -20.0822	    8.2848	    6.3182	  -26.6354	
 -290.0000	-6.8015E-7	-6.8060E-7	-6.8110E-7	-6.7970E-7	-6.7920E-7	-6.791524E-7	-6.778876E-7	-6.796286E-7	-6.794100E-7	-6.796834E-7	  -20.0160	    8.4680	    6.2925	  -26.5445	
 -300.0000	-7.0230E-7	-7.0210E-7	-7.0190E-7	-7.0230E-7	-7.0290E-7	-7.023684E-7	-7.014783E-7	-7.024186E-7	-7.023821E-7	-7.031947E-7	  -19.9168	    8.3953	    6.2638	  -26.6479	
 -310.0000	-7.2503E-7	-7.2490E-7	-7.2510E-7	-7.2460E-7	-7.2550E-7	-7.244307E-7	-7.246337E-7	-7.245053E-7	-7.235611E-7	-7.250225E-7	  -19.8736	    8.3575	    6.2524	  -26.6954	
 -320.0000	-7.4997E-7	-7.4960E-7	-7.5070E-7	-7.4930E-7	-7.5030E-7	-7.506215E-7	-7.502977E-7	-7.490590E-7	-7.525966E-7	-7.505326E-7	  -19.8074	    8.4010	    6.2473	  -26.6722	
 -330.0000	-7.7287E-7	-7.7360E-7	-7.7350E-7	-7.7170E-7	-7.7270E-7	-7.707024E-7	-7.709918E-7	-7.708780E-7	-7.708073E-7	-7.701325E-7	  -19.7311	    8.2069	    6.2290	  -26.8470	
 -340.0000	-7.9757E-7	-7.9750E-7	-7.9790E-7	-7.9790E-7	-7.9700E-7	-7.960150E-7	-7.964429E-7	-7.957155E-7	-7.964415E-7	-7.954599E-7	  -19.7082	    8.2547	    6.2135	  -26.8389	
 -350.0000	-8.2085E-7	-8.1930E-7	-8.2190E-7	-8.2080E-7	-8.2140E-7	-8.208416E-7	-8.207420E-7	-8.202583E-7	-8.213398E-7	-8.210263E-7	  -19.6777	    7.6831	    6.1872	  -27.3055	
 -360.0000	-8.4427E-7	-8.4510E-7	-8.4420E-7	-8.4320E-7	-8.4460E-7	-8.447009E-7	-8.460302E-7	-8.441750E-7	-8.440317E-7	-8.445667E-7	  -19.6395	    8.3207	    6.1664	  -26.8727	
 -370.0000	-8.6712E-7	-8.6750E-7	-8.6690E-7	-8.6680E-7	-8.6730E-7	-8.652746E-7	-8.662610E-7	-8.645566E-7	-8.654146E-7	-8.648664E-7	  -19.6268	    8.0707	    6.1638	  -27.0611	
 -380.0000	-8.8805E-7	-8.8760E-7	-8.8930E-7	-8.8770E-7	-8.8760E-7	-8.880474E-7	-8.883528E-7	-8.872300E-7	-8.885055E-7	-8.881013E-7	  -19.6294	    8.4317	    6.1354	  -26.8457	
 -390.0000	-9.1653E-7	-9.1540E-7	-9.1500E-7	-9.1660E-7	-9.1910E-7	-9.186713E-7	-9.165261E-7	-9.177780E-7	-9.189947E-7	-9.213864E-7	  -19.6345	    8.2020	    6.1192	  -27.0431	
 -400.0000	-9.5135E-7	-9.5180E-7	-9.5210E-7	-9.5050E-7	-9.5100E-7	-9.514700E-7	-9.495828E-7	-9.512361E-7	-9.528081E-7	-9.522532E-7	  -19.6472	    8.3483	    6.0841	  -26.9978	
 -410.0000	-9.8420E-7	-9.8150E-7	-9.8260E-7	-9.8590E-7	-9.8680E-7	-9.841930E-7	-9.836866E-7	-9.839855E-7	-9.840929E-7	-9.850072E-7	  -19.6599	    8.3483	    6.0503	  -27.0582	
 -420.0000	-1.0175E-6	-1.0170E-6	-1.0170E-6	-1.0170E-6	-1.0190E-6	-1.016424E-6	-1.015301E-6	-1.016240E-6	-1.017552E-6	-1.016604E-6	  -19.6853	    8.0233	    6.0288	  -27.3352	
 -430.0000	-1.0440E-6	-1.0400E-6	-1.0420E-6	-1.0450E-6	-1.0490E-6	-1.049800E-6	-1.048372E-6	-1.050422E-6	-1.050214E-6	-1.050192E-6	  -19.7133	    8.2343	    6.0041	  -27.2246	
 -440.0000	-1.0848E-6	-1.0810E-6	-1.0850E-6	-1.0860E-6	-1.0870E-6	-1.084896E-6	-1.084475E-6	-1.081815E-6	-1.085728E-6	-1.087568E-6	  -19.7337	    8.2343	    5.9921	  -27.2462	
 -450.0000	-1.1103E-6	-1.1090E-6	-1.1090E-6	-1.1100E-6	-1.1130E-6	-1.108322E-6	-1.110231E-6	-1.109774E-6	-1.107133E-6	-1.106148E-6	  -19.7845	    8.2111	    5.9696	  -27.3038	
 -460.0000	-1.1377E-6	-1.1390E-6	-1.1380E-6	-1.1350E-6	-1.1390E-6	-1.137212E-6	-1.138106E-6	-1.137086E-6	-1.136710E-6	-1.136945E-6	  -19.8176	    8.3433	    5.9507	  -27.2412	
 -470.0000	-1.1675E-6	-1.1650E-6	-1.1670E-6	-1.1690E-6	-1.1690E-6	-1.167229E-6	-1.161922E-6	-1.169401E-6	-1.168937E-6	-1.168657E-6	  -19.8507	    8.0190	    5.9209	  -27.5328	
 -480.0000	-1.2070E-6	-1.2000E-6	-1.2000E-6	-1.2090E-6	-1.2190E-6	-1.212463E-6	-1.212138E-6	-1.213392E-6	-1.210707E-6	-1.213613E-6	  -19.8787	    8.0190	    5.9001	  -27.5708	
 -490.0000	-1.2418E-6	-1.2420E-6	-1.2410E-6	-1.2420E-6	-1.2420E-6	-1.240183E-6	-1.238931E-6	-1.239273E-6	-1.241616E-6	-1.240913E-6	  -19.8939	    7.9904	    5.8963	  -27.5987	
 -500.0000	-1.2630E-6	-1.2630E-6	-1.2620E-6	-1.2630E-6	-1.2640E-6	-1.259251E-6	-1.257795E-6	-1.261071E-6	-1.259794E-6	-1.258344E-6	  -19.9575	    8.2677	    5.8827	  -27.4205	
