GCD Test
Bias: 5000.000000
CV_34252_009_PSS_HM_XX_DIODEHALF
Date/Time: 9/13/2021 11:42:18 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.361E-11	1.350E+9	   19.9987	   22.1884	   56.3925	   13.1054	
  -10.0000	2.533E-11	2.101E+9	   19.9961	   22.2083	   56.3558	   13.1140	
  -15.0000	2.143E-11	2.290E+9	   19.9936	   22.2240	   56.3201	   13.1189	
  -20.0000	1.897E-11	2.226E+9	   19.9936	   22.2286	   56.3650	   13.1354	
  -25.0000	1.717E-11	2.637E+9	   19.9961	   22.2337	   56.3798	   13.1442	
  -30.0000	1.567E-11	2.291E+9	   19.9987	   22.2377	   56.3855	   13.1494	
  -35.0000	1.428E-11	2.192E+9	   20.0013	   22.2403	   56.3874	   13.1524	
  -40.0000	1.293E-11	2.356E+9	   20.0064	   22.2396	   56.3988	   13.1548	
  -45.0000	1.203E-11	2.701E+9	   20.0090	   22.2416	   56.3975	   13.1563	
  -50.0000	1.153E-11	2.730E+9	   20.0116	   22.2496	   56.4171	   13.1691	
  -55.0000	1.119E-11	2.153E+9	   20.0116	   22.2520	   56.4137	   13.1704	
  -60.0000	9.418E-12	2.820E+8	   20.0116	   22.2540	   56.4194	   13.1738	
  -65.0000	8.993E-12	2.156E+9	   20.0090	   22.2545	   56.4054	   13.1705	
  -70.0000	8.839E-12	2.100E+9	   20.0064	   22.2617	   56.3909	   13.1733	
  -75.0000	8.691E-12	1.960E+9	   20.0039	   22.2583	   56.4051	   13.1739	
  -80.0000	8.561E-12	1.951E+9	   19.9987	   22.2608	   56.3997	   13.1748	
  -85.0000	8.446E-12	2.051E+9	   19.9987	   22.2628	   56.4051	   13.1781	
  -90.0000	8.341E-12	2.319E+9	   19.9961	   22.2628	   56.4096	   13.1793	
  -95.0000	8.237E-12	2.158E+9	   19.9936	   22.2613	   56.4140	   13.1791	
 -100.0000	8.147E-12	2.325E+9	   19.9936	   22.2601	   56.4042	   13.1753	
 -105.0000	8.063E-12	2.382E+9	   19.9961	   22.2596	   56.4111	   13.1768	
 -110.0000	7.990E-12	2.444E+9	   19.9987	   22.2647	   56.4004	   13.1786	
 -115.0000	7.914E-12	2.898E+9	   20.0013	   22.2635	   56.4032	   13.1783	
 -120.0000	7.844E-12	2.514E+9	   20.0039	   22.2618	   56.4020	   13.1764	
 -125.0000	7.780E-12	2.670E+9	   20.0039	   22.2618	   56.4020	   13.1764	
 -130.0000	7.712E-12	2.667E+9	   20.0090	   22.2618	   56.4086	   13.1782	
 -135.0000	7.659E-12	2.662E+9	   20.0116	   22.2639	   56.4099	   13.1805	
 -140.0000	7.606E-12	2.937E+9	   20.0090	   22.2598	   56.4054	   13.1754	
 -145.0000	7.550E-12	2.634E+9	   20.0090	   22.2590	   56.3963	   13.1722	
 -150.0000	7.504E-12	2.621E+9	   20.0064	   22.2590	   56.4127	   13.1767	
 -155.0000	7.458E-12	2.896E+9	   20.0064	   22.2618	   56.3922	   13.1737	
 -160.0000	7.414E-12	2.600E+9	   20.0013	   22.2616	   56.3909	   13.1731	
 -165.0000	7.371E-12	2.638E+9	   19.9961	   22.2565	   56.3839	   13.1665	
 -170.0000	7.331E-12	2.665E+9	   19.9936	   22.2599	   56.3681	   13.1654	
 -175.0000	7.297E-12	2.760E+9	   19.9936	   22.2599	   56.3744	   13.1671	
 -180.0000	7.256E-12	2.933E+9	   19.9936	   22.2599	   56.3744	   13.1671	
 -185.0000	7.219E-12	2.622E+9	   19.9910	   22.2623	   56.3792	   13.1706	
 -190.0000	7.191E-12	3.273E+9	   19.9987	   22.2624	   56.3836	   13.1720	
 -195.0000	7.147E-12	3.169E+9	   20.0013	   22.2636	   56.3997	   13.1774	
 -200.0000	7.116E-12	3.242E+9	   20.0064	   22.2623	   56.3947	   13.1748	
 -205.0000	7.083E-12	2.976E+9	   20.0090	   22.2614	   56.3877	   13.1721	
 -210.0000	7.050E-12	3.026E+9	   20.0090	   22.2569	   56.3963	   13.1702	
 -215.0000	7.018E-12	2.906E+9	   20.0116	   22.2612	   56.4020	   13.1758	
 -220.0000	6.992E-12	2.900E+9	   20.0090	   22.2572	   56.3991	   13.1713	
 -225.0000	6.960E-12	2.962E+9	   20.0090	   22.2567	   56.3893	   13.1682	
 -230.0000	6.933E-12	2.792E+9	   20.0064	   22.2604	   56.3795	   13.1689	
 -235.0000	6.906E-12	2.911E+9	   20.0013	   22.2552	   56.3833	   13.1651	
 -240.0000	6.879E-12	3.010E+9	   19.9987	   22.2566	   56.3808	   13.1658	
 -245.0000	6.854E-12	2.826E+9	   19.9961	   22.2544	   56.3877	   13.1656	
 -250.0000	6.835E-12	3.087E+9	   19.9936	   22.2604	   56.4004	   13.1747	
 -255.0000	6.819E-12	3.046E+9	   19.9936	   22.2578	   56.4108	   13.1751	
 -260.0000	6.805E-12	2.994E+9	   19.9936	   22.2601	   56.4181	   13.1791	
 -265.0000	6.799E-12	3.024E+9	   19.9961	   22.2572	   56.4380	   13.1819	
 -270.0000	6.788E-12	2.983E+9	   19.9987	   22.2630	   56.4374	   13.1871	
 -275.0000	6.787E-12	2.802E+9	   19.9987	   22.2630	   56.4374	   13.1871	
 -280.0000	6.783E-12	3.075E+9	   20.0013	   22.2576	   56.4412	   13.1831	
 -285.0000	6.780E-12	2.975E+9	   20.0039	   22.2586	   56.4532	   13.1873	
 -290.0000	6.774E-12	2.903E+9	   20.0064	   22.2586	   56.4620	   13.1897	
 -295.0000	6.772E-12	2.932E+9	   20.0064	   22.2566	   56.4668	   13.1891	
 -300.0000	6.769E-12	3.187E+9	   20.0090	   22.2580	   56.4624	   13.1892	
 -305.0000	6.764E-12	3.148E+9	   20.0090	   22.2561	   56.4722	   13.1901	
 -310.0000	6.762E-12	3.013E+9	   20.0064	   22.2561	   56.4643	   13.1879	
 -315.0000	6.760E-12	3.043E+9	   20.0013	   22.2556	   56.4820	   13.1923	
 -320.0000	6.762E-12	2.939E+9	   19.9987	   22.2479	   56.4826	   13.1853	
 -325.0000	6.759E-12	3.153E+9	   19.9987	   22.2479	   56.4826	   13.1853	
 -330.0000	6.756E-12	3.289E+9	   19.9936	   22.2494	   56.4731	   13.1841	
 -335.0000	6.756E-12	3.240E+9	   19.9936	   22.2481	   56.4475	   13.1759	
 -340.0000	6.751E-12	3.043E+9	   19.9936	   22.2455	   56.4409	   13.1718	
 -345.0000	6.752E-12	3.181E+9	   19.9936	   22.2441	   56.4364	   13.1692	
 -350.0000	6.750E-12	3.102E+9	   19.9961	   22.2440	   56.4437	   13.1711	
 -355.0000	6.748E-12	3.008E+9	   20.0013	   22.2418	   56.4529	   13.1715	
 -360.0000	6.753E-12	2.989E+9	   20.0013	   22.2415	   56.4478	   13.1699	
 -365.0000	6.748E-12	3.205E+9	   20.0013	   22.2415	   56.4478	   13.1699	
 -370.0000	6.749E-12	3.144E+9	   20.0064	   22.2445	   56.4497	   13.1732	
 -375.0000	6.746E-12	3.148E+9	   20.0090	   22.2429	   56.4611	   13.1748	
 -380.0000	6.748E-12	3.186E+9	   20.0090	   22.2441	   56.4658	   13.1772	
 -385.0000	6.749E-12	2.994E+9	   20.0090	   22.2400	   56.4595	   13.1717	
 -390.0000	6.746E-12	3.071E+9	   20.0064	   22.2400	   56.4516	   13.1695	
 -395.0000	6.747E-12	3.418E+9	   20.0064	   22.2400	   56.4516	   13.1695	
 -400.0000	6.744E-12	3.363E+9	   20.0039	   22.2450	   56.4567	   13.1756	
 -410.0000	6.743E-12	3.193E+9	   20.0013	   22.2425	   56.4570	   13.1733	
 -420.0000	6.741E-12	3.209E+9	   19.9961	   22.2392	   56.4769	   13.1756	
 -430.0000	6.745E-12	3.046E+9	   19.9961	   22.2341	   56.4557	   13.1652	
 -440.0000	6.738E-12	3.389E+9	   19.9936	   22.2341	   56.4583	   13.1659	
 -450.0000	6.741E-12	3.026E+9	   19.9910	   22.2394	   56.4753	   13.1754	
 -460.0000	6.740E-12	2.976E+9	   19.9936	   22.2387	   56.4703	   13.1734	
 -470.0000	6.739E-12	3.224E+9	   19.9936	   22.2387	   56.4703	   13.1734	
 -480.0000	6.735E-12	3.070E+9	   19.9936	   22.2381	   56.4760	   13.1744	
 -490.0000	6.737E-12	3.168E+9	   19.9987	   22.2414	   56.4709	   13.1760	
 -500.0000	6.738E-12	3.328E+9	   20.0013	   22.2346	   56.4744	   13.1707	
 -510.0000	6.736E-12	3.131E+9	   20.0013	   22.2346	   56.4744	   13.1707	
 -520.0000	6.736E-12	3.290E+9	   20.0064	   22.2346	   56.4681	   13.1690	
 -530.0000	6.740E-12	3.243E+9	   20.0064	   22.2333	   56.4649	   13.1669	
 -540.0000	6.737E-12	3.216E+9	   20.0090	   22.2329	   56.4602	   13.1652	
 -550.0000	6.738E-12	3.367E+9	   20.0090	   22.2329	   56.4602	   13.1652	
 -560.0000	6.733E-12	3.302E+9	   20.0090	   22.2329	   56.4620	   13.1657	
 -570.0000	6.730E-12	3.111E+9	   20.0064	   22.2287	   56.4655	   13.1628	
 -580.0000	6.732E-12	3.148E+9	   20.0039	   22.2284	   56.4573	   13.1602	
