GCD Test
Bias: 5000.000000
IV_34330_049_2-S_HM_XX_DIODEHALF
Date/Time: 9/10/2021 1:22:03 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	6.5000E-10	6.5000E-10	-4.611563E-11	-4.611563E-11	   19.9807	   22.0028	    7.2774	  -14.8867	
  -10.0000	4.6200E-10	4.6200E-10	-4.812300E-11	-4.812300E-11	   19.9858	   22.0013	    7.2713	  -14.9036	
  -15.0000	3.8200E-10	3.8200E-10	-4.931228E-11	-4.931228E-11	   19.9936	   21.9951	    7.2764	  -14.9182	
  -20.0000	3.2300E-10	3.2300E-10	-5.125122E-11	-5.125122E-11	   19.9936	   22.0009	    7.2764	  -14.9054	
  -25.0000	2.3700E-10	2.3700E-10	-5.279475E-11	-5.279475E-11	   20.0039	   21.9982	    7.2729	  -14.9132	
  -30.0000	1.6400E-10	1.6400E-10	-5.484736E-11	-5.484736E-11	   20.0090	   21.9964	    7.2631	  -14.9309	
  -35.0000	9.8000E-11	9.8000E-11	-5.637661E-11	-5.637661E-11	   20.0142	   22.0014	    7.2666	  -14.9214	
  -40.0000	1.8200E-10	1.8200E-10	-5.852781E-11	-5.852781E-11	   20.0167	   22.0013	    7.2657	  -14.9230	
  -45.0000	1.8700E-10	1.8700E-10	-6.076558E-11	-6.076558E-11	   20.0193	   22.0032	    7.2685	  -14.9169	
  -50.0000	2.9000E-11	2.9000E-11	-6.253605E-11	-6.253605E-11	   20.0167	   22.0009	    7.2479	  -14.9528	
  -55.0000	-2.1000E-11	-2.1000E-11	-6.469070E-11	-6.469070E-11	   20.0142	   22.0021	    7.2559	  -14.9387	
  -60.0000	2.3000E-11	2.3000E-11	-6.662127E-11	-6.662127E-11	   20.0064	   22.0016	    7.2505	  -14.9481	
  -65.0000	-1.1800E-10	-1.1800E-10	-6.836566E-11	-6.836566E-11	   19.9961	   21.9974	    7.2492	  -14.9533	
  -70.0000	-1.8000E-11	-1.8000E-11	-6.984015E-11	-6.984015E-11	   19.9884	   21.9999	    7.2476	  -14.9541	
  -75.0000	-5.7000E-11	-5.7000E-11	-7.140387E-11	-7.140387E-11	   19.9833	   21.9990	    7.2457	  -14.9579	
  -80.0000	-1.3800E-10	-1.3800E-10	-7.299585E-11	-7.299585E-11	   19.9755	   21.9990	    7.2397	  -14.9579	
  -85.0000	-1.0100E-10	-1.0100E-10	-7.412097E-11	-7.412097E-11	   19.9755	   21.9995	    7.2397	  -14.9676	
  -90.0000	-1.1700E-10	-1.1700E-10	-7.551378E-11	-7.551378E-11	   19.9781	   22.0021	    7.2404	  -14.9646	
  -95.0000	-1.6600E-10	-1.6600E-10	-7.700169E-11	-7.700169E-11	   19.9858	   21.9966	    7.2381	  -14.9729	
 -100.0000	-1.0700E-10	-1.0700E-10	-7.779655E-11	-7.779655E-11	   19.9910	   21.9966	    7.2400	  -14.9723	
 -105.0000	-1.2700E-10	-1.2700E-10	-7.882427E-11	-7.882427E-11	   20.0013	   21.9959	    7.2359	  -14.9697	
 -110.0000	-1.6300E-10	-1.6300E-10	-7.965030E-11	-7.965030E-11	   20.0064	   21.9943	    7.2324	  -14.9778	
 -115.0000	-1.6800E-10	-1.6800E-10	-8.012924E-11	-8.012924E-11	   20.0142	   21.9964	    7.2394	  -14.9820	
 -120.0000	-1.5900E-10	-1.5900E-10	-8.060470E-11	-8.060470E-11	   20.0142	   21.9990	    7.2394	  -14.9685	
 -125.0000	-2.6700E-10	-2.6700E-10	-8.140140E-11	-8.140140E-11	   20.0142	   21.9943	    7.2372	  -14.9756	
 -130.0000	-2.4900E-10	-2.4900E-10	-8.212864E-11	-8.212864E-11	   20.0167	   21.9955	    7.2312	  -14.9848	
 -135.0000	-2.1000E-10	-2.1000E-10	-8.294167E-11	-8.294167E-11	   20.0116	   21.9981	    7.2318	  -14.9818	
 -140.0000	-2.2300E-10	-2.2300E-10	-8.275588E-11	-8.275588E-11	   20.0090	   21.9950	    7.2204	  -15.0031	
 -145.0000	-2.6800E-10	-2.6800E-10	-8.335541E-11	-8.335541E-11	   20.0013	   21.9939	    7.2182	  -15.0076	
 -150.0000	-3.5700E-10	-3.5700E-10	-8.375431E-11	-8.375431E-11	   19.9961	   21.9957	    7.2198	  -15.0036	
 -155.0000	-2.7200E-10	-2.7200E-10	-8.381700E-11	-8.381700E-11	   19.9884	   21.9970	    7.2192	  -15.0038	
 -160.0000	-3.2600E-10	-3.2600E-10	-8.459846E-11	-8.459846E-11	   19.9833	   21.9928	    7.2138	  -15.0158	
 -165.0000	-3.0100E-10	-3.0100E-10	-8.485067E-11	-8.485067E-11	   19.9781	   21.9927	    7.2170	  -15.0106	
 -170.0000	-3.2600E-10	-3.2600E-10	-8.532510E-11	-8.532510E-11	   19.9755	   21.9878	    7.2065	  -15.0318	
 -175.0000	-3.1200E-10	-3.1200E-10	-8.557974E-11	-8.557974E-11	   19.9781	   21.9910	    7.2094	  -15.0246	
 -180.0000	-3.4300E-10	-3.4300E-10	-8.650867E-11	-8.650867E-11	   19.9807	   21.9887	    7.2113	  -15.0232	
 -185.0000	-3.3600E-10	-3.3600E-10	-8.682055E-11	-8.682055E-11	   19.9884	   21.9891	    7.2094	  -15.0260	
 -190.0000	-3.6600E-10	-3.6600E-10	-8.780832E-11	-8.780832E-11	   19.9936	   21.9862	    7.1977	  -15.0478	
 -195.0000	-3.6400E-10	-3.6400E-10	-8.798045E-11	-8.798045E-11	   20.0013	   21.9835	    7.2087	  -15.0312	
 -200.0000	-4.2300E-10	-4.2300E-10	-8.821839E-11	-8.821839E-11	   20.0090	   21.9807	    7.1964	  -15.0539	
 -205.0000	-4.6900E-10	-4.6900E-10	-8.891916E-11	-8.891916E-11	   20.0116	   21.9848	    7.2075	  -15.0323	
 -210.0000	-4.0200E-10	-4.0200E-10	-8.883912E-11	-8.883912E-11	   20.0142	   21.9804	    7.2030	  -15.0430	
 -215.0000	-4.1000E-10	-4.1000E-10	-8.895683E-11	-8.895683E-11	   20.0167	   21.9800	    7.1970	  -15.0534	
 -220.0000	-4.6700E-10	-4.6700E-10	-8.941842E-11	-8.941842E-11	   20.0142	   21.9708	    7.1964	  -15.0612	
 -225.0000	-4.3900E-10	-4.3900E-10	-8.929744E-11	-8.929744E-11	   20.0090	   21.9717	    7.2018	  -15.0516	
 -230.0000	-4.4200E-10	-4.4200E-10	-8.979021E-11	-8.979021E-11	   20.0013	   21.9725	    7.1951	  -15.0621	
 -235.0000	-4.7600E-10	-4.7600E-10	-9.000330E-11	-9.000330E-11	   19.9936	   21.9747	    7.1847	  -15.0780	
 -240.0000	-4.5800E-10	-4.5800E-10	-9.007994E-11	-9.007994E-11	   19.9884	   21.9667	    7.1863	  -15.0812	
 -245.0000	-5.7400E-10	-5.7400E-10	-9.039507E-11	-9.039507E-11	   19.9807	   21.9736	    7.1913	  -15.0677	
 -250.0000	-6.0200E-10	-6.0200E-10	-9.079741E-11	-9.079741E-11	   19.9781	   21.9704	    7.1920	  -15.0690	
 -255.0000	-4.9600E-10	-4.9600E-10	-9.120140E-11	-9.120140E-11	   19.9781	   21.9744	    7.1815	  -15.0836	
 -260.0000	-5.0000E-10	-5.0000E-10	-9.145297E-11	-9.145297E-11	   19.9807	   21.9711	    7.1781	  -15.0918	
 -265.0000	-5.8300E-10	-5.8300E-10	-9.163141E-11	-9.163141E-11	   19.9833	   21.9697	    7.1831	  -15.0843	
 -270.0000	-5.4500E-10	-5.4500E-10	-9.208693E-11	-9.208693E-11	   19.9884	   21.9674	    7.1809	  -15.0898	
 -275.0000	-5.9000E-10	-5.9000E-10	-9.251429E-11	-9.251429E-11	   19.9961	   21.9685	    7.1898	  -15.0740	
 -280.0000	-6.7800E-10	-6.7800E-10	-9.279660E-11	-9.279660E-11	   20.0039	   21.9634	    7.1799	  -15.0943	
 -285.0000	-6.9100E-10	-6.9100E-10	-9.277909E-11	-9.277909E-11	   20.0090	   21.9598	    7.1660	  -15.1204	
 -290.0000	-5.7300E-10	-5.7300E-10	-9.310603E-11	-9.310603E-11	   20.0142	   21.9637	    7.1739	  -15.1041	
 -295.0000	-5.6900E-10	-5.6900E-10	-9.369726E-11	-9.369726E-11	   20.0167	   21.9601	    7.1799	  -15.0967	
 -300.0000	-5.8200E-10	-5.8200E-10	-9.399650E-11	-9.399650E-11	   20.0167	   21.9594	    7.1806	  -15.0962	
 -305.0000	-6.6000E-10	-6.6000E-10	-9.367281E-11	-9.367281E-11	   20.0167	   21.9605	    7.1654	  -15.1209	
 -310.0000	-6.4600E-10	-6.4600E-10	-9.402402E-11	-9.402402E-11	   20.0090	   21.9628	    7.1616	  -15.1256	
 -315.0000	-6.3200E-10	-6.3200E-10	-9.401992E-11	-9.401992E-11	   19.9987	   21.9628	    7.1641	  -15.1256	
 -320.0000	-6.0900E-10	-6.0900E-10	-9.472294E-11	-9.472294E-11	   19.9910	   21.9587	    7.1641	  -15.1244	
 -325.0000	-6.2800E-10	-6.2800E-10	-9.451964E-11	-9.451964E-11	   19.9833	   21.9513	    7.1626	  -15.1298	
 -330.0000	-7.2700E-10	-7.2700E-10	-9.466265E-11	-9.466265E-11	   19.9755	   21.9457	    7.1600	  -15.1366	
 -335.0000	-6.5600E-10	-6.5600E-10	-9.502648E-11	-9.502648E-11	   19.9755	   21.9480	    7.1581	  -15.1392	
 -340.0000	-6.8700E-10	-6.8700E-10	-9.513566E-11	-9.513566E-11	   19.9755	   21.9456	    7.1581	  -15.1441	
 -345.0000	-6.5500E-10	-6.5500E-10	-9.509550E-11	-9.509550E-11	   19.9755	   21.9478	    7.1512	  -15.1542	
 -350.0000	-7.9700E-10	-7.9700E-10	-9.559013E-11	-9.559013E-11	   19.9833	   21.9486	    7.1521	  -15.1521	
 -355.0000	-7.5400E-10	-7.5400E-10	-9.611983E-11	-9.611983E-11	   19.9884	   21.9491	    7.1569	  -15.1437	
 -360.0000	-6.9000E-10	-6.9000E-10	-9.640113E-11	-9.640113E-11	   19.9936	   21.9518	    7.1499	  -15.1534	
 -365.0000	-6.9500E-10	-6.9500E-10	-9.644373E-11	-9.644373E-11	   20.0013	   21.9438	    7.1515	  -15.1567	
 -370.0000	-7.4000E-10	-7.4000E-10	-9.671056E-11	-9.671056E-11	   20.0064	   21.9442	    7.1569	  -15.1472	
 -375.0000	-7.1300E-10	-7.1300E-10	-9.716973E-11	-9.716973E-11	   20.0116	   21.9427	    7.1439	  -15.1702	
 -380.0000	-8.5500E-10	-8.5500E-10	-9.720334E-11	-9.720334E-11	   20.0142	   21.9395	    7.1521	  -15.1587	
 -385.0000	-8.0400E-10	-8.0400E-10	-9.722941E-11	-9.722941E-11	   20.0116	   21.9374	    7.1477	  -15.1678	
 -390.0000	-7.4200E-10	-7.4200E-10	-9.661642E-11	-9.661642E-11	   20.0090	   21.9396	    7.1493	  -15.1635	
 -395.0000	-7.9300E-10	-7.9300E-10	-9.725117E-11	-9.725117E-11	   20.0039	   21.9411	    7.1448	  -15.1698	
 -400.0000	-7.8700E-10	-7.8700E-10	-9.723674E-11	-9.723674E-11	   19.9987	   21.9395	    7.1410	  -15.1774	
 -410.0000	-8.3200E-10	-8.3200E-10	-9.746451E-11	-9.746451E-11	   19.9910	   21.9345	    7.1420	  -15.1795	
 -420.0000	-8.7500E-10	-8.7500E-10	-9.786683E-11	-9.786683E-11	   19.9858	   21.9351	    7.1344	  -15.1919	
 -430.0000	-9.4000E-10	-9.4000E-10	-9.811822E-11	-9.811822E-11	   19.9807	   21.9370	    7.1265	  -15.2039	
 -440.0000	-9.2900E-10	-9.2900E-10	-9.811291E-11	-9.811291E-11	   19.9781	   21.9350	    7.1366	  -15.1882	
 -450.0000	-1.0490E-9	-1.0490E-9	-9.860960E-11	-9.860960E-11	   19.9807	   21.9354	    7.1410	  -15.1804	
 -460.0000	-1.0570E-9	-1.0570E-9	-9.902512E-11	-9.902512E-11	   19.9884	   21.9354	    7.1325	  -15.1804	
 -470.0000	-1.1750E-9	-1.1750E-9	-9.965236E-11	-9.965236E-11	   19.9961	   21.9366	    7.1325	  -15.1940	
 -480.0000	-1.0450E-9	-1.0450E-9	-9.984385E-11	-9.984385E-11	   20.0039	   21.9414	    7.1249	  -15.1797	
 -490.0000	-1.1230E-9	-1.1230E-9	-9.952891E-11	-9.952891E-11	   20.0116	   21.9414	    7.1376	  -15.2033	
 -500.0000	-1.1430E-9	-1.1430E-9	-1.002366E-10	-1.002366E-10	   20.0167	   21.9390	    7.1322	  -15.1837	
 -510.0000	-1.1540E-9	-1.1540E-9	-1.005330E-10	-1.005330E-10	   20.0167	   21.9370	    7.1322	  -15.1942	
 -520.0000	-1.1870E-9	-1.1870E-9	-1.004703E-10	-1.004703E-10	   20.0167	   21.9384	    7.1338	  -15.1905	
 -530.0000	-1.1610E-9	-1.1610E-9	-1.006540E-10	-1.006540E-10	   20.0167	   21.9363	    7.1170	  -15.2204	
 -540.0000	-1.2940E-9	-1.2940E-9	-1.009072E-10	-1.009072E-10	   20.0142	   21.9369	    7.1249	  -15.2066	
 -550.0000	-1.2520E-9	-1.2520E-9	-1.008445E-10	-1.008445E-10	   20.0064	   21.9344	    7.1170	  -15.2219	
 -560.0000	-1.2700E-9	-1.2700E-9	-1.009684E-10	-1.009684E-10	   20.0013	   21.9385	    7.1214	  -15.2113	
 -570.0000	-1.2390E-9	-1.2390E-9	-1.012134E-10	-1.012134E-10	   19.9936	   21.9386	    7.1161	  -15.2203	
 -580.0000	-1.2610E-9	-1.2610E-9	-1.011607E-10	-1.011607E-10	   19.9858	   21.9294	    7.1192	  -15.2218	
 -590.0000	-1.3260E-9	-1.3260E-9	-1.011804E-10	-1.011804E-10	   19.9807	   21.9294	    7.1237	  -15.2218	
 -600.0000	-1.4930E-9	-1.4930E-9	-1.015979E-10	-1.015979E-10	   19.9781	   21.9317	    7.1237	  -15.2125	
 -610.0000	-1.3970E-9	-1.3970E-9	-1.019234E-10	-1.019234E-10	   19.9807	   21.9321	    7.1221	  -15.2117	
 -620.0000	-1.3940E-9	-1.3940E-9	-1.017852E-10	-1.017852E-10	   19.9884	   21.9321	    7.1306	  -15.2149	
 -630.0000	-1.4170E-9	-1.4170E-9	-1.022330E-10	-1.022330E-10	   19.9884	   21.9368	    7.1306	  -15.1970	
 -640.0000	-1.4550E-9	-1.4550E-9	-1.027865E-10	-1.027865E-10	   19.9961	   21.9336	    7.1306	  -15.1994	
 -650.0000	-1.5570E-9	-1.5570E-9	-1.028590E-10	-1.028590E-10	   20.0039	   21.9389	    7.1316	  -15.1939	
 -660.0000	-1.4650E-9	-1.4650E-9	-1.031913E-10	-1.031913E-10	   20.0090	   21.9344	    7.1297	  -15.2004	
 -670.0000	-1.5020E-9	-1.5020E-9	-1.031479E-10	-1.031479E-10	   20.0142	   21.9406	    7.1366	  -15.1841	
 -680.0000	-1.5200E-9	-1.5200E-9	-1.033055E-10	-1.033055E-10	   20.0167	   21.9391	    7.1192	  -15.2146	
 -690.0000	-1.5330E-9	-1.5330E-9	-1.034909E-10	-1.034909E-10	   20.0167	   21.9380	    7.1256	  -15.2048	
 -700.0000	-1.5420E-9	-1.5420E-9	-1.038403E-10	-1.038403E-10	   20.0116	   21.9377	    7.1199	  -15.2146	
 -710.0000	-1.5780E-9	-1.5780E-9	-1.046030E-10	-1.046030E-10	   20.0090	   21.9347	    7.1208	  -15.2152	
 -720.0000	-1.6070E-9	-1.6070E-9	-1.043512E-10	-1.043512E-10	   19.9987	   21.9325	    7.1132	  -15.2296	
 -730.0000	-1.6180E-9	-1.6180E-9	-1.049817E-10	-1.049817E-10	   19.9910	   21.9289	    7.1154	  -15.2285	
 -740.0000	-1.6170E-9	-1.6170E-9	-1.054686E-10	-1.054686E-10	   19.9833	   21.9268	    7.1192	  -15.2236	
 -750.0000	-1.7300E-9	-1.7300E-9	-1.056049E-10	-1.056049E-10	   19.9755	   21.9280	    7.1132	  -15.2330	
 -760.0000	-1.8810E-9	-1.8810E-9	-1.060989E-10	-1.060989E-10	   19.9704	   21.9318	    7.1180	  -15.2222	
 -770.0000	-1.7240E-9	-1.7240E-9	-1.073731E-10	-1.073731E-10	   19.9704	   21.9318	    7.1034	  -15.2222	
 -780.0000	-1.8130E-9	-1.8130E-9	-1.074697E-10	-1.074697E-10	   19.9704	   21.9276	    7.1034	  -15.2499	
 -790.0000	-1.7640E-9	-1.7640E-9	-1.082258E-10	-1.082258E-10	   19.9755	   21.9336	    7.1148	  -15.2262	
 -800.0000	-1.8050E-9	-1.8050E-9	-1.085075E-10	-1.085075E-10	   19.9781	   21.9356	    7.1120	  -15.2295	
 -810.0000	-1.9880E-9	-1.9880E-9	-1.097206E-10	-1.097206E-10	   19.9833	   21.9349	    7.1192	  -15.2177	
 -820.0000	-2.0000E-9	-2.0000E-9	-1.097569E-10	-1.097569E-10	   19.9884	   21.9349	    7.1151	  -15.2177	
 -830.0000	-1.8500E-9	-1.8500E-9	-1.105037E-10	-1.105037E-10	   19.9884	   21.9358	    7.1151	  -15.2240	
 -840.0000	-2.0620E-9	-2.0620E-9	-1.113163E-10	-1.113163E-10	   19.9961	   21.9340	    7.1192	  -15.2184	
 -850.0000	-1.9930E-9	-1.9930E-9	-1.116879E-10	-1.116879E-10	   20.0013	   21.9340	    7.1075	  -15.2184	
 -860.0000	-1.9830E-9	-1.9830E-9	-1.120416E-10	-1.120416E-10	   20.0013	   21.9324	    7.1075	  -15.2394	
 -870.0000	-1.9600E-9	-1.9600E-9	-1.128157E-10	-1.128157E-10	   20.0039	   21.9324	    7.1164	  -15.2394	
 -880.0000	-2.0320E-9	-2.0320E-9	-1.137097E-10	-1.137097E-10	   20.0039	   21.9338	    7.1164	  -15.2234	
 -890.0000	-2.1220E-9	-2.1220E-9	-1.141865E-10	-1.141865E-10	   20.0039	   21.9297	    7.1161	  -15.2269	
 -900.0000	-2.0280E-9	-2.0280E-9	-1.145777E-10	-1.145777E-10	   20.0039	   21.9297	    7.1031	  -15.2269	
 -910.0000	-2.0790E-9	-2.0790E-9	-1.155800E-10	-1.155800E-10	   20.0039	   21.9297	    7.1031	  -15.2489	
 -920.0000	-2.0710E-9	-2.0710E-9	-1.161206E-10	-1.161206E-10	   20.0013	   21.9281	    7.1006	  -15.2543	
 -930.0000	-2.1340E-9	-2.1340E-9	-1.170574E-10	-1.170574E-10	   19.9987	   21.9300	    7.1034	  -15.2481	
 -940.0000	-2.1210E-9	-2.1210E-9	-1.179869E-10	-1.179869E-10	   19.9936	   21.9293	    7.0958	  -15.2615	
 -950.0000	-2.1450E-9	-2.1450E-9	-1.179920E-10	-1.179920E-10	   19.9884	   21.9293	    7.0977	  -15.2615	
 -960.0000	-2.2030E-9	-2.2030E-9	-1.189685E-10	-1.189685E-10	   19.9884	   21.9310	    7.0977	  -15.2571	
 -970.0000	-2.2180E-9	-2.2180E-9	-1.198561E-10	-1.198561E-10	   19.9858	   21.9293	    7.0939	  -15.2648	
 -980.0000	-2.2440E-9	-2.2440E-9	-1.204151E-10	-1.204151E-10	   19.9858	   21.9275	    7.0898	  -15.2731	
 -990.0000	-2.2450E-9	-2.2450E-9	-1.212951E-10	-1.212951E-10	   19.9833	   21.9275	    7.0952	  -15.2731	
-1000.0000	-2.2740E-9	-2.2740E-9	-1.219435E-10	-1.219435E-10	   19.9833	   21.9293	    7.0952	  -15.2626	
