GCD Test
Bias: 5000.000000
CV_34343_036_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 7/15/2021 1:51:49 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.995E-11	1.652E+9	   20.1403	   20.7953	   30.3978	    2.7837	
  -10.0000	1.547E-11	1.897E+9	   20.1403	   20.7953	   30.3978	    2.7837	
  -15.0000	1.343E-11	1.820E+9	   20.0553	   20.8009	   29.6082	    2.4187	
  -20.0000	1.219E-11	2.155E+9	   20.0064	   20.7962	   29.3542	    2.2937	
  -25.0000	1.134E-11	2.397E+9	   20.0064	   20.7962	   29.3542	    2.2937	
  -30.0000	1.073E-11	2.256E+9	   19.8932	   20.7996	   28.8545	    2.0562	
  -35.0000	1.023E-11	2.185E+9	   19.8649	   20.7987	   28.7097	    1.9850	
  -40.0000	9.837E-12	1.957E+9	   19.8623	   20.7988	   28.5930	    1.9282	
  -45.0000	9.510E-12	2.277E+9	   19.8777	   20.8141	   28.4896	    1.8907	
  -50.0000	9.229E-12	2.377E+9	   19.9086	   20.8137	   28.4111	    1.8519	
  -55.0000	8.984E-12	2.213E+9	   19.9627	   20.8074	   28.3185	    1.8008	
  -60.0000	8.770E-12	1.696E+9	   20.0193	   20.8085	   28.2394	    1.7628	
  -65.0000	8.573E-12	2.195E+9	   20.0811	   20.8105	   28.1717	    1.7310	
  -70.0000	8.405E-12	1.968E+9	   20.1351	   20.8242	   28.1293	    1.7217	
  -75.0000	8.259E-12	2.008E+9	   20.1737	   20.8248	   28.0708	    1.6932	
  -80.0000	8.135E-12	2.122E+9	   20.1866	   20.8441	   28.0326	    1.6907	
  -85.0000	8.015E-12	2.078E+9	   20.1815	   20.8296	   27.9798	    1.6520	
  -90.0000	7.906E-12	2.424E+9	   20.1531	   20.8302	   27.9336	    1.6295	
  -95.0000	7.797E-12	2.046E+9	   20.1171	   20.8242	   27.8975	    1.6063	
 -100.0000	7.711E-12	2.199E+9	   20.0682	   20.8141	   27.8672	    1.5825	
 -105.0000	7.622E-12	2.147E+9	   20.0219	   20.8270	   27.8359	    1.5779	
 -110.0000	7.538E-12	2.171E+9	   19.9755	   20.8198	   27.8178	    1.5627	
 -115.0000	7.468E-12	2.285E+9	   19.9369	   20.8284	   27.8011	    1.5616	
 -120.0000	7.392E-12	2.268E+9	   19.9086	   20.8295	   27.7650	    1.5445	
 -125.0000	7.324E-12	2.203E+9	   19.9009	   20.8318	   27.7543	    1.5411	
 -130.0000	7.266E-12	2.130E+9	   19.9061	   20.8281	   27.7543	    1.5379	
 -135.0000	7.203E-12	2.438E+9	   19.9266	   20.8091	   27.7404	    1.5146	
 -140.0000	7.147E-12	2.282E+9	   19.9678	   20.8373	   27.7268	    1.5320	
 -145.0000	7.096E-12	2.521E+9	   19.9678	   20.8373	   27.7268	    1.5320	
 -150.0000	7.046E-12	2.598E+9	   20.0811	   20.8211	   27.7015	    1.5054	
 -155.0000	6.995E-12	2.499E+9	   20.1248	   20.8384	   27.6828	    1.5108	
 -160.0000	6.954E-12	2.457E+9	   20.1480	   20.8546	   27.6809	    1.5237	
 -165.0000	6.912E-12	2.524E+9	   20.1557	   20.8320	   27.6758	    1.5019	
 -170.0000	6.870E-12	2.736E+9	   20.1429	   20.8309	   27.6531	    1.4894	
