GCD Test
Bias: 5000.000000
CV_36696_010_PSS_HM_XX_DIODEHALFPSTOP_GRCONN
Date/Time: 8/17/2021 6:11:32 PM
Sensor Name: 36696_010_PSS_HM_XX_DIODEHALFPSTOP_GRCONN
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
   -5.0000	2.160E-11	1.373E+9	   20.0270	   21.3055	    7.6287	  -14.8476	
  -10.0000	1.667E-11	1.792E+9	   20.0528	   21.3058	    7.6309	  -14.8440	
  -15.0000	1.440E-11	2.002E+9	   20.0708	   21.3035	    7.6341	  -14.8406	
  -20.0000	1.303E-11	1.937E+9	   20.0811	   21.3035	    7.6252	  -14.8547	
  -25.0000	1.208E-11	2.060E+9	   20.0502	   21.3008	    7.6180	  -14.8682	
  -30.0000	1.141E-11	2.096E+9	   20.0270	   21.2945	    7.6233	  -14.8644	
  -35.0000	1.085E-11	2.116E+9	   20.0039	   21.3069	    7.6176	  -14.8642	
  -40.0000	1.041E-11	2.170E+9	   19.9730	   21.2980	    7.6107	  -14.8819	
  -45.0000	1.005E-11	2.117E+9	   19.9524	   21.3030	    7.6186	  -14.8656	
  -50.0000	9.740E-12	2.215E+9	   19.9344	   21.3025	    7.6113	  -14.8775	
  -55.0000	9.466E-12	2.020E+9	   19.9292	   21.2934	    7.6192	  -14.8717	
  -60.0000	9.235E-12	2.090E+9	   19.9344	   21.3031	    7.6097	  -14.8796	
  -65.0000	9.030E-12	2.138E+9	   19.9472	   21.3034	    7.6148	  -14.8713	
  -70.0000	8.850E-12	2.127E+9	   19.9730	   21.2943	    7.6170	  -14.8745	
  -75.0000	8.682E-12	2.134E+9	   20.0013	   21.2946	    7.6237	  -14.8638	
  -80.0000	8.536E-12	2.195E+9	   20.0347	   21.2936	    7.6268	  -14.8595	
  -85.0000	8.400E-12	2.032E+9	   20.0631	   21.2919	    7.6202	  -14.8713	
  -90.0000	8.277E-12	2.187E+9	   20.0862	   21.2981	    7.6249	  -14.8592	
  -95.0000	8.164E-12	2.077E+9	   20.0965	   21.2965	    7.6297	  -14.8528	
 -100.0000	8.061E-12	2.064E+9	   20.0939	   21.3029	    7.6256	  -14.8546	
 -105.0000	7.961E-12	2.225E+9	   20.0811	   21.3043	    7.6284	  -14.8490	
