GCD Test
Bias: 5000.000000
CV_36696_039_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 8/17/2021 4:12:56 PM
Sensor Name: 36696_039_PSS_HM_XX_DIODEHALFPSTOP
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
   -5.0000	2.244E-11	6.571E+8	   19.9653	   21.1833	    7.9769	  -14.3975	
  -10.0000	1.737E-11	9.549E+8	   20.0116	   21.1848	    7.9646	  -14.4152	
  -15.0000	1.502E-11	1.113E+9	   20.0553	   21.1876	    7.9545	  -14.4285	
  -20.0000	1.360E-11	1.257E+9	   20.0837	   21.1944	    7.9485	  -14.4326	
  -25.0000	1.264E-11	1.348E+9	   20.0939	   21.1917	    7.9431	  -14.4428	
  -30.0000	1.198E-11	1.346E+9	   20.0811	   21.1917	    7.9453	  -14.4394	
  -35.0000	1.144E-11	1.396E+9	   20.0605	   21.1931	    7.9450	  -14.4389	
  -40.0000	1.102E-11	1.437E+9	   20.0347	   21.1994	    7.9434	  -14.4367	
  -45.0000	1.068E-11	1.516E+9	   20.0064	   21.1920	    7.9513	  -14.4300	
  -50.0000	1.037E-11	1.545E+9	   19.9807	   21.1942	    7.9377	  -14.4492	
  -55.0000	1.012E-11	1.495E+9	   19.9575	   21.1960	    7.9447	  -14.4372	
  -60.0000	9.895E-12	1.622E+9	   19.9447	   21.1918	    7.9485	  -14.4346	
  -65.0000	9.698E-12	1.664E+9	   19.9369	   21.1908	    7.9541	  -14.4266	
  -70.0000	9.517E-12	1.485E+9	   19.9421	   21.1948	    7.9570	  -14.4193	
  -75.0000	9.352E-12	1.519E+9	   19.9550	   21.1829	    7.9690	  -14.4098	
  -80.0000	9.206E-12	1.680E+9	   19.9807	   21.1910	    7.9750	  -14.3946	
  -85.0000	9.058E-12	1.659E+9	   20.0064	   21.1833	    7.9693	  -14.4090	
  -90.0000	8.930E-12	1.703E+9	   20.0373	   21.1922	    7.9728	  -14.3971	
  -95.0000	8.818E-12	1.613E+9	   20.0631	   21.1833	    7.9779	  -14.3961	
 -100.0000	8.707E-12	1.610E+9	   20.0837	   21.1932	    7.9722	  -14.3973	
 -105.0000	8.611E-12	1.675E+9	   20.0939	   21.1876	    8.0006	  -14.3582	
 -110.0000	8.522E-12	1.662E+9	   20.0914	   21.1906	    8.0145	  -14.3349	
 -115.0000	8.430E-12	1.663E+9	   20.0914	   21.1906	    8.0145	  -14.3349	
 -120.0000	8.351E-12	1.659E+9	   20.0708	   21.1907	    8.0139	  -14.3357	
 -125.0000	8.269E-12	1.638E+9	   20.0450	   21.1961	    8.0000	  -14.3528	
 -130.0000	8.193E-12	1.710E+9	   19.9755	   21.1965	    7.9937	  -14.3622	
 -135.0000	8.126E-12	1.747E+9	   19.9550	   21.1894	    7.9820	  -14.3852	
 -140.0000	8.056E-12	1.589E+9	   19.9369	   21.1910	    7.9709	  -14.4009	
 -145.0000	7.995E-12	1.772E+9	   19.9318	   21.1937	    7.9719	  -14.3975	
 -150.0000	7.938E-12	1.900E+9	   19.9421	   21.1936	    7.9636	  -14.4101	
 -155.0000	7.888E-12	1.783E+9	   19.9601	   21.1880	    7.9576	  -14.4234	
 -160.0000	7.839E-12	1.976E+9	   19.9910	   21.1913	    7.9535	  -14.4272	
 -165.0000	7.791E-12	1.986E+9	   20.0270	   21.1925	    7.9526	  -14.4278	
 -170.0000	7.744E-12	1.860E+9	   20.0553	   21.1890	    7.9614	  -14.4168	
 -175.0000	7.697E-12	1.756E+9	   20.0837	   21.1849	    7.9557	  -14.4286	
 -180.0000	7.660E-12	1.936E+9	   20.0939	   21.1914	    7.9567	  -14.4223	
 -185.0000	7.615E-12	1.861E+9	   20.0965	   21.1902	    7.9655	  -14.4097	
 -190.0000	7.576E-12	1.848E+9	   20.0862	   21.1966	    7.9614	  -14.4112	
 -195.0000	7.544E-12	1.835E+9	   20.0656	   21.1893	    7.9503	  -14.4335	
 -200.0000	7.504E-12	1.948E+9	   20.0425	   21.1898	    7.9570	  -14.4230	
 -205.0000	7.471E-12	1.853E+9	   20.0142	   21.1903	    7.9421	  -14.4453	
 -210.0000	7.431E-12	1.825E+9	   19.9910	   21.1863	    7.9595	  -14.4218	
 -215.0000	7.405E-12	2.006E+9	   19.9653	   21.1907	    7.9693	  -14.4035	
 -220.0000	7.374E-12	2.018E+9	   19.9498	   21.1905	    7.9889	  -14.3738	
