GCD Test
Bias: 5000.000000
IV_37398_031_PSS_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 11/8/2021 5:44:30 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.9400E-10	1.9400E-10	-1.747177E-11	-1.747177E-11	   20.0631	   21.6726	    6.9519	  -15.6965	
  -10.0000	1.5200E-10	1.5200E-10	-1.790222E-11	-1.790222E-11	   20.0631	   21.6717	    6.9042	  -15.7799	
  -15.0000	1.2100E-10	1.2100E-10	-1.879733E-11	-1.879733E-11	   20.0631	   21.6775	    6.8533	  -15.8644	
  -20.0000	1.9800E-10	1.9800E-10	-1.889164E-11	-1.889164E-11	   20.0631	   21.6747	    6.8011	  -15.9580	
  -25.0000	-1.4000E-11	-1.4000E-11	-1.947425E-11	-1.947425E-11	   20.0631	   21.6745	    6.7565	  -16.0370	
  -30.0000	1.1100E-10	1.1100E-10	-1.977718E-11	-1.977718E-11	   20.0631	   21.6759	    6.7122	  -16.1146	
  -35.0000	6.5000E-11	6.5000E-11	-2.077740E-11	-2.077740E-11	   20.0605	   21.6695	    6.7097	  -16.1238	
  -40.0000	1.7000E-11	1.7000E-11	-2.172853E-11	-2.172853E-11	   20.0631	   21.6721	    6.6790	  -16.1767	
  -45.0000	-2.7000E-11	-2.7000E-11	-2.246169E-11	-2.246169E-11	   20.0631	   21.6706	    6.6622	  -16.2078	
  -50.0000	-2.3600E-10	-2.3600E-10	-2.250874E-11	-2.250874E-11	   20.0631	   21.6694	    6.6540	  -16.2234	
  -55.0000	-1.9800E-10	-1.9800E-10	-2.256049E-11	-2.256049E-11	   20.0631	   21.6741	    6.6360	  -16.2525	
  -60.0000	3.8000E-11	3.8000E-11	-2.244132E-11	-2.244132E-11	   20.0631	   21.6727	    6.6252	  -16.2728	
  -65.0000	-2.3700E-10	-2.3700E-10	-2.346700E-11	-2.346700E-11	   20.0631	   21.6727	    6.6142	  -16.2728	
  -70.0000	-2.1900E-10	-2.1900E-10	-2.384347E-11	-2.384347E-11	   20.0631	   21.6722	    6.6142	  -16.2932	
  -75.0000	-5.1000E-11	-5.1000E-11	-2.400195E-11	-2.400195E-11	   20.0631	   21.6722	    6.5923	  -16.2932	
