GCD Test
Bias: 5000.000000
CV_36696_039_PSS_HM_XX_DIODE_Irradiated
Date/Time: 9/20/2021 2:56:10 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed for 80min at 60C
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	6.707E-11	2.400E-11	1.498E+6	9.466E+5	  -19.9931	    9.0665	    3.0977	  -33.5659	
  -20.0000	6.818E-11	2.409E-11	1.685E+6	9.903E+5	  -19.9957	    9.0985	    3.1214	  -33.4664	
  -30.0000	6.760E-11	2.418E-11	1.818E+6	1.021E+6	  -19.9982	    9.0907	    3.1316	  -33.4388	
  -40.0000	6.721E-11	2.424E-11	1.932E+6	1.046E+6	  -19.9982	    9.0907	    3.1448	  -33.3958	
  -50.0000	6.599E-11	2.430E-11	2.015E+6	1.066E+6	  -20.0059	    9.0818	    3.1698	  -33.3213	
  -60.0000	6.537E-11	2.437E-11	2.091E+6	1.085E+6	  -20.0109	    9.1018	    3.1505	  -33.3697	
  -70.0000	6.466E-11	2.443E-11	2.157E+6	1.105E+6	  -20.0109	    9.1165	    3.1509	  -33.3587	
  -80.0000	6.412E-11	2.445E-11	2.223E+6	1.110E+6	  -20.0135	    9.1179	    3.1505	  -33.3587	
  -90.0000	6.320E-11	2.449E-11	2.252E+6	1.127E+6	  -20.0109	    9.0627	    3.1499	  -33.3986	
 -100.0000	6.298E-11	2.456E-11	2.301E+6	1.137E+6	  -20.0059	    9.0787	    3.1559	  -33.3683	
 -110.0000	6.228E-11	2.456E-11	2.325E+6	1.149E+6	  -20.0059	    9.0584	    3.1648	  -33.3537	
 -120.0000	6.143E-11	2.458E-11	2.376E+6	1.157E+6	  -20.0033	    9.0728	    3.2109	  -33.1962	
 -130.0000	6.131E-11	2.462E-11	2.393E+6	1.165E+6	  -20.0033	    9.0792	    3.2182	  -33.1687	
 -140.0000	6.089E-11	2.463E-11	2.430E+6	1.173E+6	  -20.0059	    9.0712	    3.2331	  -33.1272	
 -150.0000	6.062E-11	2.465E-11	2.453E+6	1.184E+6	  -20.0008	    9.0822	    3.2388	  -33.1017	
 -160.0000	6.023E-11	2.465E-11	2.461E+6	1.187E+6	  -20.0008	    9.0883	    3.2378	  -33.1004	
