GCD Test
Bias: 5000.000000
IV_34252_009_PSS_HM_XX_DIODEHALF_PCB
Date/Time: 9/14/2021 11:28:58 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-3.1200E-10	-3.1200E-10	5.476450E-10	5.476450E-10	   20.1274	   22.1057	    7.3469	  -14.7036	
  -10.0000	-2.9800E-10	-2.9800E-10	7.821241E-10	7.821241E-10	   20.1274	   22.1410	    7.3469	  -14.6854	
  -15.0000	-5.8900E-10	-5.8900E-10	6.653146E-10	6.653146E-10	   20.1274	   22.1556	    7.3476	  -14.6736	
  -20.0000	-3.6700E-10	-3.6700E-10	5.470246E-10	5.470246E-10	   20.1274	   22.1303	    7.3529	  -14.6834	
  -25.0000	-5.6500E-10	-5.6500E-10	4.819042E-10	4.819042E-10	   20.1248	   22.1303	    7.3501	  -14.6834	
  -30.0000	-1.0400E-10	-1.0400E-10	4.152552E-10	4.152552E-10	   20.1248	   22.1471	    7.3501	  -14.6757	
  -35.0000	-2.7400E-10	-2.7400E-10	3.887205E-10	3.887205E-10	   20.1274	   22.0991	    7.3393	  -14.7288	
  -40.0000	-1.6400E-10	-1.6400E-10	3.886620E-10	3.886620E-10	   20.1274	   22.1231	    7.3520	  -14.6903	
  -45.0000	-2.5800E-10	-2.5800E-10	3.510782E-10	3.510782E-10	   20.1274	   22.1231	    7.3488	  -14.6903	
  -50.0000	-6.4600E-10	-6.4600E-10	2.979646E-10	2.979646E-10	   20.1274	   22.1513	    7.3488	  -14.6747	
  -55.0000	-3.5400E-10	-3.5400E-10	2.873233E-10	2.873233E-10	   20.1248	   22.1098	    7.3447	  -14.7120	
  -60.0000	-5.6800E-10	-5.6800E-10	2.298098E-10	2.298098E-10	   20.1274	   22.1098	    7.3447	  -14.7120	
  -65.0000	-7.6700E-10	-7.6700E-10	2.371527E-10	2.371527E-10	   20.1274	   22.1904	    7.3447	  -14.6526	
  -70.0000	-6.5300E-10	-6.5300E-10	2.955843E-10	2.955843E-10	   20.1274	   22.1904	    7.3390	  -14.6526	
  -75.0000	-6.3800E-10	-6.3800E-10	3.451789E-10	3.451789E-10	   20.1274	   22.1063	    7.3390	  -14.7241	
  -80.0000	-5.2000E-10	-5.2000E-10	3.005499E-10	3.005499E-10	   20.1248	   22.1058	    7.3476	  -14.7103	
  -85.0000	-5.2000E-10	-5.2000E-10	2.927582E-10	2.927582E-10	   20.1248	   22.1058	    7.3371	  -14.7103	
  -90.0000	-4.2800E-10	-4.2800E-10	2.965104E-10	2.965104E-10	   20.1248	   22.0923	    7.3371	  -14.7375	
