GCD Test
Bias: 5000.000000
CV_34252_018_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 4/27/2021 11:48:20 AM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.274E-11	6.767E+8	   22.7642	   22.9756	   19.2451	   -1.6937	
  -10.0000	1.746E-11	4.801E+8	   22.7616	   22.9747	   19.2407	   -1.6975	
  -15.0000	1.506E-11	5.201E+8	   22.7616	   22.9747	   19.2407	   -1.6975	
  -20.0000	1.361E-11	5.412E+8	   22.7616	   22.9786	   19.2388	   -1.6957	
  -25.0000	1.268E-11	5.578E+8	   22.7616	   22.9777	   19.2315	   -1.7016	
  -30.0000	1.203E-11	5.502E+8	   22.7616	   22.9777	   19.2315	   -1.7016	
  -35.0000	1.150E-11	5.454E+8	   22.7616	   22.9765	   19.2483	   -1.6907	
  -40.0000	1.109E-11	5.409E+8	   22.7616	   22.9776	   19.2369	   -1.6978	
  -45.0000	1.073E-11	5.412E+8	   22.7642	   22.9794	   19.2312	   -1.7004	
  -50.0000	1.043E-11	5.434E+8	   22.7616	   22.9791	   19.2397	   -1.6946	
  -55.0000	1.018E-11	5.453E+8	   22.7642	   22.9764	   19.2432	   -1.6943	
  -60.0000	9.954E-12	5.518E+8	   22.7616	   22.9808	   19.2454	   -1.6892	
  -65.0000	9.752E-12	5.564E+8	   22.7616	   22.9786	   19.2581	   -1.6821	
  -70.0000	9.582E-12	5.543E+8	   22.7642	   22.9794	   19.2498	   -1.6872	
  -75.0000	9.417E-12	5.735E+8	   22.7616	   22.9826	   19.2638	   -1.6748	
  -80.0000	9.277E-12	5.628E+8	   22.7642	   22.9850	   19.2454	   -1.6857	
  -85.0000	9.141E-12	5.947E+8	   22.7616	   22.9813	   19.2600	   -1.6786	
