GCD Test
Bias: 5000.000000
IV_34254_025_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 4/13/2021 4:36:24 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-6.2725E-10	-4.5500E-10	-8.4700E-10	-6.4100E-10	-5.6600E-10	-6.782219E-10	-6.777226E-10	-6.781406E-10	-6.786668E-10	-6.783578E-10	   22.9883	 -246.8610	   29.1360	 -246.8610	
  -10.0000	-1.3665E-9	-1.3780E-9	-1.5350E-9	-1.3090E-9	-1.2440E-9	-1.342191E-9	-1.343575E-9	-1.342695E-9	-1.343076E-9	-1.339416E-9	   22.9883	 -246.8610	   29.1385	 -246.8610	
  -15.0000	-1.8125E-9	-1.9010E-9	-1.9590E-9	-1.7560E-9	-1.6340E-9	-1.783747E-9	-1.780237E-9	-1.797660E-9	-1.772821E-9	-1.784271E-9	   22.9883	 -246.8610	   29.1268	 -246.8610	
  -20.0000	-2.0023E-9	-1.7830E-9	-1.9090E-9	-1.9960E-9	-2.3210E-9	-2.111762E-9	-2.099090E-9	-2.116939E-9	-2.122164E-9	-2.108855E-9	   22.9883	 -246.8610	   29.1335	 -246.8610	
  -25.0000	-2.3178E-9	-2.3380E-9	-2.1240E-9	-2.2960E-9	-2.5130E-9	-2.538173E-9	-2.564644E-9	-2.522377E-9	-2.487637E-9	-2.578034E-9	   22.9909	 -246.8610	   29.1259	 -246.8610	
  -30.0000	-2.8153E-9	-3.0090E-9	-2.9700E-9	-2.8390E-9	-2.4430E-9	-2.748801E-9	-2.749317E-9	-2.746831E-9	-2.749376E-9	-2.749681E-9	   22.9883	 -246.8610	   29.1275	 -246.8610	
  -35.0000	-3.1177E-9	-3.0080E-9	-3.3590E-9	-3.1160E-9	-2.9880E-9	-2.983705E-9	-2.984810E-9	-2.983810E-9	-2.981409E-9	-2.984789E-9	   22.9883	 -246.8610	   29.1195	 -246.8610	
  -40.0000	-3.2828E-9	-3.0250E-9	-3.1800E-9	-3.5360E-9	-3.3900E-9	-3.195900E-9	-3.197173E-9	-3.194302E-9	-3.194935E-9	-3.197189E-9	   22.9883	 -246.8610	   29.1233	 -246.8610	
  -45.0000	-3.3583E-9	-3.5050E-9	-3.1210E-9	-3.3270E-9	-3.4800E-9	-3.402778E-9	-3.404440E-9	-3.408888E-9	-3.399416E-9	-3.398368E-9	   22.9883	 -246.8610	   29.1331	 -246.8610	
  -50.0000	-3.5517E-9	-3.7920E-9	-3.4320E-9	-3.4030E-9	-3.5800E-9	-3.584864E-9	-3.585318E-9	-3.583089E-9	-3.586594E-9	-3.584456E-9	   22.9883	 -246.8610	   29.1271	 -246.8610	
  -55.0000	-3.7588E-9	-3.9760E-9	-3.8520E-9	-3.5050E-9	-3.7020E-9	-3.759198E-9	-3.760765E-9	-3.760398E-9	-3.758960E-9	-3.756667E-9	   22.9883	 -246.8610	   29.1303	 -246.8610	
  -60.0000	-4.1533E-9	-3.9560E-9	-4.2960E-9	-4.2290E-9	-4.1320E-9	-3.917693E-9	-3.916814E-9	-3.922140E-9	-3.918043E-9	-3.913777E-9	   22.9883	 -246.8610	   29.1167	 -246.8610	
  -65.0000	-4.1600E-9	-4.1540E-9	-3.9100E-9	-4.1330E-9	-4.4430E-9	-4.120914E-9	-4.121263E-9	-4.121259E-9	-4.120640E-9	-4.120493E-9	   22.9883	 -246.8610	   29.1094	 -246.8610	
  -70.0000	-4.5365E-9	-4.4060E-9	-4.7570E-9	-4.5430E-9	-4.4400E-9	-4.266579E-9	-4.266989E-9	-4.266297E-9	-4.266810E-9	-4.266220E-9	   22.9883	 -246.8610	   29.1195	 -246.8610	
  -75.0000	-4.7075E-9	-4.5740E-9	-4.9050E-9	-4.7150E-9	-4.6360E-9	-4.407019E-9	-4.406173E-9	-4.406797E-9	-4.407793E-9	-4.407315E-9	   22.9909	 -246.8610	   29.1173	 -246.8610	
  -80.0000	-4.8573E-9	-4.6860E-9	-5.0080E-9	-4.9080E-9	-4.8270E-9	-4.540394E-9	-4.540901E-9	-4.540042E-9	-4.540563E-9	-4.540071E-9	   22.9883	 -246.8610	   29.1199	 -246.8610	
  -85.0000	-4.8133E-9	-5.0450E-9	-4.9830E-9	-4.6120E-9	-4.6130E-9	-4.669764E-9	-4.669888E-9	-4.669391E-9	-4.669718E-9	-4.670061E-9	   22.9883	 -246.8610	   29.0961	 -246.8610	
  -90.0000	-4.8945E-9	-5.1300E-9	-4.8530E-9	-4.7040E-9	-4.8910E-9	-4.794893E-9	-4.794337E-9	-4.794537E-9	-4.795383E-9	-4.795316E-9	   22.9883	 -246.8610	   29.1082	 -246.8610	
  -95.0000	-5.2615E-9	-5.0780E-9	-5.3520E-9	-5.3910E-9	-5.2250E-9	-4.916059E-9	-4.916213E-9	-4.916481E-9	-4.915973E-9	-4.915568E-9	   22.9883	 -246.8610	   29.1022	 -246.8610	
 -100.0000	-5.4170E-9	-5.4720E-9	-5.5600E-9	-5.3540E-9	-5.2820E-9	-5.035833E-9	-5.036485E-9	-5.036334E-9	-5.034975E-9	-5.035538E-9	   22.9883	 -246.8610	   29.1085	 -246.8610	
 -105.0000	-5.5008E-9	-5.7270E-9	-5.5560E-9	-5.5190E-9	-5.2010E-9	-5.152072E-9	-5.152511E-9	-5.151711E-9	-5.152760E-9	-5.151307E-9	   22.9883	 -246.8610	   29.0987	 -246.8610	
 -110.0000	-5.6720E-9	-5.7430E-9	-5.8010E-9	-5.6110E-9	-5.5330E-9	-5.262932E-9	-5.261723E-9	-5.262844E-9	-5.263598E-9	-5.263562E-9	   22.9883	 -246.8610	   29.0990	 -246.8610	
 -115.0000	-5.7837E-9	-5.7330E-9	-5.9640E-9	-5.7590E-9	-5.6790E-9	-5.371253E-9	-5.371485E-9	-5.371398E-9	-5.371481E-9	-5.370649E-9	   22.9883	 -246.8610	   29.0961	 -246.8610	
 -120.0000	-5.8778E-9	-5.7430E-9	-5.9060E-9	-6.0360E-9	-5.8260E-9	-5.477337E-9	-5.479795E-9	-5.476268E-9	-5.476462E-9	-5.476824E-9	   22.9883	 -246.8610	   29.0911	 -246.8610	
 -125.0000	-5.7370E-9	-5.8600E-9	-5.5390E-9	-5.7040E-9	-5.8450E-9	-5.578456E-9	-5.577153E-9	-5.577883E-9	-5.579652E-9	-5.579136E-9	   22.9883	 -246.8610	   29.0813	 -246.8610	
 -130.0000	-6.0900E-9	-5.9330E-9	-6.0210E-9	-6.2570E-9	-6.1490E-9	-5.676201E-9	-5.676662E-9	-5.677007E-9	-5.674879E-9	-5.676254E-9	   22.9883	 -246.8610	   29.0961	 -246.8610	
 -135.0000	-6.2353E-9	-6.2330E-9	-6.3860E-9	-6.1790E-9	-6.1430E-9	-5.773691E-9	-5.772292E-9	-5.773091E-9	-5.774545E-9	-5.774836E-9	   22.9909	 -246.8610	   29.0990	 -246.8610	
 -140.0000	-6.2890E-9	-6.1060E-9	-6.2140E-9	-6.4180E-9	-6.4180E-9	-5.866873E-9	-5.867133E-9	-5.867567E-9	-5.866375E-9	-5.866415E-9	   22.9883	 -246.8610	   29.0958	 -246.8610	
 -145.0000	-6.1800E-9	-6.3820E-9	-6.0830E-9	-6.0160E-9	-6.2390E-9	-5.959752E-9	-5.959830E-9	-5.960354E-9	-5.959576E-9	-5.959249E-9	   22.9883	 -246.8610	   29.0816	 -246.8610	
 -150.0000	-6.5447E-9	-6.4610E-9	-6.6810E-9	-6.5800E-9	-6.4570E-9	-6.050495E-9	-6.050746E-9	-6.051579E-9	-6.050221E-9	-6.049433E-9	   22.9883	 -246.8610	   29.0844	 -246.8610	
 -155.0000	-6.6307E-9	-6.5110E-9	-6.6910E-9	-6.7570E-9	-6.5640E-9	-6.138343E-9	-6.137953E-9	-6.138052E-9	-6.137864E-9	-6.139503E-9	   22.9909	 -246.8610	   29.0904	 -246.8610	
 -160.0000	-6.6877E-9	-6.4950E-9	-6.6240E-9	-6.8390E-9	-6.7930E-9	-6.226828E-9	-6.226445E-9	-6.227101E-9	-6.228233E-9	-6.225534E-9	   22.9883	 -246.8610	   29.0886	 -246.8610	
 -165.0000	-6.8453E-9	-6.8100E-9	-7.0080E-9	-6.8020E-9	-6.7610E-9	-6.314428E-9	-6.314796E-9	-6.313471E-9	-6.314170E-9	-6.315275E-9	   22.9909	 -246.8610	   29.0784	 -246.8610	
 -170.0000	-6.7050E-9	-6.5270E-9	-6.5820E-9	-6.7650E-9	-6.9460E-9	-6.399518E-9	-6.399545E-9	-6.399638E-9	-6.400115E-9	-6.398772E-9	   22.9883	 -246.8610	   29.0762	 -246.8610	
 -175.0000	-6.7555E-9	-6.8910E-9	-6.5600E-9	-6.7040E-9	-6.8670E-9	-6.483068E-9	-6.481877E-9	-6.482626E-9	-6.483738E-9	-6.484031E-9	   22.9909	 -246.8610	   29.0731	 -246.8610	
 -180.0000	-6.8630E-9	-7.0860E-9	-6.8800E-9	-6.6350E-9	-6.8510E-9	-6.563718E-9	-6.564338E-9	-6.563570E-9	-6.564619E-9	-6.562343E-9	   22.9883	 -246.8610	   29.0715	 -246.8610	
