GCD Test
Bias: 5000.000000
IV_34341_024_PSS_HM_XX_DIODE_Biased_Box
Date/Time: 7/22/2021 2:07:20 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	 1.7970E-8	 1.7970E-8	-2.457783E-11	-2.457783E-11	   20.0862	   20.4922	   57.4855	   11.8153	
  -10.0000	 1.7010E-8	 1.7010E-8	1.082326E-10	1.082326E-10	   20.0631	   20.5069	   57.4769	   11.8268	
  -15.0000	 1.6660E-8	 1.6660E-8	1.979005E-10	1.979005E-10	   20.0425	   20.5284	   57.4602	   11.8424	
  -20.0000	 1.5480E-8	 1.5480E-8	2.074220E-10	2.074220E-10	   20.0116	   20.5129	   57.4472	   11.8245	
  -25.0000	 1.3960E-8	 1.3960E-8	1.593152E-10	1.593152E-10	   19.9704	   20.5129	   57.4399	   11.8245	
  -30.0000	 1.2900E-8	 1.2900E-8	-3.381932E-11	-3.381932E-11	   19.9704	   20.5129	   57.4399	   11.8226	
  -35.0000	 1.1630E-8	 1.1630E-8	-9.797871E-11	-9.797871E-11	   19.9369	   20.4888	   57.4475	   11.8021	
  -40.0000	 1.0730E-8	 1.0730E-8	-1.225881E-10	-1.225881E-10	   19.9112	   20.4888	   57.4320	   11.8021	
  -45.0000	 1.0061E-8	 1.0061E-8	-1.319876E-10	-1.319876E-10	   19.9112	   20.4998	   57.4320	   11.8083	
  -50.0000	 8.9470E-9	 8.9470E-9	-1.306318E-10	-1.306318E-10	   19.9061	   20.4894	   57.4519	   11.8038	
  -55.0000	 8.1130E-9	 8.1130E-9	-1.322798E-10	-1.322798E-10	   19.9215	   20.4894	   57.4519	   11.8038	
  -60.0000	 7.3860E-9	 7.3860E-9	-1.386435E-10	-1.386435E-10	   19.9215	   20.5056	   57.4513	   11.8188	
  -65.0000	 6.6770E-9	 6.6770E-9	-1.399376E-10	-1.399376E-10	   19.9447	   20.5056	   57.4519	   11.8190	
  -70.0000	 6.2460E-9	 6.2460E-9	-1.432286E-10	-1.432286E-10	   19.9730	   20.4700	   57.4684	   11.7900	
  -75.0000	 5.8850E-9	 5.8850E-9	-1.460958E-10	-1.460958E-10	   20.0245	   20.4700	   57.4633	   11.7900	
