GCD Test
Bias: 5000.000000
CV_34341_038_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 4/28/2021 12:24:04 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.018E-11	1.370E+9	   22.3598	   22.5113	    6.4001	  -16.0755	
  -10.0000	1.575E-11	1.551E+9	   22.3624	   22.5109	    6.4092	  -16.0586	
  -15.0000	1.371E-11	1.593E+9	   22.3624	   22.5109	    6.4092	  -16.0586	
  -20.0000	1.247E-11	1.662E+9	   22.3624	   22.5069	    6.4026	  -16.0739	
  -25.0000	1.160E-11	1.719E+9	   22.3624	   22.5069	    6.4026	  -16.0739	
  -30.0000	1.099E-11	1.611E+9	   22.3598	   22.5113	    6.4336	  -16.0130	
  -35.0000	1.052E-11	1.709E+9	   22.3598	   22.5110	    6.4367	  -16.0073	
  -40.0000	1.016E-11	1.738E+9	   22.3624	   22.5189	    6.4285	  -16.0169	
  -45.0000	9.849E-12	1.708E+9	   22.3598	   22.5103	    6.4307	  -16.0189	
  -50.0000	9.595E-12	1.724E+9	   22.3624	   22.5137	    6.4269	  -16.0236	
  -55.0000	9.374E-12	1.755E+9	   22.3598	   22.5183	    6.4247	  -16.0244	
  -60.0000	9.183E-12	1.704E+9	   22.3598	   22.5160	    6.4317	  -16.0130	
  -65.0000	9.012E-12	1.789E+9	   22.3598	   22.5190	    6.4231	  -16.0268	
  -70.0000	8.862E-12	1.718E+9	   22.3598	   22.5167	    6.4238	  -16.0273	
  -75.0000	8.722E-12	1.773E+9	   22.3598	   22.5172	    6.4326	  -16.0104	
  -80.0000	8.600E-12	1.786E+9	   22.3598	   22.5186	    6.4279	  -16.0183	
  -85.0000	8.484E-12	1.782E+9	   22.3598	   22.5139	    6.4396	  -15.9999	
  -90.0000	8.383E-12	1.768E+9	   22.3598	   22.5122	    6.4386	  -16.0029	
  -95.0000	8.285E-12	1.750E+9	   22.3598	   22.5179	    6.4355	  -16.0046	
 -100.0000	8.195E-12	1.769E+9	   22.3598	   22.5143	    6.4428	  -15.9937	
 -105.0000	8.104E-12	1.836E+9	   22.3598	   22.5153	    6.4545	  -15.9713	
 -110.0000	8.023E-12	1.841E+9	   22.3598	   22.5175	    6.4472	  -15.9832	
 -115.0000	7.945E-12	1.917E+9	   22.3598	   22.5214	    6.4437	  -15.9868	
 -120.0000	7.875E-12	1.935E+9	   22.3598	   22.5214	    6.4437	  -15.9868	
 -125.0000	7.805E-12	1.900E+9	   22.3598	   22.5141	    6.4589	  -15.9639	
 -130.0000	7.738E-12	1.929E+9	   22.3598	   22.5141	    6.4589	  -15.9639	
 -135.0000	7.674E-12	1.913E+9	   22.3598	   22.5190	    6.4589	  -15.9604	
 -140.0000	7.616E-12	1.953E+9	   22.3598	   22.5141	    6.4592	  -15.9633	
 -145.0000	7.555E-12	2.014E+9	   22.3598	   22.5176	    6.4810	  -15.9203	
 -150.0000	7.508E-12	1.969E+9	   22.3598	   22.5206	    6.4877	  -15.9059	
 -155.0000	7.461E-12	2.021E+9	   22.3598	   22.5162	    6.4873	  -15.9097	
 -160.0000	7.420E-12	1.972E+9	   22.3598	   22.5168	    6.4934	  -15.8982	
 -165.0000	7.376E-12	1.931E+9	   22.3598	   22.5209	    6.5025	  -15.8783	
 -170.0000	7.336E-12	2.028E+9	   22.3598	   22.5209	    6.4861	  -15.9087	
 -175.0000	7.295E-12	2.118E+9	   22.3598	   22.5200	    6.4978	  -15.8877	
