GCD Test
Bias: 5000.000000
CV_36696_010_PSS_HM_XX_DIODEQUARTER
Date/Time: 8/17/2021 5:36:18 PM
Sensor Name: 36696_010_PSS_HM_XX_DIODEQUARTER
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.789E-11	1.750E+9	   19.9807	   21.4171	    7.9260	  -14.3012	
  -10.0000	1.399E-11	1.964E+9	   19.9601	   21.4149	    7.9203	  -14.3116	
  -15.0000	1.215E-11	1.968E+9	   19.9421	   21.4166	    7.9054	  -14.3331	
  -20.0000	1.099E-11	2.054E+9	   19.9472	   21.4074	    7.9016	  -14.3458	
  -25.0000	1.012E-11	2.023E+9	   19.9472	   21.4074	    7.9016	  -14.3458	
  -30.0000	9.415E-12	2.054E+9	   19.9781	   21.4074	    7.8963	  -14.3541	
  -35.0000	8.648E-12	1.913E+9	   20.0090	   21.4098	    7.8906	  -14.3610	
  -40.0000	7.821E-12	2.141E+9	   20.0347	   21.4157	    7.8925	  -14.3538	
  -45.0000	7.329E-12	2.202E+9	   20.0631	   21.4108	    7.8906	  -14.3603	
  -50.0000	7.090E-12	2.291E+9	   20.0811	   21.4099	    7.8903	  -14.3614	
  -55.0000	6.947E-12	1.906E+9	   20.0862	   21.4161	    7.8880	  -14.3602	
  -60.0000	5.738E-12	1.749E+9	   20.0811	   21.4083	    7.8814	  -14.3763	
  -65.0000	5.688E-12	1.977E+9	   20.0682	   21.4088	    7.8792	  -14.3793	
  -70.0000	5.631E-12	1.997E+9	   20.0425	   21.4022	    7.8925	  -14.3638	
  -75.0000	5.587E-12	2.082E+9	   20.0193	   21.3998	    7.8871	  -14.3738	
  -80.0000	5.556E-12	1.923E+9	   19.9910	   21.4039	    7.8896	  -14.3669	
  -85.0000	5.517E-12	2.088E+9	   19.9678	   21.4037	    7.8748	  -14.3899	
  -90.0000	5.490E-12	2.129E+9	   19.9472	   21.3963	    7.8795	  -14.3881	
  -95.0000	5.463E-12	2.068E+9	   19.9369	   21.3978	    7.8811	  -14.3846	
 -100.0000	5.438E-12	1.953E+9	   19.9369	   21.3947	    7.8681	  -14.4069	
 -105.0000	5.415E-12	2.200E+9	   19.9472	   21.3934	    7.8665	  -14.4103	
 -110.0000	5.391E-12	1.990E+9	   19.9653	   21.3933	    7.8586	  -14.4226	
 -115.0000	5.370E-12	2.306E+9	   19.9936	   21.3973	    7.8596	  -14.4181	
 -120.0000	5.350E-12	2.360E+9	   20.0193	   21.3928	    7.8504	  -14.4357	
 -125.0000	5.330E-12	2.332E+9	   20.0476	   21.3928	    7.8507	  -14.4352	
 -130.0000	5.314E-12	2.132E+9	   20.0862	   21.3897	    7.8529	  -14.4340	
 -135.0000	5.302E-12	2.304E+9	   20.0914	   21.3965	    7.8428	  -14.4446	
 -140.0000	5.285E-12	2.331E+9	   20.0837	   21.3985	    7.8302	  -14.4627	
 -145.0000	5.266E-12	2.208E+9	   20.0631	   21.3959	    7.8362	  -14.4554	
