GCD Test
Bias: 5000.000000
CV_36697_036_PSS_HM_XX_DIODEHALF
Date/Time: 9/24/2021 4:22:24 PM
Sensor Name: 36697_036_DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.228E-11	4.627E+9	   19.9961	   21.4316	   12.1664	   -8.9568	
  -10.0000	2.312E-11	1.432E+10	   19.9987	   21.4316	   11.5304	   -9.6389	
  -15.0000	1.881E-11	2.217E+10	   20.0039	   21.4271	   11.1341	  -10.0845	
  -20.0000	1.599E-11	9.998E+10	   20.0039	   21.4271	   11.1341	  -10.0845	
  -25.0000	1.342E-11	1.128E+10	   20.0064	   21.4289	   10.2511	  -11.1209	
  -30.0000	1.085E-11	1.481E+11	   20.0090	   21.4283	    9.9266	  -11.5228	
  -35.0000	9.705E-12	5.518E+10	   20.0064	   21.4303	    9.7328	  -11.7667	
  -40.0000	9.075E-12	1.177E+9	   20.0039	   21.4250	    9.5402	  -12.0190	
  -45.0000	6.484E-12	1.071E+10	   20.0013	   21.4234	    9.3903	  -12.2165	
  -50.0000	6.194E-12	2.498E+10	   19.9987	   21.4234	    9.2552	  -12.2165	
  -55.0000	5.936E-12	1.255E+10	   19.9936	   21.4276	    9.1287	  -12.5626	
  -60.0000	5.715E-12	1.848E+10	   19.9884	   21.4239	    9.0177	  -12.7163	
  -65.0000	5.524E-12	2.881E+10	   19.9884	   21.4281	    8.9181	  -12.8500	
  -70.0000	5.352E-12	6.934E+10	   19.9858	   21.4310	    8.8254	  -12.9763	
  -75.0000	5.192E-12	1.216E+11	   19.9910	   21.4286	    8.7565	  -13.0746	
  -80.0000	5.058E-12	-5.017E+11	   19.9936	   21.4265	    8.6717	  -13.1956	
  -85.0000	4.926E-12	-5.099E+10	   19.9961	   21.4308	    8.5955	  -13.3007	
  -90.0000	4.811E-12	-7.194E+10	   20.0039	   21.4300	    8.5329	  -13.3910	
  -95.0000	4.703E-12	-1.738E+10	   20.0090	   21.4306	    8.4905	  -13.4515	
 -100.0000	4.601E-12	-3.558E+10	   20.0116	   21.4223	    8.4611	  -13.5002	
 -105.0000	4.508E-12	-3.604E+10	   20.0142	   21.4254	    8.4039	  -13.5810	
 -110.0000	4.420E-12	-3.450E+10	   20.0142	   21.4249	    8.3593	  -13.6465	
 -115.0000	4.339E-12	-1.906E+10	   20.0142	   21.4249	    8.3593	  -13.6465	
 -120.0000	4.267E-12	-1.102E+10	   20.0116	   21.4256	    8.3197	  -13.7039	
 -125.0000	4.190E-12	-1.483E+10	   20.0090	   21.4256	    8.2846	  -13.7556	
 -130.0000	4.123E-12	-1.631E+10	   20.0013	   21.4299	    8.2302	  -13.8327	
 -135.0000	4.062E-12	-1.571E+10	   19.9961	   21.4274	    8.2002	  -13.8793	
 -140.0000	4.005E-12	-1.019E+10	   19.9961	   21.4274	    8.2002	  -13.8793	
 -145.0000	3.953E-12	-1.076E+10	   19.9936	   21.4258	    8.1619	  -13.9375	
 -150.0000	3.897E-12	-1.319E+10	   19.9884	   21.4225	    8.1461	  -13.9637	
 -155.0000	3.845E-12	-1.100E+10	   19.9910	   21.4282	    8.1148	  -14.0063	
 -160.0000	3.798E-12	-1.421E+10	   19.9910	   21.4263	    8.0990	  -14.0315	
 -165.0000	3.751E-12	-6.648E+9	   19.9987	   21.4277	    8.0576	  -14.0930	
 -170.0000	3.700E-12	-1.342E+10	   20.0013	   21.4261	    8.0376	  -14.1243	
 -175.0000	3.659E-12	-1.563E+10	   20.0116	   21.4261	    8.0041	  -14.1752	
 -180.0000	3.622E-12	-1.133E+10	   20.0142	   21.4220	    7.9924	  -14.1960	
 -185.0000	3.582E-12	-7.764E+9	   20.0142	   21.4237	    7.9674	  -14.2328	
 -190.0000	3.540E-12	-1.060E+10	   20.0116	   21.4295	    7.9481	  -14.2580	
 -195.0000	3.509E-12	-1.266E+10	   20.0090	   21.4212	    7.9450	  -14.2691	
 -200.0000	3.472E-12	-9.666E+9	   20.0013	   21.4232	    7.9257	  -14.2971	
 -205.0000	3.440E-12	-1.434E+10	   19.9961	   21.4253	    7.9194	  -14.3052	
 -210.0000	3.407E-12	-9.658E+9	   19.9961	   21.4253	    7.9194	  -14.3052	
 -215.0000	3.374E-12	-1.096E+10	   19.9884	   21.4166	    7.9064	  -14.3316	
 -220.0000	3.344E-12	-9.195E+9	   19.9884	   21.4166	    7.9064	  -14.3316	
 -225.0000	3.312E-12	-1.089E+10	   19.9858	   21.4193	    7.9010	  -14.3379	
 -230.0000	3.290E-12	-7.926E+9	   19.9884	   21.4157	    7.8985	  -14.3445	
 -235.0000	3.261E-12	-1.365E+10	   19.9961	   21.4157	    7.8729	  -14.3839	
 -240.0000	3.229E-12	-8.883E+9	   20.0142	   21.4179	    7.8567	  -14.4072	
 -245.0000	3.205E-12	-1.041E+10	   20.0193	   21.4252	    7.8643	  -14.3901	
 -250.0000	3.177E-12	-9.708E+9	   20.0193	   21.4224	    7.8495	  -14.4151	
 -255.0000	3.151E-12	-6.850E+9	   20.0193	   21.4213	    7.8504	  -14.4144	
 -260.0000	3.128E-12	-8.547E+9	   20.0167	   21.4197	    7.8419	  -14.4289	
 -265.0000	3.105E-12	-7.300E+9	   20.0116	   21.4197	    7.8567	  -14.4059	
 -270.0000	3.081E-12	-1.114E+10	   20.0064	   21.4220	    7.8435	  -14.4247	
 -275.0000	3.056E-12	-7.996E+9	   20.0013	   21.4188	    7.8504	  -14.4163	
 -280.0000	3.034E-12	-1.175E+10	   19.9961	   21.4167	    7.8495	  -14.4194	
 -285.0000	3.015E-12	-7.216E+9	   19.9936	   21.4197	    7.8501	  -14.4161	
 -290.0000	2.989E-12	-8.340E+9	   19.9936	   21.4174	    7.8390	  -14.4350	
 -295.0000	2.973E-12	-9.761E+9	   19.9936	   21.4174	    7.8390	  -14.4350	
 -300.0000	2.957E-12	-9.557E+9	   19.9961	   21.4199	    7.8229	  -14.4507	
 -305.0000	2.940E-12	-8.952E+9	   19.9987	   21.4190	    7.8229	  -14.4588	
 -310.0000	2.929E-12	-1.183E+10	   20.0039	   21.4201	    7.8118	  -14.4752	
 -315.0000	2.920E-12	-1.046E+10	   20.0090	   21.4131	    7.8144	  -14.4765	
 -320.0000	2.916E-12	-1.007E+10	   20.0116	   21.4167	    7.8226	  -14.4610	
 -325.0000	2.906E-12	-1.256E+10	   20.0142	   21.4211	    7.8270	  -14.4508	
 -330.0000	2.906E-12	-7.705E+9	   20.0142	   21.4135	    7.8027	  -14.4943	
 -335.0000	2.904E-12	-8.122E+9	   20.0116	   21.4135	    7.8011	  -14.4968	
 -340.0000	2.895E-12	-1.004E+10	   20.0090	   21.4141	    7.7970	  -14.5028	
 -345.0000	2.896E-12	-6.767E+9	   20.0064	   21.4147	    7.7973	  -14.5018	
 -350.0000	2.891E-12	-8.859E+9	   19.9987	   21.4147	    7.7710	  -14.5427	
 -355.0000	2.887E-12	-6.564E+9	   19.9961	   21.4136	    7.7853	  -14.5214	
 -360.0000	2.884E-12	-1.074E+10	   19.9961	   21.4136	    7.7853	  -14.5214	
 -365.0000	2.882E-12	-9.699E+9	   19.9858	   21.4151	    7.7593	  -14.5607	
 -370.0000	2.882E-12	-9.271E+9	   19.9858	   21.4151	    7.7593	  -14.5607	
 -375.0000	2.876E-12	-1.087E+10	   19.9858	   21.4121	    7.7562	  -14.5679	
 -380.0000	2.878E-12	-8.576E+9	   19.9936	   21.4093	    7.7470	  -14.5843	
 -385.0000	2.874E-12	-1.289E+10	   19.9936	   21.4093	    7.7470	  -14.5843	
 -390.0000	2.873E-12	-1.117E+10	   20.0090	   21.4074	    7.7423	  -14.5931	
 -395.0000	2.872E-12	-9.338E+9	   20.0142	   21.4092	    7.7404	  -14.5948	
 -400.0000	2.871E-12	-6.423E+9	   20.0193	   21.4107	    7.7347	  -14.6026	
 -410.0000	2.869E-12	-7.209E+9	   20.0219	   21.4096	    7.7404	  -14.5945	
 -420.0000	2.864E-12	-7.894E+9	   20.0193	   21.4073	    7.7574	  -14.5695	
 -430.0000	2.857E-12	-8.216E+9	   20.0167	   21.4058	    7.7555	  -14.5735	
 -440.0000	2.864E-12	-6.906E+9	   20.0090	   21.4082	    7.7454	  -14.5876	
 -450.0000	2.858E-12	-8.761E+9	   20.0013	   21.4082	    7.7502	  -14.5802	
 -460.0000	2.855E-12	-7.336E+9	   19.9961	   21.4083	    7.7603	  -14.5643	
 -470.0000	2.852E-12	-9.726E+9	   19.9936	   21.4094	    7.7400	  -14.5952	
 -480.0000	2.856E-12	-7.268E+9	   19.9936	   21.4094	    7.7435	  -14.5897	
 -490.0000	2.848E-12	-7.548E+9	   19.9961	   21.4056	    7.7324	  -14.6098	
 -500.0000	2.850E-12	-9.516E+9	   20.0013	   21.4058	    7.7429	  -14.5933	
 -510.0000	2.849E-12	-7.838E+9	   20.0039	   21.4047	    7.7381	  -14.6016	
 -520.0000	2.848E-12	-9.120E+9	   20.0090	   21.4091	    7.7299	  -14.6112	
 -530.0000	2.850E-12	-9.128E+9	   20.0142	   21.4060	    7.7258	  -14.6200	
 -540.0000	2.844E-12	-7.050E+9	   20.0167	   21.4074	    7.7204	  -14.6274	
 -550.0000	2.847E-12	-7.963E+9	   20.0167	   21.4080	    7.7195	  -14.6284	
 -560.0000	2.847E-12	-9.094E+9	   20.0116	   21.4076	    7.7277	  -14.6158	
 -570.0000	2.846E-12	-1.255E+10	   20.0116	   21.4076	    7.7277	  -14.6158	
 -580.0000	2.844E-12	-6.914E+9	   20.0064	   21.4115	    7.7242	  -14.6183	
 -590.0000	2.844E-12	-9.952E+9	   20.0013	   21.4069	    7.7128	  -14.6396	
 -600.0000	2.845E-12	-8.300E+9	   19.9910	   21.4045	    7.7027	  -14.6573	
