GCD Test
Bias: 5000.000000
CV_37398_031_PSS_HM_XX_DIODE
Date/Time: 11/8/2021 4:36:43 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	8.853E-11	6.147E+8	   20.0939	   21.7743	    6.5389	  -16.3553	
  -10.0000	6.350E-11	1.358E+9	   20.0939	   21.7755	    6.5319	  -16.3671	
  -15.0000	5.183E-11	1.508E+9	   20.0965	   21.7743	    6.5300	  -16.3703	
  -20.0000	4.459E-11	1.754E+9	   20.0965	   21.7816	    6.5304	  -16.3656	
  -25.0000	3.937E-11	1.842E+9	   20.0939	   21.7763	    6.5278	  -16.3741	
  -30.0000	3.542E-11	1.745E+9	   20.0939	   21.7761	    6.5266	  -16.3765	
  -35.0000	3.188E-11	1.730E+9	   20.0939	   21.7761	    6.5300	  -16.3702	
  -40.0000	2.850E-11	1.631E+9	   20.0939	   21.7755	    6.5221	  -16.3851	
  -45.0000	2.609E-11	1.939E+9	   20.0939	   21.7686	    6.5240	  -16.3867	
  -50.0000	2.461E-11	2.107E+9	   20.0939	   21.7765	    6.5348	  -16.3612	
  -55.0000	2.325E-11	2.522E+8	   20.0939	   21.7783	    6.5259	  -16.3761	
  -60.0000	1.912E-11	1.409E+9	   20.0939	   21.7775	    6.5285	  -16.3721	
  -65.0000	1.839E-11	1.564E+9	   20.0939	   21.7770	    6.5225	  -16.3834	
  -70.0000	1.774E-11	1.885E+9	   20.0965	   21.7771	    6.5244	  -16.3799	
  -75.0000	1.716E-11	1.781E+9	   20.0939	   21.7780	    6.5288	  -16.3711	
  -80.0000	1.664E-11	2.089E+9	   20.0939	   21.7800	    6.5199	  -16.3858	
  -85.0000	1.616E-11	1.989E+9	   20.0939	   21.7791	    6.5266	  -16.3743	
  -90.0000	1.573E-11	2.135E+9	   20.0939	   21.7771	    6.5164	  -16.3944	
