GCD Test
Bias: 5000.000000
CV_37399_049_PSS_HM_XX_DIODEQUARTER
Date/Time: 11/3/2021 7:53:44 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.193E-11	3.499E+9	   19.9987	   21.5163	    6.5867	  -16.4567	
  -10.0000	8.283E-12	3.879E+9	   19.9987	   21.5190	    6.5879	  -16.4524	
  -15.0000	6.464E-12	5.291E+9	   20.0039	   21.5191	    6.5886	  -16.4512	
  -20.0000	5.100E-12	6.075E+9	   20.0039	   21.5157	    6.5968	  -16.4388	
  -25.0000	3.537E-12	5.090E+9	   20.0039	   21.5157	    6.5968	  -16.4388	
  -30.0000	2.823E-12	5.669E+9	   20.0064	   21.5216	    6.5863	  -16.4533	
  -35.0000	2.577E-12	5.082E+9	   20.0039	   21.5272	    6.5854	  -16.4510	
  -40.0000	1.138E-12	4.669E+9	   20.0013	   21.5227	    6.5857	  -16.4537	
  -45.0000	1.038E-12	4.858E+9	   20.0013	   21.5250	    6.5841	  -16.4549	
  -50.0000	9.645E-13	3.818E+9	   19.9987	   21.5206	    6.5898	  -16.4478	
  -55.0000	9.089E-13	5.030E+9	   19.9961	   21.5200	    6.5892	  -16.4494	
  -60.0000	8.584E-13	4.848E+9	   19.9936	   21.5236	    6.5920	  -16.4416	
  -65.0000	8.090E-13	5.321E+9	   19.9936	   21.5226	    6.5813	  -16.4618	
  -70.0000	7.623E-13	4.277E+9	   19.9936	   21.5213	    6.5876	  -16.4513	
  -75.0000	7.253E-13	4.208E+9	   19.9961	   21.5243	    6.5829	  -16.4577	
  -80.0000	6.959E-13	5.596E+9	   19.9961	   21.5221	    6.5800	  -16.4644	
  -85.0000	6.642E-13	4.561E+9	   19.9987	   21.5275	    6.5784	  -16.4633	
  -90.0000	6.425E-13	4.832E+9	   20.0013	   21.5222	    6.5797	  -16.4649	
  -95.0000	6.114E-13	5.274E+9	   20.0039	   21.5231	    6.5784	  -16.4666	
 -100.0000	5.882E-13	4.211E+9	   20.0064	   21.5215	    6.5772	  -16.4701	
 -105.0000	5.705E-13	4.711E+9	   20.0064	   21.5253	    6.5838	  -16.4552	
 -110.0000	5.502E-13	6.158E+9	   20.0090	   21.5272	    6.5857	  -16.4504	
 -115.0000	5.329E-13	6.173E+9	   20.0064	   21.5232	    6.5882	  -16.4488	
 -120.0000	5.131E-13	5.701E+9	   20.0064	   21.5256	    6.5835	  -16.4556	
 -125.0000	4.954E-13	4.856E+9	   20.0039	   21.5247	    6.5746	  -16.4723	
 -130.0000	4.754E-13	5.446E+9	   19.9987	   21.5290	    6.5769	  -16.4652	
 -135.0000	4.623E-13	4.883E+9	   19.9987	   21.5290	    6.5769	  -16.4652	
 -140.0000	4.509E-13	5.895E+9	   19.9961	   21.5240	    6.5645	  -16.4912	
 -145.0000	4.323E-13	5.272E+9	   19.9961	   21.5240	    6.5645	  -16.4912	
 -150.0000	4.231E-13	6.806E+9	   19.9936	   21.5297	    6.5740	  -16.4698	
 -155.0000	4.128E-13	5.541E+9	   19.9936	   21.5297	    6.5832	  -16.4532	
 -160.0000	3.997E-13	5.078E+9	   19.9961	   21.5212	    6.5737	  -16.4766	
 -165.0000	3.875E-13	5.588E+9	   20.0013	   21.5253	    6.5784	  -16.4650	
 -170.0000	3.789E-13	5.614E+9	   20.0013	   21.5269	    6.5715	  -16.4764	
 -175.0000	3.653E-13	6.276E+9	   20.0039	   21.5295	    6.5743	  -16.4694	
 -180.0000	3.560E-13	7.064E+9	   20.0064	   21.5304	    6.5677	  -16.4808	
 -185.0000	3.495E-13	7.299E+9	   20.0064	   21.5309	    6.5746	  -16.4678	
 -190.0000	3.425E-13	7.517E+9	   20.0090	   21.5309	    6.5712	  -16.4741	
 -195.0000	3.291E-13	6.798E+9	   20.0064	   21.5323	    6.5705	  -16.4742	
 -200.0000	3.220E-13	6.388E+9	   20.0039	   21.5336	    6.5848	  -16.4475	
 -205.0000	3.132E-13	5.741E+9	   20.0039	   21.5292	    6.5759	  -16.4667	
 -210.0000	3.033E-13	5.492E+9	   20.0013	   21.5290	    6.5750	  -16.4686	
 -215.0000	3.001E-13	5.214E+9	   19.9987	   21.5271	    6.5769	  -16.4665	
 -220.0000	2.906E-13	8.257E+9	   19.9987	   21.5323	    6.5848	  -16.4485	
 -225.0000	2.753E-13	6.550E+9	   19.9961	   21.5360	    6.5708	  -16.4710	
 -230.0000	2.756E-13	8.290E+9	   19.9961	   21.5302	    6.5648	  -16.4861	
 -235.0000	2.684E-13	6.866E+9	   19.9961	   21.5302	    6.5648	  -16.4861	
 -240.0000	2.644E-13	6.556E+9	   19.9987	   21.5318	    6.5740	  -16.4683	
 -245.0000	2.561E-13	9.673E+9	   19.9987	   21.5281	    6.5762	  -16.4670	
 -250.0000	2.534E-13	6.380E+9	   19.9987	   21.5281	    6.5762	  -16.4670	
 -255.0000	2.431E-13	7.592E+9	   19.9987	   21.5359	    6.5651	  -16.4813	
 -260.0000	2.431E-13	1.066E+10	   20.0039	   21.5359	    6.5677	  -16.4767	
 -265.0000	2.390E-13	8.600E+9	   20.0013	   21.5401	    6.5667	  -16.4754	
 -270.0000	2.375E-13	7.005E+9	   20.0039	   21.5367	    6.5626	  -16.4854	
 -275.0000	2.306E-13	9.641E+9	   20.0064	   21.5409	    6.5655	  -16.4771	
 -280.0000	2.304E-13	7.288E+9	   20.0039	   21.5375	    6.5620	  -16.4859	
 -285.0000	2.299E-13	7.340E+9	   20.0064	   21.5380	    6.5610	  -16.4873	
 -290.0000	2.243E-13	7.341E+9	   20.0039	   21.5402	    6.5718	  -16.4662	
 -295.0000	2.277E-13	1.053E+10	   20.0013	   21.5402	    6.5658	  -16.4771	
 -300.0000	2.217E-13	6.078E+9	   20.0013	   21.5402	    6.5658	  -16.4771	
 -305.0000	2.206E-13	1.158E+10	   19.9987	   21.5376	    6.5765	  -16.4594	
 -310.0000	2.241E-13	8.352E+9	   19.9936	   21.5336	    6.5724	  -16.4698	
 -315.0000	2.238E-13	1.032E+10	   19.9936	   21.5386	    6.5623	  -16.4846	
 -320.0000	2.204E-13	1.139E+10	   19.9936	   21.5425	    6.5705	  -16.4667	
 -325.0000	2.176E-13	1.062E+10	   19.9961	   21.5380	    6.5674	  -16.4758	
 -330.0000	2.199E-13	8.509E+9	   19.9987	   21.5413	    6.5740	  -16.4613	
 -335.0000	2.111E-13	8.186E+9	   19.9987	   21.5375	    6.5689	  -16.4733	
 -340.0000	2.145E-13	1.557E+10	   20.0013	   21.5372	    6.5655	  -16.4798	
 -345.0000	2.132E-13	7.915E+9	   20.0039	   21.5361	    6.5620	  -16.4869	
 -350.0000	2.154E-13	8.125E+9	   20.0064	   21.5389	    6.5610	  -16.4867	
 -355.0000	2.122E-13	6.533E+9	   20.0090	   21.5347	    6.5642	  -16.4840	
 -360.0000	2.167E-13	8.860E+9	   20.0064	   21.5347	    6.5588	  -16.4937	
 -365.0000	2.155E-13	7.462E+9	   20.0064	   21.5365	    6.5670	  -16.4775	
 -370.0000	2.117E-13	1.003E+10	   20.0039	   21.5413	    6.5756	  -16.4585	
 -375.0000	2.140E-13	7.821E+9	   20.0013	   21.5351	    6.5670	  -16.4785	
 -380.0000	2.109E-13	1.223E+10	   20.0013	   21.5357	    6.5572	  -16.4958	
 -385.0000	2.150E-13	9.515E+9	   19.9987	   21.5344	    6.5655	  -16.4819	
 -390.0000	2.108E-13	6.327E+9	   19.9936	   21.5357	    6.5756	  -16.4626	
 -395.0000	2.105E-13	6.649E+9	   19.9961	   21.5334	    6.5721	  -16.4706	
 -400.0000	2.087E-13	6.308E+9	   19.9936	   21.5410	    6.5784	  -16.4535	
 -410.0000	2.099E-13	7.738E+9	   19.9961	   21.5368	    6.5674	  -16.4767	
 -420.0000	2.100E-13	7.613E+9	   19.9961	   21.5323	    6.5781	  -16.4604	
 -430.0000	2.103E-13	9.998E+9	   19.9987	   21.5385	    6.5756	  -16.4605	
 -440.0000	2.073E-13	1.021E+10	   20.0039	   21.5387	    6.5743	  -16.4627	
 -450.0000	2.064E-13	1.054E+10	   20.0039	   21.5371	    6.5667	  -16.4776	
 -460.0000	2.103E-13	7.675E+9	   20.0064	   21.5405	    6.5727	  -16.4642	
 -470.0000	1.994E-13	7.090E+9	   20.0064	   21.5422	    6.5670	  -16.4733	
 -480.0000	2.041E-13	7.302E+9	   20.0064	   21.5385	    6.5750	  -16.4617	
 -490.0000	2.073E-13	1.246E+10	   20.0064	   21.5414	    6.5670	  -16.4739	
 -500.0000	2.029E-13	1.234E+10	   20.0013	   21.5407	    6.5794	  -16.4520	
 -510.0000	2.106E-13	9.759E+9	   19.9987	   21.5370	    6.5727	  -16.4668	
 -520.0000	2.006E-13	7.276E+9	   19.9961	   21.5370	    6.5765	  -16.4599	
 -530.0000	2.041E-13	7.815E+9	   19.9961	   21.5406	    6.5778	  -16.4550	
 -540.0000	2.057E-13	8.261E+9	   19.9961	   21.5392	    6.5781	  -16.4554	
 -550.0000	1.996E-13	8.584E+9	   19.9936	   21.5405	    6.5787	  -16.4533	
 -560.0000	2.021E-13	1.009E+10	   19.9961	   21.5356	    6.5746	  -16.4644	
 -570.0000	2.026E-13	7.150E+9	   19.9961	   21.5356	    6.5746	  -16.4644	
 -580.0000	2.056E-13	7.797E+9	   19.9987	   21.5401	    6.5904	  -16.4324	
 -590.0000	2.020E-13	6.621E+9	   20.0013	   21.5332	    6.5762	  -16.4632	
 -600.0000	2.069E-13	9.400E+9	   20.0013	   21.5332	    6.5762	  -16.4632	
