GCD Test
Bias: 5000.000000
IV_38694_040_2-S_HM_XX_DIODEQUARTER_Irradiated_Annealed_60C_80min
Date/Time: 3/20/2022 3:21:01 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.5237E-7	-1.5290E-7	-1.5260E-7	-1.5220E-7	-1.5180E-7	-1.527411E-7	-1.528666E-7	-1.527468E-7	-1.529247E-7	-1.524263E-7	  -19.7210	    8.3545	    4.1401	  -31.0787	
  -20.0000	-1.9710E-7	-1.9770E-7	-1.9710E-7	-1.9710E-7	-1.9650E-7	-1.963730E-7	-1.966656E-7	-1.964586E-7	-1.961262E-7	-1.962416E-7	  -19.8659	    8.3482	    4.1841	  -30.9732	
  -30.0000	-2.2897E-7	-2.2970E-7	-2.2890E-7	-2.2870E-7	-2.2860E-7	-2.277688E-7	-2.279504E-7	-2.276464E-7	-2.277125E-7	-2.277658E-7	  -19.9702	    8.3482	    4.1986	  -30.9370	
  -40.0000	-2.5437E-7	-2.5510E-7	-2.5450E-7	-2.5430E-7	-2.5360E-7	-2.531711E-7	-2.534281E-7	-2.533309E-7	-2.530952E-7	-2.528302E-7	  -20.0211	    8.3680	    4.2236	  -30.8611	
  -50.0000	-2.7535E-7	-2.7700E-7	-2.7530E-7	-2.7430E-7	-2.7480E-7	-2.744240E-7	-2.745853E-7	-2.746310E-7	-2.745331E-7	-2.739465E-7	  -20.1152	    8.4296	    4.2413	  -30.7739	
  -60.0000	-2.9260E-7	-2.9330E-7	-2.9210E-7	-2.9250E-7	-2.9250E-7	-2.922605E-7	-2.931091E-7	-2.925626E-7	-2.921068E-7	-2.912634E-7	  -20.1839	    8.4027	    4.2669	  -30.7300	
  -70.0000	-3.0843E-7	-3.0910E-7	-3.0880E-7	-3.0820E-7	-3.0760E-7	-3.076866E-7	-3.080198E-7	-3.077759E-7	-3.078564E-7	-3.070944E-7	  -20.2831	    8.4120	    4.3264	  -30.5788	
  -80.0000	-3.2243E-7	-3.2350E-7	-3.2270E-7	-3.2220E-7	-3.2130E-7	-3.201769E-7	-3.205723E-7	-3.202590E-7	-3.201411E-7	-3.197351E-7	  -20.3416	    8.3991	    4.3710	  -30.4807	
  -90.0000	-3.3482E-7	-3.3520E-7	-3.3490E-7	-3.3450E-7	-3.3470E-7	-3.337138E-7	-3.340357E-7	-3.342767E-7	-3.332352E-7	-3.333076E-7	  -20.3823	    8.4119	    4.4219	  -30.3503	
 -100.0000	-3.4625E-7	-3.4720E-7	-3.4640E-7	-3.4630E-7	-3.4510E-7	-3.442326E-7	-3.449839E-7	-3.442414E-7	-3.436970E-7	-3.440080E-7	  -20.4179	    8.4127	    4.4627	  -30.2534	
