GCD Test
Bias: 5000.000000
CV_37389_012_PSS_HM_XX_DIODEHALF_Annealed_60C_80min
Date/Time: 2/4/2022 1:54:26 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.185E-11	4.186E-12	3.237E+6	2.078E+6	  -20.0033	    9.6128	    3.6341	  -31.5500	
  -20.0000	3.290E-11	4.236E-12	3.599E+6	2.142E+6	  -19.9982	    9.5879	    3.6129	  -31.6279	
  -30.0000	3.295E-11	4.262E-12	3.838E+6	2.200E+6	  -19.9982	    9.6222	    3.5705	  -31.7261	
  -40.0000	3.255E-11	4.295E-12	4.036E+6	2.242E+6	  -19.9957	    9.6145	    3.5595	  -31.7636	
  -50.0000	3.230E-11	4.311E-12	4.208E+6	2.280E+6	  -19.9957	    9.6374	    3.5380	  -31.8104	
  -60.0000	3.214E-11	4.326E-12	4.342E+6	2.303E+6	  -19.9906	    9.6334	    3.5079	  -31.9012	
  -70.0000	3.182E-11	4.338E-12	4.467E+6	2.332E+6	  -19.9906	    9.5684	    3.4937	  -31.9882	
  -80.0000	3.144E-11	4.339E-12	4.564E+6	2.365E+6	  -19.9906	    9.6328	    3.4791	  -31.9866	
  -90.0000	3.149E-11	4.359E-12	4.627E+6	2.358E+6	  -20.0033	    9.5915	    3.4548	  -32.0877	
 -100.0000	3.137E-11	4.377E-12	4.674E+6	2.354E+6	  -19.9982	    9.5049	    3.4573	  -32.1402	
 -110.0000	3.132E-11	4.375E-12	4.734E+6	2.386E+6	  -19.9931	    9.5049	    3.4485	  -32.1666	
 -120.0000	3.129E-11	4.398E-12	4.779E+6	2.378E+6	  -19.9982	    9.5139	    3.4301	  -32.1944	
 -130.0000	3.126E-11	4.397E-12	4.812E+6	2.404E+6	  -19.9931	    9.4451	    3.4133	  -32.3133	
 -140.0000	3.101E-11	4.405E-12	4.854E+6	2.408E+6	  -19.9982	    9.5373	    3.4156	  -32.2428	
