#Open Capacitance 1000Hz:4.561470E-12
#Open Capacitance 1000000Hz:Not Measured
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Date/Time: 6/3/2021 11:50:08 AM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3705580275.860765	2.924063	-20.000000	24.685982	-1.590300E-5	-5.443488E-11	8.790090E-11	-2.257901E-7	-2.257127E-7	-2.255483E-7	-2.254068E-7	-2.256145E-7	-2.256305E-7	-1.760752E-6
2	3705580291.327612	2.789636	-20.000000	24.684338	-1.587100E-5	-5.328337E-11	8.790910E-11	-2.257901E-7	-2.257127E-7	-2.255483E-7	-2.254068E-7	-2.256145E-7	-2.256305E-7	-1.763398E-6
3	3705580306.370690	2.956139	-20.000000	24.692501	-1.579500E-5	-5.248231E-11	8.790470E-11	-2.241589E-7	-2.242591E-7	-2.242433E-7	-2.241878E-7	-2.242123E-7	-2.242156E-7	-1.764249E-6
4	3705580321.563777	2.906438	-20.000000	24.692878	-1.585000E-5	-5.924113E-11	8.789010E-11	-2.243182E-7	-2.242246E-7	-2.241162E-7	-2.240251E-7	-2.241710E-7	-2.241704E-7	-1.764034E-6
5	3705580336.510861	3.041084	-20.000000	24.674369	-1.580300E-5	-5.233215E-11	8.790230E-11	-2.240143E-7	-2.239542E-7	-2.238822E-7	-2.238173E-7	-2.239170E-7	-2.239182E-7	-1.763864E-6
6	3705580351.574699	2.904977	-20.000000	24.683268	-1.581600E-5	-5.628727E-11	8.789840E-11	-2.243592E-7	-2.243101E-7	-2.241966E-7	-2.239830E-7	-2.242122E-7	-2.242533E-7	-1.763649E-6
7	3705580366.614262	2.930622	-20.000000	24.675023	-1.589800E-5	-5.628730E-11	8.789770E-11	-2.241277E-7	-2.243653E-7	-2.247055E-7	-2.249606E-7	-2.245398E-7	-2.245354E-7	-1.760726E-6
8	3705580381.582087	2.834074	-20.000000	24.684753	-1.584900E-5	-5.618717E-11	8.789530E-11	-2.244535E-7	-2.245484E-7	-2.247106E-7	-2.248368E-7	-2.246373E-7	-2.246295E-7	-1.761448E-6
9	3705580396.603669	2.913419	-20.000000	24.670525	-1.583000E-5	-5.849013E-11	8.789830E-11	-2.244640E-7	-2.245936E-7	-2.245588E-7	-2.244442E-7	-2.245151E-7	-2.245114E-7	-1.762385E-6
10	3705580411.524772	2.829446	-20.000000	24.660499	-1.578200E-5	-5.498558E-11	8.789270E-11	-2.241946E-7	-2.241297E-7	-2.241062E-7	-2.241328E-7	-2.241408E-7	-2.241313E-7	-1.761118E-6
